time,open,high,low,close,volume
2021-10-14,22.64,22.67,22.44,22.44,1060700
2021-10-15,22.44,22.61,22.41,22.41,1104900
2021-10-18,22.41,22.72,22.13,22.3,1795500
2021-10-19,22.3,23.01,22.13,22.72,2212300
2021-10-20,22.72,22.81,22.3,22.55,1079600
2021-10-21,22.55,22.64,22.41,22.41,632200
2021-10-22,22.41,22.53,22.3,22.3,1054900
2021-10-25,22.47,22.47,22.24,22.24,889700
2021-10-26,22.24,22.36,22.21,22.24,547200
2021-10-27,22.27,22.67,22.27,22.64,1412900
2021-10-28,22.7,22.81,22.53,22.61,1237100
2021-10-29,22.7,23.66,22.64,23.55,3730300
2021-11-01,23.83,23.89,23.6,23.72,3293200
2021-11-02,23.72,24.11,23.6,23.8,1527700
2021-11-03,24.0,25.02,23.83,24.43,5601700
2021-11-04,24.48,25.11,24.23,24.96,4380200
2021-11-05,24.96,25.19,24.54,24.74,1940900
2021-11-08,24.74,25.19,24.48,24.91,2686800
2021-11-09,24.96,25.05,24.4,24.4,2541000
2021-11-10,24.45,24.68,24.03,24.4,2138500
2021-11-11,24.62,24.68,23.94,24.28,2441800
2021-11-12,24.03,24.57,24.03,24.51,1878000
2021-11-15,24.6,24.68,23.83,24.28,1523300
2021-11-16,24.23,24.45,24.09,24.28,1266900
2021-11-17,24.2,24.85,24.09,24.74,2444800
2021-11-18,24.96,25.48,24.62,25.25,3510800
2021-11-19,25.28,26.13,23.83,25.19,4055100
2021-11-22,25.19,26.21,24.96,25.84,4942900
2021-11-23,25.82,25.82,25.08,25.36,1795000
2021-11-24,25.5,26.16,25.31,26.13,4127600
2021-11-25,26.33,26.33,25.7,25.73,2686800
2021-11-26,26.16,26.21,24.96,25.79,4132100
2021-11-29,25.25,25.53,25.02,25.25,3260500
2021-11-30,25.48,25.9,24.74,25.19,2542100
2021-12-01,25.19,25.36,24.79,25.14,1755700
2021-12-02,25.11,25.76,24.96,25.08,1367300
2021-12-03,25.25,25.25,23.83,23.83,2199100
2021-12-06,24.4,24.4,23.63,23.8,2858100
2021-12-07,23.86,24.82,23.86,24.74,1653500
2021-12-08,24.79,25.14,24.65,24.96,1145000
2021-12-09,24.94,25.05,24.71,24.96,979700
2021-12-10,25.14,25.65,25.14,25.31,2064600
2021-12-13,25.82,25.99,25.59,25.82,2477500
2021-12-14,25.93,25.93,25.65,25.7,1711000
2021-12-15,25.65,25.82,25.39,25.48,1426700
2021-12-16,25.53,25.53,24.96,25.48,1674500
2021-12-17,25.48,25.82,25.02,25.48,1851700
2021-12-20,25.42,25.5,25.25,25.31,1229300
2021-12-21,25.25,25.33,24.85,24.85,2787700
2021-12-22,24.96,25.11,24.37,24.57,2827800
2021-12-23,24.95,25.02,24.16,24.73,2318800
2021-12-24,24.73,25.38,24.73,25.09,1525000
2021-12-27,25.24,25.45,25.09,25.31,1202100
2021-12-28,25.45,25.45,25.02,25.24,1359900
2021-12-29,25.49,25.49,25.16,25.24,1581600
2021-12-30,25.38,25.59,25.24,25.38,987000
2021-12-31,25.52,27.03,25.45,26.6,4857000
2022-01-04,26.96,27.24,26.71,26.81,1769200
2022-01-05,27.17,27.17,26.46,26.56,1922200
2022-01-06,26.17,27.82,25.99,27.24,5998800
2022-01-07,27.71,28.28,26.99,28.1,4367700
2022-01-10,28.1,28.89,27.82,27.85,3180600
2022-01-11,27.82,28.61,27.46,28.25,4276500
2022-01-12,28.25,30.22,28.25,30.22,8028300
2022-01-13,30.47,32.33,30.47,31.55,9664800
2022-01-14,31.04,32.33,31.04,31.72,3265400
2022-01-17,31.55,33.7,31.26,31.29,7741100
2022-01-18,31.12,32.58,31.12,32.19,4849200
2022-01-19,32.3,32.84,31.22,31.29,2972800
2022-01-20,30.9,33.48,30.29,33.48,5637900
2022-01-21,33.73,34.99,33.34,33.95,4570000
2022-01-24,33.62,34.77,33.59,33.62,4165100
2022-01-25,33.19,35.13,32.91,35.13,4703200
2022-01-26,35.49,35.81,34.48,34.48,4052900
2022-01-27,34.41,34.77,33.98,34.13,1921100
2022-01-28,34.13,35.13,33.91,34.38,2956900
2022-02-07,34.7,34.84,33.84,33.98,3477200
2022-02-08,33.98,34.7,33.34,33.95,2672600
2022-02-09,33.91,35.06,33.7,34.7,4562000
2022-02-10,34.84,35.06,34.41,34.7,2741500
2022-02-11,34.56,34.77,34.27,34.34,1716100
2022-02-14,33.84,34.13,32.08,32.08,7129000
2022-02-15,32.15,33.19,31.83,33.12,3694100
2022-02-16,33.05,33.05,32.05,32.37,2795800
2022-02-17,32.76,32.98,32.05,32.98,1790200
2022-02-18,32.58,33.02,32.05,32.05,2995400
2022-02-21,32.12,32.58,31.33,32.44,2957200
2022-02-22,32.19,32.98,32.05,32.98,2290300
2022-02-23,33.34,33.62,32.62,32.69,2954000
2022-02-24,32.48,32.66,31.26,31.98,3385900
2022-02-25,31.98,32.69,31.9,31.94,2347500
2022-02-28,31.76,31.94,31.33,31.33,2699000
2022-03-01,31.37,32.26,31.26,31.62,2395600
2022-03-02,31.33,31.55,30.36,30.43,3090100
2022-03-03,30.36,30.97,30.11,30.69,2473700
2022-03-04,30.69,31.19,30.47,31.04,1660800
2022-03-07,30.69,30.69,30.22,30.29,2266100
2022-03-08,29.97,30.51,29.68,29.82,2585800
2022-03-09,29.82,30.04,29.04,29.04,1970700
2022-03-10,29.75,30.11,29.36,29.36,1563100
2022-03-11,29.36,30.0,29.36,30.0,1476500
2022-03-14,30.0,30.25,29.61,29.61,1337300
2022-03-15,29.61,30.25,29.39,30.18,1515300
2022-03-16,30.33,30.33,29.75,29.82,1331400
2022-03-17,30.25,31.72,29.39,31.19,5819900
2022-03-18,31.33,31.98,31.19,31.47,2786600
2022-03-21,31.47,31.62,31.04,31.4,1279000
2022-03-22,31.4,31.51,30.97,31.19,2825000
2022-03-23,31.15,31.83,30.94,31.12,1995900
2022-03-24,31.12,31.15,30.83,30.9,1287000
2022-03-25,30.94,31.44,30.54,31.15,1969000
2022-03-28,30.83,31.15,29.72,29.82,3983900
2022-03-29,29.9,30.47,29.75,30.4,1733800
2022-03-30,30.18,32.26,29.9,31.22,3512800
