time,open,high,low,close,volume
2021-10-14,18.11,18.23,18.0,18.05,8529700
2021-10-15,18.11,18.26,18.0,18.08,8245800
2021-10-18,18.14,18.2,17.79,17.82,9758400
2021-10-19,17.94,18.02,17.82,17.88,6920900
2021-10-20,17.94,17.94,17.43,17.7,9264000
2021-10-21,17.73,17.76,17.55,17.55,7367500
2021-10-22,17.58,17.64,17.49,17.49,4273800
2021-10-25,17.49,17.79,17.32,17.64,8168800
2021-10-26,17.64,17.88,17.52,17.64,5963000
2021-10-27,17.82,18.41,17.67,18.35,19607500
2021-10-28,18.5,18.53,18.29,18.47,14396300
2021-10-29,18.59,18.73,18.44,18.59,13017400
2021-11-01,18.76,19.12,18.64,19.0,17976000
2021-11-02,19.0,19.23,18.91,19.12,11821700
2021-11-03,19.18,19.62,19.09,19.47,20780600
2021-11-04,19.59,19.59,19.2,19.23,11372800
2021-11-05,19.32,19.35,19.0,19.29,10491300
2021-11-08,19.29,19.44,18.88,19.35,11218800
2021-11-09,19.44,19.68,19.32,19.44,15592100
2021-11-10,19.47,19.53,19.18,19.18,8512900
2021-11-11,19.12,19.18,18.59,18.85,14020000
2021-11-12,18.73,19.29,18.64,19.29,10871900
2021-11-15,19.47,19.56,19.03,19.18,9553400
2021-11-16,19.06,19.32,19.0,19.12,8840900
2021-11-17,19.15,19.18,18.97,19.03,6723600
2021-11-18,19.03,19.18,18.82,18.97,9932800
2021-11-19,19.0,19.59,18.97,19.35,21682100
2021-11-22,19.5,20.56,19.47,20.36,27853200
2021-11-23,20.33,20.33,19.88,20.12,9854300
2021-11-24,20.18,20.89,20.09,20.89,25476800
2021-11-25,21.12,21.12,20.68,20.74,14250500
2021-11-26,20.77,20.92,20.12,20.24,15203800
2021-11-29,19.79,20.47,19.79,20.21,13763700
2021-11-30,20.65,20.71,19.65,19.79,11067800
2021-12-01,19.79,20.06,19.62,20.06,9082700
2021-12-02,20.3,20.5,19.94,19.94,7856200
2021-12-03,20.18,20.18,19.47,19.47,9828100
2021-12-06,19.47,19.68,18.64,18.94,12851200
2021-12-07,19.18,19.41,19.09,19.29,6319600
2021-12-08,19.44,19.62,19.29,19.47,6394700
2021-12-09,19.47,19.91,19.41,19.91,5943400
2021-12-10,19.94,20.18,19.77,19.79,5905600
2021-12-13,20.0,20.12,19.77,19.77,8116600
2021-12-14,19.95,19.98,19.55,19.58,7281800
2021-12-15,19.58,19.77,19.46,19.49,5399900
2021-12-16,19.61,19.77,19.46,19.64,6675900
2021-12-17,19.64,20.07,19.52,19.92,8037200
2021-12-20,19.89,19.95,19.58,19.61,4919500
2021-12-21,19.58,19.77,19.34,19.34,6860700
2021-12-22,19.49,19.49,19.07,19.13,9342300
2021-12-23,19.16,19.46,18.77,19.46,8936500
2021-12-24,19.31,19.95,19.25,19.89,6638300
2021-12-27,19.95,20.22,19.86,20.19,8106900
2021-12-28,20.25,20.7,20.19,20.49,13587500
2021-12-29,20.55,20.82,20.49,20.64,10226000
2021-12-30,20.61,20.79,20.43,20.43,6289300
2021-12-31,20.55,21.1,20.49,20.49,13259300
2022-01-04,20.82,21.13,20.67,21.0,12031300
2022-01-05,21.16,21.28,20.97,21.0,10443800
2022-01-06,20.85,20.88,20.46,20.55,11753800
2022-01-07,20.55,20.82,20.01,20.07,12412400
2022-01-10,20.13,20.34,19.98,20.13,8306400
2022-01-11,20.25,20.37,19.8,19.95,7061400
2022-01-12,19.95,20.67,19.49,20.64,12781800
2022-01-13,20.79,21.88,20.64,21.25,35122100
2022-01-14,21.16,21.64,20.91,21.43,9258500
2022-01-17,21.52,22.21,20.73,21.16,27495800
2022-01-18,20.97,21.55,20.67,20.88,15069400
2022-01-19,21.1,21.25,20.4,20.43,9741800
2022-01-20,20.25,21.43,20.01,21.22,13774600
2022-01-21,21.22,22.06,21.04,21.49,15424600
2022-01-24,21.46,22.03,21.37,21.55,17475400
2022-01-25,21.52,22.36,21.52,22.36,18851200
2022-01-26,22.67,23.09,22.4,22.76,21981300
2022-01-27,22.46,22.76,22.18,22.3,11740400
2022-01-28,22.24,22.61,22.18,22.3,8727700
2022-02-07,22.61,22.61,21.94,21.94,14883200
2022-02-08,21.88,22.36,21.79,22.06,9097100
2022-02-09,22.06,22.43,21.97,21.97,9201900
2022-02-10,22.0,22.3,21.82,22.21,8989600
2022-02-11,22.27,22.55,22.24,22.24,10407100
2022-02-14,21.97,22.06,20.91,20.91,15118300
2022-02-15,21.04,21.28,20.85,21.13,13310400
2022-02-16,21.34,21.4,20.88,20.94,7858400
2022-02-17,21.0,21.25,20.94,21.1,5945600
2022-02-18,20.94,21.13,20.88,20.91,8303800
2022-02-21,20.91,21.07,20.43,20.79,12018600
2022-02-22,20.55,20.97,20.4,20.91,9003800
2022-02-23,21.1,21.25,20.97,21.07,6729000
2022-02-24,20.91,20.97,20.01,20.46,16477000
2022-02-25,20.61,20.73,20.37,20.46,10212900
2022-02-28,20.46,20.46,20.04,20.04,12721000
2022-03-01,20.13,20.31,20.04,20.13,7737300
2022-03-02,20.07,20.1,19.28,19.34,20423400
2022-03-03,19.4,19.71,19.37,19.71,6542200
