time,open,high,low,close,volume
2025-07-17,107.56,109.6,106.97,107.82,8355437
2025-07-18,108.66,108.66,106.97,106.97,6512306
2025-07-21,109.73,109.73,107.68,107.68,7612979
2025-07-22,107.68,109.53,106.12,109.44,6912737
2025-07-23,109.63,110.12,108.66,109.14,4825624
2025-07-24,109.34,109.44,108.17,108.46,6455334
2025-07-25,108.46,108.85,107.87,108.07,5163242
2025-07-28,108.17,108.95,107.87,108.66,7635424
2025-07-29,108.66,108.95,103.48,103.48,16133144
2025-07-30,104.46,105.43,102.8,103.58,7517104
2025-07-31,103.58,104.36,101.33,101.53,8989001
2025-08-01,101.24,104.85,99.09,104.46,10935794
2025-08-04,103.97,104.07,102.31,104.07,4637013
2025-08-05,104.46,106.12,102.51,103.29,11433392
2025-08-06,103.48,103.68,102.02,102.41,11864447
2025-08-07,103.09,104.85,102.41,103.68,9589089
2025-08-08,103.97,104.85,102.31,103.09,9207301
2025-08-11,103.38,106.9,102.8,103.87,10309903
2025-08-12,104.85,105.63,104.07,104.95,11035855
2025-08-13,105.04,105.24,102.41,102.6,21892517
2025-08-14,103.29,103.29,101.24,101.33,17948903
2025-08-15,101.33,102.31,98.89,98.99,18697086
2025-08-18,98.99,100.55,97.62,98.11,11450410
2025-08-19,98.21,99.09,97.62,97.92,9198729
2025-08-20,97.72,97.92,95.18,95.38,20040979
2025-08-21,95.38,100.46,95.38,99.28,12663739
2025-08-22,99.19,99.19,96.45,96.65,7246765
2025-08-25,99.58,99.58,96.45,96.45,6761832
2025-08-26,96.45,97.62,95.57,97.62,5833293
2025-08-27,98.99,102.6,98.8,102.51,19471753
2025-08-28,102.6,102.6,100.36,102.02,6299351
2025-08-29,102.51,102.51,99.19,99.19,11117268
2025-09-03,99.58,100.85,97.62,100.75,9772872
2025-09-04,100.85,102.99,100.75,102.51,11059038
2025-09-05,102.7,102.99,100.94,100.94,8835511
2025-09-08,100.55,101.43,99.48,99.48,10622551
2025-09-09,99.58,100.55,98.6,99.67,6478341
2025-09-10,99.67,100.46,98.7,98.8,5512255
2025-09-11,98.8,100.46,98.11,99.58,7433193
2025-09-12,99.58,100.46,98.7,99.19,7498375
2025-09-15,99.48,101.04,99.09,99.48,14167008
2025-09-16,100.26,102.31,99.58,101.04,17583475
2025-09-17,101.53,105.24,101.53,102.99,20083197
2025-09-18,103.48,103.77,100.55,100.55,8227572
2025-09-19,101.33,101.33,98.11,100.55,23557247
2025-09-22,100.06,100.26,97.23,97.33,16326968
2025-09-23,97.62,97.62,95.18,95.67,18365378
2025-09-24,95.77,97.14,95.09,97.14,7459032
2025-09-25,97.14,97.14,95.57,95.67,8659161
2025-09-26,95.87,96.94,95.09,95.18,8115898
2025-09-29,95.48,95.48,93.23,93.23,10488698
2025-09-30,93.23,93.52,90.6,90.79,12086512
2025-10-01,90.99,92.25,89.23,91.18,7440061
2025-10-02,90.69,91.18,89.81,89.91,7990319
2025-10-03,90.01,91.77,89.91,91.18,7702876
2025-10-06,92.06,93.62,91.28,93.23,6617245
2025-10-07,93.72,94.01,92.94,93.23,6023461
2025-10-08,93.23,94.6,92.25,92.25,5157890
2025-10-09,92.74,92.74,91.28,91.96,5741465
2025-10-10,91.96,94.21,91.57,93.82,8616495
2025-10-13,92.65,92.65,91.47,91.77,7953799
2025-10-14,91.86,92.25,90.2,90.2,12713796
2025-10-15,90.4,90.89,87.37,87.47,18824893
2025-10-16,87.67,89.33,87.47,87.67,7973952
2025-10-17,87.96,89.33,86.01,86.01,8423276
2025-10-20,86.2,89.62,84.93,84.93,14633215
2025-10-21,86.89,90.79,86.4,90.79,19571735
2025-10-22,92.94,96.65,92.74,94.7,18365820
2025-10-23,94.89,94.99,91.77,92.74,6673501
2025-10-24,92.74,95.38,92.45,95.38,13797916
2025-10-27,96.65,97.33,94.01,95.67,12946379
2025-10-28,96.26,99.77,96.26,99.77,20966367
2025-10-29,99.97,100.75,98.7,99.28,9344715
2025-10-30,99.67,101.04,99.19,100.26,9758541
2025-10-31,100.16,101.43,98.6,101.43,14854263
2025-11-03,101.33,103.77,101.04,102.51,21030571
2025-11-04,101.63,102.21,99.28,100.85,10662165
2025-11-05,99.38,99.58,97.23,98.5,11784047
2025-11-06,98.5,99.58,97.04,97.82,6781958
2025-11-07,97.14,99.38,97.14,98.6,5881390
2025-11-10,98.8,98.8,93.91,93.91,10115824
2025-11-11,94.5,95.57,93.82,93.82,6649987
2025-11-12,94.21,98.21,94.21,98.21,6649911
2025-11-13,98.21,98.31,96.35,96.55,4774081
2025-11-14,96.55,98.5,95.87,97.62,4713954
2025-11-17,98.21,99.38,98.21,98.6,5607991
2025-11-18,98.6,98.7,96.45,97.62,6522460
2025-11-19,97.14,97.14,95.67,95.67,5191305
2025-11-20,96.26,97.33,95.77,96.65,4608598
2025-11-21,95.67,98.8,95.48,98.4,7956420
2025-11-24,98.31,98.7,97.23,97.82,5079550
2025-11-25,97.33,97.92,96.65,97.33,4510630
2025-11-26,97.43,97.82,96.55,96.65,5843562
2025-11-27,96.84,97.43,95.77,97.14,4796150
2025-11-28,96.75,97.04,94.79,94.79,6239769
2025-12-01,95.58,96.37,94.79,95.29,3145177
2025-12-02,95.48,95.98,94.1,95.29,5590644
2025-12-03,95.68,95.68,94.69,95.29,6491714
2025-12-04,95.29,97.16,95.29,96.17,7409987
2025-12-05,96.17,96.17,94.79,94.89,5090389
2025-12-08,95.29,95.98,94.2,94.2,5307100
2025-12-09,94.2,95.68,93.12,95.58,9995279
2025-12-10,95.78,95.78,94.3,94.3,3909618
2025-12-11,94.6,95.29,94.3,94.69,5211998
2025-12-12,94.69,94.69,92.23,92.43,5546553
2025-12-15,92.62,93.12,92.23,92.52,3544964
2025-12-16,92.62,94.1,90.75,93.61,6319127
2025-12-17,93.12,94.99,93.12,94.6,4987508
2025-12-18,94.2,94.3,92.62,93.12,4132572
2025-12-19,92.72,93.71,92.33,92.62,4506285
2025-12-22,92.82,93.02,92.23,92.43,6169771
2025-12-23,92.72,94.6,92.33,92.72,6027267
2025-12-24,92.82,92.92,91.83,92.33,3914048
2025-12-25,92.33,93.51,91.74,91.74,4583931
2025-12-26,91.44,91.74,89.76,91.24,6644428
2025-12-29,91.24,93.61,91.24,93.02,6316449
2025-12-30,93.21,95.29,93.02,95.19,7290492
2025-12-31,95.48,95.68,93.91,94.5,3098712
2026-01-05,94.4,94.4,91.93,93.71,7052389
2026-01-06,93.41,93.51,92.33,92.72,5412460
2026-01-07,92.82,96.27,92.72,96.17,11454407
2026-01-08,96.77,96.77,95.19,95.19,5596578
2026-01-09,94.79,98.54,94.69,96.08,10078520
2026-01-12,96.67,98.15,96.67,98.15,9107218
2026-01-13,98.34,100.32,96.57,97.55,9442492
2026-01-14,97.65,99.73,96.47,98.44,11927501
2026-01-15,98.44,100.32,97.06,97.16,7428671
2026-01-16,98.15,103.87,98.15,103.87,23987996
2026-01-19,107.22,107.22,104.07,104.36,14761552
