time,open,high,low,close,volume
2025-07-17,23.39,23.52,23.12,23.21,56272675
2025-07-18,23.21,23.3,22.99,23.12,40765452
2025-07-21,23.57,24.1,23.3,23.39,55818398
2025-07-22,23.35,23.61,23.21,23.61,31535938
2025-07-23,23.7,24.06,23.57,23.57,43166219
2025-07-24,23.57,23.61,23.12,23.21,51950469
2025-07-25,23.21,23.48,23.12,23.26,51110807
2025-07-28,23.3,23.97,23.21,23.52,99644508
2025-07-29,23.61,23.75,22.63,22.63,82685129
2025-07-30,22.85,22.99,22.41,22.68,50228631
2025-07-31,22.72,22.85,22.1,22.27,85459569
2025-08-01,22.18,22.59,22.14,22.45,50875281
2025-08-04,22.41,22.72,22.27,22.59,37117850
2025-08-05,22.72,24.15,22.72,23.57,216265261
2025-08-06,23.88,24.73,23.79,24.19,96276505
2025-08-07,24.42,25.49,24.1,25.44,139315954
2025-08-08,25.53,25.58,24.64,25.0,121165629
2025-08-11,25.13,25.4,24.82,25.13,67300493
2025-08-12,25.31,25.98,25.13,25.44,84272957
2025-08-13,25.49,25.53,24.86,25.09,79836392
2025-08-14,25.18,25.4,25.0,25.18,76109026
2025-08-15,25.4,25.71,24.86,25.0,108006931
2025-08-18,25.26,25.71,25.18,25.35,69101265
2025-08-19,25.53,25.62,25.09,25.13,63084945
2025-08-20,25.18,25.22,24.15,24.46,101091989
2025-08-21,24.51,24.82,24.37,24.46,70032407
2025-08-22,24.06,24.19,23.21,23.21,132417655
2025-08-25,23.66,23.88,23.08,23.17,68381091
2025-08-26,23.3,24.28,23.3,24.28,52027973
2025-08-27,24.33,24.33,23.88,23.88,86045749
2025-08-28,24.06,24.55,23.97,24.19,63197040
2025-08-29,24.28,24.86,24.15,24.55,81783855
2025-09-03,24.46,25.89,24.33,25.13,119215562
2025-09-04,25.4,26.69,25.31,26.65,141572587
2025-09-05,26.78,26.87,25.71,25.71,95337516
2025-09-08,25.62,26.56,25.58,25.8,141854272
2025-09-09,26.07,26.11,25.18,25.76,73916602
2025-09-10,25.76,26.07,25.35,25.76,52491303
2025-09-11,25.62,26.07,25.0,26.02,71829390
2025-09-12,26.07,26.87,26.02,26.78,104689241
2025-09-15,27.01,27.54,26.87,27.09,89001162
2025-09-16,27.27,27.27,26.56,26.74,66924946
2025-09-17,26.69,27.01,26.07,26.07,124492427
2025-09-18,26.2,26.25,25.53,26.02,75744820
2025-09-19,26.16,26.25,25.71,26.11,45063967
2025-09-22,26.11,26.11,25.26,25.35,66147901
2025-09-23,25.49,25.76,25.4,25.58,24927714
2025-09-24,25.58,25.93,25.22,25.93,30767741
2025-09-25,26.02,26.16,25.67,25.71,34468450
2025-09-26,25.76,26.07,25.49,25.49,38166835
2025-09-29,25.49,25.8,25.35,25.53,38862347
2025-09-30,25.49,25.53,24.91,25.13,53791420
2025-10-01,25.26,25.44,25.09,25.26,29871076
2025-10-02,25.31,25.58,25.04,25.09,30204275
2025-10-03,25.09,25.09,24.42,24.68,58178830
2025-10-06,25.09,26.07,25.09,26.07,71313614
2025-10-07,26.07,26.2,25.89,25.89,41439746
2025-10-08,26.11,26.25,25.67,26.07,59998757
2025-10-09,26.25,26.25,25.76,25.84,42585279
2025-10-10,25.89,26.56,25.8,26.42,62746903
2025-10-13,25.93,26.11,25.76,25.89,80289928
2025-10-14,25.93,26.11,25.26,25.31,84397065
2025-10-15,25.35,25.62,25.18,25.22,34666042
2025-10-16,25.22,25.71,25.0,25.22,44763644
2025-10-17,25.26,25.58,25.0,25.0,46553512
2025-10-20,24.91,25.22,23.26,23.26,103075157
2025-10-21,23.48,24.1,23.21,23.93,74360824
2025-10-22,24.01,24.01,23.35,23.84,37337299
2025-10-23,23.88,24.1,23.66,23.66,23480069
2025-10-24,23.66,23.84,23.3,23.57,30625906
2025-10-27,23.88,23.97,23.43,23.43,27425118
2025-10-28,23.52,23.93,23.35,23.93,28546402
2025-10-29,24.01,24.59,24.01,24.33,39483328
2025-10-30,24.46,24.46,24.01,24.01,23723933
2025-10-31,24.01,24.19,23.84,23.84,19803043
2025-11-03,23.88,24.01,23.26,23.26,28405418
2025-11-04,23.35,23.97,23.17,23.88,37803099
2025-11-05,23.61,23.88,23.43,23.48,20868717
2025-11-06,23.52,23.66,23.3,23.3,21236298
2025-11-07,23.35,23.7,23.21,23.26,55127315
2025-11-10,23.39,23.88,23.3,23.61,48049077
2025-11-11,23.75,24.01,23.61,23.75,31359035
2025-11-12,23.79,24.19,23.79,24.1,30691952
2025-11-13,24.1,24.15,23.7,23.7,18957281
2025-11-14,23.66,24.06,23.66,24.01,22127988
2025-11-17,24.15,24.42,24.15,24.37,32185516
2025-11-18,24.33,24.64,24.24,24.55,35057611
2025-11-19,24.55,25.31,24.51,24.64,56361831
2025-11-20,24.73,24.82,24.24,24.33,23088344
2025-11-21,24.24,24.51,24.01,24.46,22631995
2025-11-24,24.46,24.59,24.19,24.19,14731766
2025-11-25,24.24,24.42,24.01,24.01,24370268
2025-11-26,24.06,24.28,23.97,24.19,19044180
2025-11-27,24.28,24.37,24.01,24.01,13978636
2025-11-28,24.01,24.15,23.7,23.7,20821996
2025-12-01,23.79,23.88,23.66,23.66,19770342
2025-12-02,23.7,23.79,23.39,23.66,26110665
2025-12-03,23.75,23.97,23.61,23.93,21548628
2025-12-04,24.06,24.51,24.01,24.37,35109344
2025-12-05,24.42,24.42,24.1,24.1,17683671
2025-12-08,24.01,24.19,23.88,23.88,21479703
2025-12-09,23.84,24.01,23.57,23.57,39940683
2025-12-10,23.79,24.1,23.75,23.79,19726312
2025-12-11,23.84,24.01,23.66,23.7,17163546
2025-12-12,23.75,23.84,23.21,23.21,37128573
2025-12-15,23.43,23.57,23.26,23.43,23967998
2025-12-16,23.52,24.06,23.43,23.84,29351531
2025-12-17,23.84,23.84,23.57,23.57,16565370
2025-12-18,23.57,23.7,23.43,23.57,18796187
2025-12-19,23.57,23.84,23.57,23.84,29596369
2025-12-22,23.84,24.19,23.75,24.01,54911975
2025-12-23,24.15,24.28,23.79,23.88,29622905
2025-12-24,23.97,23.97,23.66,23.7,23159971
2025-12-25,23.7,23.79,23.43,23.43,29814279
2025-12-26,24.19,24.73,23.79,24.01,94088713
2025-12-29,24.1,24.1,23.79,23.84,16553706
2025-12-30,23.84,23.97,23.66,23.66,24606999
2025-12-31,23.61,23.75,23.52,23.57,20174683
2026-01-05,23.57,23.7,22.94,23.17,46555056
2026-01-06,23.21,23.39,22.63,23.17,39667657
2026-01-07,23.17,23.88,23.17,23.75,37278981
2026-01-08,23.84,23.93,23.57,23.57,37558137
2026-01-09,23.93,23.93,23.39,23.39,35130464
2026-01-12,23.52,24.64,23.52,24.55,83608007
2026-01-13,24.77,24.91,24.1,24.33,45837317
2026-01-14,24.51,24.64,24.1,24.33,53964951
2026-01-15,24.33,24.91,24.33,24.64,61992891
2026-01-16,24.82,25.22,24.37,24.64,65644235
2026-01-19,24.91,25.18,24.68,24.73,40516817
2026-01-20,24.86,24.95,24.19,24.33,44230382
2026-01-21,24.24,24.33,23.79,23.93,37287032
2026-01-22,24.01,24.37,23.97,23.97,27762482
2026-01-23,24.19,24.24,23.88,23.88,24263396
2026-01-26,23.88,23.93,23.35,23.48,33821325
2026-01-27,23.52,23.7,23.39,23.61,21036241
2026-01-28,23.7,24.19,23.7,23.84,30011992
2026-01-29,23.93,24.19,23.93,24.19,27633000
2026-01-30,24.37,24.55,23.88,23.93,40604861
2026-02-02,23.93,23.93,23.43,23.7,44072377
2026-02-03,23.79,24.19,23.79,23.88,32059394
2026-02-04,23.97,25.53,23.97,25.26,145541970
2026-02-05,25.26,25.31,24.59,24.59,32944447
2026-02-06,24.42,25.09,23.93,23.93,67125175
