time,open,high,low,close,volume
2025-07-17,19.31,19.41,19.16,19.31,17356704
2025-07-18,19.34,19.67,19.2,19.63,25193195
2025-07-21,19.7,19.96,19.41,19.45,17973804
2025-07-22,19.41,19.59,19.23,19.59,15483549
2025-07-23,19.63,19.92,19.56,19.77,27210803
2025-07-24,19.88,20.53,19.88,20.5,40043004
2025-07-25,20.57,20.82,20.5,20.53,18127844
2025-07-28,20.53,20.75,20.46,20.75,24925179
2025-07-29,20.79,20.82,19.38,19.38,49034939
2025-07-30,19.63,20.1,19.38,19.77,32132915
2025-07-31,19.96,20.06,19.45,19.81,24990626
2025-08-01,19.81,19.96,19.52,19.59,17908297
2025-08-04,19.56,20.06,19.52,20.06,21261998
2025-08-05,20.86,21.43,19.96,21.43,71196478
2025-08-06,22.01,22.34,21.8,22.08,30420625
2025-08-07,22.3,22.34,21.9,22.19,27017474
2025-08-08,22.34,22.37,21.9,22.05,25628530
2025-08-11,22.23,23.42,22.16,22.95,48711115
2025-08-12,23.31,23.38,22.84,23.38,56680478
2025-08-13,24.42,24.81,23.75,24.81,79742535
2025-08-14,26.54,26.54,26.54,26.54,40356994
2025-08-15,28.36,28.36,26.63,27.16,117609377
2025-08-18,27.45,27.5,26.59,26.73,51109955
2025-08-19,27.26,28.27,26.83,27.11,54061803
2025-08-20,27.11,27.21,25.82,26.73,77487429
2025-08-21,26.97,27.6,26.68,27.11,57200998
2025-08-22,26.68,26.92,25.86,25.86,72987402
2025-08-25,26.1,26.25,24.81,25.19,56269717
2025-08-26,25.19,26.54,25.1,26.49,40487421
2025-08-27,27.11,27.16,26.35,26.35,39114855
2025-08-28,26.35,26.49,25.67,26.15,32503885
2025-08-29,26.39,27.11,26.15,26.68,55753811
2025-09-03,26.73,27.69,26.44,27.35,46703731
2025-09-04,27.35,27.5,27.02,27.16,28092150
2025-09-05,27.4,27.55,26.35,26.35,66613650
2025-09-08,26.15,26.2,25.67,25.67,62935756
2025-09-09,25.67,25.96,25.29,25.62,32894097
2025-09-10,25.96,26.49,25.77,25.91,28923660
2025-09-11,25.77,25.91,25.05,25.67,31209011
2025-09-12,25.86,25.96,25.58,25.58,19258563
2025-09-15,25.72,25.82,25.53,25.82,21521882
2025-09-16,26.06,26.78,26.01,26.44,51409480
2025-09-17,26.35,26.49,25.96,25.96,15850306
2025-09-18,25.91,26.06,25.58,25.77,17746818
2025-09-19,25.91,25.91,25.48,25.62,14507850
2025-09-22,25.53,25.58,25.1,25.14,26419613
2025-09-23,25.43,25.53,25.14,25.34,10123743
2025-09-24,25.34,25.77,24.9,25.77,22783889
2025-09-25,25.96,25.96,25.38,25.53,15514426
2025-09-26,25.48,25.67,25.24,25.24,12968932
2025-09-29,25.24,25.34,25.1,25.14,16277993
2025-09-30,25.19,25.58,25.05,25.19,19781243
2025-10-01,25.24,25.58,25.14,25.38,11560791
2025-10-02,25.48,26.3,25.43,25.77,44120772
2025-10-03,25.67,25.77,25.38,25.53,14528492
2025-10-06,25.91,26.44,25.62,26.3,39011714
2025-10-07,26.44,26.49,25.82,25.82,22224808
2025-10-08,26.15,26.25,25.82,25.82,32200943
2025-10-09,25.96,26.35,25.82,26.3,38690937
