time,open,high,low,close,volume
2022-01-04,14.65,15.48,14.65,15.48,20441700
2022-01-05,15.89,16.51,15.72,15.72,38787800
2022-01-06,15.6,16.39,15.6,15.93,27000500
2022-01-07,15.93,16.84,15.93,16.68,32879500
2022-01-10,16.97,17.21,15.52,15.52,31601600
2022-01-11,15.72,16.06,15.27,15.43,32266400
2022-01-12,15.43,15.89,14.36,15.02,42975500
2022-01-13,15.02,15.43,13.99,13.99,39286800
2022-01-14,13.66,14.73,13.66,14.65,21841200
2022-01-17,14.65,14.65,13.66,13.66,31333400
2022-01-18,13.08,13.57,12.7,12.74,27316100
2022-01-19,12.91,13.32,12.83,13.28,14804200
2022-01-20,13.32,14.15,13.08,14.07,13110700
2022-01-21,14.07,14.19,13.74,13.78,15083600
2022-01-24,13.66,13.66,12.83,12.83,19100700
2022-01-25,12.5,13.7,12.5,13.7,14575700
2022-01-26,13.9,13.94,13.49,13.49,10704700
2022-01-27,13.49,13.57,13.24,13.57,7877600
2022-01-28,13.57,14.03,13.41,13.9,13677000
2022-02-07,14.07,14.86,13.99,14.77,21663200
2022-02-08,14.73,15.02,14.52,14.81,18412600
2022-02-09,14.81,15.02,14.65,14.73,12505600
2022-02-10,14.77,15.56,14.77,15.35,30747500
2022-02-11,15.31,15.48,14.98,15.14,14833800
2022-02-14,14.81,15.19,14.65,14.65,18913400
2022-02-15,14.65,15.02,14.32,14.98,18577300
2022-02-16,15.23,15.39,14.98,15.06,14321700
2022-02-17,15.23,15.68,15.02,15.39,34267000
2022-02-18,15.23,15.56,15.14,15.35,18704500
2022-02-21,15.35,15.48,15.19,15.23,18521400
2022-02-22,15.06,15.1,14.48,14.73,37116500
2022-02-23,14.86,15.39,14.81,15.02,16988300
2022-02-24,15.06,15.23,14.36,14.69,23983800
2022-02-25,14.9,15.02,14.69,14.77,12072000
2022-02-28,14.77,14.9,14.32,14.36,28351900
2022-03-01,14.28,14.65,13.94,14.44,26541600
2022-03-02,14.44,14.81,14.28,14.44,13376100
2022-03-03,14.44,14.61,14.15,14.23,18767300
2022-03-04,14.23,14.57,14.19,14.32,15772500
2022-03-07,14.23,14.23,13.99,14.11,20154400
2022-03-08,14.07,14.48,13.99,14.23,18365200
2022-03-09,14.32,14.4,13.86,13.86,18666600
2022-03-10,14.07,14.19,13.74,13.74,13857500
2022-03-11,13.57,13.82,13.32,13.37,22346800
2022-03-14,13.37,13.41,12.91,12.95,16927900
2022-03-15,12.99,13.57,12.95,13.57,13518800
2022-03-16,13.57,13.82,13.45,13.49,8458000
2022-03-17,13.49,13.61,13.45,13.49,7348600
2022-03-18,13.49,13.61,13.28,13.32,11552900
2022-03-21,13.41,13.53,13.32,13.41,8155900
2022-03-22,13.49,13.66,13.45,13.66,13207500
2022-03-23,13.74,14.28,13.7,13.99,20680800
2022-03-24,13.99,14.15,13.86,13.9,8315300
2022-03-25,13.9,13.9,13.74,13.74,8554500
2022-03-28,13.57,13.66,13.12,13.28,15665500
2022-03-29,13.28,13.53,13.28,13.45,6043000
2022-03-30,13.28,13.49,13.16,13.2,10562100
2022-03-31,13.2,13.37,13.12,13.12,6965600
2022-04-01,13.08,13.37,12.99,13.24,8096000
2022-04-04,13.37,13.53,13.32,13.41,7392200
2022-04-05,13.49,13.74,13.41,13.53,9487000
2022-04-06,13.49,13.74,13.37,13.57,8752600
2022-04-07,13.61,14.03,13.57,13.78,23066300
2022-04-08,13.78,13.86,13.41,13.41,8847800
2022-04-12,13.41,13.49,12.91,12.91,10488800
2022-04-13,12.99,13.08,12.66,12.99,11796000
2022-04-14,12.99,13.12,12.87,12.87,6184400
2022-04-15,12.79,12.83,12.0,12.17,19545500
2022-04-18,12.17,12.46,11.92,12.0,10908100
2022-04-19,12.0,12.21,11.17,11.17,11657500
2022-04-20,11.17,11.42,10.76,10.8,16671300
2022-04-21,10.76,11.21,10.39,11.01,16254500
2022-04-22,11.17,11.38,10.72,11.05,9010700
2022-04-25,11.13,11.17,10.3,10.3,13769800
2022-04-26,9.93,10.76,9.64,10.76,12858100
2022-04-27,10.63,10.88,10.51,10.72,6915000
2022-04-28,10.72,10.88,10.59,10.59,5831000
2022-04-29,10.59,11.05,10.51,10.88,10360800
2022-05-04,11.21,11.63,11.13,11.63,20394300
2022-05-05,11.96,12.0,11.5,11.71,13093700
2022-05-06,11.42,11.96,11.38,11.5,11543100
2022-05-09,11.26,11.46,10.72,10.72,15383500
2022-05-10,10.18,11.01,10.14,11.01,11050700
2022-05-11,11.09,11.17,10.8,10.92,6896600
2022-05-12,10.88,10.97,10.18,10.18,10599900
2022-05-13,10.22,10.39,9.48,9.48,19896800
2022-05-16,9.93,10.14,9.56,9.6,9065600
2022-05-17,9.64,10.26,9.6,10.26,10158300
2022-05-18,10.51,10.68,10.34,10.47,11226900
2022-05-19,10.1,10.76,10.1,10.59,12282900
2022-05-20,10.72,10.92,10.51,10.59,10580000
2022-05-23,10.76,10.88,10.39,10.55,10742800
2022-05-24,10.55,10.63,10.18,10.63,9545900
2022-05-25,10.68,11.13,10.63,11.09,13931200
2022-05-26,11.17,11.17,10.84,10.88,10022600
2022-05-27,10.92,11.26,10.84,11.05,11357700
2022-05-30,11.13,11.26,11.05,11.13,9576000
2022-05-31,11.09,11.26,11.01,11.21,11418700
2022-06-01,11.21,11.75,11.13,11.54,19270100
2022-06-02,11.59,11.67,11.17,11.21,9044900
2022-06-03,11.17,11.3,10.97,11.17,9783700
2022-06-06,11.17,11.75,10.92,11.42,24932300
2022-06-07,11.42,12.21,11.34,12.21,38045400
2022-06-08,12.66,13.03,12.5,12.74,26255700
2022-06-09,12.5,13.16,12.5,13.16,22633000
2022-06-10,12.87,13.2,12.29,12.41,26983200
2022-06-13,12.08,13.08,12.04,12.62,40895700
2022-06-14,12.58,12.99,12.25,12.62,20958500
2022-06-15,12.62,12.79,11.75,12.0,24843000
2022-06-16,12.25,12.83,11.83,12.74,34414700
2022-06-17,12.41,13.53,12.37,13.32,37946700
2022-06-20,13.41,13.57,12.41,12.41,24827400
2022-06-21,12.25,12.54,11.54,11.54,32210000
2022-06-22,11.42,11.63,10.76,10.76,37401500
2022-06-23,10.43,11.5,10.43,11.5,17533200
2022-06-24,11.63,11.63,11.21,11.21,11086300
2022-06-27,11.3,11.67,11.17,11.46,13339200
2022-06-28,11.46,11.92,11.38,11.5,18126900
2022-06-29,11.42,11.63,11.3,11.38,11340100
2022-06-30,11.5,11.83,11.26,11.26,13179700
2022-07-01,11.3,11.46,10.76,11.26,15651400
2022-07-04,11.42,11.46,11.09,11.17,8954100
2022-07-05,11.17,11.26,10.59,10.76,21074400
2022-07-06,10.59,11.01,10.59,10.59,15064800
2022-07-07,10.59,10.76,10.47,10.59,9939600
2022-07-08,10.72,10.88,10.68,10.76,6824400
2022-07-11,10.72,10.76,10.22,10.34,13694400
2022-07-12,10.34,10.84,10.34,10.72,7991500
2022-07-13,10.72,10.97,10.68,10.76,7670200
2022-07-14,10.63,10.84,10.63,10.84,9878100
2022-07-15,10.97,11.01,10.76,10.76,11003100
2022-07-18,10.8,11.09,10.76,10.84,7615100
2022-07-19,11.05,11.26,10.92,11.13,14638800
2022-07-20,11.3,11.38,11.09,11.17,10633300
2022-07-21,11.17,11.21,10.97,11.05,8963000
2022-07-22,11.09,11.13,10.8,10.88,8481200
2022-07-25,10.84,11.01,10.8,10.88,7707200
2022-07-26,10.88,10.97,10.76,10.76,6413000
2022-07-27,10.76,10.84,10.63,10.84,5630000
2022-07-28,10.97,11.34,10.88,11.21,19451800
2022-07-29,11.21,11.34,11.05,11.05,10431600
2022-08-01,11.05,11.21,11.01,11.17,10610300
2022-08-02,11.21,11.5,11.13,11.38,17850500
2022-08-03,11.34,11.5,11.21,11.34,13621600
2022-08-04,11.42,11.42,11.21,11.26,9854300
2022-08-05,11.21,11.71,11.13,11.59,25259000
2022-08-08,11.67,11.79,11.54,11.59,10276100
2022-08-09,11.63,11.88,11.54,11.63,15230300
2022-08-10,11.59,11.71,11.46,11.54,10909900
2022-08-11,11.67,11.71,11.34,11.42,15627200
2022-08-12,11.42,11.67,11.34,11.59,10031700
2022-08-15,11.67,11.88,11.54,11.59,15095600
2022-08-16,11.71,11.79,11.54,11.67,10116600
2022-08-17,11.75,11.79,11.5,11.54,10690200
