time,open,high,low,close,volume
2021-10-14,58.87,60.29,58.35,58.5,132300
2021-10-15,58.57,59.6,58.57,59.52,52900
2021-10-18,58.87,59.23,58.21,58.5,210800
2021-10-19,58.54,58.54,57.04,57.95,248200
2021-10-20,57.95,58.61,56.71,56.75,403600
2021-10-21,57.11,57.95,55.58,55.58,224700
2021-10-22,56.49,57.22,56.45,57.22,51800
2021-10-25,57.22,57.77,57.22,57.29,40000
2021-10-26,57.37,57.73,56.82,56.82,73200
2021-10-27,57.51,58.46,57.04,58.46,120600
2021-10-28,59.23,60.26,58.57,60.18,205900
2021-10-29,60.18,60.18,58.68,58.68,222200
2021-11-01,58.76,59.6,58.76,59.23,135000
2021-11-02,59.52,60.51,59.23,60.4,126300
2021-11-03,60.4,63.18,59.96,63.11,344200
2021-11-04,62.01,63.11,61.28,62.81,106400
2021-11-05,61.46,62.89,61.46,62.89,103300
2021-11-08,62.89,63.58,62.23,63.51,139900
2021-11-09,63.4,63.62,62.52,63.62,62700
2021-11-10,63.62,63.62,62.52,63.62,37600
2021-11-11,63.55,63.95,62.89,62.89,56300
2021-11-12,62.89,63.58,62.85,62.89,35800
2021-11-15,62.85,63.25,62.16,62.16,29300
2021-11-16,62.52,62.52,60.88,62.38,47000
2021-11-17,62.41,62.41,61.79,62.34,44500
2021-11-18,62.49,62.49,61.5,61.5,103400
2021-11-19,61.5,61.86,61.06,61.1,42100
2021-11-22,61.06,62.08,59.96,61.43,155100
2021-11-23,61.46,62.08,61.17,61.43,30600
2021-11-24,61.43,61.79,60.0,61.43,108200
2021-11-25,61.43,61.43,60.33,60.33,100600
2021-11-26,60.55,60.55,58.5,58.57,211800
2021-11-29,58.5,58.5,57.07,57.07,184300
2021-11-30,57.15,58.5,56.31,56.31,359300
2021-12-01,57.77,57.77,56.53,57.22,52000
2021-12-02,57.22,58.5,57.22,58.13,206600
2021-12-03,58.13,58.13,57.4,57.4,102100
2021-12-06,57.33,57.33,55.43,55.43,121600
2021-12-07,55.5,56.49,55.5,55.94,196400
2021-12-08,55.98,56.16,55.83,55.9,144500
2021-12-09,55.94,56.38,55.72,55.76,207900
2021-12-10,55.76,56.31,55.54,55.68,150200
2021-12-13,55.94,56.05,55.68,55.68,175100
2021-12-14,55.68,56.31,55.58,55.87,126400
2021-12-15,55.94,55.94,55.65,55.76,78900
2021-12-16,55.68,55.83,55.06,55.21,90400
2021-12-17,55.21,55.32,54.84,54.84,189300
2021-12-20,54.88,54.88,54.41,54.48,117100
2021-12-21,54.48,54.73,54.41,54.44,122000
2021-12-22,54.48,54.48,53.93,53.97,129400
2021-12-23,53.86,53.97,53.67,53.71,142700
2021-12-24,53.56,54.41,53.45,53.75,137800
2021-12-27,53.86,55.21,53.82,54.08,78300
2021-12-28,54.66,54.66,53.93,54.22,102000
2021-12-29,54.22,54.22,54.0,54.22,50300
2021-12-30,54.48,54.48,54.3,54.44,82100
2021-12-31,54.44,58.17,54.44,55.21,276600
2022-01-04,55.58,57.59,55.58,57.4,395300
2022-01-05,57.77,58.39,57.77,58.24,322300
2022-01-06,58.13,58.21,57.04,57.26,75300
2022-01-07,57.3,57.3,56.33,56.74,114100
2022-01-10,57.07,57.07,55.96,56.3,195900
2022-01-11,56.3,56.67,55.74,56.63,129700
2022-01-12,56.59,56.63,55.89,56.59,163300
2022-01-13,56.67,56.7,55.93,55.93,120000
2022-01-14,55.56,56.33,55.56,56.26,80400
2022-01-17,56.3,57.37,55.18,55.56,185000
2022-01-18,55.59,56.63,55.59,55.93,269400
2022-01-19,56.3,56.3,55.18,55.56,111500
2022-01-20,54.63,56.89,54.22,55.56,238100
2022-01-21,56.26,56.26,53.7,54.81,108700
2022-01-24,54.93,54.93,53.52,53.7,161600
2022-01-25,53.67,55.0,52.93,53.7,155900
2022-01-26,53.7,53.7,52.96,53.22,130100
2022-01-27,53.7,55.15,53.33,55.11,157500
2022-01-28,55.11,55.48,54.48,55.07,164800
2022-02-07,55.37,57.41,55.37,56.33,75700
2022-02-08,56.85,57.33,56.26,57.33,123100
2022-02-09,57.18,57.33,55.93,56.96,75900
2022-02-10,57.33,58.15,56.04,58.15,208500
2022-02-11,58.18,59.11,57.59,59.11,223800
2022-02-14,57.48,62.18,57.48,62.18,342500
2022-02-15,62.15,63.11,61.81,62.96,430400
2022-02-16,63.07,63.07,61.11,62.37,107500
2022-02-17,62.18,63.78,62.04,63.15,311500
2022-02-18,62.22,62.93,61.78,62.74,189100
2022-02-21,62.59,62.96,61.85,62.81,105500
2022-02-22,62.56,62.56,59.26,62.37,118400
2022-02-23,62.26,63.11,62.26,62.89,150800
2022-02-24,61.52,63.11,61.3,62.85,162700
2022-02-25,62.67,62.96,62.22,62.81,88000
2022-02-28,62.59,62.93,61.7,62.89,70600
2022-03-01,62.89,62.89,62.04,62.22,42900
2022-03-02,62.41,63.15,62.03,63.15,93200
2022-03-03,62.97,63.12,62.44,62.44,23700
2022-03-04,62.03,62.03,59.79,59.79,111700
2022-03-07,58.86,59.75,57.21,57.77,286400
2022-03-08,57.29,58.15,57.25,58.15,96800
2022-03-09,57.81,60.16,57.55,57.92,178800
2022-03-10,57.92,59.42,57.92,58.67,143000
2022-03-11,59.34,59.34,57.44,57.55,133700
2022-03-14,57.18,57.89,56.43,57.55,154500
2022-03-15,57.55,57.55,56.24,56.54,138100
2022-03-16,56.61,57.59,56.32,57.55,143000
2022-03-17,57.55,57.55,56.88,57.55,41700
2022-03-18,57.81,57.89,56.61,56.61,240200
2022-03-21,57.51,57.51,56.84,56.88,66500
2022-03-22,57.47,57.7,57.1,57.55,117300
2022-03-23,57.55,59.79,57.14,58.86,145400
2022-03-24,58.97,59.01,57.92,58.97,95200
2022-03-25,59.04,59.04,58.26,58.86,122600
2022-03-28,59.08,59.08,57.55,58.89,78100
2022-03-29,58.89,59.38,58.03,59.04,170100
2022-03-30,59.04,59.04,58.45,59.01,159900
2022-03-31,59.01,59.42,58.82,59.42,196900
2022-04-01,59.98,62.03,59.45,61.77,350200
2022-04-04,62.33,62.52,61.85,62.22,221400
2022-04-05,62.22,62.41,62.03,62.11,69400
2022-04-06,62.03,63.6,60.95,63.34,296600
2022-04-07,63.08,63.08,62.22,62.22,89600
2022-04-08,60.39,62.07,60.39,61.36,145200
2022-04-12,61.32,62.41,61.02,61.02,111700
2022-04-13,61.06,61.66,60.61,61.1,132800
2022-04-14,61.25,62.41,60.39,62.37,100300
2022-04-15,62.03,63.83,62.03,63.0,220100
2022-04-18,62.93,64.65,62.78,63.53,779800
2022-04-19,63.53,63.9,62.03,63.12,319300
2022-04-20,63.12,64.61,62.41,64.28,322500
2022-04-21,63.57,64.2,62.37,63.42,501700
2022-04-22,63.38,67.79,59.01,63.64,373200
2022-04-25,63.23,63.23,59.19,59.19,258900
2022-04-26,56.43,63.27,56.43,63.15,440300
2022-04-27,60.61,63.15,60.61,63.15,146500
2022-04-28,61.7,62.41,60.99,61.66,43700
2022-04-29,61.44,62.03,59.79,60.58,161500
2022-05-04,59.72,61.29,59.72,61.1,75900
2022-05-05,61.1,63.3,60.24,63.3,112300
2022-05-06,62.03,63.27,61.66,62.59,155000
2022-05-09,61.02,62.41,59.79,59.83,186100
2022-05-10,58.78,61.66,58.67,61.62,147000
2022-05-11,61.58,61.77,60.54,61.1,159400
2022-05-12,61.1,62.26,60.5,61.62,239400
2022-05-13,61.29,61.66,57.51,60.8,331600
2022-05-16,59.42,60.5,57.74,58.97,99700
2022-05-17,57.47,61.85,57.18,61.85,172300
2022-05-18,60.54,60.84,59.42,60.35,155400
2022-05-19,58.3,60.87,58.3,60.87,138600
2022-05-20,59.16,60.05,58.3,58.48,166700
2022-05-23,58.52,59.04,57.55,57.59,96400
2022-05-24,57.59,57.92,57.18,57.55,178100
2022-05-25,57.55,58.15,57.21,57.55,196200
2022-05-26,57.55,58.18,56.99,57.18,227400
2022-05-27,57.21,57.81,57.06,57.55,228700
2022-05-30,57.55,57.89,57.06,57.32,140900
2022-05-31,57.32,57.81,56.76,57.36,170900
2022-06-01,57.03,57.74,57.03,57.21,359100
2022-06-02,57.21,57.55,57.03,57.18,114900
2022-06-03,57.18,58.6,57.18,58.0,258700
2022-06-06,57.92,59.38,57.92,59.23,221300
2022-06-07,59.01,59.75,58.63,59.75,137700
2022-06-08,59.75,60.61,59.01,59.68,198900
2022-06-09,59.68,59.72,58.67,58.67,111000
2022-06-10,58.67,59.16,58.48,58.93,76800
2022-06-13,57.92,57.92,56.69,57.18,151500
2022-06-14,56.8,56.95,55.9,56.05,196400
2022-06-15,56.8,57.06,56.05,56.8,116800
2022-06-16,56.99,59.04,56.99,58.45,156700
2022-06-17,57.14,58.67,56.43,58.3,150800
2022-06-20,57.18,57.81,56.61,56.8,52400
2022-06-21,57.36,59.04,55.68,57.92,182900
2022-06-22,58.93,58.93,57.55,58.3,135500
2022-06-23,56.65,57.89,56.65,57.32,23500
2022-06-24,56.88,58.22,56.88,58.15,84000
2022-06-27,58.3,58.63,57.92,58.6,99100
2022-06-28,58.6,58.78,57.1,58.71,69100
2022-06-29,58.71,58.71,57.36,57.55,39300
2022-06-30,57.55,58.3,57.55,57.77,24300
2022-07-01,58.18,58.18,56.99,57.51,61500
2022-07-04,57.55,57.92,56.99,57.36,20800
2022-07-05,57.85,57.89,56.35,56.35,151300
2022-07-06,56.35,57.18,56.05,57.03,60300
2022-07-07,57.14,58.37,56.58,58.37,52100
2022-07-08,57.14,58.41,57.14,57.96,91500
2022-07-11,57.4,57.96,57.18,57.96,54500
2022-07-12,57.1,57.92,57.1,57.4,25900
2022-07-13,57.25,58.22,57.25,57.4,41700
2022-07-14,57.18,57.92,57.18,57.89,22400
2022-07-15,57.55,57.66,57.03,57.55,38500
2022-07-18,57.29,57.62,57.25,57.62,12000
2022-07-19,57.74,58.63,57.25,58.6,139000
2022-07-20,58.86,59.72,58.6,59.72,107200
2022-07-21,59.79,62.03,59.79,61.66,223300
2022-07-22,61.29,62.74,60.16,62.03,196400
2022-07-25,62.03,62.03,60.91,61.66,130900
2022-07-26,60.54,62.78,60.54,62.67,165100
2022-07-27,62.71,62.71,61.96,62.67,116700
2022-07-28,63.23,65.4,63.23,64.65,233300
2022-07-29,65.55,68.95,65.55,67.26,170300
2022-08-01,68.01,68.76,67.38,68.39,214600
2022-08-02,68.01,70.22,68.01,70.18,230100
2022-08-03,69.51,71.38,69.06,70.96,240200
2022-08-04,70.25,71.11,67.26,69.13,292700
2022-08-05,68.05,71.0,67.86,68.24,219700
2022-08-08,68.54,70.25,66.89,67.64,147600
2022-08-09,68.76,68.76,67.34,67.34,138800
2022-08-10,68.01,68.01,66.82,68.01,135400
2022-08-11,68.31,69.02,67.26,68.01,198700
2022-08-12,67.83,68.2,67.49,68.01,109400
2022-08-15,68.01,69.88,67.68,69.51,242900
2022-08-16,70.03,70.44,69.54,70.25,192800
2022-08-17,70.25,70.52,68.76,70.44,200800
2022-08-18,70.4,73.95,69.54,72.31,330000
2022-08-19,71.41,73.28,71.41,72.87,104300
2022-08-22,73.02,73.02,71.82,72.5,87800
2022-08-23,72.31,72.87,71.0,71.0,89400
2022-08-24,71.0,71.86,69.69,69.88,123100
2022-08-25,69.92,72.05,69.81,70.07,61400
2022-08-26,69.99,70.44,68.87,70.25,91500
2022-08-29,68.57,70.96,68.57,70.25,106300
2022-08-30,70.44,70.63,69.81,70.22,57400
2022-08-31,70.18,70.4,69.32,70.22,126000
2022-09-05,70.22,70.29,69.54,70.25,105900
2022-09-06,70.25,71.26,70.18,70.48,103500
2022-09-07,70.48,70.63,69.25,70.25,128400
2022-09-08,70.63,72.16,70.25,71.64,168200
2022-09-09,71.94,73.06,71.64,72.42,226800
2022-09-12,72.42,73.92,72.42,72.87,228226
2022-09-13,72.87,73.51,71.38,71.38,164013
2022-09-14,71.0,71.0,68.76,68.76,237755
2022-09-15,68.95,70.25,68.39,69.25,200047
