time,open,high,low,close,volume
2025-07-17,33.78,33.97,33.49,33.54,16145107
2025-07-18,33.54,34.83,33.44,34.59,36581174
2025-07-21,34.63,34.83,33.73,33.82,23131485
2025-07-22,33.54,33.82,33.3,33.73,26986305
2025-07-23,33.78,33.82,33.3,33.39,27881338
2025-07-24,33.44,33.97,33.35,33.44,19287752
2025-07-25,33.49,33.59,33.35,33.59,18905823
2025-07-28,33.63,34.21,33.59,33.97,30590560
2025-07-29,34.11,34.11,32.35,32.35,45021213
2025-07-30,32.58,33.01,32.15,32.92,30557263
2025-07-31,33.01,33.39,32.25,32.44,26770167
2025-08-01,32.58,33.11,32.49,32.54,20626836
2025-08-04,32.54,33.73,32.44,33.73,23105622
2025-08-05,34.16,36.07,34.16,35.3,92397928
2025-08-06,36.26,37.21,35.49,36.45,30387518
2025-08-07,36.73,37.12,36.07,36.64,30092009
2025-08-08,36.97,36.97,35.68,36.11,31025359
2025-08-11,36.21,36.69,35.88,36.02,24618617
2025-08-12,36.07,36.26,35.49,35.97,22640841
2025-08-13,36.07,36.26,35.21,35.78,27558059
2025-08-14,36.02,37.4,36.02,36.64,38023550
2025-08-15,37.12,37.16,35.88,35.88,31174937
2025-08-18,36.45,36.88,35.92,36.21,21703425
2025-08-19,36.5,37.64,36.35,37.4,37501447
2025-08-20,38.59,39.02,37.12,38.64,52955208
2025-08-21,39.41,40.55,39.12,39.64,37592639
2025-08-22,38.64,39.21,36.88,37.21,53141860
2025-08-25,37.74,37.83,35.59,35.83,39336013
2025-08-26,36.26,37.59,35.26,37.55,29562665
2025-08-27,37.69,38.83,37.12,37.16,25063192
2025-08-28,37.78,37.78,37.02,37.78,18631561
2025-08-29,38.26,38.4,37.78,37.78,23193029
2025-09-03,38.21,38.26,37.64,37.78,13499066
2025-09-04,37.78,38.12,37.59,37.78,16828140
2025-09-05,38.12,39.07,37.69,37.69,35400391
2025-09-08,37.69,37.78,36.26,36.26,31863748
2025-09-09,36.78,36.88,36.11,36.73,27395213
2025-09-10,37.45,37.97,36.83,37.21,25918843
2025-09-11,37.12,37.21,35.97,36.92,20453095
2025-09-12,37.26,37.31,36.73,36.83,18395119
2025-09-15,36.78,37.21,36.78,37.21,16491748
2025-09-16,37.83,38.26,37.45,37.55,30150810
2025-09-17,37.55,37.64,36.73,36.92,15633635
2025-09-18,36.92,37.02,36.45,37.02,13637962
2025-09-19,37.02,37.02,36.35,36.64,10820852
2025-09-22,36.54,36.64,35.59,35.78,21470700
2025-09-23,35.83,36.26,35.78,35.78,8099324
2025-09-24,35.78,37.02,35.45,37.02,14160637
2025-09-25,37.02,37.16,36.78,37.12,11882519
2025-09-26,37.12,37.16,36.64,36.92,11443853
2025-09-29,36.83,37.02,36.64,36.97,10128204
2025-09-30,37.27,37.27,36.73,37.07,11114873
2025-10-01,37.07,37.8,37.02,37.76,13233528
2025-10-02,38.05,38.39,37.61,38.05,16271259
2025-10-03,37.76,37.85,37.27,37.56,11278752
2025-10-06,38.15,38.59,37.71,38.59,23162226
2025-10-07,39.18,39.18,38.15,38.2,11823096
2025-10-08,38.44,38.59,37.66,37.8,20612358
2025-10-09,37.8,38.29,37.76,38.15,18777780
2025-10-10,38.29,39.08,38.2,38.54,20325968
2025-10-13,38.49,40.65,38.44,40.45,43341686
2025-10-14,40.89,41.13,39.71,39.96,25946530
2025-10-15,40.16,40.5,39.71,39.96,13334527
2025-10-16,40.35,40.4,39.96,40.4,20248523
2025-10-17,40.79,40.79,39.62,39.81,18702266
2025-10-20,39.81,39.81,37.07,37.07,30067234
2025-10-21,37.32,37.66,35.75,36.87,28599977
2025-10-22,37.32,37.36,35.65,37.22,15715870
2025-10-23,37.27,37.27,36.04,36.48,15631179
2025-10-24,36.24,36.24,35.31,35.36,23412897
2025-10-27,35.55,35.75,34.33,34.33,15929740
2025-10-28,34.33,35.65,33.3,35.26,26154486
2025-10-29,35.16,36.14,34.92,35.65,13124454
2025-10-30,35.75,35.85,34.87,34.96,10519850
2025-10-31,34.96,35.45,34.38,34.38,12263970
2025-11-03,34.38,34.77,32.91,32.91,16755958
2025-11-04,32.91,34.47,32.76,34.28,16075027
2025-11-05,34.18,34.18,33.35,33.4,11262968
2025-11-06,33.45,33.79,32.81,32.91,13691729
