time,open,high,low,close,volume
2025-07-17,55.77,56.05,55.31,55.59,6363587
2025-07-18,55.59,56.51,55.5,55.68,5833240
2025-07-21,55.77,56.24,55.5,55.5,5509591
2025-07-22,55.5,55.68,55.03,55.68,4741106
2025-07-23,55.87,57.07,55.68,57.07,9237999
2025-07-24,57.44,59.19,57.44,58.92,13435605
2025-07-25,59.01,59.01,58.36,58.45,5132723
2025-07-28,58.55,59.1,58.27,58.55,8472643
2025-07-29,58.55,59.38,58.08,58.45,10723928
2025-07-30,58.27,58.73,58.08,58.18,6086980
2025-07-31,58.27,58.73,55.87,56.61,10582428
2025-08-01,56.79,56.79,55.5,55.5,5339082
2025-08-04,55.31,56.24,55.31,55.87,3752196
2025-08-05,55.96,56.88,55.5,55.59,9574374
2025-08-06,55.87,57.07,55.87,56.7,5382357
2025-08-07,57.25,57.35,56.24,56.33,4748027
2025-08-08,56.42,57.16,56.05,56.24,6510574
2025-08-11,56.42,57.44,56.33,56.88,5795341
2025-08-12,57.44,57.72,56.79,57.16,5217050
2025-08-13,57.35,57.44,56.24,56.51,6218119
2025-08-14,56.7,57.53,56.42,57.07,6541163
2025-08-15,57.35,57.53,56.42,56.42,5667842
2025-08-18,56.51,56.7,56.05,56.14,4783737
2025-08-19,56.24,56.61,55.87,55.96,5264209
2025-08-20,55.96,56.33,55.13,55.5,6346136
2025-08-21,55.59,56.33,55.13,55.59,5816129
2025-08-22,55.31,55.4,54.11,54.29,7210343
2025-08-25,54.48,55.13,54.29,54.29,3365985
2025-08-26,54.2,55.59,54.11,55.22,2994293
2025-08-27,55.22,56.61,55.03,55.96,4854223
2025-08-28,56.42,56.88,56.14,56.42,3666449
2025-08-29,56.7,56.7,55.77,55.77,4172198
2025-09-03,55.77,56.88,55.77,56.88,4773459
2025-09-04,57.07,57.81,56.88,57.16,4233882
2025-09-05,57.25,57.35,56.33,56.33,5364137
2025-09-08,56.33,57.25,56.05,56.05,6965675
2025-09-09,56.05,56.42,55.59,55.77,3522635
2025-09-10,55.96,56.05,55.22,55.31,3127098
2025-09-11,55.31,56.61,54.94,56.61,5005742
2025-09-12,56.7,58.73,56.42,58.45,13687337
2025-09-15,58.64,58.73,58.08,58.36,3536437
2025-09-16,58.73,60.49,58.45,59.84,12690318
2025-09-17,59.93,61.23,59.93,60.21,9878719
2025-09-18,60.21,60.4,58.73,58.82,5070426
