item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,2378121710833.0,3249517389758.0,4217517644910.0,3979369447153.0,5617907775211.0,5566536029038.0,5114262229085.0,4974037160426.0,4556885712745.0,4344553691137.0,4205633058730.0,4451050828524.0,5279713527496.0,5467617108516.0,5461324349888.0,5336715803039.0,5562193645295.0,5808222903667.0,6138746931264.0,5623485000285.0,5674658316737.0,6040107176096.0,5858655780805.0,5688336332807.0,5504717598034.0,6152632538191.0,6956714508528.0,6426369244563.0,4793960251895.0,4553020197155.0,4377037083396.0,4532817492410.0,4335814072315.0,4651251445433.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,427747817583.0,610736511767.0,655415995968.0,645474843425.0,482425462169.0,271392032211.0,232025439569.0,349695680985.0,288449896598.0,267894557509.0,238982685166.0,963717122052.0,967769374300.0,2214209755238.0,1439605995924.0,1987170712682.0,1549911273413.0,1020615568519.0,1353251366894.0,1655456757815.0,1827056484454.0,1367496215370.0,1689712971535.0,2435058282465.0,2017366509375.0,2188093990715.0,1945532019980.0,2419517905105.0,2106077190958.0,1706426051965.0,1741373916584.0,1617746098453.0,1402459989393.0,1724065463081.0
Tiền,Cash,cash,206316955286.0,147454987221.0,375694890078.0,217635249378.0,96165962169.0,168132532211.0,179565939569.0,253370201535.0,196124417148.0,261774557509.0,166862685166.0,237314356418.0,769426793948.0,1546205947900.0,488543102493.0,1156983447299.0,764751240596.0,614486674102.0,430946820678.0,1228607395155.0,818393822551.0,835167070334.0,530363586171.0,1298774919813.0,1179220359882.0,1798577637770.0,1371065829965.0,1652054574062.0,1186702135745.0,1401945910785.0,1190600193593.0,1182944211529.0,1052669873484.0,1390163089905.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,221430862297.0,463281524546.0,279721105890.0,427839594047.0,386259500000.0,103259500000.0,52459500000.0,96325479450.0,92325479450.0,6120000000.0,72120000000.0,726402765634.0,198342580352.0,668003807338.0,951062893431.0,830187265383.0,785160032817.0,406128894417.0,922304546216.0,426849362660.0,1008662661903.0,532329145036.0,1159349385364.0,1136283362652.0,838146149493.0,389516352945.0,574466190015.0,767463331043.0,919375055213.0,304480141180.0,550773722991.0,434801886924.0,349790115909.0,333902373176.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,30000000000.0,406539699602.0,436539699602.0,710906460274.0,733640155312.0,1096424484079.0,1111500237504.0,1193801102192.0,840336028767.0,727670657534.0,720904657534.0,713600000000.0,176256000000.0,11156000000.0,11156000000.0,436156000000.0,461156000000.0,461156000000.0,436156000000.0,436156000000.0,697156000000.0,1506625000000.0,1391367436000.0,1079609986000.0,197451050000.0,1318382250000.0,1346697394178.0,718639358712.0,166190744500.0,229407600000.0,186400000000.0,234400000000.0,481531815029.0,149740295976.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59670020000.0,0.0,0.0,0.0,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4091400000.0,4091400000.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,1101805581424.0,1216552465560.0,1374378419590.0,1612785115376.0,2723205105051.0,2903327855891.0,2631685076927.0,2076686547123.0,2157057260454.0,2316599745175.0,2218744590601.0,1669170204812.0,2784501446413.0,1918577752695.0,2804651300757.0,1810385030365.0,2348160848783.0,2213600227647.0,1953273833748.0,1551890327952.0,1848856141722.0,1379548589695.0,1922463914793.0,1232500178273.0,2530441102546.0,1585450329064.0,2303218872955.0,1801012289922.0,1551510885796.0,1475454681315.0,1531251902335.0,1504656772541.0,1404419025775.0,1269256909629.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,437959599034.0,544194091851.0,713908127831.0,691606956768.0,1219404505224.0,1302033537210.0,1284305622820.0,726708560260.0,633047579956.0,535576590386.0,609274386512.0,593031603446.0,850064917574.0,968363302029.0,1180538570311.0,1147548031943.0,1344951190371.0,1532331449862.0,1100289229236.0,1000211108549.0,1086037156273.0,875229090628.0,1188993991681.0,712706976629.0,938088396293.0,775410413333.0,1206714670220.0,1205499960149.0,712646338717.0,844294048544.0,841482567336.0,703466021715.0,797220968234.0,840788712728.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,400771559209.0,303432089790.0,330077646355.0,531565397491.0,732797553503.0,912663107595.0,892272466349.0,633032388359.0,666946499238.0,678970729014.0,638543291761.0,790942957319.0,697254117869.0,702975473222.0,890965927240.0,372650796035.0,663295939185.0,294306624209.0,330166643975.0,256752902117.0,283889830619.0,329637197645.0,317819969095.0,343902777299.0,698841814064.0,655264859253.0,740033832744.0,548902941301.0,757805242346.0,568507483830.0,486392463050.0,399960128545.0,555130579871.0,334470551905.0
