item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,1298291954567.0,2321958210748.0,2188614583530.0,2209962396990.0,2616643195140.0,2438667426222.0,2367421386693.0,1837237323176.0,1573567523917.0,1813708066994.0,1929838085125.0,2121135981877.0,2284373757361.0,3269796291844.0,3409264544303.0,4201845098822.0,4027853795475.0,4578733575653.0,3291406943915.0,3415845425613.0,3617596915511.0,2792257990090.0,3531352090707.0,2687154224910.0,2964878299224.0,2784044828229.0,3194720984754.0,3844069138022.0,3857615161473.0,2310908388011.0,2371755171900.0,2193500753373.0,2224691826619.0,2456802584596.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-333284102.0,-3776658553.0,-2106916397.0,-1037673394.0,-4306411839.0,-8633028459.0,-3238652136.0,-4000354301.0,-1220192091.0,-3112083642.0,-2681072633.0,-2679294503.0,-756449265.0,-5050435836.0,-2084430427.0,-3008748801.0,-169397008.0,-3873387481.0,-11072289994.0,-9286091326.0,-883996058.0,-944663741.0,-2273196017.0,-2575473135.0,-1046971601.0,-1564742697.0,-1321449422.0,-1549525461.0,-1207059582.0,-934120348.0,-2281266294.0,-1209627682.0,-626428698.0,38242100.0
Doanh thu thuần,Net sales,net_sales,1297958670465.0,2318181552195.0,2186507667133.0,2208924723596.0,2612336783301.0,2430034397763.0,2364182734557.0,1833236968875.0,1572347331826.0,1810595983352.0,1927157012492.0,2118456687374.0,2283617308096.0,3264745856008.0,3407180113876.0,4198836350021.0,4027684398467.0,4574860188172.0,3280334653921.0,3406559334287.0,3616712919453.0,2791313326349.0,3529078894690.0,2684578751775.0,2963831327623.0,2782480085532.0,3193399535332.0,3842519612561.0,3856408101891.0,2309974267663.0,2369473905606.0,2192291125691.0,2224065397921.0,2456840826696.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-1150432871108.0,-2148078103742.0,-2028667698513.0,-2011457866835.0,-2237684096383.0,-2138619937880.0,-2164606410027.0,-1656741060921.0,-1393581779831.0,-1627230324269.0,-1719945872561.0,-1910863817019.0,-2044520172452.0,-2900720665515.0,-3089423538078.0,-3818147546774.0,-3634008629551.0,-4231027690855.0,-2972146306598.0,-3372303457270.0,-3370542435514.0,-2556304153355.0,-3209329498857.0,-2375451450167.0,-2632000466517.0,-2424146450534.0,-2848063506913.0,-3393914630919.0,-3392693587392.0,-1955834761206.0,-2021865541668.0,-1864920072236.0,-1864254853975.0,-2096855653291.0
Lợi nhuận gộp,Gross Profit,gross_profit,147525799357.0,170103448453.0,157839968620.0,197466856761.0,374652686918.0,291414459883.0,199576324530.0,176495907954.0,178765551995.0,183365659083.0,207211139931.0,207592870355.0,239097135644.0,364025190493.0,317756575798.0,380688803247.0,393675768916.0,343832497317.0,308188347323.0,34255877017.0,246170483939.0,235009172994.0,319749395833.0,309127301608.0,331830861106.0,358333634998.0,345336028419.0,448604981642.0,463714514499.0,354139506457.0,347608363938.0,327371053455.0,359810543946.0,359985173405.0
Doanh thu hoạt động tài chính,Financial income,financial_income,7085646051.0,11991921482.0,21541918835.0,20898115374.0,52666033396.0,40394208201.0,42473731933.0,44141482621.0,36043002254.0,49809253203.0,44835095737.0,37983730931.0,45537795466.0,50031313543.0,55774446901.0,78107573142.0,31625143230.0,62151890682.0,43749317209.0,76956511432.0,47003239324.0,61416035204.0,63082764650.0,67921370313.0,47863280080.0,98092361110.0,33516838128.0,91249831608.0,37647668844.0,73338932159.0,27050269621.0,34876814680.0,27381821442.0,29552286004.0
Chi phí tài chính,Financial expenses,financial_expenses,-25591419044.0,-60387322612.0,-55395778502.0,-67212717328.0,-62767516140.0,-82288903731.0,-58484445893.0,-62238460705.0,-56993723826.0,-66895670460.0,-53099248518.0,-51588379475.0,-42748982353.0,-54678764618.0,-42326671031.0,-59979045743.0,-50899286147.0,-59187504578.0,-61887618795.0,-85428295752.0,-56006994655.0,-59379004371.0,-52837104055.0,-67250781564.0,-39801387126.0,-53929325111.0,-38092712972.0,-68898239666.0,-162271190177.0,-585294140.0,-27956912451.0,-41039314130.0,-36781588437.0,-51701666601.0
Chi phí lãi vay,Interest expenses,interest_expenses,-23245616132.0,-45754572288.0,-41475666353.0,-40295506565.0,-45933094039.0,-70292067113.0,-53172638656.0,-49945222265.0,-50524146818.0,-53578102302.0,-49063026634.0,-48081193362.0,-37769042726.0,-44492122484.0,-32749759815.0,-36654735524.0,-39865290941.0,-35891150019.0,-40362653734.0,-57560677981.0,-45134977429.0,-46607049754.0,-46635327606.0,-48476740408.0,-35048921226.0,-40781649677.0,-33905226424.0,-49789576625.0,-37860213792.0,-36639398614.0,-24230118284.0,-35103755924.0,-30230433432.0,-46710093580.0
Chi phí bán hàng,Selling expenses,selling_expenses,-31202480069.0,-34097236248.0,-39008660761.0,-52254432906.0,-67805674204.0,-53853853069.0,-57806654702.0,-37062485062.0,-58328519747.0,-56663819282.0,-55642770831.0,-85209410170.0,-102440067463.0,-184330649064.0,-198261662585.0,-253505725452.0,-213685606963.0,-178910187534.0,-140819634222.0,-129385434583.0,-109390083352.0,-118984474113.0,-146527042033.0,-135967900119.0,-123010462870.0,-173233226618.0,-191007387234.0,-229528379756.0,-181532495943.0,-127033790183.0,-114912469964.0,-118503859055.0,-108100737535.0,-146028228924.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-26960451660.0,-29223348585.0,-30300036149.0,-37134475802.0,-31228010006.0,-34954472795.0,-40543930057.0,-42294385350.0,-37858614966.0,-34233723263.0,-42383700043.0,-52489854638.0,-38157791391.0,-51778894990.0,-46724789099.0,-58090081859.0,-54852980342.0,-60039573317.0,-58132125521.0,-74282129130.0,-66043720520.0,-59741058059.0,-71930869436.0,-89321724866.0,-73583410041.0,-76353933733.0,-183779758052.0,-46666193570.0,-98239252481.0,-100544492227.0,-93375443002.0,-86579529165.0,-83964610049.0,-89328505515.0
