item,item_en,item_id,2026-Q2,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3
"Tiền mặt, vàng bạc, đá quý",Cash and precious metals,cash_and_precious_metals,6151699000000.0,8157465000000.0,8624548000000.0,6785568000000.0,6666091000000.0,5857654000000.0,5696449000000.0,5870526000000.0
Tài sản cố định,Fixed assets,fixed_assets,5698923000000.0,5750831000000.0,5438550000000.0,5400704000000.0,5396553000000.0,5311943000000.0,5412370000000.0,4642986000000.0
Tài sản cố định hữu hình,Tangible fixed assets,tangible_fixed_assets,3410641000000.0,3442963000000.0,3200487000000.0,3209383000000.0,3223395000000.0,3148991000000.0,3222198000000.0,3084190000000.0
Nguyên giá TSCĐ hữu hình,Cost,cost,7212349000000.0,7151649000000.0,6806108000000.0,6719862000000.0,6683909000000.0,6522507000000.0,6504276000000.0,6280285000000.0
Hao mòn TSCĐ hữu hình,Accumulated depreciation,accumulated_depreciation,-3801708000000.0,-3708686000000.0,-3605621000000.0,-3510479000000.0,-3460514000000.0,-3373516000000.0,-3282078000000.0,-3196095000000.0
Tài sản cố định thuê tài chính,Finance leased assets,finance_leased_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nguyên giá TSCĐ thuê tài chính,Cost,cost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hao mòn TSCĐ thuê tài chính,Accumulated depreciation,accumulated_depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tài sản cố định vô hình,Intangible fixed assets,intangible_fixed_assets,2288282000000.0,2307868000000.0,2238063000000.0,2191321000000.0,2173158000000.0,2162952000000.0,2190172000000.0,1558796000000.0
Nguyên giá TSCĐ vô hình,Cost,cost,3234167000000.0,3219387000000.0,3117527000000.0,3040154000000.0,2991718000000.0,2950921000000.0,2950265000000.0,2285219000000.0
Hao mòn TSCĐ vô hình,Accumulated amortization,accumulated_amortization,-945885000000.0,-911519000000.0,-879464000000.0,-848833000000.0,-818560000000.0,-787969000000.0,-760093000000.0,-726423000000.0
Bất động sản đầu tư,Investment properties,investment_properties,171692000000.0,157678000000.0,149673000000.0,103544000000.0,62310000000.0,177005000000.0,177005000000.0,177005000000.0
Nguyên giá bất động sản đầu tư,Historical cost,historical_cost,171755000000.0,157718000000.0,149692000000.0,103544000000.0,62310000000.0,177005000000.0,177005000000.0,177005000000.0
Hao mòn bất động sản đầu tư,Accumulated depreciation,accumulated_depreciation,-63000000.0,-40000000.0,-19000000.0,0.0,0.0,0.0,0.0,0.0
"Góp vốn, đầu tư dài hạn",Investment in other entities and long term investments,investment_in_other_entities_and_long_term_investments,74311000000.0,74311000000.0,74699000000.0,126774000000.0,124885000000.0,126773000000.0,124935000000.0,127425000000.0
Đầu tư vào công ty con,Investment in subsidiaries,investment_in_subsidiaries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Đầu tư vào công ty liên doanh,Investment in associate companies,investment_in_associate_companies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
