item,item_en,item_id,2026-Q2,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3
Tổng lợi nhuận/lỗ trước thuế,Net Accounting Profit/(loss) before tax,net_accounting_profit_loss_before_tax,5366901000000.0,5368138000000.0,3467027000000.0,5381796000000.0,6093345000000.0,4596608000000.0,5671271000000.0,4844044000000.0
Chi phí thuế TNDN hiện hành,Business income tax - current,business_income_tax_current,-1076615000000.0,-1073956000000.0,-663269000000.0,-1081502000000.0,-1210700000000.0,-958551000000.0,-1086127000000.0,-971306000000.0
Chi phí thuế TNDN hoãn lại,Business income tax - deferred,business_income_tax_deferred,2192000000.0,26206000000.0,-19073000000.0,-19705000000.0,-1486000000.0,40209000000.0,-39780000000.0,-2343000000.0
Chi phí thuế thu nhập doanh nghiệp,Business income tax expenses,business_income_tax_expenses,-1074423000000.0,-1047750000000.0,-682342000000.0,-1101207000000.0,-1212186000000.0,-918342000000.0,-1125907000000.0,-973649000000.0
Lợi nhuận sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,4292478000000.0,4320388000000.0,2784685000000.0,4280589000000.0,4881159000000.0,3678266000000.0,4545364000000.0,3870395000000.0
Lợi ích của cổ đông thiểu số,Minority interest,minority_interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,4292478000000.0,4320388000000.0,2784685000000.0,4280589000000.0,4881159000000.0,3678266000000.0,4545364000000.0,3870395000000.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,0.0,0.0,542.0,0.0,0.0,0.0,1017.0,0.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu nhập lãi và các khoản thu nhập tương tự,Interest and Similar Income,interest_and_similar_income,20080123000000.0,17220377000000.0,16080424000000.0,15049404000000.0,14298695000000.0,13327306000000.0,13518376000000.0,12922067000000.0
Chi phí lãi và các chi phí tương tự,Interest and Similar Expenses,interest_and_similar_expenses,-12295432000000.0,-10231215000000.0,-8987152000000.0,-8279694000000.0,-7614847000000.0,-6968441000000.0,-6438085000000.0,-6040680000000.0
Thu nhập lãi thuần,Net Interest Income,net_interest_income,7784691000000.0,6989162000000.0,7093272000000.0,6769710000000.0,6683848000000.0,6358865000000.0,7080291000000.0,6881387000000.0
Thu nhập từ dịch vụ,Fees and Commission Income,fees_and_commission_income,1273026000000.0,1451747000000.0,1381930000000.0,1317755000000.0,1102158000000.0,1394280000000.0,1435715000000.0,1325822000000.0
Chi phí dịch vụ,Fees and Commission Expenses,fees_and_commission_expenses,-447593000000.0,-458837000000.0,-487659000000.0,-522330000000.0,-517427000000.0,-521967000000.0,-566890000000.0,-578633000000.0
Lãi/Lỗ thuần từ hoạt động dịch vụ,Net Fee and Commission Income,net_fee_and_commission_income,825433000000.0,992910000000.0,894271000000.0,795425000000.0,584731000000.0,872313000000.0,868825000000.0,747189000000.0
Lãi/(lỗ) thuần từ hoạt động kinh doanh ngoại hối và vàng,Net gain/(loss) from foreign currency and gold dealings,net_gain_loss_from_foreign_currency_and_gold_dealings,293011000000.0,482922000000.0,137141000000.0,449150000000.0,670005000000.0,475590000000.0,344167000000.0,166635000000.0
Lãi/(lỗ) thuần từ mua bán chứng khoán kinh doanh,Net gain/(loss) from trading of trading securities,net_gain_loss_from_trading_of_trading_securities,41335000000.0,185563000000.0,46561000000.0,367366000000.0,36590000000.0,23799000000.0,-26090000000.0,71287000000.0
Lãi/(lỗ) thuần từ mua bán chứng khoán đầu tư,Net gain/(loss) from disposal of investment securities,net_gain_loss_from_disposal_of_investment_securities,-21303000000.0,-593000000.0,-47782000000.0,-30000000.0,446091000000.0,-1495000000.0,213050000000.0,47199000000.0
Thu nhập khác,Other Income,other_income,380748000000.0,329164000000.0,410156000000.0,370657000000.0,1163413000000.0,284468000000.0,419472000000.0,259065000000.0
Chi phí khác,Other Expenses,other_expenses,-204057000000.0,-99480000000.0,-366714000000.0,-385920000000.0,-350690000000.0,-102083000000.0,-346882000000.0,-56305000000.0
Lãi/(lỗ) thuần từ hoạt động khác,Net Other income/expenses,net_other_income_expenses,176691000000.0,229684000000.0,43442000000.0,-15263000000.0,812723000000.0,182385000000.0,72590000000.0,202760000000.0
Thu nhập từ cổ tức,Dividends Income,dividends_income,43042000000.0,25017000000.0,39141000000.0,18307000000.0,58556000000.0,3171000000.0,5463000000.0,19544000000.0
Tổng thu nhập hoạt động,Total Operating Income,total_operating_income,9142900000000.0,8904665000000.0,8206046000000.0,8384665000000.0,9292544000000.0,7914628000000.0,8558296000000.0,8136001000000.0
Chi phí quản lý doanh nghiệp,General and Admin Expenses,general_and_admin_expenses,-2715827000000.0,-2850503000000.0,-2782374000000.0,-2713933000000.0,-2736160000000.0,-2691892000000.0,-2739350000000.0,-2933714000000.0
Lợi nhuận thuần hoạt động trước khi trích lập dự phòng tổn thất tín dụng,Net Operating Profit Before Allowance for Credit Loss,net_operating_profit_before_allowance_for_credit_loss,6427073000000.0,6054162000000.0,5423672000000.0,5670732000000.0,6556384000000.0,5222736000000.0,5818946000000.0,5202287000000.0
Trích lập dự phòng tổn thất tín dụng,Provision for Credit Losses,provision_for_credit_losses,-1060172000000.0,-686024000000.0,-1956645000000.0,-288936000000.0,-463039000000.0,-626128000000.0,-147675000000.0,-358243000000.0
