item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4
Năm,,year,2018,2018,2018,2018
Quý,,quarter,1,2,3,4
Mã TTM,Ratio TTM Id,ratioTTMId,2699044,2713885,2716042,2717192
Loại tỷ lệ,Ratio Type,ratioType,RATIO_TTM,RATIO_TTM,RATIO_TTM,RATIO_TTM
Số CP lưu hành (triệu),Outstanding Shares (mil),outstanding_shares,1084491417,1247165130,1247165130,1247165130
Vốn hóa,Market Cap,market_cap,36872708178000.0,36916087848000.0,36417221796000.0,37414953900000.0
Tỷ suất cổ tức (%),Dividend Yield (%),dividend_yield,0.0,0.0,0.0,0.0
P/E,P/E,pe_ratio,13.2423620721,10.2532840556,8.346752165,7.525255925
P/B,P/B,pb_ratio,2.0334449499,2.0151965772,1.8657522074,1.7801471926
P/S,P/S,ps_ratio,3.0558198674,2.9541347463,2.7337157571,2.6661742558
Giá/ Dòng tiền,Price/Cash Flow,price_to_cash_flow,2.5701779429,3.4575784501,2.3964264012,3.2471277831
EV/EBITDA,EV/EBITDA,ev_to_ebitda,0.0,0.0,0.0,0.0
Hệ số thanh toán tiền,Cash Ratio,cash_ratio,0.0,0.0,0.0,0.0
Hệ số thanh toán nhanh,Quick Ratio,quick_ratio,0.0,0.0,0.0,0.0
Hệ số thanh toán hiện hành,Current Ratio,current_ratio,0.0,0.0,0.0,0.0
Vốn chủ sở hữu,Owners Equity,owners_equity,0.0,0.0,0.0,0.0
Nợ/Vốn chủ,Debt/Equity,debtPerEquity,0.0,0.0,0.0,0.0
Nợ trên vốn chủ,Debt to Equity,debt_to_equity,16.4565199572,15.9207168659,15.0244538237,14.6691799214
ROE (%),ROE (%),roe,0.175354782,0.215109602,0.2456468506,0.2773131377
ROA (%),ROA (%),roa,0.009942003,0.0123682717,0.0144601155,0.0167426296
Số ngày phải thu,Days Sales Outstanding,days_sales_outstanding,0.0,0.0,0.0,0.0
Số ngày tồn kho,Days Inventory Outstanding,days_inventory_outstanding,0.0,0.0,0.0,0.0
Số ngày phải trả,Days Payable Outstanding,days_payable_outstanding,0.0,0.0,0.0,0.0
Biên LN gộp (%),Gross Margin (%),gross_margin,0.467706989,0.52728619,0.5376816142,0.521690172
Biên EBIT (%),EBIT Margin (%),ebit_margin,0.0,0.0,0.0,0.0
Biên LN trước thuế (%),Pre-tax Profit Margin (%),pre_tax_profit_margin,0.2943304989,0.3637080497,0.4075011767,0.4552469469
Biên LN sau thuế (%),After-tax Profit Margin (%),net_margin,0.2307609369,0.2881159578,0.327518502,0.3660642167
Vòng quay tài sản,Asset Turnover,asset_turnover,0.0,0.0,0.0,0.0
Biên lãi thuần,Net Interest Margin,net_interest_margin,0.0335252399,0.0339189352,0.0341375538,0.0356206695
Lãi suất bình quân tài sản sinh lãi,Avg Yield on Earning Assets,avg_yield_on_earning_assets,0.0798752274,0.0796799517,0.0796257343,0.0825484779
Chi phí vốn bình quân,Avg Cost of Financing,avg_cost_of_financing,0.0,0.0,0.0,-0.0480074325
Thu nhập ngoài lãi,Non-interest Income,non_interest_income,0.3899168539,0.284845808,0.3065714019,0.3516279195
Tỷ lệ CIR,Cost/Income Ratio,cost_to_income_ratio,-0.5083535753,-0.3846529456,-0.4523828867,-0.478309828
Tăng trưởng cho vay (%),Loans Growth (%),loans_growth,0.066554541,0.048144927,-0.0041548776,0.1612678387
Tăng trưởng tiền gửi (%),Deposit Growth (%),deposit_growth,0.0698438842,0.0369743708,0.0006489322,0.1185021068
Vốn chủ/Tổng nợ,Equity/Total Liabilities,equity_to_liabilities,0.0607661889,0.062811242,0.0665581599,0.0681701367
Vốn chủ/Cho vay,Equity/Loans,equity_to_loans,0.0811510096,0.0825689867,0.0883445469,0.0911731769
Vốn chủ/Tổng tài sản,Equity/Total Assets,equity_to_assets,0.0572851864,0.0590991509,0.062404623,0.0638195493
LDR (%),LDR (%),ldr,0.8196246366,0.8284538452,0.8244766914,0.8538092524
Nợ xấu (%),NPL (%),npl,0.0069820512,0.0078301264,0.0083717676,0.0072658578
DP rủi ro/Nợ xấu,Loan Loss Reserves/NPLs,loan_loss_reserves_to_npls,-1.3465074941,-1.3079430647,-1.2954997505,-1.5189286068
DP rủi ro/Cho vay,Loan Loss Reserve/Loans,loan_loss_reserve_to_loans,0.0094013843,0.0102413595,0.0108456228,0.0110363193
Trích lập DP/Cho vay,Provision/Outstanding Loans,provision_to_outstanding_loans,-0.0107802073,-0.0100145424,-0.0081328814,-0.0043464929
EBIT,EBIT,ebit,0.0,0.0,0.0,0.0
EBITDA,EBITDA,ebitda,0.0,0.0,0.0,0.0
ROIC,ROIC,roic,0.0,0.0,0.0,0.0
Chu kỳ tiền,Cash Cycle,cash_cycle,0.0,0.0,0.0,0.0
Vòng quay TS cố định,Fixed Asset Turnover,fixed_asset_turnover,0.0,0.0,0.0,0.0
Đòn bẩy tài chính,Financial Leverage,financial_leverage,0.0,0.0,0.0,0.0
CIR,CIR,cir,-0.5083535753,-0.3846529456,-0.4523828867,-0.478309828
CAR,CAR,car,0.0,0.0,0.0,0.0
Vốn chủ sở hữu,Equity,equity,,,,
Tỷ lệ CASA,CASA Ratio,casa_ratio,0.1620961274,0.1608178498,0.159698964,0.1746815574
Mã năm tỷ lệ,Ratio Year Id,ratioYearId,,,,
