item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,28194368205995.0,29095195745407.0,31307645022804.0,31669965548636.0,33470647724967.0,36526005674267.0,38476919720405.0,38496246376953.0,38359635000512.0,38959757323452.0,38909868500268.0,37992980002800.0,37788891423941.0,38104296585210.0,37713884560576.0,37278054596323.0,36774806504879.0,38291703340795.0,40191648624274.0,40220624743255.0,39475439112096.0,40551051586787.0,42737796482181.0,42748035062443.0,41684351566770.0,41651658339701.0,42552451820128.0,40695103265507.0,37256662520953.0,35488961605770.0,33607165721749.0,26969519033122.0,25557925298179.0,23922475886424.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,1303000160302.0,1397612411236.0,1163713612456.0,638390855963.0,1064312721853.0,821139149453.0,676416203409.0,349743566423.0,478732033829.0,457544984248.0,583888714476.0,498768321787.0,578794211889.0,525070240695.0,765884098008.0,572833249811.0,746927922217.0,621233764687.0,1461095363865.0,2496515921701.0,1508281502464.0,1693494522764.0,4213746905334.0,2843713782836.0,2624026053906.0,3191909654380.0,4545580703262.0,6306598160799.0,3024831215221.0,3834751024817.0,4721657021955.0,4240105377144.0,5871629275112.0,4921574087798.0
Tiền,Cash,cash,1303000160302.0,1397612411236.0,663713612456.0,628390855963.0,1037312721853.0,821139149453.0,676416203409.0,343743566423.0,478732033829.0,446044984248.0,583888714476.0,498768321787.0,578794211889.0,523070240695.0,760584098008.0,572833249811.0,746927922217.0,619233764687.0,1461095363865.0,894515921701.0,1508281502464.0,1693494522764.0,2103746905334.0,2343713782836.0,2606026053906.0,3191909654380.0,3540580703262.0,4475598160799.0,3011231215221.0,3834751024817.0,4621657021955.0,3898105377144.0,5020629275112.0,4521574087798.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,0.0,0.0,500000000000.0,10000000000.0,27000000000.0,0.0,0.0,6000000000.0,0.0,11500000000.0,0.0,0.0,0.0,2000000000.0,5300000000.0,0.0,0.0,2000000000.0,0.0,1602000000000.0,0.0,0.0,2110000000000.0,500000000000.0,18000000000.0,0.0,1005000000000.0,1831000000000.0,13600000000.0,0.0,100000000000.0,342000000000.0,851000000000.0,400000000000.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,18823400000000.0,21300900000000.0,23563900000000.0,23730400000000.0,25164000000000.0,28272500000000.0,31382500000000.0,30921500000000.0,32435500000000.0,33368000000000.0,33396000000000.0,33185000000000.0,32202500000000.0,32666000000000.0,32482500000000.0,32717000000000.0,30568000000000.0,31421000000000.0,31880100000000.0,30498100000000.0,29633100000000.0,29581600000000.0,28098600000000.0,25895700000000.0,23966800000000.0,23223000000000.0,22696100000000.0,20248500000000.0,17500200000000.0,17798000000000.0,15300425769220.0,10505425769220.0,5659025769220.0,5869590592507.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,7409911400287.0,5813772652750.0,5942381567090.0,6460063547886.0,6554371306721.0,6780647839215.0,5840809968764.0,6575347041569.0,4855825061579.0,4548640059645.0,4409342080845.0,3907299369616.0,4627457478205.0,4521635632091.0,4034741005418.0,3559423855628.0,5038754955029.0,5749715539243.0,6236329165845.0,6409999244277.0,7355980629891.0,8145374960795.0,9199009785248.0,12771725467108.0,13810031674106.0,13780509958094.0,13782359875235.0,12309269849298.0,14734416096674.0,11331915315336.0,10653834912288.0,8397664492898.0,10210858966399.0,8993732384891.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,2278836585793.0,2223810722497.0,2209595854187.0,2486427442526.0,2547614438211.0,2591118803353.0,2454611155209.0,2594673315182.0,2656779802226.0,2255255902219.0,2139244550165.0,2333685186211.0,3039217186447.0,3347973989619.0,3046450551918.0,2734922945731.0,3469294608878.0,4489699438400.0,5416707223031.0,6295806262825.0,7274242035095.0,8138662704666.0,9250208764634.0,9064315211003.0,10293843018002.0,11381035920921.0,11363327535977.0,10486058757701.0,10659710734833.0,8372312398898.0,7636114098284.0,7243790436153.0,7649387704741.0,7453681955416.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,1301559124666.0,1392330582544.0,1178266316041.0,670730472928.0,313673104501.0,265915655622.0,269853128528.0,248385857337.0,201859721544.0,282616238007.0,293943030474.0,271852142473.0,318383863466.0,292234893661.0,451296158831.0,409288299621.0,944346571238.0,926033056336.0,717380432787.0,407954287709.0,386000565603.0,975912831632.0,1689298471721.0,6376831379367.0,6303637915210.0,5691246949639.0,5859538529095.0,4834859212732.0,7167739376841.0,6273745621088.0,6557616784334.0,4224243585307.0,5054745409452.0,4056634774993.0
