item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,3936908829879.0,4027266436675.0,3993730788080.0,4178903864188.0,4447435311349.0,4477953484662.0,4591365838099.0,4812811212383.0,3634688856803.0,1004873418102.0,1443118645031.0,1719335581123.0,1913264237548.0,1531378637437.0,363631307702.0,964506119724.0,2118413058338.0,3445312518242.0,4203870502376.0,4177396921449.0,4744356857019.0,4945447165024.0,5345577135128.0,5102187722225.0,5660615002048.0,5551203582097.0,5672623788005.0,5816232646953.0,6368186360359.0,6358904727276.0,6496143966765.0,6749849961899.0,6860753262512.0,6340775293547.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-5325111436.0,-3397326610.0,-3398641445.0,-36794790943.0,-8918322327.0,-7796794705.0,0.0,-19934152032.0,-169808295.0,0.0,0.0,-18037531937.0,-9440065370.0,-7418470545.0,6870258841.0,-4378095176.0,-9807684428.0,-15792959238.0,-16886959416.0,-68445835075.0,-15903324818.0,-16120874793.0,-17999362371.0,-54991745418.0,-17097533393.0,-16371613920.0,-17383940259.0,-53220989387.0,-18120229105.0,-18776978949.0,-19747303882.0,-18790452540.0,-20744464640.0,-16736211905.0
Doanh thu thuần,Net sales,net_sales,3931583718443.0,4023869110065.0,3990332146635.0,4142109073245.0,4438516989022.0,4470156689957.0,4591365838099.0,4792877060351.0,3634519048508.0,1004873418102.0,1443118645031.0,1701298049186.0,1903824172178.0,1523960166892.0,370501566543.0,960128024548.0,2108605373910.0,3429519559004.0,4186983542960.0,4108951086374.0,4728453532201.0,4929326290231.0,5327577772757.0,5047195976807.0,5643517468655.0,5534831968177.0,5655239847746.0,5763011657566.0,6350066131254.0,6340127748327.0,6476396662883.0,6731059509359.0,6840008797872.0,6324039081642.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-1922602645183.0,-2020967361792.0,-1951051704555.0,-2465359959336.0,-2140927141760.0,-2181218521259.0,-2179422772739.0,-2455363486993.0,-2011662938942.0,-1454673631115.0,-1402357627994.0,-1486039632870.0,-1549957462607.0,-1497267884701.0,-1374225986078.0,-1022674026850.0,-1453782610293.0,-1839506185612.0,-1806753867854.0,-2176417038823.0,-1789765948246.0,-1972736871112.0,-1996690811633.0,-2350656887073.0,-2043653050513.0,-2075221634480.0,-2013104645813.0,-2591477617037.0,-2001513091143.0,-2421377289938.0,-2477504303647.0,-3381522729754.0,-2494681808939.0,-2261330210581.0
Lợi nhuận gộp,Gross Profit,gross_profit,2008981073260.0,2002901748273.0,2039280442080.0,1676749113909.0,2297589847262.0,2288938168698.0,2411943065360.0,2337513573358.0,1622856109566.0,-449800213013.0,40761017037.0,215258416316.0,353866709571.0,26692282191.0,-1003724419535.0,-62546002302.0,654822763617.0,1590013373392.0,2380229675106.0,1932534047551.0,2938687583955.0,2956589419119.0,3330886961124.0,2696539089734.0,3599864418142.0,3459610333697.0,3642135201933.0,3171534040529.0,4348553040111.0,3918750458389.0,3998892359236.0,3349536779605.0,4345326988933.0,4062708871061.0
Doanh thu hoạt động tài chính,Financial income,financial_income,326254237281.0,337017605669.0,512006608647.0,380940407475.0,428983285810.0,394200682455.0,573457981708.0,921173627544.0,544940064933.0,557754079859.0,579097887626.0,538456264878.0,901673588915.0,925756438323.0,463954484699.0,958891310577.0,662789270541.0,1906150679116.0,917487171074.0,633250903020.0,415864818167.0,442161177256.0,994832783250.0,648489419482.0,478708683293.0,827461002088.0,294155576353.0,138847929121.0,250203781446.0,262050730803.0,371888183033.0,91136701452.0,150215494477.0,289422417122.0
Chi phí tài chính,Financial expenses,financial_expenses,-964102953549.0,445385551213.0,-26427581572.0,-347251095604.0,-24873189557.0,-431517664024.0,-29166577253.0,-25859344728.0,-41571106199.0,-385297096051.0,-287039613120.0,-243559888803.0,-24107236918.0,-88264505807.0,-24327191531.0,-67810215045.0,-21252291000.0,-20810147372.0,-20361555450.0,-28281903163.0,-792786893766.0,446388774699.0,-20047428210.0,-43919576582.0,-18795727119.0,-26361812351.0,-809152861878.0,749628628232.0,-278838376063.0,-738504104100.0,-40714289445.0,600996042762.0,-18535170265.0,42049796860.0
Chi phí lãi vay,Interest expenses,interest_expenses,-24152722556.0,-24244693596.0,-22948367365.0,-24327737030.0,-23404536927.0,-24584199823.0,-24798555305.0,-23015552568.0,-23333958535.0,-24022986288.0,-24850781657.0,-24644022524.0,-23020219508.0,-22332347708.0,-22478435077.0,-21381727175.0,-20338176713.0,-17543133837.0,-16883488108.0,-17403059034.0,-17638957923.0,-16720537920.0,-15637557774.0,-16915602700.0,-14917298666.0,-14340126110.0,-16758164527.0,-14508024856.0,-14834817201.0,-15904747394.0,-15349083919.0,-14373780934.0,-13700969238.0,-13380519430.0
Chi phí bán hàng,Selling expenses,selling_expenses,-74435952872.0,-71434025225.0,-79293938186.0,-81000122641.0,-94561160870.0,-93218789062.0,-90214613430.0,-92193404674.0,-71630580322.0,-23074954379.0,-28459195111.0,-23109922900.0,-27239019812.0,-25866747009.0,-28433505031.0,-3516755751.0,-26344067139.0,-54564925421.0,-56995872931.0,-81596282238.0,-86979194380.0,-86802699939.0,-79175047471.0,-86709150620.0,-90408239002.0,-89190556927.0,-88647555171.0,-101245945798.0,-104455894592.0,-106667464543.0,-90487628265.0,-101329853818.0,-105136616521.0,-86490888067.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-188403637303.0,-193654580789.0,-211464017523.0,-280592159668.0,-228767409467.0,-217179078991.0,-211947491548.0,-260401679471.0,-173601384532.0,-142766703649.0,-185448231361.0,-127608092837.0,-138717404679.0,-473241099604.0,-285821355727.0,-418382652297.0,-202088385561.0,-313666132633.0,-277886936401.0,-950006199791.0,-498515168842.0,-603941748318.0,-929450833773.0,-1323262003704.0,-407374515033.0,-242729782967.0,-295913780665.0,-97103525553.0,-456646142473.0,-203339027894.0,-362163728728.0,-305249319435.0,-362141843076.0,-317653235534.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,1192830428356.0,2617375519360.0,2309903673412.0,1430510016863.0,2470960760997.0,2083576587629.0,2737113525137.0,2948004927965.0,1925197691893.0,-416047678350.0,155721507309.0,413747178895.0,1065476637077.0,423447580550.0,-885556835374.0,406000628760.0,1087497042944.0,3179047458640.0,2985275343121.0,1567648737941.0,2027964602599.0,3232883886144.0,3409716324393.0,1923027103822.0,3622814444111.0,3991716091766.0,2877068628139.0,3939755002195.0,3857166736133.0,3206091024770.0,3964284900672.0,3806302741875.0,4135085802142.0,4133190852348.0
Thu nhập khác,Other incomes,other_incomes,100749011.0,932518975.0,3705060192.0,78897725310.0,2389117500.0,4684079435.0,1044133760.0,75335049799.0,1589474702.0,5534903469.0,596584499.0,1695688738.0,1773483484.0,2995995687.0,2494043875.0,2525137555.0,1602883781.0,1579941605.0,722653671.0,10807595021.0,2661371182.0,3419849773.0,4540108901.0,18211223723.0,5814233743.0,18181559550.0,2029744134.0,19378685418.0,8371030131.0,7827363894.0,13318921329.0,558061890474.0,14246564279.0,21041019063.0
Chi phí khác,Other expenses,other_expenses,-1038078490.0,49310473.0,-1858829681.0,-3522813502.0,-9644656.0,-511702298.0,-1645787072.0,-4658727290.0,-62782715.0,-14134109.0,-161709760.0,-148040564.0,-27586224.0,-47572132.0,-17278581.0,-447258478.0,-605246489.0,-95892427.0,-135777514.0,-207636275.0,-122125013.0,-2375493684.0,-88850666.0,-234379293.0,-87727715.0,-10800116337.0,-951370866.0,-136630630.0,-59640884.0,-84556351.0,-2104421329.0,-9838175370.0,-3585069512.0,-50456597.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,-937329479.0,981829448.0,1846230511.0,75374911808.0,2379472844.0,4172377137.0,-601653312.0,70676322509.0,1526691987.0,5520769360.0,434874739.0,1547648174.0,1745897260.0,2948423555.0,2476765294.0,2077879077.0,997637292.0,1484049178.0,586876157.0,10599958746.0,2539246169.0,1044356089.0,4451258235.0,17976844430.0,5726506028.0,7381443213.0,1078373268.0,19242054788.0,8311389247.0,7742807543.0,11214500000.0,548223715104.0,10661494767.0,20990562466.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,1191893098877.0,2618357348808.0,2311749903923.0,1505884928671.0,2473340233841.0,2087748964766.0,2736511871825.0,3018681250474.0,1926724383880.0,-410526908990.0,156156382048.0,415294827069.0,1067222534337.0,426396004105.0,-883080070080.0,408078507837.0,1088494680236.0,3180531507818.0,2985862219278.0,1578248696687.0,2030503848768.0,3233928242233.0,3414167582628.0,1941003948252.0,3628540950139.0,3999097534979.0,2878147001407.0,3958997056983.0,3865478125380.0,3213833832313.0,3975499400672.0,4354526456979.0,4145747296909.0,4154181414814.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-217230387468.0,-505626821437.0,-447444651510.0,-253999028104.0,-476413213204.0,-384469755953.0,-529683358972.0,-582781778332.0,-376517399087.0,88111791707.0,-17582751714.0,-71422339433.0,-205399323140.0,-101082519340.0,0.0,-143963668025.0,-213568755227.0,-612735237073.0,-588162686915.0,-423433858431.0,-394614555053.0,-626525840713.0,-647011354323.0,-376207803023.0,-707977140127.0,-771037627015.0,-538534223325.0,-645463298624.0,-745054173735.0,-608741942905.0,-765084236802.0,-1165686011395.0,-799596799097.0,-796029304782.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,242500000.0,1158551939.0,242500000.0,10689043560.0,242500000.0,825430063.0,-127583333.0,-951721263.0,0.0,0.0,0.0,2199966807.0,0.0,12597298020.0,26687482994.0,69139705447.0,0.0,0.0,0.0,132102609165.0,0.0,0.0,-3198856808.0,-141500000.0,0.0,0.0,-366743013.0,-124832853522.0,0.0,0.0,0.0,340436244477.0,0.0,0.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-216987887468.0,-504468269498.0,-447202151510.0,-243309984544.0,-476170713204.0,-383644325890.0,-529810942305.0,-583733499595.0,-376517399087.0,88111791707.0,-17582751714.0,-69222372626.0,-205399323140.0,-88485221320.0,26687482994.0,-74823962578.0,-213568755227.0,-612735237073.0,-588162686915.0,-291331249266.0,-394614555053.0,-626525840713.0,-650210211131.0,-376349303023.0,-707977140127.0,-771037627015.0,-538900966338.0,-770296152146.0,-745054173735.0,-608741942905.0,-765084236802.0,-825249766918.0,-799596799097.0,-796029304782.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,974905211409.0,2113889079310.0,1864547752413.0,1262574944127.0,1997169520637.0,1704104638876.0,2206700929520.0,2434947750879.0,1550206984793.0,-322415117283.0,138573630334.0,346072454443.0,861823211197.0,337910782785.0,-856392587086.0,333254545259.0,874925925009.0,2567796270745.0,2397699532363.0,1286917447421.0,1635889293715.0,2607402401520.0,2763957371497.0,1564654645229.0,2920563810012.0,3228059907964.0,2339246035069.0,3188700904837.0,3120423951645.0,2605091889408.0,3210415163870.0,3529276690061.0,3346150497812.0,3358152110032.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,2766204011.0,2605106622.0,2998974750.0,4149126265.0,3261006698.0,3094984718.0,3288216808.0,3392810302.0,1548267321.0,-2217211056.0,-2426807504.0,-2833988318.0,178066575335.0,91256682105.0,-89390416591.0,133370857603.0,174005223425.0,222726749037.0,279500945843.0,214614028162.0,334035588959.0,315301546744.0,349118251011.0,254743224520.0,326842637753.0,330128955728.0,361441457038.0,237249372323.0,407253085871.0,393376556408.0,443415759099.0,406239022762.0,771623690015.0,654877665422.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,972139007398.0,2111283972688.0,1861548777663.0,1258425817862.0,1993908513939.0,1701009654158.0,2203412712712.0,2431554940577.0,1548658717472.0,-320197906227.0,141000437838.0,348906442761.0,683756635862.0,246654100680.0,-767002170495.0,199883687656.0,700920701584.0,2345069521708.0,2118198586520.0,1072303419259.0,1301853704756.0,2292100854776.0,2414839120486.0,1309911420709.0,2593721172259.0,2897930952236.0,1977804578031.0,2951451532514.0,2713170865774.0,2211715333000.0,2766999404771.0,3123037667299.0,2574526807797.0,2703274444610.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,443.0,832.0,770.0,520.0,916.0,622.0,933.0,1024.0,711.0,-147.0,65.0,160.0,314.0,113.0,-352.0,92.0,322.0,1077.0,973.0,493.0,598.0,1053.0,1109.0,602.0,1191.0,1332.0,909.0,1356.0,1246.0,1016.0,977.0,0.0,719.0,755.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,84537661539.0,97159220219.0,75802159966.0,81663873392.0,92589387819.0,142353268553.0,83041160300.0,67772155936.0,44204588447.0,27137208883.0,36809642238.0,54310402241.0,0.0,58371212456.0,-7204848249.0,-635056422.0,19569752486.0,71924611558.0,42802861723.0,61748172562.0,51693457465.0,78488963327.0,112669889473.0,31889325512.0,60819823830.0,62926908226.0,134492047567.0,78093875664.0,98350327704.0,73800432115.0,86870004841.0,171212391309.0,125356948594.0,143153890906.0
