item,item_en,item_id,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,2485146397860.0,2766168847223.0,3815092019039.0,1347823222759.0,1539329848108.0,1446371065256.0,1919778877710.0,2159076836318.0,817382671717.0,1590188470493.0,1223238177211.0,1625072566985.0,1292083923890.0,1321276630029.0,1313813843295.0,1713856647454.0,1123822186884.0,1387069003621.0,1137011995376.0,1394153823335.0,1769220828513.0,2145798836615.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-111350061.0,0.0,-308107225.0,-176339100.0,-338071600.0,-598753482.0,-131972250.0,-881231238.0,-843174238.0,-297877871.0,-4244133000.0,-60240000.0,-70440000.0,-98136000.0,-51000000.0,-125734400.0,-218142980.0,-230874190.0,-748647481.0,-3008065261.0,-7012847974.0,-8703128284.0
Doanh thu thuần,Net sales,net_sales,2485035047799.0,2766168847223.0,3814783911814.0,1347646883659.0,1538991776508.0,1445772311774.0,1919646905460.0,2158195605080.0,816539497479.0,1589890592622.0,1218994044211.0,1625012326985.0,1292013483890.0,1321178494029.0,1313762843295.0,1713730913054.0,1123604043904.0,1386838129431.0,1136263347895.0,1391145758074.0,1762207980539.0,2137095708331.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-2351352809488.0,-2623798259270.0,-3742728965454.0,-1207423539979.0,-1397880385928.0,-1374379611228.0,-1704052993031.0,-2095706114984.0,-753059199190.0,-1497880045473.0,-1075743458140.0,-1583790564648.0,-1120215810444.0,-1207249922927.0,-1090972364334.0,-1505970452952.0,-833126841090.0,-1070469883975.0,-872354483998.0,-1580048550360.0,-1310984245748.0,-1790862961134.0
Lợi nhuận gộp,Gross Profit,gross_profit,133682238311.0,142370587953.0,72054946360.0,140223343680.0,141111390580.0,71392700546.0,215593912429.0,62489490096.0,63480298289.0,92010547149.0,143250586071.0,41221762337.0,171797673446.0,113928571102.0,222790478961.0,207760460102.0,290477202814.0,316368245456.0,263908863897.0,-188902792286.0,451223734791.0,346232747197.0
Doanh thu hoạt động tài chính,Financial income,financial_income,260197566.0,472005604.0,314650905.0,4351554795.0,299316493.0,2441427529.0,776452583.0,4008906102.0,528341255.0,22949477577.0,2935638473.0,11268408408.0,6928585078.0,2290624100.0,4088465955.0,8915993873.0,4274390134.0,5987230929.0,5181609656.0,6110892004.0,8304015563.0,11209006646.0
Chi phí tài chính,Financial expenses,financial_expenses,-1922007573.0,-2500206407.0,-2078414629.0,-25598113998.0,-4271868274.0,9286382570.0,-5176655366.0,-25416530070.0,-22312547473.0,-42784629651.0,-44065277616.0,-55126819018.0,-46923194690.0,-58274324244.0,-55126128780.0,-61913159849.0,-67738697741.0,-66426947892.0,-67879564815.0,-88524625771.0,-110801799222.0,-145173046947.0
Chi phí lãi vay,Interest expenses,interest_expenses,-1922007573.0,-2500206407.0,-2078414629.0,-1751379049.0,-4270742621.0,1481103486.0,-4590956007.0,-24127334712.0,-22341251473.0,-39580774369.0,-47070849334.0,-53739792335.0,-46444720138.0,-49682677936.0,-61259457454.0,-43362660850.0,-62234567615.0,-56804016123.0,-59544362622.0,-79249450948.0,-99895329535.0,-134263933156.0
Chi phí bán hàng,Selling expenses,selling_expenses,-1662372785.0,-3187534697.0,-3405373638.0,-7487692038.0,-9780539886.0,-16201180445.0,-24234776518.0,-22310332708.0,-20813170169.0,-23691340645.0,-23815400305.0,-25882420510.0,-22937435711.0,-1803535437.0,-68151435051.0,16262228640.0,-35802926304.0,2805010175.0,-107346115547.0,55230007841.0,-61407976979.0,-3592627985.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-16727457468.0,-5294972482.0,-14101549806.0,-18902088894.0,-19846321962.0,-18895937412.0,-19497594650.0,-24830803844.0,-23853144284.0,-20506222580.0,-25785656985.0,-26156994072.0,-24280329460.0,-33350995638.0,-34456299449.0,-45193118627.0,-52915360810.0,-52133492789.0,-70170320830.0,-65826991816.0,-76282154318.0,-83363210055.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,113630598051.0,131531546303.0,52784259192.0,92165788793.0,107511976951.0,47919532595.0,167461338478.0,-6059270424.0,-2970222382.0,27977831850.0,52519889638.0,-54676062855.0,84585298663.0,22790339883.0,69145081636.0,125832404139.0,138294608093.0,206600045879.0,23694472361.0,-281913510028.0,211035819835.0,125312868856.0
Thu nhập khác,Other incomes,other_incomes,1776518150.0,-376577597.0,1789415478.0,5353170252.0,183317133.0,87869900.0,16633826613.0,21011410412.0,9399655760.0,-8726860741.0,147053943.0,10304448420.0,56000304475.0,44799591974.0,1630224352.0,7788879608.0,8910895079.0,522745362.0,4924026523.0,1070212701.0,436651614.0,3099719231.0
Chi phí khác,Other expenses,other_expenses,-941413538.0,544226080.0,-2973963089.0,-4810697388.0,-3473039745.0,2902192777.0,-2350156600.0,-3009683112.0,-2523093879.0,-4883603618.0,-11761557791.0,0.0,-2100919564.0,1031417580.0,-3293418931.0,-1960191592.0,-6210650304.0,5177800565.0,-2192501245.0,960264497.0,-46065048.0,-18197068182.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,835104612.0,167648483.0,-1184547611.0,542472864.0,-3289722612.0,2990062677.0,14283670013.0,18001727300.0,6876561881.0,-13610464359.0,-11614503848.0,10304448420.0,53899384911.0,45831009554.0,-1663194579.0,5828688016.0,2700244775.0,5700545927.0,2731525278.0,2030477198.0,390586566.0,-15097348951.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,114465702663.0,131699194786.0,51599711581.0,92708261657.0,104222254339.0,50909595272.0,181745008491.0,11942456876.0,3906339499.0,14367367491.0,40905385790.0,-44371614435.0,138484683574.0,68621349437.0,67481887057.0,131661092155.0,140994852868.0,212300591806.0,26425997639.0,-279883032830.0,211426406401.0,110215519905.0
