item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,36967011864118.0,38104274165596.0,37552312217689.0,30378937359633.0,30275437884152.0,30551994690962.0,29749085164291.0,28451207199497.0,28341743840915.0,27728104287365.0,29484255590022.0,29698416635210.0,27111411094832.0,29750198687480.0,29597840609122.0,28630034507436.0,29524429371957.0,29023586923168.0,28350293524948.0,28248387285982.0,28069250160656.0,27918446528932.0,28481900631552.0,31086081717999.0,28160520404744.0,28366994220810.0,28158052674360.0,31703966346820.0,32104035777390.0,31548052123573.0,31593936321156.0,31384545366358.0,31731742585463.0,33056511909433.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,2042956507062.0,2806329344741.0,2775776914486.0,2572638405384.0,2687249616450.0,2560880189633.0,1066552616510.0,405819520415.0,320329774324.0,439344478331.0,2028641596548.0,1783586531828.0,2349209377309.0,3337821882255.0,2813978952369.0,2975349662105.0,4006889694744.0,2833645616925.0,1580251245387.0,1220636557462.0,436193435047.0,206629516041.0,593316290211.0,1332254152561.0,2479777484950.0,2096032844201.0,662967630711.0,2205138245025.0,1015091287288.0,2833056154937.0,1869421633842.0,2349813093288.0,1526504295876.0,1519396667538.0
Tiền,Cash,cash,325715388184.0,939393325515.0,323599037575.0,316802019021.0,1745031270102.0,1048392598089.0,454843320378.0,313219477273.0,221729774324.0,320044478331.0,1923641596548.0,352886531828.0,879509334167.0,1884121839113.0,1981078909227.0,335349618963.0,1357789651602.0,892545573783.0,491151202245.0,891536514320.0,89893391905.0,144329516041.0,539416290211.0,1145554152561.0,1105677484950.0,1516932844201.0,511967630711.0,2073038245025.0,894991287288.0,2681856154937.0,1695021633842.0,2149169696028.0,1419503581823.0,1484696667538.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,1717241118878.0,1866936019226.0,2452177876911.0,2255836386363.0,942218346348.0,1512487591544.0,611709296132.0,92600043142.0,98600000000.0,119300000000.0,105000000000.0,1430700000000.0,1469700043142.0,1453700043142.0,832900043142.0,2640000043142.0,2649100043142.0,1941100043142.0,1089100043142.0,329100043142.0,346300043142.0,62300000000.0,53900000000.0,186700000000.0,1374100000000.0,579100000000.0,151000000000.0,132100000000.0,120100000000.0,151200000000.0,174400000000.0,200643397260.0,107000714053.0,34700000000.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,602773879195.0,451345020545.0,452113879195.0,430703879195.0,479023879195.0,479660850645.0,755454261741.0,337794890410.0,334794890410.0,139994890410.0,88894890410.0,64495000000.0,86190000000.0,111204876712.0,121704876712.0,224090000000.0,229590000000.0,271480000000.0,290080000000.0,285050000000.0,403745062079.0,535314044988.0,265314044988.0,87314044988.0,230314044988.0,268912603095.0,279912603095.0,299912603095.0,317312603095.0,298584697499.0,309784697499.0,339300000000.0,542900000000.0,619300000000.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,4893028550.0,4893028550.0,4893028550.0,6573028550.0,4893028550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,-78858650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,6811633574309.0,6868665321060.0,6597370463565.0,6128914481787.0,4894140362392.0,4442880532031.0,4396118710658.0,4875668257295.0,4080088751919.0,3648799067034.0,3631000082683.0,3655433820308.0,2609193704543.0,3343831577006.0,3428919730548.0,4869887702927.0,3695153284482.0,4394784218763.0,5144805394520.0,5393912855157.0,5597541831041.0,5352377829611.0,5276508277931.0,7067155427662.0,4869092552255.0,5368845426884.0,6213039719169.0,8063773609382.0,8877769725364.0,7086901062725.0,7180115577289.0,6473957862860.0,6945290673383.0,8054183360505.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,6359144919394.0,5913086288321.0,5720125209322.0,4428943212344.0,3732003908709.0,3797389556190.0,3670231714392.0,3644057597209.0,3206742371941.0,2951979744016.0,2961605610271.0,2904613039105.0,1819548351539.0,2448165443358.0,2406491379258.0,3912390570151.0,2733933693797.0,3314779827002.0,4096312072112.0,3248386025633.0,3283898842344.0,3369880687003.0,3557528140876.0,5803553210661.0,3113454565320.0,4069286805846.0,4555355483662.0,5351567655603.0,6498792785341.0,5185982480852.0,5287528707535.0,4361455818630.0,4658193406067.0,5331384451365.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,170997789001.0,221556806095.0,247127872300.0,951037887837.0,437280218635.0,344435751270.0,360012847724.0,276821895533.0,289290417024.0,261870341661.0,246617906944.0,236934936307.0,106435210646.0,118069649771.0,162335592519.0,144242178697.0,145650062284.0,77942860173.0,97207120915.0,150961127988.0,333325152612.0,313836402017.0,297999330075.0,251927969247.0,254007633907.0,247951282950.0,241865552193.0,860444112753.0,933736258113.0,367584281434.0,303761861097.0,735307617957.0,709288080603.0,564320380654.0
