item,item_en,item_id,2026-Q2,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,892726444788.0,1106202866362.0,1376775027457.0,828736842448.0,2919634610319.0,1847315916654.0,2101418291397.0,1241330505674.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-1829461747.0,-1242399809.0,-320513652.0,-352541406.0,-16037731292.0,-4800617372.0,-57417668327.0,-13718249377.0
Doanh thu thuần,Net sales,net_sales,890896983041.0,1104960466553.0,1376454513805.0,828384301042.0,2903596879027.0,1842515299282.0,2044000623070.0,1227612256297.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-346680373943.0,-422309943837.0,-336411085080.0,-318477211453.0,-995565376975.0,-1138364733208.0,-598057537206.0,-385324187254.0
Lợi nhuận gộp,Gross Profit,gross_profit,544216609098.0,682650522716.0,1040043428725.0,509907089589.0,1908031502052.0,704150566074.0,1445943085864.0,842288069043.0
Doanh thu hoạt động tài chính,Financial income,financial_income,20943786087.0,63077054543.0,16108613616.0,10014946425.0,50656482560.0,101989129200.0,26277741742.0,3415283010.0
Chi phí tài chính,Financial expenses,financial_expenses,-548994430907.0,-344487711667.0,-434257496526.0,-308489384822.0,-382972499452.0,-308481903325.0,-356353908139.0,-342114762701.0
Chi phí lãi vay,Interest expenses,interest_expenses,-538969800607.0,-342421456114.0,-407440988490.0,-307652888122.0,-369263772437.0,-291545659240.0,-356217458064.0,-341913645651.0
Chi phí bán hàng,Selling expenses,selling_expenses,-214513489978.0,-204811908406.0,-278961065514.0,-204377843804.0,-261192215819.0,-256536743467.0,-318710089092.0,-223608598130.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-125406774258.0,-117976659679.0,-334612562996.0,-128958829935.0,-135154244475.0,-136614275622.0,-139386538530.0,-139188970396.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,200750958930.0,298100278801.0,1291522970056.0,407907359067.0,1722868761101.0,375534067889.0,1840144484160.0,384015882741.0
Thu nhập khác,Other incomes,other_incomes,14888244507.0,4314870730.0,16645541032.0,9836600543.0,11951707927.0,3919624832.0,6315829367.0,7784050997.0
Chi phí khác,Other expenses,other_expenses,-14426328936.0,-13533434106.0,-35341142089.0,-26788692339.0,-36385860735.0,-7228156771.0,-38012383558.0,-12896097190.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,461915571.0,-9218563376.0,-18695601057.0,-16952091796.0,-24434152808.0,-3308531939.0,-31696554191.0,-5112046193.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,201212874501.0,288881715425.0,1272827368999.0,390955267271.0,1698434608293.0,372225535950.0,1808447929969.0,378903836548.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-56903586842.0,-452987128.0,-63553009732.0,-3368318209.0,-215715277684.0,-12589461129.0,-168520430028.0,-15888385906.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,66824377751.0,0.0,37800699825.0,34799013540.0,-1718185065.0,5923288835.0,-14245495094.0,0.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,9920790909.0,-452987128.0,-25752309907.0,31430695331.0,-217433462749.0,-6666172294.0,-182765925122.0,-15888385906.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,211133665410.0,288428728297.0,1247075059092.0,422385962602.0,1481001145544.0,365559363656.0,1625682004847.0,363015450642.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,6640666523.0,8865900136.0,8196921500.0,6702513302.0,5363705204.0,7293675363.0,174457970832.0,18620472558.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,204492998887.0,279562828161.0,1238878137592.0,415683449300.0,1475637440340.0,358265688293.0,1451224034015.0,344394978084.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,169.0,241.0,1164.0,368.0,1459.0,313.0,1402.0,230.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,169.0,241.0,1164.0,368.0,1459.0,313.0,1402.0,230.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,524505258888.0,219648981294.0,1283202052751.0,529811381614.0,543499736235.0,271027295029.0,1182374192315.0,243224861915.0
