item,item_en,item_id,2026-Q2,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3
Tổng lợi nhuận/lỗ trước thuế,Net Accounting Profit/(loss) before tax,net_accounting_profit_loss_before_tax,10332918000000.0,8571616000000.0,14155117000000.0,7593776000000.0,8625500000000.0,7413125000000.0,9938144000000.0,6498279000000.0
Chi phí thuế TNDN hiện hành,Business income tax - current,business_income_tax_current,-2038020000000.0,-1692822000000.0,-2667655000000.0,-1512842000000.0,-1732963000000.0,-1457863000000.0,-1989607000000.0,-1286319000000.0
Chi phí thuế TNDN hoãn lại,Business income tax - deferred,business_income_tax_deferred,0.0,0.0,2309000000.0,5976000000.0,5650000000.0,0.0,-2114000000.0,1906000000.0
Chi phí thuế thu nhập doanh nghiệp,Business income tax expenses,business_income_tax_expenses,-2038020000000.0,-1692822000000.0,-2665346000000.0,-1506866000000.0,-1727313000000.0,-1457863000000.0,-1991721000000.0,-1284413000000.0
Lợi nhuận sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,8294898000000.0,6878794000000.0,11489771000000.0,6086910000000.0,6898187000000.0,5955262000000.0,7946423000000.0,5213866000000.0
Lợi ích của cổ đông thiểu số,Minority interest,minority_interest,-148650000000.0,-77960000000.0,-133845000000.0,-133946000000.0,-143186000000.0,-114889000000.0,-136306000000.0,-62548000000.0
Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,8146248000000.0,6800834000000.0,11355926000000.0,5952964000000.0,6755001000000.0,5840373000000.0,7810117000000.0,5151318000000.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,0.0,0.0,3774.0,0.0,0.0,0.0,3204.0,0.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu nhập lãi và các khoản thu nhập tương tự,Interest and Similar Income,interest_and_similar_income,49659834000000.0,42960159000000.0,43734897000000.0,38444637000000.0,37527165000000.0,35286235000000.0,36469243000000.0,34326293000000.0
Chi phí lãi và các chi phí tương tự,Interest and Similar Expenses,interest_and_similar_expenses,-31855603000000.0,-27226416000000.0,-24549724000000.0,-23272019000000.0,-22535434000000.0,-21340651000000.0,-20830514000000.0,-20336569000000.0
Thu nhập lãi thuần,Net Interest Income,net_interest_income,17804231000000.0,15733743000000.0,19185173000000.0,15172618000000.0,14991731000000.0,13945584000000.0,15638729000000.0,13989724000000.0
Thu nhập từ dịch vụ,Fees and Commission Income,fees_and_commission_income,3614586000000.0,3213905000000.0,3558946000000.0,3152717000000.0,3590607000000.0,2849210000000.0,3372210000000.0,3013677000000.0
Chi phí dịch vụ,Fees and Commission Expenses,fees_and_commission_expenses,-1654803000000.0,-1588967000000.0,-1793831000000.0,-1419194000000.0,-1703905000000.0,-1310322000000.0,-1404671000000.0,-1538699000000.0
Lãi/Lỗ thuần từ hoạt động dịch vụ,Net Fee and Commission Income,net_fee_and_commission_income,1959783000000.0,1624938000000.0,1765115000000.0,1733523000000.0,1886702000000.0,1538888000000.0,1967539000000.0,1474978000000.0
Lãi/(lỗ) thuần từ hoạt động kinh doanh ngoại hối và vàng,Net gain/(loss) from foreign currency and gold dealings,net_gain_loss_from_foreign_currency_and_gold_dealings,708376000000.0,1108451000000.0,605773000000.0,965196000000.0,1357097000000.0,863527000000.0,1438799000000.0,732488000000.0
Lãi/(lỗ) thuần từ mua bán chứng khoán kinh doanh,Net gain/(loss) from trading of trading securities,net_gain_loss_from_trading_of_trading_securities,136120000000.0,-27108000000.0,390754000000.0,66581000000.0,47274000000.0,214025000000.0,102793000000.0,-63874000000.0
Lãi/(lỗ) thuần từ mua bán chứng khoán đầu tư,Net gain/(loss) from disposal of investment securities,net_gain_loss_from_disposal_of_investment_securities,16631000000.0,-11432000000.0,952103000000.0,517199000000.0,797832000000.0,-5008000000.0,5164422000000.0,-485528000000.0
Thu nhập khác,Other Income,other_income,3721513000000.0,2594237000000.0,7863735000000.0,3127343000000.0,3512666000000.0,1745835000000.0,3964823000000.0,2032606000000.0
Chi phí khác,Other Expenses,other_expenses,-869901000000.0,-527196000000.0,-1408291000000.0,-572130000000.0,-614527000000.0,-529558000000.0,-2015616000000.0,-527789000000.0
Lãi/(lỗ) thuần từ hoạt động khác,Net Other income/expenses,net_other_income_expenses,2851612000000.0,2067041000000.0,6455444000000.0,2555213000000.0,2898139000000.0,1216277000000.0,1949207000000.0,1504817000000.0
Thu nhập từ cổ tức,Dividends Income,dividends_income,161165000000.0,201929000000.0,717782000000.0,143853000000.0,110420000000.0,125117000000.0,144692000000.0,105983000000.0
Tổng thu nhập hoạt động,Total Operating Income,total_operating_income,23637918000000.0,20697562000000.0,30072144000000.0,21154183000000.0,22089195000000.0,17898410000000.0,26406181000000.0,17258588000000.0
Chi phí quản lý doanh nghiệp,General and Admin Expenses,general_and_admin_expenses,-7484712000000.0,-6627973000000.0,-9780820000000.0,-7374522000000.0,-7365592000000.0,-5906818000000.0,-9558439000000.0,-6307180000000.0
Lợi nhuận thuần hoạt động trước khi trích lập dự phòng tổn thất tín dụng,Net Operating Profit Before Allowance for Credit Loss,net_operating_profit_before_allowance_for_credit_loss,16153206000000.0,14069589000000.0,20291324000000.0,13779661000000.0,14723603000000.0,11991592000000.0,16847742000000.0,10951408000000.0
Trích lập dự phòng tổn thất tín dụng,Provision for Credit Losses,provision_for_credit_losses,-5820288000000.0,-5497973000000.0,-6136207000000.0,-6185885000000.0,-6098103000000.0,-4578467000000.0,-6909598000000.0,-4453129000000.0
