item,item_en,item_id,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,31679622749579.0,30151613550063.0,22519402728446.0,23973530419715.0,24895250318921.0,24780583048471.0,26735223882545.0,21598170176910.0,22744148171083.0,17297903281432.0,30047215542191.0,33924753441953.0,39540449489053.0,38950634453699.0,44548083407699.0,48752546085456.0,60115790226680.0,53679195979717.0,57779311375941.0,52851457070566.0,56089374629151.0,70494555004142.0,68545916277561.0,56709949479853.0,68565456960713.0,71984494287481.0,71515534342682.0,60656836535345.0,68390934191482.0,68425606054201.0,70241188970245.0,92456214110955.0,91443324369923.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,11878605238392.0,9964924167838.0,5764800639110.0,6424821900467.0,5863320343550.0,8407624969156.0,8352397877468.0,7293834211353.0,8366985851575.0,8529575079474.0,12792513369290.0,13966455412324.0,13911393352074.0,12448816406741.0,16345674140133.0,18555456439273.0,18445027692535.0,19139979546851.0,22853096828348.0,21692189234212.0,19857934522167.0,18560747011921.0,17000621089267.0,21812934470056.0,26142224216536.0,30159344117645.0,28994990599830.0,25744527233187.0,17233408484220.0,11009663951395.0,7625822768599.0,6634918174981.0,6659656664364.0
Tiền,Cash,cash,1583872861433.0,2058124724783.0,922068262151.0,1182089523508.0,214587966591.0,358892592197.0,392665500509.0,335101834394.0,258253474616.0,176842702515.0,292780992331.0,215723035365.0,263660975115.0,456084029782.0,387671763174.0,714454062314.0,501025315576.0,2130977169892.0,254094451389.0,542186857253.0,405532145208.0,839716908935.0,673818712308.0,410932093097.0,438221839577.0,423841740686.0,559488222871.0,398024856228.0,311906107261.0,292850323242.0,229950087149.0,429648841606.0,574540626747.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,10294732376959.0,7906799443055.0,4842732376959.0,5242732376959.0,5648732376959.0,8048732376959.0,7959732376959.0,6958732376959.0,8108732376959.0,8352732376959.0,12499732376959.0,13750732376959.0,13647732376959.0,11992732376959.0,15958002376959.0,17841002376959.0,17944002376959.0,17009002376959.0,22599002376959.0,21150002376959.0,19452402376959.0,17721030102986.0,16326802376959.0,21402002376959.0,25704002376959.0,29735502376959.0,28435502376959.0,25346502376959.0,16921502376959.0,10716813628153.0,7395872681450.0,6205269333375.0,6085116037617.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,40166010000.0,52166010000.0,58166010000.0,958166010000.0,1758166010000.0,3742568840000.0,2942568840000.0,4189568840000.0,4809668840000.0,7778266010000.0,7384266010000.0,2172266010000.0,6872266010000.0,9372266010000.0,17909666010000.0,21121666010000.0,18522266010000.0,13822266010000.0,14122266010000.0,14022266010000.0,11522266010000.0,24722266010000.0,31111954758806.0,36135895705509.0,39912908960410.0,47116384496214.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,10528815345107.0,9129805021944.0,8964268725735.0,9058704058448.0,9557829657313.0,7037529972066.0,9970194172030.0,5026348489263.0,6960042316306.0,1675342231060.0,7851368381987.0,7707868198952.0,10628180612168.0,5991009961329.0,13645246708407.0,13381387759816.0,19222670710000.0,13291715926237.0,16324166153608.0,13360658587710.0,12665170220761.0,15810768652402.0,14998729622873.0,8058279600713.0,14236925709360.0,9920813974979.0,12456881063885.0,10768859596719.0,14514867786114.0,14358837023846.0,13539339764397.0,24233908308762.0,19731622084546.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,10311012964949.0,8780660943221.0,8741215631233.0,8783294384404.0,9286669506498.0,6802415783341.0,9753104912307.0,4491778935138.0,6408792244969.0,974364631945.0,7634855266874.0,7450582672395.0,10357990280957.0,5708505958046.0,13251106232066.0,13007963903237.0,18932529209823.0,12768830766144.0,16071007324961.0,12690293028732.0,11892668107492.0,14889822410740.0,13987552383957.0,7049535219481.0,13500200101409.0,9326768780288.0,11894581605295.0,10133507154565.0,13898517708350.0,13537880374287.0,12852830440677.0,23734500726139.0,18561383005415.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,146882385462.0,290578810217.0,183404188966.0,235209846409.0,212222543548.0,164213109261.0,160262414380.0,485750668518.0,507593914860.0,635184817955.0,153838140889.0,182399772748.0,168364695332.0,169969989799.0,291840424668.0,215969522010.0,146609938054.0,316909924607.0,144942690088.0,435327564077.0,480532782159.0,586594710677.0,582013523760.0,657339658425.0,374780704938.0,376565124959.0,283465982415.0,474086967612.0,391564014311.0,521832965622.0,372048688891.0,449065272550.0,1107959590421.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,construction_contract_in_progress_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu khác,Other receivables,other_receivables,65848788272.0,49261605272.0,36347924343.0,34004180042.0,52741959674.0,64705431871.0,52801516246.0,44837516461.0,39660510231.0,60091136024.0,59140537301.0,73057315776.0,99997197846.0,110705575451.0,99966799394.0,155121082290.0,141198309844.0,206338458183.0,108579361256.0,233518803272.0,292332553807.0,334714753682.0,432476937853.0,354717945504.0,361944903013.0,217480069732.0,278833476175.0,161265474542.0,224786063453.0,297241415364.0,314460634829.0,50184232727.0,54843881158.0
Dự phòng nợ khó đòi,Provision for doubtful debts,provision_for_doubtful_debts,-1118129201.0,-1132406301.0,-1132406301.0,-847856926.0,-847856926.0,-847856926.0,-883549676.0,-883549676.0,-869272576.0,-869272576.0,-869272576.0,-869272576.0,-869272576.0,-869272576.0,-364458330.0,-364458330.0,-364458330.0,-364458330.0,-364458330.0,-364458330.0,-364458330.0,-364458330.0,-3314458330.0,-3314458330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hàng tồn kho, ròng","Inventories, Net",inventories_net,9123139951455.0,10979589076487.0,7668381894763.0,8454412484585.0,9369682896869.0,9308126608246.0,8387632888737.0,9127036189152.0,7312199929384.0,6987536580841.0,8398888351001.0,10442282101199.0,11207230169512.0,17521629663736.0,10316706301056.0,11947068918563.0,14620572293325.0,13821394535078.0,16349489397348.0,10828885609922.0,14106497000589.0,18119364832894.0,15352101524429.0,8212960788987.0,14287409893686.0,17658768679496.0,15890950395456.0,12479271419014.0,11846557384982.0,11870812952811.0,12666909104636.0,21573800951434.0,14435929946471.0
Hàng tồn kho,Inventories,inventories,9126330724610.0,10982779849642.0,7981552175886.0,8461828355849.0,9545985358338.0,9484429069715.0,8529416077253.0,9712828433353.0,7326143243476.0,7001479894933.0,8412698551732.0,10632680421566.0,11224312892331.0,17694536088088.0,10333905005335.0,13890555031568.0,14862207854327.0,14477410653263.0,16804841168892.0,11387425105617.0,14185386417550.0,19020017561284.0,15649027534117.0,8260232169689.0,14400031353276.0,17948725651909.0,15890950395456.0,12860699900042.0,11973338268828.0,12458500867498.0,12797925022543.0,21573800951434.0,14750531465166.0
