item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,6203869393779.0,7389670015513.0,7182434221771.0,6149080569127.0,5603086138082.0,10146459904006.0,11255009352301.0,12958724062534.0,12739015793801.0,11588369776989.0,11353272504160.0,11067706820253.0,11539914726798.0,11851263686602.0,12036634803006.0,10571905075205.0,9124721575837.0,8255331813960.0,7464350277097.0,7260036329989.0,7673687250790.0,7977133473422.0,7422706387696.0,6975400431081.0,9600255840604.0,8266115206241.0,7739271929713.0,8549165025508.0,8960819616690.0,10492712587084.0,9690618169536.0,11401411859381.0,11657003724920.0,15195100388896.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,1478687327853.0,1344190495385.0,1206967556239.0,489532632741.0,351357176806.0,426796500380.0,350077851786.0,597807279885.0,1932202532613.0,697609746939.0,542431842413.0,439000985694.0,426464153446.0,396301388526.0,217309687352.0,689810523704.0,667698970333.0,411711406870.0,414229070040.0,287246471579.0,202558402301.0,543633652416.0,307764082518.0,1190879050528.0,2246622950599.0,1223980113187.0,724714965218.0,1351810461900.0,746131698977.0,2032544281313.0,1697043289641.0,802141351233.0,704349494282.0,1619040344362.0
Tiền,Cash,cash,485329557988.0,401890495385.0,241491010576.0,250900806634.0,192655498082.0,225798437191.0,190295794610.0,516916171301.0,1859990371596.0,559648034610.0,444770793098.0,285528119940.0,291364153446.0,270701388526.0,159809687352.0,516022589800.0,502838458197.0,251603614331.0,244689999972.0,196615643821.0,139787023270.0,459248591673.0,245759843065.0,1023013253554.0,677431596137.0,988887582645.0,318619267100.0,335408258888.0,299801372204.0,684069903952.0,1470499321242.0,547099222325.0,469102741176.0,1175743426064.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,993357769865.0,942300000000.0,965476545663.0,238631826107.0,158701678724.0,200998063189.0,159782057176.0,80891108584.0,72212161017.0,137961712329.0,97661049315.0,153472865754.0,135100000000.0,125600000000.0,57500000000.0,173787933904.0,164860512136.0,160107792539.0,169539070068.0,90630827758.0,62771379031.0,84385060743.0,62004239453.0,167865796974.0,1569191354462.0,235092530542.0,406095698118.0,1016402203012.0,446330326773.0,1348474377361.0,226543968399.0,255042128908.0,235246753106.0,443296918298.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,368190532957.0,330797096239.0,394735837109.0,317167988332.0,165471555302.0,130199927114.0,118405897682.0,175622394358.0,743948434358.0,694651951215.0,725151951215.0,692110345806.0,676209912929.0,653980206875.0,719522233624.0,659203515987.0,667159764951.0,664098257923.0,664178441329.0,628443484003.0,633671518187.0,952447518187.0,1020095549499.0,996184918187.0,974538788403.0,381481948403.0,347377848403.0,1008047698384.0,1664302856407.0,2120138366222.0,2113366714337.0,2597389401277.0,3456102751830.0,6241010842287.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,161001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615576040000.0,615576040000.0,637576040000.0,615576040000.0,615576040000.0,615576040000.0,679477787568.0,615576040000.0,615576040000.0,615576040000.0,615576040000.0,615576040000.0,615576040000.0,950629473200.0,1017000071312.0,1010346842091.0,1010346842091.0,390302984015.0,356427987364.0,250324551138.0,242772181861.0,189563920000.0,207763920000.0,379692900754.0,378998813049.0,1026834459171.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-777433200.0,0.0,-23757402091.0,-38451002091.0,-81463984015.0,-81693087364.0,-61897927638.0,-70141261861.0,-72173920000.0,-16663920000.0,-56089940754.0,-24674053049.0,-49770642907.0
Các khoản phải thu,Accounts receivable,accounts_receivable,3301595829339.0,4318627211219.0,4377201195999.0,4309584500849.0,3986313581034.0,4965914845580.0,5499625846389.0,6228800908817.0,3763462465028.0,3652548852722.0,4430231821069.0,4994063932530.0,4927263632377.0,5166537536425.0,5211607030819.0,4482371056560.0,3942667309662.0,2986510362306.0,3571074559852.0,4617114916938.0,5390538351339.0,5497163539746.0,5452969629087.0,4099993729673.0,4108129484823.0,4268819918584.0,4231479524572.0,3769489713488.0,3966370134232.0,3733306708025.0,3332354440554.0,2963668952366.0,2096171400532.0,1603913638248.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,762118996763.0,810570592476.0,900900951966.0,856920250296.0,752869304117.0,1221643391457.0,2041143285721.0,3465368072065.0,761154555283.0,878402852302.0,1335532164185.0,1290865440235.0,1337258666316.0,1491309918073.0,1495734163022.0,945541247209.0,724038952874.0,801772921263.0,1376443735139.0,886397569362.0,682019439987.0,566979698534.0,512767012824.0,481086055467.0,774221631607.0,750979634695.0,729078850912.0,663416373513.0,738978495126.0,704483796525.0,541937534880.0,592606122531.0,549801791071.0,556890555423.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,740202922747.0,1006818637673.0,961545989334.0,1002445521602.0,890698167110.0,939243187925.0,1076752950842.0,864155904023.0,1017142045990.0,898251960723.0,1107299185067.0,833457940316.0,837122284673.0,814530902311.0,802750968881.0,670737474197.0,363325649072.0,310050683551.0,326103524113.0,255789661779.0,304184183280.0,315358235306.0,393880359744.0,316522520214.0,504377437237.0,484304590665.0,512695741635.0,484826778378.0,510098545474.0,471901848093.0,450191162906.0,454191364545.0,806422343155.0,398039569818.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,construction_contract_in_progress_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu khác,Other receivables,other_receivables,1136751389784.0,1460922411965.0,1392278267251.0,1283957254772.0,1321725476142.0,1607079466057.0,1143827201502.0,1155501605560.0,961488983289.0,1056932328688.0,1031635934789.0,1349990332823.0,1370423608530.0,1448406108001.0,1425895231134.0,1359320984667.0,1345660917572.0,1044777045970.0,1006908069029.0,1559604188150.0,1897283981899.0,2158854263246.0,2224708137755.0,1876436624847.0,1601618831489.0,1585467774807.0,1519329422337.0,1242445322744.0,1252714675653.0,1198038900052.0,1089678949103.0,902834063842.0,914211689366.0,822359562036.0
Dự phòng nợ khó đòi,Provision for doubtful debts,provision_for_doubtful_debts,-19210974532.0,-63991076633.0,-61125729849.0,-64236831632.0,-64347107932.0,-47597534261.0,-47768465711.0,-32618573160.0,-50433139870.0,-65580799338.0,-58609265803.0,-80498529701.0,-81160227562.0,-103723455393.0,-124940094606.0,-130774034645.0,-93673755223.0,-134652529968.0,-137500274671.0,-171485215163.0,-170127300098.0,-66568882077.0,-66568882077.0,-152472481754.0,-230899714122.0,-250443860467.0,-250443860467.0,-270431891753.0,-275055295456.0,-181122908698.0,-148261647009.0,-202289122402.0,-174264423060.0,-173376049029.0
"Hàng tồn kho, ròng","Inventories, Net",inventories_net,943803229871.0,1289649018272.0,1116739492401.0,928738799391.0,982978141828.0,4324627274860.0,5031758614623.0,5738016382224.0,6066608838137.0,6259839294094.0,5403267669899.0,4778732837263.0,5305954467477.0,5412981964944.0,5656512290760.0,4516612378917.0,3690205375164.0,4005005925342.0,2667267643460.0,1640844348740.0,1337641175017.0,882879708775.0,576254793760.0,616138806879.0,2124564819182.0,2241048324459.0,2294608683047.0,2294473840247.0,2417675841586.0,2444683417236.0,2396685948136.0,4879883138697.0,5126721250161.0,5501794191083.0
Hàng tồn kho,Inventories,inventories,944430837443.0,1289649018272.0,1116739492401.0,928738799391.0,982978141828.0,4324627274860.0,5031758614623.0,5738016382224.0,6066608838137.0,6261082098378.0,5403267669899.0,4778732837263.0,5305954467477.0,5412981964944.0,5656512290760.0,4516612378917.0,3690205375164.0,4005005925342.0,2667267643460.0,1640844348740.0,1337641175017.0,882879708775.0,576254793760.0,623416422157.0,2124564819182.0,2241048324459.0,2294608683047.0,2294750070138.0,2417952071477.0,2445156750928.0,2397159281828.0,4880356472389.0,5127194583853.0,5502267524775.0
Dự phòng giảm giá hàng tồn kho,Provision for decline in inventories,provision_for_decline_in_inventories,-627607572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1242804284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7277615278.0,0.0,0.0,0.0,-276229891.0,-276229891.0,-473333692.0,-473333692.0,-473333692.0,-473333692.0,-473333692.0
Tài sản lưu động khác,Other current assets,other_current_assets,111592473759.0,106406194398.0,86790140023.0,104056647814.0,116965683112.0,298921356072.0,255141141821.0,218477097250.0,232793523665.0,283719932019.0,252189219564.0,163798718960.0,204022560569.0,221462589832.0,231683560451.0,223907600037.0,156990155727.0,188005861519.0,147600562416.0,86387108729.0,109277803946.0,101009054298.0,65622332832.0,72203925814.0,146399797597.0,150784901608.0,141090908473.0,125343311489.0,166339085488.0,162039814288.0,151167776868.0,158329015808.0,273658828115.0,229341372916.0
Chi phí trả trước ngắn hạn,Short-term prepayments,short_term_prepayments,3549324063.0,4389375857.0,4680702165.0,5280054306.0,9299082255.0,127680501420.0,87190033251.0,5943358946.0,12979042971.0,48163434373.0,39499233188.0,17016863318.0,41654787543.0,47837165613.0,39141200442.0,26661024282.0,35643985839.0,30707963926.0,25347060041.0,13756027658.0,38334140739.0,56784995067.0,25429900415.0,13771108372.0,36578515466.0,35528076133.0,23750140543.0,6854805076.0,46144253408.0,36261261740.0,17816436452.0,11935557740.0,18556215197.0,14285078237.0
Thuế GTGT được khấu trừ,VAT to be claimed,vat_to_be_claimed,101503777478.0,95162236499.0,74963493346.0,93063953840.0,102265134665.0,166757545489.0,163254505124.0,203876889215.0,204286799820.0,210162994319.0,187926325298.0,122286321725.0,136448474717.0,143774572412.0,162254829632.0,168075086835.0,99069547542.0,136092111718.0,101500640298.0,51871208941.0,50378647915.0,41325796340.0,37701100964.0,55908256956.0,107260454107.0,112643287419.0,114796812887.0,115638852042.0,117152681130.0,119441808009.0,125325374180.0,131740067877.0,143314149556.0,175215678506.0
Phải thu thuế khác,Other taxes receivable,other_taxes_receivable,6539372218.0,6854582042.0,7145944512.0,5712639668.0,5401466192.0,4483309163.0,4696603446.0,8656849089.0,15527680874.0,25393503327.0,24763661078.0,24495533917.0,25919298309.0,29850851807.0,30287530377.0,29171488920.0,22276622346.0,21205785875.0,20752862077.0,20759872130.0,20565015292.0,2898262891.0,2491331453.0,2524560486.0,2560828024.0,2613538056.0,2543955043.0,2849654371.0,3042150950.0,6336744539.0,8025966236.0,14653390191.0,6178170654.0,6697074311.0
Tài sản lưu động khác,Other current assets,other_current_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105610292708.0,33143541862.0
TÀI SẢN DÀI HẠN,LONG-TERM ASSETS,long_term_assets,15203324808688.0,14894933762573.0,15618880266167.0,16031578088764.0,18201637777895.0,17612346587032.0,17327728188974.0,18256007721957.0,18440653058671.0,19048646341327.0,19216878904848.0,18556125991565.0,18415168930708.0,18390317851311.0,18512924719851.0,20384916977880.0,20248576613125.0,21916356145566.0,21831310209947.0,21335590555776.0,21332270794778.0,18672181080162.0,18657918360890.0,26269469552830.0,26604838119893.0,27398230073977.0,27479524149323.0,28122248202723.0,28118448812929.0,28170262611391.0,28252619286946.0,26123479783438.0,26189180589945.0,28278777589071.0
Phải thu dài hạn,Long-term trade receivables,long_term_trade_receivables,2208428035316.0,2055979584510.0,2356814723100.0,2464781764318.0,3034762788479.0,2353551473947.0,2484295870913.0,2774107014021.0,3326469164305.0,3682003308642.0,3988553030631.0,3368031514777.0,3511271568938.0,3500444910662.0,3558873649314.0,3680612327791.0,4904672690438.0,6610501700060.0,6750731683431.0,5902042802734.0,5843433213334.0,5225192425734.0,5103028459995.0,3035586921020.0,1782696098623.0,1908884128297.0,1987321445591.0,2069224088434.0,2137359748321.0,2207241452187.0,2317818039281.0,2507945146736.0,2299519235498.0,4273893768963.0
Phải thu khách hàng dài hạn,Long-term trade receivables from customers,long_term_trade_receivables_from_customers,215015000000.0,215000000000.0,215000000000.0,215000000000.0,215000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,908837368.0,681628024.0,454418682.0,69555334341.0,23598225137.0,23598225137.0,30075000000.0
Phải thu nội bộ dài hạn,Long-term intercompany receivables,long_term_intercompany_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu dài hạn khác,Other long-term receivables,other_long_term_receivables,1517347119995.0,1488450841157.0,1544285979747.0,1600673705897.0,1608151295126.0,1332715167085.0,1440348411673.0,1233736527440.0,1613190483984.0,1718539555836.0,1879881631137.0,1763174983902.0,1892452317403.0,1836847647899.0,1890329046829.0,1939518398593.0,1939394771924.0,2794680599546.0,2934503492417.0,2562714884220.0,2676854294820.0,2307295562501.0,2367599291273.0,2068286921020.0,1770082212897.0,1895076042571.0,1973513359865.0,2054507165340.0,2122870034571.0,2192978947779.0,2234454619214.0,2271017569171.0,2275921010361.0,2325680988715.0
Dự phòng phải thu dài hạn,Provision for doubtful LT receivable,provision_for_doubtful_lt_receivable,-41412681580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tài sản cố định,Fixed assets,fixed_assets,5457540176650.0,5354789366900.0,5456923471239.0,5367206637060.0,5988930017737.0,5955549186945.0,5835167963188.0,5855656716688.0,5605737018533.0,5524422085503.0,5459118032455.0,5352956044162.0,5321331325256.0,8442955104882.0,9549834765405.0,9446574119568.0,8974944099272.0,8847838557246.0,8747901361191.0,8524479024229.0,8422798963258.0,6762163748845.0,6717946828841.0,16400184137850.0,16451040377820.0,16534655570385.0,16393615212290.0,16263338169250.0,16090205909076.0,15955968398342.0,15780022736752.0,15672616695163.0,15502459452692.0,15318772898584.0
GTCL TSCĐ hữu hình,Tangible fixed assets,tangible_fixed_assets,2194308923349.0,2173393718722.0,2323229814647.0,2293073993476.0,2266516031380.0,2330245473769.0,2273127690365.0,2371042747050.0,2212022989257.0,2191181648600.0,2177979423401.0,2148063464819.0,2160102842292.0,2139436676243.0,2121598495229.0,2107117948483.0,1783657690873.0,1756803259921.0,1737256697429.0,1716939201062.0,1697346619619.0,25830425694.0,26813234365.0,25334117843.0,213467800343.0,374909372607.0,377273241723.0,380121560454.0,374744468044.0,370656322881.0,366332871595.0,366186115806.0,363492124935.0,367226692206.0
Nguyên giá TSCĐ hữu hình,Cost,cost,2684019894188.0,2689787984278.0,2867133612740.0,2867018365981.0,2868430217179.0,2984284425825.0,2933659438802.0,3060908977578.0,2915676043344.0,2915099814301.0,2922684600218.0,2913755369345.0,2951649694688.0,2958659660680.0,2969092724960.0,2978882279040.0,2597190162674.0,2593114232418.0,2594705702973.0,2597790778682.0,2599626985914.0,106482123645.0,109478886015.0,113999852872.0,389179921894.0,553393520689.0,556233712155.0,547753567267.0,547220267268.0,544020504320.0,521261884252.0,525917927628.0,525611795593.0,533445637999.0
Khấu hao lũy kế TSCĐ hữu hình,Accumulated depreciation,accumulated_depreciation,-489710970839.0,-516394265556.0,-543903798093.0,-573944372505.0,-601914185799.0,-654038952056.0,-660531748437.0,-689866230528.0,-703653054087.0,-723918165701.0,-744705176817.0,-765691904526.0,-791546852396.0,-819222984437.0,-847494229731.0,-871764330557.0,-813532471801.0,-836310972497.0,-857449005544.0,-880851577620.0,-902280366295.0,-80651697951.0,-82665651650.0,-88665735029.0,-175712121551.0,-178484148082.0,-178960470432.0,-167632006813.0,-172475799224.0,-173364181439.0,-154929012657.0,-159731811822.0,-162119670658.0,-166218945793.0
GTCL tài sản thuê tài chính,Finance lease assets,finance_lease_assets,26660567431.0,25619633795.0,24578700159.0,18779694447.0,16125393025.0,16559531188.0,15825595760.0,1820129886.0,1722943758.0,1650054153.0,1577164548.0,1504274943.0,1431385338.0,801352872.0,760606122.0,719859372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nguyên giá tài sản thuê tài chính,Cost,cost,33309876347.0,33309876347.0,33309876347.0,25615142841.0,22053466347.0,23194375438.0,23194375438.0,2040909091.0,2040909091.0,2040909091.0,2040909091.0,2040909091.0,2040909091.0,1140909091.0,1140909091.0,1140909091.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khấu hao lũy kế tài sản thuê tài chính,Accumulated depreciation,accumulated_depreciation,-6649308916.0,-7690242552.0,-8731176188.0,-6835448394.0,-5928073322.0,-6634844250.0,-7368779678.0,-220779205.0,-317965333.0,-390854938.0,-463744543.0,-536634148.0,-609523753.0,-339556219.0,-380302969.0,-421049719.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTCL tài sản cố định vô hình,Intangible fixed assets,intangible_fixed_assets,3236570685870.0,3155776014383.0,3109114956433.0,3055352949137.0,3706288593332.0,3608744181988.0,3546214677063.0,3482793839752.0,3391991085518.0,3331590382750.0,3279561444506.0,3203388304400.0,3159797097626.0,6302717075767.0,7427475664054.0,7338736311713.0,7191286408399.0,7091035297325.0,7010644663762.0,6807539823167.0,6725452343639.0,6736333323151.0,6691133594476.0,16374850020007.0,16237572577477.0,16159746197778.0,16016341970567.0,15883216608796.0,15715461441032.0,15585312075461.0,15413689865157.0,15306430579357.0,15138967327757.0,14951546206378.0
Nguyên giá TSCĐ vô hình,Cost,cost,4239031488209.0,5262502126533.0,5263299578133.0,5255039046127.0,6048045753142.0,6009920770478.0,6002722238972.0,5788170233786.0,6004243199830.0,6004512299830.0,6017456399729.0,5802308091988.0,5819914913825.0,9079610625304.0,10236852445764.0,10266427545777.0,9930067558604.0,9943033827390.0,9977739851208.0,9846668640425.0,9853098494045.0,9965587385650.0,9982014224399.0,20076590795992.0,20112634582714.0,20197859189380.0,20215522029548.0,20245943067906.0,20251849047144.0,20293999859459.0,20295597101851.0,20340961054843.0,20344193936668.0,20344532842404.0
Khấu hao lũy kế TSCĐ vô hình,Accumulated depreciation,accumulated_depreciation,-1002460802339.0,-2106726112150.0,-2154184621700.0,-2199686096990.0,-2341757159810.0,-2401176588490.0,-2456507561909.0,-2305376394034.0,-2612252114312.0,-2672921917080.0,-2737894955223.0,-2598919787588.0,-2660117816199.0,-2776893549537.0,-2809376781710.0,-2927691234064.0,-2738781150205.0,-2851998530065.0,-2967095187446.0,-3039128817258.0,-3127646150406.0,-3229254062499.0,-3290880629923.0,-3701740775985.0,-3875062005237.0,-4038112991602.0,-4199180058981.0,-4362726459110.0,-4536387606112.0,-4708687783998.0,-4881907236694.0,-5034530475486.0,-5205226608911.0,-5392986636026.0
Xây dựng cơ bản đang dang dở (trước 2015),Construction in progress (before 2015),construction_in_progress_before_2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giá trị ròng tài sản đầu tư,Investment properties,investment_properties,229300608449.0,228286058192.0,227271507935.0,223605687758.0,230003236830.0,287472955885.0,285816682612.0,284160409339.0,282504136066.0,280847862793.0,279191589520.0,59827785268.0,59214161869.0,58600538470.0,57986915071.0,799602568965.0,744935439911.0,738664776495.0,732394113078.0,911748395859.0,965164048225.0,958764955489.0,951156408559.0,903617152702.0,905894666418.0,732554147420.0,725471985153.0,733586384349.0,727532370295.0,720917731827.0,714060143503.0,705182207652.0,698346742387.0,691511277123.0
Nguyên giá tài sản đầu tư,Cost,cost,253110197317.0,253110197317.0,253110197317.0,250196883277.0,258388658755.0,326174689756.0,326174689756.0,326174689756.0,326174689756.0,326174689756.0,326174689756.0,73623018369.0,73623018369.0,73623018369.0,73623018369.0,822061028081.0,758316597380.0,758316597380.0,758316597380.0,944413549201.0,1005927788154.0,1007681072767.0,1008224420710.0,965854818265.0,981242188217.0,809577856974.0,809577856974.0,824961738501.0,824961738501.0,825204688356.0,825204688356.0,822957890543.0,822957890543.0,822957890543.0
Khấu hao lũy kế tài sản đầu tư,Accumulated depreciation,accumulated_depreciation,-23809588868.0,-24824139125.0,-25838689382.0,-26591195519.0,-28385421925.0,-38701733871.0,-40358007144.0,-42014280417.0,-43670553690.0,-45326826963.0,-46983100236.0,-13795233101.0,-14408856500.0,-15022479899.0,-15636103298.0,-22458459116.0,-13381157469.0,-19651820885.0,-25922484302.0,-32665153342.0,-40763739929.0,-48916117278.0,-57068012151.0,-62237665563.0,-75347521799.0,-77023709554.0,-84105871821.0,-91375354152.0,-97429368206.0,-104286956529.0,-111144544853.0,-117775682891.0,-124611148156.0,-131446613420.0
Đầu tư dài hạn,Long-term investments,long_term_investments,1163439536852.0,1349537831839.0,1527341913789.0,1563524778206.0,2149306640283.0,1220352838241.0,1393614738525.0,1694012922673.0,1623653220239.0,1658545403561.0,1361161808426.0,1380677544983.0,1425783676283.0,1423838786339.0,1444517086805.0,1542889656108.0,2410927340078.0,2433676701591.0,2271417132799.0,2423896425873.0,2447453109443.0,2216110894790.0,2325359783462.0,1202818597858.0,408451281183.0,1024027321183.0,1024027321183.0,1023929220000.0,1023929220000.0,1023929220000.0,1002529220000.0,1002529220000.0,1340858572428.0,1436188512030.0
Đầu tư vào các công ty con,Investments in subsidiaries,investments_in_subsidiaries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Đầu tư vào các công ty liên kết,Investments in associates,investments_in_associates,912363648294.0,1104204436839.0,1282008518789.0,1318191383206.0,1903973245283.0,913530387349.0,965355733525.0,945465651798.0,939083643164.0,936969266486.0,954115703426.0,970121439983.0,993227571283.0,991283781339.0,1011962081805.0,993733494108.0,1913560765078.0,1876320126591.0,1714060557799.0,1866539850873.0,1890096534443.0,1703779189770.0,1735028078442.0,830917316675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Đầu tư dài hạn khác,Other long-term investments,other_long_term_investments,280575888558.0,274833395000.0,274833395000.0,274833395000.0,274833395000.0,332422450892.0,453859005000.0,750547270875.0,683059577075.0,723576137075.0,409046105000.0,409046105000.0,409046105000.0,409045005000.0,409045005000.0,409045005000.0,407045005000.0,407045005000.0,407045005000.0,407045005000.0,407045005000.0,362020135020.0,362020135020.0,243589711183.0,282139711183.0,897715751183.0,897715751183.0,897617650000.0,897617650000.0,897617650000.0,877217650000.0,877217650000.0,877217650000.0,847517650000.0
Dự phòng giảm giá đầu tư dài hạn,Provision for long-term investments,provision_for_long_term_investments,-29500000000.0,-29500000000.0,-29500000000.0,-29500000000.0,-29500000000.0,-25600000000.0,-25600000000.0,-2000000000.0,-2000000000.0,-2000000000.0,-3000000000.0,-3000000000.0,-3000000000.0,-3000000000.0,-3000000000.0,-36398843000.0,-22688430000.0,-22688430000.0,-22688430000.0,-22688430000.0,-22688430000.0,-22688430000.0,-22688430000.0,-22688430000.0,-24688430000.0,-24688430000.0,-24688430000.0,-24688430000.0,-24688430000.0,-24688430000.0,-24688430000.0,-24688430000.0,-24688430000.0,-8000000000.0
Lợi thế thương mại (trước 2015),Goodwill (before 2015),goodwill_before_2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tài sản dài hạn khác,Other long-term assets,other_long_term_assets,2300481586331.0,2253480450703.0,2200264397447.0,2149267186016.0,2216086528404.0,2575314858230.0,2500083274522.0,2540937298103.0,2560851606219.0,2566107475646.0,2629755660515.0,2608545402422.0,2586044312737.0,2660416661238.0,2700162103390.0,2825597358130.0,2733644582777.0,2777106103562.0,2809233252465.0,3037649472125.0,3106161002628.0,2985115208039.0,3034280730605.0,4182588732211.0,4797117706624.0,4955347337610.0,5069365058140.0,5316148529544.0,5376020023556.0,5462889488879.0,5518161435120.0,5661900168270.0,5690041637254.0,5672187908934.0
Trả trước dài hạn,Long-term prepayments,long_term_prepayments,338497235978.0,359888356180.0,374946908872.0,389531241724.0,460965580537.0,621528667595.0,660350009599.0,732116060477.0,785838556193.0,835887882694.0,944744984301.0,959074296074.0,977692248141.0,1116032879305.0,1213850357269.0,1379940278957.0,1353663596621.0,1479981549214.0,1585587549153.0,1881088986186.0,2013586969000.0,2059124013694.0,2162373807541.0,3131292363521.0,3514147456044.0,3705755163067.0,3860294651146.0,4035509540115.0,4175738737619.0,4277124814110.0,4385401177295.0,4551154111758.0,4638476732932.0,4666034022574.0
Thuế thu nhập hoãn lại,Deferred income tax assets,deferred_income_tax_assets,10132680510.0,9428764981.0,9009955624.0,7726419258.0,7459495241.0,226732822648.0,194637619584.0,223966185643.0,239514818648.0,254379676935.0,268830358820.0,292948225966.0,311486468940.0,307180003558.0,308762774273.0,329835468135.0,323489065493.0,299951239346.0,284764998416.0,276004291850.0,268964320086.0,260723313676.0,252886312693.0,248197798103.0,245889122024.0,257403734034.0,259329603273.0,409633091738.0,413932955240.0,453670212290.0,454919663559.0,487159330460.0,482232046482.0,491070647245.0
Các tài sản dài hạn khác,Other long-term assets,other_long_term_assets,0.0,1884163329542.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623586726052.0,569332857840.0,515083239115.0
