item,item_en,item_id,2026-Q2,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3
"Tiền mặt, vàng bạc, đá quý",Cash and precious metals,cash_and_precious_metals,12998380000000.0,12295797000000.0,12583484000000.0,11927654000000.0,11463197000000.0,11517746000000.0,11147549000000.0,10239086000000.0
Tài sản cố định,Fixed assets,fixed_assets,10708883000000.0,10766129000000.0,10826743000000.0,9979231000000.0,9957216000000.0,9800697000000.0,10002157000000.0,9622806000000.0
Tài sản cố định hữu hình,Tangible fixed assets,tangible_fixed_assets,6473599000000.0,6535353000000.0,6729017000000.0,6091227000000.0,6117422000000.0,5998739000000.0,6149216000000.0,5780898000000.0
Nguyên giá TSCĐ hữu hình,Cost,cost,18651620000000.0,18564267000000.0,18510909000000.0,17721905000000.0,17566329000000.0,17284094000000.0,17253570000000.0,16773211000000.0
Hao mòn TSCĐ hữu hình,Accumulated depreciation,accumulated_depreciation,-12178021000000.0,-12028914000000.0,-11781892000000.0,-11630678000000.0,-11448907000000.0,-11285355000000.0,-11104354000000.0,-10992313000000.0
Tài sản cố định thuê tài chính,Finance leased assets,finance_leased_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nguyên giá TSCĐ thuê tài chính,Cost,cost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hao mòn TSCĐ thuê tài chính,Accumulated depreciation,accumulated_depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tài sản cố định vô hình,Intangible fixed assets,intangible_fixed_assets,4235284000000.0,4230776000000.0,4097726000000.0,3888004000000.0,3839794000000.0,3801958000000.0,3852941000000.0,3841908000000.0
Nguyên giá TSCĐ vô hình,Cost,cost,7623104000000.0,7553995000000.0,7363859000000.0,7100256000000.0,7014754000000.0,6934231000000.0,6927826000000.0,6843624000000.0
Hao mòn TSCĐ vô hình,Accumulated amortization,accumulated_amortization,-3387820000000.0,-3323219000000.0,-3266133000000.0,-3212252000000.0,-3174960000000.0,-3132273000000.0,-3074885000000.0,-3001716000000.0
Bất động sản đầu tư,Investment properties,investment_properties,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nguyên giá bất động sản đầu tư,Historical cost,historical_cost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hao mòn bất động sản đầu tư,Accumulated depreciation,accumulated_depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Góp vốn, đầu tư dài hạn",Investment in other entities and long term investments,investment_in_other_entities_and_long_term_investments,4586479000000.0,4515197000000.0,4428296000000.0,4385480000000.0,4231173000000.0,4071083000000.0,3933844000000.0,3761550000000.0
Đầu tư vào công ty con,Investment in subsidiaries,investment_in_subsidiaries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Đầu tư vào công ty liên doanh,Investment in associate companies,investment_in_associate_companies,4352017000000.0,4280735000000.0,4193834000000.0,4158353000000.0,4004046000000.0,3843956000000.0,3706673000000.0,3541519000000.0
Đầu tư dài hạn khác,Other Long-term investments,other_long_term_investments,234462000000.0,234462000000.0,234462000000.0,234462000000.0,234462000000.0,234462000000.0,234462000000.0,234462000000.0
Dự phòng giảm giá đầu tư dài hạn,Provision for long-term investments,provision_for_long_term_investments,0.0,0.0,0.0,-7335000000.0,-7335000000.0,-7335000000.0,-7291000000.0,-14431000000.0
TỔNG TÀI SẢN,TOTAL ASSETS,total_assets,2962003670000000.0,2924176928000000.0,2767699300000000.0,2761550938000000.0,2609788006000000.0,2469863401000000.0,2385387732000000.0,2229791111000000.0
TỔNG NỢ PHẢI TRẢ,TOTAL LIABILITIES,total_liabilities,2761789368000000.0,2735484770000000.0,2588044295000000.0,2591669938000000.0,2445961810000000.0,2315881229000000.0,2236883024000000.0,2088805155000000.0
VỐN CHỦ SỞ HỮU,OWNER'S EQUITY,owners_equity,200214302000000.0,188692158000000.0,179655005000000.0,169881000000000.0,163826196000000.0,153982172000000.0,148504708000000.0,140985956000000.0
Vốn điều lệ,Charter capital,charter_capital,77669446000000.0,77669446000000.0,77669446000000.0,53699917000000.0,53699917000000.0,53699917000000.0,53699917000000.0,53699917000000.0
Thặng dư vốn cổ phần,Capital surplus,capital_surplus,8974656000000.0,8974666000000.0,8974666000000.0,8974666000000.0,8974666000000.0,8974677000000.0,8974677000000.0,8974677000000.0
Vốn khác,Owner's other capital,owners_other_capital,2170078000000.0,1574563000000.0,1574563000000.0,1574563000000.0,1393150000000.0,909405000000.0,909405000000.0,836032000000.0
Cổ phiếu Quỹ,Treasury shares,treasury_shares,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chênh lệch đánh giá lại tài sản,Difference upon assets revaluation,difference_upon_assets_revaluation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chênh lệch tỷ giá hối đoái,Foreign currency difference reserve,foreign_currency_difference_reserve,346575000000.0,431024000000.0,362748000000.0,410686000000.0,409359000000.0,229673000000.0,243105000000.0,35561000000.0
Lợi nhuận chưa phân phối,Retained Earnings,retained_earnings,78144110000000.0,67132147000000.0,58212794000000.0,78693609000000.0,72903163000000.0,63803161000000.0,58390118000000.0,57471783000000.0
Lợi ích của cổ đông thiểu số (trước 2015),Minority interest (Before 2015),minority_interest_before_2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,LIABILITIES AND SHAREHOLDER'S EQUITY,liabilities_and_shareholders_equity,2962003670000000.0,2924176928000000.0,2767699300000000.0,2761550938000000.0,2609788006000000.0,2469863401000000.0,2385387732000000.0,2229791111000000.0
Tiền gửi tại Ngân hàng nhà nước Việt Nam,Balances with the SBV,balances_with_the_sbv,18553436000000.0,21355164000000.0,35225543000000.0,26381835000000.0,13692083000000.0,13043069000000.0,34431657000000.0,26611768000000.0
Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Placements with and loans to other credit institutions,placements_with_and_loans_to_other_credit_institutions,553189148000000.0,600736438000000.0,476487530000000.0,487526891000000.0,428879341000000.0,406579256000000.0,378482885000000.0,378231233000000.0
Chứng khoán kinh doanh,"Trading securities, net",trading_securities_net,4069211000000.0,3579549000000.0,2942431000000.0,2624628000000.0,2209173000000.0,3066934000000.0,2798875000000.0,3234357000000.0
Chứng khoán kinh doanh,Trading securities,trading_securities,4182206000000.0,3674290000000.0,3044151000000.0,2727659000000.0,2326459000000.0,3211458000000.0,2990692000000.0,3417931000000.0
Dự phòng giảm giá chứng khoán kinh doanh,Less: Provision for diminution in value of trading securities,less_provision_for_diminution_in_value_of_trading_securities,-112995000000.0,-94741000000.0,-101720000000.0,-103031000000.0,-117286000000.0,-144524000000.0,-191817000000.0,-183574000000.0
Các công cụ tài chính phái sinh và các tài sản tài chính khác,Derivatives and other financial assets,derivatives_and_other_financial_assets,0.0,0.0,228448000000.0,223329000000.0,0.0,0.0,0.0,350654000000.0
Cho vay khách hàng,"Loans and advances to customers, net",loans_and_advances_to_customers_net,2059113306000000.0,1994058143000000.0,1957462503000000.0,1952226906000000.0,1865914070000000.0,1762190229000000.0,1685290589000000.0,1569844441000000.0
