item,item_en,item_id,2026-Q2,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3
Tổng lợi nhuận/lỗ trước thuế,Net Accounting Profit/(loss) before tax,net_accounting_profit_loss_before_tax,14728745000000.0,11139360000000.0,13909069000000.0,10614390000000.0,12097152000000.0,6823198000000.0,12251018000000.0,6552679000000.0
Chi phí thuế TNDN hiện hành,Business income tax - current,business_income_tax_current,-2945255000000.0,-2179319000000.0,-2802062000000.0,-2101927000000.0,-2345147000000.0,-1319472000000.0,-2377386000000.0,-1360167000000.0
Chi phí thuế TNDN hoãn lại,Business income tax - deferred,business_income_tax_deferred,0.0,0.0,404000000.0,0.0,0.0,-4339000000.0,4540000000.0,0.0
Chi phí thuế thu nhập doanh nghiệp,Business income tax expenses,business_income_tax_expenses,-2945255000000.0,-2179319000000.0,-2801658000000.0,-2101927000000.0,-2345147000000.0,-1323811000000.0,-2372846000000.0,-1360167000000.0
Lợi nhuận sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,11783490000000.0,8960041000000.0,11107411000000.0,8512463000000.0,9752005000000.0,5499387000000.0,9878172000000.0,5192512000000.0
Lợi ích của cổ đông thiểu số,Minority interest,minority_interest,-43430000000.0,-43062000000.0,-40474000000.0,-63679000000.0,-82120000000.0,-80512000000.0,-79921000000.0,33347000000.0
Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,11740060000000.0,8916979000000.0,11066937000000.0,8448784000000.0,9669885000000.0,5418875000000.0,9798251000000.0,5225859000000.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu nhập lãi và các khoản thu nhập tương tự,Interest and Similar Income,interest_and_similar_income,46918820000000.0,41672522000000.0,38592005000000.0,36989708000000.0,34876403000000.0,32684212000000.0,32446079000000.0,30924362000000.0
Chi phí lãi và các chi phí tương tự,Interest and Similar Expenses,interest_and_similar_expenses,-26188358000000.0,-22287369000000.0,-20632309000000.0,-19813990000000.0,-19033787000000.0,-17208997000000.0,-16133922000000.0,-15346848000000.0
Thu nhập lãi thuần,Net Interest Income,net_interest_income,20730462000000.0,19385153000000.0,17959696000000.0,17175718000000.0,15842616000000.0,15475215000000.0,16312157000000.0,15577514000000.0
Thu nhập từ dịch vụ,Fees and Commission Income,fees_and_commission_income,4292256000000.0,3462303000000.0,3219102000000.0,3115601000000.0,3141453000000.0,2874899000000.0,2837517000000.0,3125194000000.0
Chi phí dịch vụ,Fees and Commission Expenses,fees_and_commission_expenses,-2023664000000.0,-1615259000000.0,-1522160000000.0,-1528347000000.0,-1707237000000.0,-1264360000000.0,-1607967000000.0,-1323745000000.0
Lãi/Lỗ thuần từ hoạt động dịch vụ,Net Fee and Commission Income,net_fee_and_commission_income,2268592000000.0,1847044000000.0,1696942000000.0,1587254000000.0,1434216000000.0,1610539000000.0,1229550000000.0,1801449000000.0
Lãi/(lỗ) thuần từ hoạt động kinh doanh ngoại hối và vàng,Net gain/(loss) from foreign currency and gold dealings,net_gain_loss_from_foreign_currency_and_gold_dealings,925421000000.0,1084689000000.0,555334000000.0,546197000000.0,1106104000000.0,912866000000.0,1057550000000.0,608810000000.0
Lãi/(lỗ) thuần từ mua bán chứng khoán kinh doanh,Net gain/(loss) from trading of trading securities,net_gain_loss_from_trading_of_trading_securities,36108000000.0,23202000000.0,36349000000.0,216030000000.0,213219000000.0,238195000000.0,12516000000.0,16411000000.0
Lãi/(lỗ) thuần từ mua bán chứng khoán đầu tư,Net gain/(loss) from disposal of investment securities,net_gain_loss_from_disposal_of_investment_securities,2882000000.0,392393000000.0,16758000000.0,14261000000.0,30591000000.0,90960000000.0,53378000000.0,-201712000000.0
Thu nhập khác,Other Income,other_income,2711027000000.0,2679384000000.0,3696354000000.0,3289637000000.0,2545568000000.0,2241243000000.0,2892475000000.0,4377345000000.0
Chi phí khác,Other Expenses,other_expenses,-383194000000.0,-414859000000.0,-608195000000.0,-458157000000.0,-372166000000.0,-238922000000.0,-302011000000.0,-414355000000.0
Lãi/(lỗ) thuần từ hoạt động khác,Net Other income/expenses,net_other_income_expenses,2327833000000.0,2264525000000.0,3088159000000.0,2831480000000.0,2173402000000.0,2002321000000.0,2590464000000.0,3962990000000.0
Thu nhập từ cổ tức,Dividends Income,dividends_income,93292000000.0,104548000000.0,71344000000.0,128804000000.0,116932000000.0,123287000000.0,29444000000.0,150836000000.0
Tổng thu nhập hoạt động,Total Operating Income,total_operating_income,26384590000000.0,25101554000000.0,23424582000000.0,22499744000000.0,20917080000000.0,20453383000000.0,21285059000000.0,21916298000000.0
Chi phí quản lý doanh nghiệp,General and Admin Expenses,general_and_admin_expenses,-6355563000000.0,-6261263000000.0,-9164596000000.0,-6021945000000.0,-5847160000000.0,-5519223000000.0,-6569774000000.0,-6094955000000.0
Lợi nhuận thuần hoạt động trước khi trích lập dự phòng tổn thất tín dụng,Net Operating Profit Before Allowance for Credit Loss,net_operating_profit_before_allowance_for_credit_loss,20029027000000.0,18840291000000.0,14259986000000.0,16477799000000.0,15069920000000.0,14934160000000.0,14715285000000.0,15821343000000.0
Trích lập dự phòng tổn thất tín dụng,Provision for Credit Losses,provision_for_credit_losses,-5300282000000.0,-7700931000000.0,-350917000000.0,-5863409000000.0,-2972768000000.0,-8110962000000.0,-2464267000000.0,-9268664000000.0
