item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,1255919448335.0,1230061446995.0,1188852455854.0,1246519616167.0,1167287564543.0,1182756328730.0,1215216386887.0,1376618361925.0,1347333173559.0,1408770470800.0,1408000426450.0,1442218072079.0,1325151403031.0,1367412860642.0,1125939822200.0,1261155476594.0,1404431428186.0,1533039781588.0,1535762631358.0,1422244637211.0,1395443433890.0,1451227330377.0,1422665841578.0,1403123810398.0,1513841384065.0,1495412309941.0,1428595215312.0,1432009216451.0,1402627546934.0,1493267760700.0,1431897577850.0,1365218265862.0,1308744063045.0,1302446087065.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,26500660227.0,37377366101.0,8267745610.0,22603807470.0,12974839565.0,18303133409.0,12606484234.0,14499004915.0,19482381709.0,8807828029.0,8741689154.0,41877931541.0,47030455948.0,31761026856.0,11302078386.0,41255262412.0,62431938220.0,119265689229.0,123620200103.0,52851714658.0,21957302268.0,12958247320.0,26596170487.0,23517073130.0,17748607108.0,18025510006.0,13093048168.0,51068879639.0,14685834444.0,8514929206.0,12929409318.0,21438111942.0,6445155653.0,7079645812.0
Tiền,Cash,cash,26500660227.0,37377366101.0,8267745610.0,22603807470.0,12974839565.0,18303133409.0,12606484234.0,14499004915.0,19482381709.0,8807828029.0,8741689154.0,12877931541.0,19030455948.0,12761026856.0,11302078386.0,14909317207.0,62431938220.0,12904176024.0,58947659019.0,52851714658.0,21957302268.0,12958247320.0,26596170487.0,23517073130.0,17748607108.0,18025510006.0,13093048168.0,51068879639.0,14685834444.0,8514929206.0,12929409318.0,11438111942.0,6445155653.0,7079645812.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29000000000.0,28000000000.0,19000000000.0,0.0,26345945205.0,0.0,106361513205.0,64672541084.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000000.0,0.0,0.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,674400000000.0,580219323904.0,570219323904.0,640490000000.0,662490000000.0,657255000000.0,705255000000.0,838255000000.0,911905000000.0,895301712818.0,849346712818.0,877875797749.0,775127597749.0,788717184931.0,548320184931.0,655923100000.0,766009045205.0,792667945205.0,778817032420.0,692580032420.0,234495032420.0,216395032420.0,194149000000.0,204149000000.0,204149000000.0,214149000000.0,213795000000.0,214795000000.0,221795000000.0,241795000000.0,241795000000.0,232795000000.0,238795000000.0,550158645291.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70270000000.0,70270000000.0,70270000000.0,70270000000.0,70270000000.0,70270000000.0,94795000000.0,94795000000.0,94795000000.0,94795000000.0,94795000000.0,94795000000.0,104795000000.0,104795000000.0,104795000000.0,104795000000.0,104795000000.0,104795000000.0,104795000000.0,104795000000.0,104795000000.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,255841943939.0,258223661465.0,255064892937.0,267191746894.0,221377127070.0,221169753361.0,233137665732.0,289231745839.0,221723013700.0,247986007140.0,264080671696.0,288736575421.0,238732339386.0,235625685645.0,237893543972.0,233633989883.0,266911667503.0,277945626800.0,290424709535.0,332297287481.0,785988393168.0,834459661040.0,801101730373.0,773475425492.0,848288840643.0,803680226258.0,748732920928.0,773563090580.0,778211823798.0,740537981759.0,705231581864.0,694962575852.0,662097144136.0,355639627284.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,236308373324.0,243177698945.0,248116180563.0,261980337690.0,237887568748.0,236549372682.0,230412562433.0,247105318399.0,223824997417.0,206092826675.0,193558665976.0,215158476730.0,199695948903.0,211418007282.0,203535905398.0,203660084392.0,231965918004.0,232788685923.0,220301176204.0,251993652048.0,236941146677.0,217177297420.0,209704853335.0,293213041302.0,332068918835.0,299701474859.0,266499103072.0,326764738221.0,356162952156.0,305329402543.0,260517534157.0,279746076822.0,295840674876.0,281108435431.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,31874477469.0,30407054970.0,14523492502.0,6341512671.0,8993034280.0,8604005310.0,11279016211.0,17212506796.0,21129833528.0,55442460761.0,70902707308.0,76630653360.0,44504667817.0,43636346917.0,54375156040.0,57622259137.0,66501297287.0,68926167258.0,95448646976.0,104790547920.0,137792927280.0,181172104057.0,179950137625.0,67231442528.0,98662740744.0,102367254907.0,83327044803.0,81714362660.0,36180193192.0,31219965895.0,43236533338.0,52998467586.0,44724455821.0,58622687225.0
