item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,191477870490.0,194268596684.0,189848172306.0,236769154755.0,172838775984.0,183229284244.0,180649135178.0,219939747768.0,185736861143.0,148670070163.0,139032627654.0,217160893635.0,174510552918.0,191560279570.0,151634202013.0,197781190452.0,219953569712.0,213186204186.0,250938488695.0,352083722318.0,244688698950.0,267066649061.0,262348935252.0,396368848099.0,282910008850.0,289719442453.0,242949953847.0,517047134054.0,347490993919.0,330563686299.0,292700599273.0,378564504049.0,333431995925.0,290172001227.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-2628221040.0,-1691972713.0,-2099769736.0,-1764216779.0,-1839459601.0,-440391668.0,-1359792443.0,-1003070863.0,-449082382.0,-2114033975.0,-2616593603.0,-14174535669.0,-3925039895.0,-2816108843.0,-2116960854.0,-2993774784.0,-2568060630.0,-4265790004.0,-6530423767.0,-7112197752.0,-7907987161.0,-8301183333.0,-3007205069.0,-7310455555.0,-4969723643.0,-6740781188.0,-7334616041.0,-6783976312.0,-7474264182.0,-7325516931.0,-6959580479.0,-5971309683.0,-9310507747.0,-4828582888.0
Doanh thu thuần,Net sales,net_sales,188849649450.0,192576623971.0,187748402570.0,235004937976.0,170999316383.0,182788892576.0,179289342735.0,218936676905.0,185287778761.0,146556036188.0,136416034051.0,202986357966.0,170585513023.0,188744170727.0,149517241159.0,194787415668.0,217385509082.0,208920414182.0,244408064928.0,344971524566.0,236780711789.0,258765465728.0,259341730183.0,389058392544.0,277940285207.0,282978661265.0,235615337806.0,510263157742.0,340016729737.0,323238169368.0,285741018794.0,372593194366.0,324121488178.0,285343418339.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-137885415720.0,-141704362171.0,-141631500555.0,-174598199431.0,-134918214708.0,-139853463829.0,-134760221532.0,-155287980309.0,-137406841913.0,-105157851287.0,-90978753025.0,-150065466381.0,-124198265940.0,-131656517924.0,-105782702485.0,-131844800247.0,-162940583006.0,-144793286403.0,-173989265691.0,-251862032745.0,-185645450891.0,-216559376198.0,-224330334095.0,-307497248746.0,-214468431010.0,-243080466274.0,-200261463283.0,-444283096776.0,-259739521343.0,-288276365683.0,-251087863182.0,-318241547949.0,-285342630600.0,-237323764869.0
Lợi nhuận gộp,Gross Profit,gross_profit,50964233730.0,50872261800.0,46116902015.0,60406738545.0,36081101675.0,42935428747.0,44529121203.0,63648696596.0,47880936848.0,41398184901.0,45437281026.0,52920891585.0,46387247083.0,57087652803.0,43734538674.0,62942615421.0,54444926076.0,64127127779.0,70418799237.0,93109491821.0,51135260898.0,42206089530.0,35011396088.0,81561143798.0,63471854197.0,39898194991.0,35353874523.0,65980060966.0,80277208394.0,34961803685.0,34653155612.0,54351646417.0,38778857578.0,48019653470.0
Doanh thu hoạt động tài chính,Financial income,financial_income,8201392548.0,15497050889.0,15423900419.0,15076257126.0,14043132142.0,14301606568.0,15755273984.0,93392136798.0,18301934058.0,18643855631.0,17680951773.0,17336889944.0,16756315037.0,23734886440.0,10625409344.0,8557152854.0,12073534359.0,13338465186.0,14027688311.0,13552111530.0,10545122019.0,10209926461.0,9766562521.0,9494121911.0,9229256251.0,8692751342.0,8691372323.0,7940473623.0,7491904641.0,8222881680.0,8221658198.0,7926402664.0,7164698567.0,7994784621.0
Chi phí tài chính,Financial expenses,financial_expenses,-6541319753.0,-12361143160.0,-16899559703.0,-8833625265.0,-10902334742.0,-12239570432.0,-9994012741.0,-13386684290.0,-17230361536.0,-2178269512.0,-7873380784.0,-7284328500.0,-11433985906.0,-10636662241.0,-5215740765.0,-9280565783.0,-12294924360.0,-8007891256.0,-9812975336.0,-9713860678.0,-8076598554.0,-8792374766.0,-8843942437.0,-7871025222.0,-7060796039.0,-6540951009.0,-5991021691.0,-6024046288.0,-10170616467.0,-13653844318.0,-13000307840.0,-12574401263.0,-13042025892.0,-15385730843.0
Chi phí lãi vay,Interest expenses,interest_expenses,-8121014508.0,-2096562553.0,-9273993083.0,-10670405504.0,-10138371299.0,-9621597436.0,-9333929819.0,-8488252720.0,-8812162969.0,-8971352089.0,-8252703425.0,-7227530558.0,-11394654408.0,-10397730165.0,-3940535285.0,-5777909985.0,-9231657760.0,-7908155279.0,-9801412311.0,-9341785463.0,-7520722418.0,-7256888626.0,-7629844331.0,-6762627729.0,-6952934029.0,-6454290019.0,-5979617606.0,-5999841867.0,-10129109245.0,-13473511850.0,-12952710406.0,-12573220491.0,-13036967661.0,-15269419043.0
Chi phí bán hàng,Selling expenses,selling_expenses,-31466428703.0,-38359949714.0,-34358777913.0,-39699533873.0,-26930000618.0,-32262254011.0,-30784171111.0,-38049244809.0,-26709551568.0,-24729406287.0,-25666140964.0,-20890759189.0,-22301569689.0,-18505001200.0,-16374708526.0,-17300123186.0,-23313890656.0,-25718335121.0,-26638245219.0,-28336085581.0,-23347115237.0,-9614512528.0,-23018278897.0,-31888092371.0,-19826091070.0,-21664840252.0,-20351721797.0,-29084127119.0,-20484353985.0,-16240868797.0,-19250023674.0,-24578618705.0,-15217058332.0,-16894827156.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-13804061541.0,-14784938166.0,-11000199059.0,-14134522257.0,-12627148031.0,-11078473565.0,-11427267214.0,-11248075529.0,-12265497894.0,-9415879518.0,-9294159542.0,-10761723930.0,-14273135608.0,-10532827330.0,-11744282755.0,-12339553392.0,-13622501634.0,-11108806714.0,-11108428759.0,-13968824480.0,-12087475770.0,-12093526561.0,-11993665363.0,-15134342297.0,-10437526558.0,-13233238404.0,-15585363308.0,-14690872430.0,-16432492335.0,-15265189882.0,-15999858459.0,-17507001614.0,-15427897723.0,-16333181019.0
