item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,1031203079396.0,1040328312093.0,946826950091.0,1408850514451.0,854177808680.0,1111752828466.0,1003451491411.0,1444576515061.0,935538950804.0,900318652342.0,972225445213.0,1398649333861.0,1169215777861.0,1045745075634.0,1054390435519.0,1252663333456.0,1181478444624.0,1245256053231.0,1295988249194.0,1459017050725.0,1383426620514.0,1283916759641.0,1258822640547.0,1841568491219.0,1463734199389.0,1278466132484.0,1223214294672.0,1749008229085.0,1397247597425.0,1368781191853.0,1337586079858.0,2033290499202.0,1360855373439.0,1519577399342.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-122774087978.0,-107171806815.0,-118736704461.0,-190749085467.0,-86986691982.0,-135930293860.0,-129094724097.0,-165193104455.0,-77082602842.0,-80026640384.0,-107188670600.0,-186815157070.0,-151831947402.0,-97908991185.0,-109940691832.0,-159162574952.0,-116703058118.0,-125989048596.0,-134303114515.0,-128728568718.0,-154868593150.0,-131266844242.0,-159360905613.0,-306843128195.0,-205215675341.0,-172633955036.0,-161375609260.0,-290329960901.0,-202702820673.0,-184544177604.0,-191876992321.0,-290818693690.0,-162755190651.0,-156426927617.0
Doanh thu thuần,Net sales,net_sales,908428991418.0,933156505278.0,828090245630.0,1218101428984.0,767191116698.0,975822534606.0,874356767314.0,1279383410606.0,858456347962.0,820292011958.0,865036774613.0,1211834176791.0,1017383830459.0,947836084449.0,944449743687.0,1093500758504.0,1064775386506.0,1119267004635.0,1161685134679.0,1330288482007.0,1228558027364.0,1152649915399.0,1099461734934.0,1534725363024.0,1258518524048.0,1105832177448.0,1061838685412.0,1458678268184.0,1194544776752.0,1184237014249.0,1145709087537.0,1742471805512.0,1198100182788.0,1363150471725.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-530061712642.0,-497284754239.0,-446580368543.0,-693674897491.0,-430634933333.0,-532680056618.0,-504152815779.0,-716993801913.0,-435116398273.0,-398764195681.0,-467942009021.0,-642420439107.0,-566889706446.0,-484609873390.0,-485325463264.0,-545434781814.0,-560141973065.0,-565552486270.0,-583422392985.0,-709404212379.0,-614412653946.0,-590997547461.0,-584810101720.0,-881629694259.0,-746021322465.0,-608211164533.0,-600586901770.0,-792282133174.0,-627158644449.0,-599010659166.0,-584039788839.0,-950384836477.0,-597872633830.0,-655350642713.0
Lợi nhuận gộp,Gross Profit,gross_profit,378367278776.0,435871751039.0,381509877087.0,524426531493.0,336556183365.0,443142477988.0,370203951535.0,562389608693.0,423339949689.0,421527816277.0,397094765592.0,569413737684.0,450494124013.0,463226211059.0,459124280423.0,548065976690.0,504633413441.0,553714518365.0,578262741694.0,620884269628.0,614145373418.0,561652367938.0,514651633214.0,653095668765.0,512497201583.0,497621012915.0,461251783642.0,666396135010.0,567386132303.0,585226355083.0,561669298698.0,792086969035.0,600227548958.0,707799829012.0
Doanh thu hoạt động tài chính,Financial income,financial_income,23310547574.0,28148976719.0,28667959881.0,27657542782.0,25986142341.0,32288686429.0,32232047096.0,31980940049.0,36569100162.0,37364497564.0,34737025012.0,31761394608.0,32587649297.0,31059611008.0,30638453378.0,28653599371.0,30001656378.0,33168559931.0,33385030359.0,40597420764.0,52724641528.0,57755158567.0,55011091724.0,52399394649.0,38803815449.0,34537772701.0,39225037173.0,35553340685.0,32768778731.0,35392954588.0,35859937261.0,29214078472.0,29887180645.0,29835273757.0
Chi phí tài chính,Financial expenses,financial_expenses,-27172276640.0,-26679876958.0,-25219153321.0,-16982685574.0,-21894268850.0,-29023735057.0,-25696188464.0,-22244820236.0,-27076996940.0,-21424711129.0,-24234477729.0,-46446496687.0,-25512158705.0,-24343478682.0,-24236043603.0,-25099131390.0,-21895291992.0,-24044869011.0,-25880439424.0,-29286206550.0,-19268607863.0,-20086310843.0,-26676492488.0,-24877754039.0,-21199118726.0,-18775467714.0,-20809591905.0,-28955032209.0,-21213731448.0,-21487235784.0,-20777811524.0,-18111462499.0,-11991703028.0,-10823084570.0
Chi phí lãi vay,Interest expenses,interest_expenses,-7546685346.0,-7428675233.0,-6848467518.0,-6699878711.0,-5324257564.0,-7159512747.0,-7190511486.0,-3040920271.0,-3549731421.0,-2462340000.0,-4829749609.0,-3187775480.0,-2291194957.0,-3987395850.0,-3934061470.0,-1867451354.0,-2413133583.0,-5072398985.0,-4674731022.0,-398431376.0,-4466296455.0,-7068722002.0,-10278156342.0,-7716330263.0,-5207518121.0,-3736567657.0,-7642437295.0,-8224006815.0,-6199081919.0,-6498003344.0,-9939351890.0,-2998840491.0,0.0,0.0
Chi phí bán hàng,Selling expenses,selling_expenses,-144007443351.0,-182823707987.0,-164990095433.0,-234535367089.0,-122408065604.0,-170054852275.0,-170006078405.0,-224576225710.0,-154224830489.0,-161635178547.0,-149947970220.0,-233490296602.0,-168250511566.0,-174366101333.0,-179774468776.0,-280564126640.0,-166190690230.0,-234207257588.0,-225225295784.0,-287581254321.0,-187850091363.0,-239133453344.0,-254348650453.0,-297092275595.0,-191813211170.0,-225220698190.0,-229172695066.0,-258460494739.0,-201772325718.0,-254878209049.0,-254284649946.0,-446380836731.0,-185535192711.0,-267913368613.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-60852946038.0,-68838695177.0,-70375327325.0,-87059196510.0,-67743665402.0,-83583051167.0,-70962730773.0,-111540461424.0,-79358740849.0,-71252053960.0,-67556676937.0,-84694289994.0,-57348606842.0,-63339199901.0,-62614051196.0,-73864855553.0,-61142530141.0,-64188732828.0,-69615243527.0,-73354228494.0,-68517173126.0,-69356907630.0,-89871878456.0,-84349228647.0,-88483489419.0,-69741888876.0,-71181276882.0,-83416763509.0,-80323263128.0,-76391122837.0,-82166778834.0,-157503039207.0,-85272634596.0,-94596074712.0
