item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,5254389037887.0,4996746283697.0,5360727743271.0,5172046948960.0,4931621871116.0,5372357261804.0,5469694715995.0,5943942074804.0,6066634081243.0,6593076231666.0,6183205459219.0,6309728805880.0,6451258851237.0,7326135429603.0,7692277213018.0,9519480785001.0,11524073914687.0,13309577816832.0,12683948261515.0,13627704202941.0,11707171827303.0,11274577713572.0,10440540154330.0,9594723290083.0,10334620255907.0,12250164895105.0,13644813201790.0,13219573591341.0,14204933715828.0,15336796245358.0,15690848754234.0,14509456783696.0,14773851304782.0,15075123841774.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,1913206656068.0,1730539671826.0,2038572467467.0,1716919348616.0,1717604529857.0,2299939617754.0,2329975677779.0,2976952450033.0,2929191661594.0,3311166583380.0,2177345076822.0,2279198585342.0,2358659878822.0,2627446104955.0,2773726247311.0,2524115312966.0,3510320317982.0,4798068973859.0,3267683743811.0,1883841053069.0,1878666789902.0,1268363357182.0,1186950889877.0,1241561362115.0,735238927131.0,590498417034.0,1188481337381.0,1004912303570.0,728277613090.0,971208834176.0,787537427166.0,1168353223865.0,1191436947177.0,1460796657834.0
Tiền,Cash,cash,264593170377.0,344770649084.0,369813192533.0,293934821687.0,454487765731.0,376998894970.0,468596865755.0,349278804046.0,680143967903.0,656944414780.0,435740965262.0,265139502295.0,265383942960.0,521620915635.0,583875248197.0,567149383517.0,887805731039.0,934246784629.0,683838942747.0,307981912328.0,502054024558.0,408629218254.0,397187738034.0,574781435783.0,592224372342.0,462482989750.0,542455167270.0,741876402650.0,513170366835.0,544090631726.0,544402471558.0,324373816991.0,999081140195.0,935822196413.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,1648613485691.0,1385769022742.0,1668759274934.0,1422984526929.0,1263116764126.0,1922940722784.0,1861378812024.0,2627673645987.0,2249047693691.0,2654222168600.0,1741604111560.0,2014059083047.0,2093275935862.0,2105825189320.0,2189850999114.0,1956965929449.0,2622514586943.0,3863822189230.0,2583844801064.0,1575859140741.0,1376612765344.0,859734138928.0,789763151843.0,666779926332.0,143014554789.0,128015427284.0,646026170111.0,263035900920.0,215107246255.0,427118202450.0,243134955608.0,843979406874.0,192355806982.0,524974461421.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,975000000000.0,870000000000.0,870000000000.0,955000000000.0,865000000000.0,815000000000.0,935000000000.0,1035000000000.0,1095000000000.0,1145000000000.0,1925000000000.0,1935000000000.0,1905000000000.0,2555000000000.0,2495000000000.0,3455000000000.0,4945000000000.0,4830000000000.0,5830000000000.0,7080000000000.0,5430000000000.0,6700000000000.0,6100000000000.0,5385000000000.0,6364000000000.0,9114000000000.0,9464000000000.0,9464000000000.0,10064000000000.0,11114000000000.0,9712000000000.0,7835000000000.0,7853690747946.0,8769293266069.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49999923600.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,345585064248.0,419499261780.0,473927471871.0,520545713356.0,465900058689.0,349153022089.0,309172864723.0,289405734319.0,418826465046.0,438380255564.0,406301895143.0,336257216799.0,506442567804.0,335683291062.0,383867457735.0,488926629172.0,547021592384.0,619121223703.0,548990235462.0,458327989385.0,499853084615.0,599541408369.0,624440372086.0,642052906751.0,848820262704.0,764484317214.0,812805423991.0,653185512324.0,842893834531.0,857735487200.0,1368425188895.0,1389626061631.0,2023939601739.0,1499565465455.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,263260423756.0,344221886921.0,372228094133.0,422514452443.0,383376511716.0,290416882381.0,250947489172.0,239163840466.0,264145095724.0,368005557642.0,376071779899.0,223354869419.0,203245224561.0,198885576862.0,217134280015.0,262942321240.0,428565312299.0,439065003280.0,348299559006.0,234657477739.0,334167721156.0,387213008790.0,417033625433.0,432251479566.0,440296087413.0,479791914369.0,426554916453.0,276247523509.0,282013766870.0,469294124531.0,907291179979.0,1054403839965.0,1558167486798.0,1288591391638.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,69129559577.0,70639867997.0,94354596081.0,78790739261.0,73547145904.0,53552759386.0,50842783737.0,37348595546.0,155505120388.0,69375329199.0,20459621556.0,58161771022.0,271688362848.0,103774448149.0,131384957956.0,137517046753.0,80335553760.0,145171001266.0,163834304105.0,90137615251.0,109337009958.0,79459564060.0,118274208446.0,65442486447.0,239370747892.0,228223951253.0,249176630121.0,227545463111.0,400335787536.0,337327575412.0,376023812531.0,209275442658.0,382734526918.0,158829410549.0
