item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4
Năm,,year,2018,2018,2018,2018
Quý,,quarter,1,2,3,4
Mã TTM,Ratio TTM Id,ratioTTMId,2697868,2713434,2715364,2717385
Loại tỷ lệ,Ratio Type,ratioType,RATIO_TTM,RATIO_TTM,RATIO_TTM,RATIO_TTM
Số CP lưu hành (triệu),Outstanding Shares (mil),outstanding_shares,391334260,391334260,391334260,391334260
Vốn hóa,Market Cap,market_cap,6965749828000.0,7044016680000.0,8883287702000.0,6867916263000.0
Tỷ suất cổ tức (%),Dividend Yield (%),dividend_yield,0.0,0.0,0.0,0.0284900285
P/E,P/E,pe_ratio,10.6917788849,11.0827118761,13.5922598037,9.8186594331
P/B,P/B,pb_ratio,0.8672078265,0.8979084122,1.1125746914,0.8492337749
P/S,P/S,ps_ratio,0.8598055345,0.8357391142,1.0441053861,0.7387150542
Giá/ Dòng tiền,Price/Cash Flow,price_to_cash_flow,6.977619097,22.8950582882,9.907941956,18.0264319655
EV/EBITDA,EV/EBITDA,ev_to_ebitda,6.8705199958,6.8808512218,7.5673716738,4.6860648043
Hệ số thanh toán tiền,Cash Ratio,cash_ratio,0.8274702193,0.9207368592,1.0038972679,1.1341408552
Hệ số thanh toán nhanh,Quick Ratio,quick_ratio,1.5291692462,1.7652270951,1.8083840551,2.3181843807
Hệ số thanh toán hiện hành,Current Ratio,current_ratio,2.2725461651,2.6585281774,2.6398963103,3.4164853198
Vốn chủ sở hữu,Owners Equity,owners_equity,0.0775572517,0.1063531641,0.1384614996,0.1249993558
Nợ/Vốn chủ,Debt/Equity,debtPerEquity,0.0775572517,0.1145341768,0.1465004384,0.1494667385
Nợ trên vốn chủ,Debt to Equity,debt_to_equity,0.3839476691,0.377714507,0.426526782,0.3487878269
ROE (%),ROE (%),roe,0.0793610497,0.0779512297,0.0806634427,0.0858489868
ROA (%),ROA (%),roa,0.061087251,0.0587729658,0.0590355424,0.0653875739
Số ngày phải thu,Days Sales Outstanding,days_sales_outstanding,10.5181891005,10.6921691151,12.043478913,11.1050057641
Số ngày tồn kho,Days Inventory Outstanding,days_inventory_outstanding,83.3944924252,80.0873008718,86.5213823139,71.2505762117
Số ngày phải trả,Days Payable Outstanding,days_payable_outstanding,29.2487412871,28.788327985,29.6499047354,17.5998029091
Biên LN gộp (%),Gross Margin (%),gross_margin,0.2452933864,0.2182975367,0.2179046553,0.20430768
Biên EBIT (%),EBIT Margin (%),ebit_margin,0.0773895002,0.0712072597,0.0771298838,0.0862029932
Biên LN trước thuế (%),Pre-tax Profit Margin (%),pre_tax_profit_margin,0.0982554798,0.0894929298,0.0911363892,0.0936436574
Biên LN sau thuế (%),After-tax Profit Margin (%),net_margin,0.0816818317,0.0767923408,0.0780335348,0.0766339305
Vòng quay tài sản,Asset Turnover,asset_turnover,0.759626862,0.779386575,0.7685301124,0.8689554667
Biên lãi thuần,Net Interest Margin,net_interest_margin,0.0,0.0,0.0,0.0
Lãi suất bình quân tài sản sinh lãi,Avg Yield on Earning Assets,avg_yield_on_earning_assets,0.0,0.0,0.0,0.0
Chi phí vốn bình quân,Avg Cost of Financing,avg_cost_of_financing,0.0,0.0,0.0,0.0
Thu nhập ngoài lãi,Non-interest Income,non_interest_income,0.0,0.0,0.0,0.0
Tỷ lệ CIR,Cost/Income Ratio,cost_to_income_ratio,0.0,0.0,0.0,0.0
Tăng trưởng cho vay (%),Loans Growth (%),loans_growth,0.0,0.0,0.0,0.0
Tăng trưởng tiền gửi (%),Deposit Growth (%),deposit_growth,0.0,0.0,0.0,0.0
Vốn chủ/Tổng nợ,Equity/Total Liabilities,equity_to_liabilities,0.0,0.0,0.0,0.0
Vốn chủ/Cho vay,Equity/Loans,equity_to_loans,0.0,0.0,0.0,0.0
Vốn chủ/Tổng tài sản,Equity/Total Assets,equity_to_assets,0.0,0.0,0.0,0.0
LDR (%),LDR (%),ldr,0.0,0.0,0.0,0.0
Nợ xấu (%),NPL (%),npl,0.0,0.0,0.0,0.0
DP rủi ro/Nợ xấu,Loan Loss Reserves/NPLs,loan_loss_reserves_to_npls,0.0,0.0,0.0,0.0
DP rủi ro/Cho vay,Loan Loss Reserve/Loans,loan_loss_reserve_to_loans,0.0,0.0,0.0,0.0
Trích lập DP/Cho vay,Provision/Outstanding Loans,provision_to_outstanding_loans,0.0,0.0,0.0,0.0
EBIT,EBIT,ebit,626974212093.0,600169498411.0,656223938010.0,801438843604.0
EBITDA,EBITDA,ebitda,828042104842.0,905515632975.0,1084159266194.0,1320695496186.0
ROIC,ROIC,roic,0.0708938089,0.0672406662,0.070229727,0.0844610318
Chu kỳ tiền,Cash Cycle,cash_cycle,131.9937251115,126.0841781166,132.2104311702,104.0426064052
Vòng quay TS cố định,Fixed Asset Turnover,fixed_asset_turnover,3.3607659288,2.8441524628,2.1776883302,2.6013479311
Đòn bẩy tài chính,Financial Leverage,financial_leverage,0.3839476691,0.377714507,0.426526782,0.3487878269
CIR,CIR,cir,0.0,0.0,0.0,0.0
CAR,CAR,car,,,,
Vốn chủ sở hữu,Equity,equity,,,,
Tỷ lệ CASA,CASA Ratio,casa_ratio,,,,
Mã năm tỷ lệ,Ratio Year Id,ratioYearId,,,,
