item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,15891378282225.0,16757931160407.0,17461655201328.0,18373436282760.0,16918516176002.0,17849605068190.0,18431909603327.0,19038081282518.0,19577485114151.0,20974738294596.0,22473334313473.0,25608346381474.0,27905525240833.0,29634333850918.0,30655506375345.0,35116784160545.0,36617350544580.0,37159706261301.0,35269474823622.0,30933924692832.0,29524492711606.0,38758427341944.0,39531943273981.0,36709543350385.0,37679149034489.0,40835231143696.0,42605105704316.0,45535942846453.0,46075510989597.0,52711179992741.0,53632976863548.0,58137438254908.0,41527873060120.0,45603129033273.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,3076144406971.0,4060090013409.0,3982145134665.0,3926316297829.0,2678204837715.0,3081007361357.0,3230352153676.0,3457655751733.0,3891505567427.0,4180454757893.0,4306782189437.0,4684867868361.0,5162685900519.0,4978881337221.0,5446784083688.0,5417845274047.0,4825840656865.0,5219950154604.0,3737291803926.0,6440177174268.0,3289424451229.0,6236475101406.0,7153625069795.0,8279156683221.0,6341457504996.0,6836262549195.0,7935632407357.0,9315440438884.0,6755645214252.0,10019630995136.0,9853512731370.0,10522105729992.0,7993577611642.0,8843161132730.0
Tiền,Cash,cash,1543897642209.0,2414897073339.0,2414203134665.0,2704220233385.0,2130553810097.0,2807554223819.0,2416994911003.0,2613075178399.0,2540183607656.0,2107172844328.0,2358776250450.0,2215419285080.0,2631972515733.0,2671613358430.0,2936232673264.0,3447377471942.0,2854818888207.0,3951871648589.0,3482963103926.0,3880860111126.0,3068013165452.0,4116495111876.0,4868732047232.0,5975127685903.0,5411920365956.0,5619992039480.0,5251361305952.0,6725619929289.0,5342746710936.0,7755450852909.0,7677693654613.0,8084751080186.0,5022685693032.0,5829076231076.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,1532246764762.0,1645192940070.0,1567942000000.0,1222096064444.0,547651027618.0,273453137538.0,813357242673.0,844580573334.0,1351321959771.0,2073281913565.0,1948005938987.0,2469448583281.0,2530713384786.0,2307267978791.0,2510551410424.0,1970467802105.0,1971021768658.0,1268078506015.0,254328700000.0,2559317063142.0,221411285777.0,2119979989530.0,2284893022563.0,2304028997318.0,929537139040.0,1216270509715.0,2684271101405.0,2589820509595.0,1412898503316.0,2264180142227.0,2175819076757.0,2437354649806.0,2970891918610.0,3014084901654.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,4798538245584.0,4866280283759.0,5067136124622.0,5567995714107.0,5727896026412.0,5892075944888.0,6305339416212.0,6777898508889.0,6943402877397.0,8823220085750.0,9990823495588.0,12435918124269.0,14057681981618.0,15532505379957.0,16055301795066.0,20730720735456.0,21606129233008.0,21520473393082.0,20389025847693.0,13036072272619.0,13860719245281.0,20451941376989.0,19618195845890.0,16104205358010.0,18230159723426.0,19916062543669.0,19442595123064.0,21785213686808.0,23768377985785.0,26619399709978.0,27125585559832.0,29630986737440.0,18751535880407.0,20128417972525.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,5709635608502.0,5429554630371.0,5704790784580.0,6424005050090.0,5872491479218.0,6452904237545.0,6515911793608.0,6520456215584.0,6587706294394.0,5803633693745.0,5930772737994.0,6263024543620.0,6051076946319.0,6675995128182.0,6654818353847.0,6882319562187.0,7635393660172.0,7494546042666.0,8184661159428.0,8510152205706.0,9293933666296.0,9006495599449.0,9819319720327.0,9533935053243.0,10054871366217.0,10992515047452.0,11875150699489.0,11381523992803.0,11997831491115.0,12525313635530.0,13077014449004.0,14402017450105.0,12347990314058.0,13337195685489.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,4294239451525.0,4226917957363.0,4528134142815.0,5561140201834.0,4934992791272.0,5397987665256.0,5586776779645.0,5740489120848.0,5475512786593.0,5005576254722.0,5144996812664.0,5587937422952.0,5277490091007.0,5531866163327.0,5827087167607.0,6211956510246.0,6583921977026.0,6459915737898.0,7096426530579.0,7977155596006.0,7918165205099.0,8039599843840.0,8927001832356.0,9044709144898.0,9393764058957.0,10309248199833.0,10799828515307.0,10537019113380.0,10855474371546.0,11175300447724.0,11454536291628.0,12734600596550.0,10175295201576.0,10850961897809.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,277095606491.0,235001535974.0,244173236292.0,218427501076.0,279126435406.0,373533640166.0,398988974061.0,274825585395.0,373805877604.0,432212031129.0,464970526451.0,459336196478.0,467365468959.0,579927721506.0,338658818579.0,400846789036.0,340903447190.0,318135753388.0,378829424777.0,293039400616.0,646447723206.0,500907002679.0,419601591333.0,348405863076.0,628462570207.0,599121868182.0,566097011978.0,610379845664.0,654479702711.0,806039137690.0,801251699142.0,952737932722.0,1476727313028.0,1702428776286.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,construction_contract_in_progress_receivables,397506401676.0,320334466918.0,302501200783.0,251954356007.0,250557118894.0,270618899526.0,283478423283.0,429317958549.0,333311493155.0,276042606836.0,268083993726.0,197972680487.0,194746840384.0,204224676753.0,119879763439.0,168939964952.0,175086330906.0,182114045415.0,186100648991.0,199252243559.0,231842985934.0,227380785100.0,229678782310.0,182965994736.0,190429912043.0,196821565607.0,194158152911.0,136097256629.0,153811104201.0,164046117155.0,192402178808.0,200405269967.0,255231754306.0,301798692991.0
Phải thu khác,Other receivables,other_receivables,936916307722.0,860480152541.0,874036723665.0,656239850891.0,677417672483.0,641278144375.0,543711556443.0,434621988684.0,548475210207.0,522710577339.0,529154815368.0,459208893239.0,603967552923.0,632605399042.0,629749883333.0,595810040192.0,793796862180.0,875154679446.0,1033125403561.0,741724414225.0,1194702771309.0,950333045093.0,1003092487869.0,869495265613.0,819717532596.0,853765844605.0,900121856114.0,707751585399.0,894960947874.0,988041181778.0,1196855208054.0,1091244484321.0,783125213986.0,811355755133.0
Dự phòng nợ khó đòi,Provision for doubtful debts,provision_for_doubtful_debts,-196122158912.0,-213179482425.0,-244054518975.0,-264666908906.0,-270528049495.0,-281295131218.0,-297592168924.0,-361515614753.0,-373559994289.0,-432907776281.0,-476454579005.0,-626962878219.0,-492493006954.0,-508045352446.0,-520966179111.0,-529995962239.0,-558811703785.0,-571288493481.0,-610435677480.0,-701902009601.0,-747991330676.0,-762287445920.0,-810601939661.0,-912156645080.0,-978160227586.0,-985076830775.0,-618598751821.0,-619531925859.0,-570652543118.0,-618183101143.0,-613258400119.0,-586166744274.0,-342389168838.0,-329349436730.0
