item,item_en,item_id,2026-Q2,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,13810340987151.0,12485836704352.0,20258865670867.0,17225507121683.0,16658335760739.0,16064980391264.0,17651065378939.0,15972397069700.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-21837525952.0,-5839497577.0,-33415777986.0,-20985896381.0,-33622720672.0,-6839448804.0,-43247573048.0,-69575353943.0
Doanh thu thuần,Net sales,net_sales,13788503461199.0,12479997206775.0,20225449892881.0,17204521225302.0,16624713040067.0,16058140942460.0,17607817805891.0,15902821715757.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-9509874280985.0,-8235107316087.0,-13178174806719.0,-10685654746292.0,-10603672997092.0,-9756793038194.0,-11230248103366.0,-9743866051351.0
Lợi nhuận gộp,Gross Profit,gross_profit,4278629180214.0,4244889890688.0,7047275086162.0,6518866479010.0,6021040042975.0,6301347904266.0,6377569702525.0,6158955664406.0
Doanh thu hoạt động tài chính,Financial income,financial_income,582702088944.0,415863869179.0,553701922193.0,613110473502.0,1237012067887.0,573331893191.0,582674583940.0,326689006856.0
Chi phí tài chính,Financial expenses,financial_expenses,-300452278414.0,-367211384721.0,-476744596151.0,-352575079871.0,-531385256080.0,-311343769364.0,-831375395433.0,-308178806879.0
Chi phí lãi vay,Interest expenses,interest_expenses,-212582739626.0,-179461207664.0,-207025852637.0,-233582914481.0,-216761295705.0,-152389538333.0,-134854268998.0,-128825950601.0
Chi phí bán hàng,Selling expenses,selling_expenses,-1149052845981.0,-1002337155317.0,-2026995981641.0,-1916582832643.0,-1790295896888.0,-1828785929282.0,-1594938073232.0,-1563862943636.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-1282590328398.0,-1210282662926.0,-1898934296550.0,-1647276732839.0,-1913677311579.0,-1877437056836.0,-1729950878232.0,-1807957864952.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,2885793042568.0,2747763827050.0,3482048271187.0,3346375732746.0,3129408582030.0,2993843378813.0,2920874681756.0,2948226004570.0
Thu nhập khác,Other incomes,other_incomes,28202699735.0,61674012142.0,40089602924.0,34839399621.0,28751046396.0,39212521539.0,68481380356.0,34674999189.0
Chi phí khác,Other expenses,other_expenses,-3519930328.0,-5593557516.0,-18969733714.0,-6476534277.0,-17127043966.0,-8362389503.0,-30860884043.0,-74280370385.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,24682769407.0,56080454626.0,21119869210.0,28362865344.0,11624002430.0,30850132036.0,37620496313.0,-39605371196.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,2910475811975.0,2803844281676.0,3503168140397.0,3374738598090.0,3141032584460.0,3024693510849.0,2958495178069.0,2908620633374.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-268615099573.0,-454678597413.0,-486195215444.0,-589553627034.0,-463961750401.0,-377287599563.0,-530698618727.0,-441224951554.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,-71454590788.0,127624149218.0,-22008107857.0,116360781594.0,63200566619.0,-51848430977.0,73049924176.0,11201940680.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-340069690361.0,-327054448195.0,-508203323301.0,-473192845440.0,-400761183782.0,-429136030540.0,-457648694551.0,-430023010874.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,2570406121614.0,2476789833481.0,2994964817096.0,2901545752650.0,2740271400678.0,2595557480309.0,2500846483518.0,2478597622500.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,2752085187.0,-10581753618.0,485442596976.0,466704317918.0,482808812555.0,421256093784.0,406120515813.0,389745410092.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,2567654036427.0,2487371587099.0,2509522220120.0,2434841434732.0,2257462588123.0,2174301386525.0,2094725967705.0,2088852212408.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,1507.0,1460.0,1173.0,1036.0,1135.0,1478.0,347.0,1430.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,1507.0,1460.0,1173.0,1036.0,1135.0,1478.0,347.0,1430.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,756557226203.0,666841270147.0,283746137174.0,130833425587.0,106714935715.0,136730336838.0,116894742188.0,142580948775.0
