item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,3760974549862.0,3781033552381.0,3878505997541.0,5002461263976.0,4347831558373.0,4915308433399.0,5407195683541.0,6177579778312.0,5622223813131.0,4304210669479.0,4336632445020.0,4964905301749.0,7163340527836.0,7289863771508.0,7960688520386.0,10176645968442.0,10150708332260.0,9299439269860.0,9049973212343.0,9421994512047.0,8155558286498.0,7687787326833.0,10056524627994.0,11415308018413.0,10921000723866.0,10592999285086.0,12691502513350.0,14026158730456.0,14823692396739.0,16455137250282.0,17794013186926.0,21787052185671.0,24121385971879.0,25325904814893.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,605771632622.0,403295312908.0,874117915376.0,1068737461019.0,542460403586.0,1085363840325.0,1152391363079.0,919649553585.0,912494905900.0,588663993006.0,498712482616.0,701504239398.0,610609611916.0,609174092371.0,348801453330.0,1105209549882.0,919122219286.0,444415298085.0,407960046455.0,745556075005.0,686823088419.0,382450140874.0,541304821030.0,960822549973.0,870875793934.0,690870977829.0,2169613383180.0,2097787236988.0,3391121774419.0,2382207094450.0,1162213737354.0,2869851759629.0,644900672025.0,556554249526.0
Tiền,Cash,cash,605771632622.0,403295312908.0,751920776490.0,855378394826.0,515134318078.0,556884935473.0,544311039770.0,415978667247.0,828771279938.0,588663993006.0,488712482616.0,551504239398.0,340609611916.0,442098093299.0,347869319019.0,679938797236.0,677994756144.0,443098725131.0,407502004898.0,450488205110.0,502320130320.0,379509633311.0,539263408011.0,514817562060.0,472641192354.0,500870577730.0,472561347859.0,475787236988.0,427121774419.0,399207094450.0,442213737354.0,385251759629.0,644900672025.0,556554249526.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,0.0,0.0,122197138886.0,213359066193.0,27326085508.0,528478904852.0,608080323309.0,503670886338.0,83723625962.0,0.0,10000000000.0,150000000000.0,270000000000.0,167075999072.0,932134311.0,425270752646.0,241127463142.0,1316572954.0,458041557.0,295067869895.0,184502958099.0,2940507563.0,2041413019.0,446004987913.0,398234601580.0,190000400099.0,1697052035321.0,1622000000000.0,2964000000000.0,1983000000000.0,720000000000.0,2484600000000.0,0.0,0.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,83859066193.0,151050000000.0,260208572917.0,4140042971.0,15941864257.0,598529758891.0,573870236736.0,444643176666.0,465801982951.0,403593121087.0,447680493260.0,788158684912.0,2042069900364.0,1873642389041.0,1737642389041.0,1820500000000.0,1611500000000.0,1947000000000.0,1904000000000.0,1119000000000.0,235000000000.0,342000000000.0,1037000000000.0,1194000000000.0,1573000000000.0,1250000000000.0,626000000000.0,986000000000.0,881000000000.0,3570000000000.0,5188000000000.0,5929000000000.0,8004261265743.0,8811430916257.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,1055328392371.0,1221639702140.0,887950999989.0,1273589841159.0,1291940603442.0,985435013466.0,1189116956040.0,1178443348858.0,1065031199349.0,851235470594.0,1223320646470.0,1501046972372.0,1863288667181.0,2153640057046.0,2870057716985.0,1984613153455.0,2214657641404.0,1483699029419.0,923959406999.0,606203194429.0,541086256905.0,512071070037.0,733520543384.0,394464296948.0,655105568311.0,628975847298.0,487856350848.0,417127103606.0,525180068060.0,561723290032.0,676278733954.0,728878339921.0,691244877608.0,717178360787.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,302630279590.0,564230420991.0,413832107942.0,237824070242.0,499306542481.0,388083184101.0,373398513274.0,294462943660.0,275178982606.0,240522746908.0,228656949254.0,175812634629.0,146417493102.0,114065591652.0,164679426075.0,79904407081.0,76103822723.0,74515964930.0,59559855417.0,89622537320.0,66771948691.0,87246399941.0,134275276700.0,126026140388.0,125496742247.0,146088496189.0,145796409579.0,176150692098.0,167341173160.0,203930503405.0,208724777579.0,233091257926.0,235830832599.0,317571464056.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,73472306828.0,109221625282.0,97915180560.0,331205245221.0,41379822581.0,66746106201.0,66589040035.0,98388266612.0,58426798674.0,61298646506.0,66981122332.0,93210832171.0,86851959246.0,85992399715.0,122239020981.0,165586893749.0,175235025554.0,225914832778.0,135259961419.0,141624137194.0,181891787913.0,103675998713.0,107468924520.0,48902780339.0,71544096236.0,107516983898.0,71296188891.0,43997579646.0,51149098157.0,71636733373.0,51449727063.0,94792455388.0,127465220271.0,133795485612.0
