item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,42989139258890.0,45463244067606.0,38969975605043.0,40954625860982.0,40888257908879.0,44606452700260.0,42492240531926.0,42034111148922.0,45148432604132.0,46389843800088.0,39767377868410.0,39354423990029.0,44230493070827.0,50213422327082.0,47691610231135.0,51395282303213.0,57191407495469.0,60393770234221.0,57329016363977.0,55651707958020.0,57952012334363.0,62984581522290.0,59128795405771.0,62217752152939.0,66458956267202.0,70470100956080.0,67283218057472.0,57290495430038.0,57719064984752.0,64857286428940.0,70160798119085.0,69902465635326.0,69205780703236.0,78914646165198.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,14666498838126.0,9718262208643.0,7302682513477.0,6705675471347.0,7589139804750.0,7375347002091.0,5933208581387.0,4475895496074.0,5277466733988.0,12531543227548.0,6819915906268.0,5335316636542.0,6457577994501.0,5947560639666.0,5994119472080.0,5600330735432.0,8648444105639.0,9054658184090.0,10206278543029.0,10549337638537.0,12714013568114.0,12499180008661.0,10851522950436.0,5668895193049.0,6074928497007.0,7555301267056.0,12082560123616.0,5567983431468.0,8166654567957.0,10377145910363.0,11641062000554.0,6876468282085.0,7321907295672.0,11055638145352.0
Tiền,Cash,cash,2735939993940.0,1943017484505.0,2626847997174.0,1330250099149.0,2181122500326.0,2399239709662.0,2061607201600.0,1152002314369.0,1724477222495.0,2039915491870.0,1752115170590.0,1323114036595.0,2050113358731.0,1380958101817.0,2132203061574.0,1395849592442.0,2420630928155.0,1839458184090.0,2121422409681.0,1318137638537.0,1807613568114.0,1765180008661.0,2012952669180.0,1156470360119.0,2287828497007.0,2475238867056.0,1642760123616.0,1248083431468.0,1591605886450.0,2211370545474.0,2261359268251.0,913368282085.0,1892807295672.0,3248739374124.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,11930558844186.0,7775244724138.0,4675834516303.0,5375425372198.0,5408017304424.0,4976107292429.0,3871601379787.0,3323893181705.0,3552989511493.0,10491627735678.0,5067800735678.0,4012202599947.0,4407464635770.0,4566602537849.0,3861916410506.0,4204481142990.0,6227813177484.0,7215200000000.0,8084856133348.0,9231200000000.0,10906400000000.0,10734000000000.0,8838570281256.0,4512424832930.0,3787100000000.0,5080062400000.0,10439800000000.0,4319900000000.0,6575048681507.0,8165775364889.0,9379702732303.0,5963100000000.0,5429100000000.0,7806898771228.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,15040450000000.0,20697354000000.0,20998654000000.0,21602454000000.0,19844854000000.0,24019154000000.0,22599154000000.0,24915000000000.0,25891000000000.0,21109300000000.0,19913350000000.0,21515136327512.0,21594237927459.0,25650532773344.0,23594578773344.0,24499825654952.0,25048928654952.0,27617478798638.0,25793995100008.0,23726498790237.0,24165495262737.0,28268090837474.0,28908511156004.0,35084645516061.0,36537764078954.0,36364277497378.0,32721750549454.0,27494031282702.0,28836790419970.0,30730802707604.0,32506102707604.0,32890551400598.0,32854568498585.0,34401167727963.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,10880622864535.0,12405071767951.0,8973093014271.0,10232069390328.0,11512640953210.0,11157974002388.0,11708792771801.0,10562310400592.0,11568889304907.0,10643121255240.0,10578989825807.0,10148662370242.0,13439321385786.0,15328324085809.0,14762971629838.0,16920750783526.0,20684169362779.0,20633189886263.0,17522046269497.0,16191131770955.0,18097175503262.0,19124804781622.0,16197071467486.0,16865314290394.0,20907182025286.0,23225915400228.0,19498330570365.0,19098417078475.0,16942945640980.0,19777698700821.0,22912149381591.0,24881281586057.0,25127892974691.0,27567423047252.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,4984074896391.0,6022537907989.0,3948132066004.0,4657183140857.0,5195686931963.0,3900605492510.0,5125707141823.0,4672713964881.0,4702253563873.0,4477058695938.0,5545731949544.0,5549613291505.0,7696887538271.0,8610774915544.0,9141177786108.0,10598392744659.0,12806273131385.0,11980968146721.0,10788141304909.0,9210085888347.0,11617509666306.0,12846264910264.0,11783805591469.0,12541281232880.0,14139281156881.0,18021100609270.0,17100682542009.0,16744655874477.0,14819010416292.0,15170197845985.0,18488423501373.0,20895137507650.0,19266881068540.0,18884282444019.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,144001704987.0,139651238791.0,169051630890.0,91232623543.0,89395076582.0,109392418963.0,612774829439.0,830066697428.0,901111884144.0,834859093009.0,712705284608.0,378695972786.0,447154556759.0,449817724457.0,501120373948.0,413405237823.0,230324574676.0,194447242615.0,248585275695.0,223750541755.0,393030630677.0,341453441425.0,365609492276.0,264140292943.0,386651694501.0,353068062538.0,377498954212.0,375639323197.0,339648343487.0,205787039963.0,204420000807.0,116028764094.0,116010602973.0,393255411525.0
