item,item_en,item_id,2026-Q2,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,43294006885153.0,38034487298288.0,43706104716897.0,35711043233606.0,30103972384355.0,25675428574505.0,24960846410089.0,25256616229052.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-44870933464.0,-14878267020.0,-23034107896.0,-20908333380.0,-23551139692.0,0.0,-15729073724.0,-4608203581.0
Doanh thu thuần,Net sales,net_sales,43249135951689.0,38019609031268.0,43683070609001.0,35690134900226.0,30080421244663.0,25675428574505.0,24945117336365.0,25252008025471.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-35465901292563.0,-33511417706493.0,-39778314373422.0,-31587801013302.0,-25126468378917.0,-21585918203089.0,-20900958213404.0,-21068589647908.0
Lợi nhuận gộp,Gross Profit,gross_profit,7783234659126.0,4508191324775.0,3904756235579.0,4102333886924.0,4953952865746.0,4089510371416.0,4044159122961.0,4183418377563.0
Doanh thu hoạt động tài chính,Financial income,financial_income,355944779456.0,384755468683.0,425200573105.0,396554976676.0,401552949675.0,357168545828.0,419753041491.0,409126391431.0
Chi phí tài chính,Financial expenses,financial_expenses,-94924087954.0,-118408271484.0,-79674722486.0,-85778280778.0,-100459839323.0,-117666445383.0,-140949317288.0,-108817637558.0
Chi phí lãi vay,Interest expenses,interest_expenses,-59306419055.0,-53307964713.0,-54245962520.0,-53330836850.0,-57658298922.0,-54571826113.0,-57220327241.0,-68861336867.0
Chi phí bán hàng,Selling expenses,selling_expenses,-620075569638.0,-623721077879.0,-742707036610.0,-690136384446.0,-569501759353.0,-599658773024.0,-668833753996.0,-616316725264.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,7925665630.0,-396928659943.0,-1763015602591.0,-525973477554.0,1282797122580.0,-317842385886.0,-1097693949210.0,-700814399681.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,7442721816316.0,3754223754396.0,1763597883667.0,3209052703186.0,5978744151042.0,3411597287253.0,2569059016020.0,3178493069262.0
Thu nhập khác,Other incomes,other_incomes,2981200153.0,862001024.0,16961158939.0,19605286043.0,5132664551.0,24274547094.0,1712505229.0,26484354489.0
Chi phí khác,Other expenses,other_expenses,-2646861976.0,-402099569.0,-37586153493.0,-22683701106.0,-2274294770.0,-6986348547.0,-12474501162.0,-1016836444.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,334338177.0,459901455.0,-20624994554.0,-3078415063.0,2858369781.0,17288198547.0,-10761995933.0,25467518045.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,7443056154493.0,3754683655851.0,1742972889113.0,3205974288123.0,5981602520823.0,3428885485800.0,2558297020087.0,3203960587307.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-1425659139801.0,-764142169569.0,-360741782309.0,-595495689973.0,-1171157475488.0,-668931502037.0,-498141880056.0,-627511129497.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,4002322793.0,3573786295.0,5198868677.0,2341127402.0,-1846010832.0,2828506709.0,-7816140590.0,1659528278.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-1421656817008.0,-760568383274.0,-355542913632.0,-593154562571.0,-1173003486320.0,-666102995328.0,-505958020646.0,-625851601219.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,6021399337485.0,2994115272577.0,1387429975481.0,2612819725552.0,4808599034503.0,2762782490472.0,2052338999441.0,2578108986088.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,171463027757.0,49512136249.0,26345075996.0,63700792048.0,60993955920.0,6251253214.0,8236561386.0,56314492550.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,5849936309728.0,2944603136328.0,1361084899485.0,2549118933504.0,4747605078583.0,2756531237258.0,2044102438055.0,2521794493538.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,2385.0,1220.0,418.0,1067.0,1985.0,1177.0,3087.0,1053.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,2385.0,1220.0,0.0,1067.0,0.0,1177.0,0.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,10616369696.0,334970244.0,19038436670.0,12051982364.0,10402811717.0,85974302.0,12623872062.0,11897062771.0
