item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,7392031814782.0,8989937890682.0,8265596850419.0,8101652660281.0,8834667258073.0,7980891562231.0,8302410718483.0,8406073453673.0,9519481536194.0,10020228172091.0,12529681006932.0,13051580922613.0,14793649168179.0,25368594020392.0,28847777099988.0,29868859203763.0,30072735353327.0,24060082094975.0,22322617978647.0,19831788602298.0,20196228591405.0,19907364945254.0,20590977502765.0,20260814853429.0,19474641675559.0,22400453212505.0,23343384968191.0,22828907651783.0,25588182776246.0,26566245825910.0,31982773615063.0,39414126385838.0,48969753049702.0,41041301837390.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,1253534935365.0,1887480953383.0,861103911970.0,1003167098002.0,1123075652233.0,818054064156.0,833466726711.0,928422409184.0,625789459822.0,554672970177.0,2422233820946.0,1561762324627.0,1171440125549.0,3041551240649.0,3333819680359.0,4781520839545.0,6101129745034.0,5487498676486.0,4333025804095.0,3161701165781.0,4065754410223.0,3644263918422.0,3895460589071.0,3315750993715.0,3212075589072.0,4315827075586.0,2706337002493.0,4074201905889.0,4254129736742.0,3817206495630.0,4682232720926.0,8659541542782.0,5127135467527.0,5702308414268.0
Tiền,Cash,cash,913177317871.0,1579235059244.0,541548924103.0,674299498002.0,975559552233.0,543483964156.0,598269011951.0,731401309184.0,443218359822.0,423932870177.0,1904282890946.0,1130976452678.0,1114934749049.0,2586832599113.0,2948364986357.0,3447687672766.0,3434871753890.0,2538180410100.0,1899354141802.0,1933686804164.0,2834213778504.0,1424561968538.0,2262682179973.0,2303490600130.0,2415117722135.0,3626000320713.0,1632299851496.0,2033549142307.0,2045139663496.0,2887206629234.0,2811927482872.0,3300072421287.0,3045879848357.0,3780499303388.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,340357617494.0,308245894139.0,319554987867.0,328867600000.0,147516100000.0,274570100000.0,235197714760.0,197021100000.0,182571100000.0,130740100000.0,517950930000.0,430785871949.0,56505376500.0,454718641536.0,385454694002.0,1333833166779.0,2666257991144.0,2949318266386.0,2433671662293.0,1228014361617.0,1231540631719.0,2219701949884.0,1632778409098.0,1012260393585.0,796957866937.0,689826754873.0,1074037150997.0,2040652763582.0,2208990073246.0,929999866396.0,1870305238054.0,5359469121495.0,2081255619170.0,1921809110880.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,1453128162175.0,1969498035574.0,1834796769248.0,1784455085242.0,1375958626704.0,1066488607285.0,1155806669564.0,1206823296482.0,1706637263044.0,829587290062.0,983909592180.0,1728196377863.0,1980723670150.0,2657478774968.0,5354511635486.0,7524313367920.0,8053921495825.0,3040601571898.0,2875250778224.0,2520704273989.0,2422545790387.0,3225098269028.0,2812183890831.0,4120212573328.0,3186204754240.0,3945345287567.0,5449757033695.0,5042691984219.0,5958545154837.0,6994722062374.0,7877899034614.0,9967194691272.0,11995107992222.0,11588003442809.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,875427369405.0,1704380535075.0,1506070009587.0,1437174593265.0,1233373088127.0,912705358165.0,973366533610.0,1017991730244.0,1584232379911.0,808587290062.0,953739592180.0,1617326377863.0,1854353670150.0,2558144684624.0,5293301837365.0,7053593032908.0,7797787832147.0,2935174389857.0,2330170107483.0,2171365550185.0,2362690841664.0,2423845847205.0,2095963208509.0,3385232291770.0,2455715395039.0,3208355830459.0,4994038572579.0,4547632976936.0,4813501501217.0,5012257655819.0,6608005522347.0,7425638789063.0,6673915276373.0,6062611308398.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,-36685287238.0,-57204848078.0,-34890960578.0,-13797519588.0,-13797519588.0,-11920847498.0,-11920399458.0,-30250802698.0,-30250802698.0,0.0,0.0,0.0,0.0,-4145288131.0,-3372784635.0,-17500698920.0,-17202830575.0,-107248967973.0,-13234794824.0,-2525400000.0,-147186900000.0,-49833122571.0,-48034710570.0,-31239176854.0,-9754472847.0,-13656865700.0,-46666682082.0,-23975524800.0,-41162971495.0,-21496760279.0,-52951142211.0,-137184567815.0,-102503179028.0,-167795816453.0
Các khoản phải thu,Accounts receivable,accounts_receivable,2446514776146.0,2801244587555.0,3388784549467.0,3086911187658.0,3793347614831.0,3482444470827.0,3688964271277.0,3432938452058.0,4286605939812.0,5590166653297.0,5871659922841.0,6273798681177.0,6120169744976.0,8262080300071.0,7611054625761.0,5032076915731.0,5534387147825.0,4669857737890.0,4653404974504.0,4186720075272.0,4345280778854.0,3883196674770.0,4442619286006.0,3425216337890.0,3673310195670.0,3696636020995.0,4611366696024.0,4037190024768.0,4795667869078.0,4384984214097.0,8227022233502.0,4996929157208.0,11006275170553.0,5168890838380.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,2007997337222.0,2086583589623.0,2221953330913.0,2029526612796.0,2449939025018.0,2179807921922.0,2523906517040.0,2052661517026.0,2710041076506.0,2258525152462.0,3483108192597.0,4105544838418.0,4321019914651.0,5829238592006.0,5625717438729.0,3853852204819.0,3797394309336.0,3705919307498.0,3350366911123.0,2739688858814.0,2953612301549.0,3029979044731.0,3473737735062.0,2704657911832.0,2733387763557.0,2296745843783.0,2509856168339.0,2335783771095.0,2712598395325.0,2509768813248.0,2598605217558.0,2494564240752.0,2947471027908.0,3970577919449.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,164451677302.0,232745544034.0,453978832647.0,178945958138.0,165268310005.0,174891474508.0,190146445058.0,162332952044.0,182274586575.0,746601936854.0,670580017499.0,382142586078.0,764868159145.0,1333977667224.0,1074651860005.0,755010289315.0,810363861238.0,824650893730.0,1084730776712.0,1147841372563.0,1200406833303.0,792274516506.0,873104836861.0,561093172392.0,656117991299.0,802879502522.0,1049670719649.0,1211916380704.0,1786653128748.0,1369632945141.0,1648964781385.0,1296315799500.0,7387795469000.0,1167906697438.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,construction_contract_in_progress_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu khác,Other receivables,other_receivables,510335416149.0,726272458764.0,957091514799.0,1095262372684.0,1395515928704.0,1301939071696.0,1212438884651.0,1430221838381.0,1604538963181.0,2752994987568.0,1933741311281.0,2003463207668.0,1251633622167.0,1571539322524.0,1398446771900.0,943848832625.0,1450172459338.0,680773648479.0,764355231011.0,848180588657.0,741225995949.0,558878404601.0,595963645289.0,688740776259.0,811729381732.0,592161791484.0,994638852970.0,865367477127.0,719127478980.0,939562696299.0,4011819023761.0,1212984853411.0,1221729512825.0,606270803604.0
Dự phòng nợ khó đòi,Provision for doubtful debts,provision_for_doubtful_debts,-241422569929.0,-248510954085.0,-248945935138.0,-220977705179.0,-221529598115.0,-228347946518.0,-241681524691.0,-216277855393.0,-217248686450.0,-171955423587.0,-229769598536.0,-231351950987.0,-231351950987.0,-491757290663.0,-505507016212.0,-536083167775.0,-538543482087.0,-556386111817.0,-560947944342.0,-563790744762.0,-559664351947.0,-517635291068.0,-519886931206.0,-533775522593.0,-532424940918.0,-488151116794.0,-483229189181.0,-490952604158.0,-515661133975.0,-546930240591.0,-582316789202.0,-556885736455.0,-550720839180.0,-575864582111.0
"Hàng tồn kho, ròng","Inventories, Net",inventories_net,2187475288935.0,2282951910290.0,2131161027302.0,2106748564307.0,2386213688512.0,2504276817547.0,2521783241144.0,2715719755854.0,2724134238179.0,2908589458049.0,3077085097664.0,3226999893488.0,5043453877727.0,10446181636087.0,11454815998915.0,11604818034966.0,9539383273323.0,10027793778234.0,9628536126944.0,9132781735988.0,8410275643807.0,8230707875399.0,8488927102753.0,8324636604027.0,8357970587103.0,9289692828737.0,9356391561316.0,8684599751876.0,9489947547752.0,10140996533456.0,9929618829943.0,14454964441243.0,19405774455895.0,16899890700043.0
Hàng tồn kho,Inventories,inventories,2204899876916.0,2298039230822.0,2153188250638.0,2127847486918.0,2408223093717.0,2524753651587.0,2564533200196.0,2736457190358.0,2743981862041.0,2918670611988.0,3098871182692.0,3247356584400.0,5072044319945.0,10573746060354.0,11577641561162.0,11736948635279.0,9669239359450.0,10173279244969.0,9761571164538.0,9303355096782.0,8577756890882.0,8411257807079.0,8666568766726.0,8589313239442.0,8593735583736.0,9467864762729.0,9555597199118.0,8879344974669.0,9678157395514.0,10406236812857.0,10172631466311.0,14701100664449.0,19584637516131.0,17096468103511.0
