item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4
Năm,,year,2018,2018,2018,2018
Quý,,quarter,1,2,3,4
Mã TTM,Ratio TTM Id,ratioTTMId,2698970,2713686,2716082,2717391
Loại tỷ lệ,Ratio Type,ratioType,RATIO_TTM,RATIO_TTM,RATIO_TTM,RATIO_TTM
Số CP lưu hành (triệu),Outstanding Shares (mil),outstanding_shares,338800000,406560000,406560000,406560000
Vốn hóa,Market Cap,market_cap,11519200000000.0,10367280000000.0,8741040000000.0,9066288000000.0
Tỷ suất cổ tức (%),Dividend Yield (%),dividend_yield,0.0,0.0,0.0,0.0
P/E,P/E,pe_ratio,11.8094013853,11.5219123286,8.260738616,9.6199921045
P/B,P/B,pb_ratio,1.9316461477,1.8117343142,1.6031797411,1.6124762344
P/S,P/S,ps_ratio,0.9600077292,0.8283931842,0.6539158292,0.6618148979
Giá/ Dòng tiền,Price/Cash Flow,price_to_cash_flow,-35.118018774,-224.3148264898,5.3654455371,18.3752695693
EV/EBITDA,EV/EBITDA,ev_to_ebitda,6.8142802094,9.5093175791,9.6978179043,9.3944396735
Hệ số thanh toán tiền,Cash Ratio,cash_ratio,0.407444134,0.631173232,0.428924759,0.3458336757
Hệ số thanh toán nhanh,Quick Ratio,quick_ratio,0.9960561639,1.1785727351,1.1115412277,0.8778812363
Hệ số thanh toán hiện hành,Current Ratio,current_ratio,1.4146986042,1.5797402468,1.4977011637,1.1871347786
Vốn chủ sở hữu,Owners Equity,owners_equity,0.3806561768,0.3820639568,0.393870561,0.2676407196
Nợ/Vốn chủ,Debt/Equity,debtPerEquity,0.8089512585,0.7975706789,0.7458870976,0.7374383703
Nợ trên vốn chủ,Debt to Equity,debt_to_equity,1.1617345988,1.1107034294,1.1415386159,1.1652964978
ROE (%),ROE (%),roe,0.1229169865,0.1085299403,0.1261495762,0.1334738475
ROA (%),ROA (%),roa,0.0559117124,0.0504147288,0.0586140502,0.0607884685
Số ngày phải thu,Days Sales Outstanding,days_sales_outstanding,62.0672192611,58.7912474952,57.0115173448,52.9101925991
Số ngày tồn kho,Days Inventory Outstanding,days_inventory_outstanding,72.1704964295,71.7320222411,68.952686572,63.5977301507
Số ngày phải trả,Days Payable Outstanding,days_payable_outstanding,32.8304043751,35.5521796419,40.7563637796,46.0447855184
Biên LN gộp (%),Gross Margin (%),gross_margin,0.1587603246,0.1589876712,0.1556332529,0.1617391885
Biên EBIT (%),EBIT Margin (%),ebit_margin,0.0930325607,0.0917755154,0.0859348455,0.0893828913
Biên LN trước thuế (%),Pre-tax Profit Margin (%),pre_tax_profit_margin,0.1082739779,0.1019033012,0.108819726,0.1119102718
Biên LN sau thuế (%),After-tax Profit Margin (%),net_margin,0.0887920099,0.0842680559,0.0923755188,0.0936908696
Vòng quay tài sản,Asset Turnover,asset_turnover,0.8532569963,0.8388792893,0.8519341422,0.8836074686
Biên lãi thuần,Net Interest Margin,net_interest_margin,0.0,0.0,0.0,0.0
Lãi suất bình quân tài sản sinh lãi,Avg Yield on Earning Assets,avg_yield_on_earning_assets,0.0,0.0,0.0,0.0
Chi phí vốn bình quân,Avg Cost of Financing,avg_cost_of_financing,0.0,0.0,0.0,0.0
Thu nhập ngoài lãi,Non-interest Income,non_interest_income,0.0,0.0,0.0,0.0
Tỷ lệ CIR,Cost/Income Ratio,cost_to_income_ratio,0.0,0.0,0.0,0.0
Tăng trưởng cho vay (%),Loans Growth (%),loans_growth,0.0,0.0,0.0,0.0
Tăng trưởng tiền gửi (%),Deposit Growth (%),deposit_growth,0.0,0.0,0.0,0.0
Vốn chủ/Tổng nợ,Equity/Total Liabilities,equity_to_liabilities,0.0,0.0,0.0,0.0
Vốn chủ/Cho vay,Equity/Loans,equity_to_loans,0.0,0.0,0.0,0.0
Vốn chủ/Tổng tài sản,Equity/Total Assets,equity_to_assets,0.0,0.0,0.0,0.0
LDR (%),LDR (%),ldr,0.0,0.0,0.0,0.0
Nợ xấu (%),NPL (%),npl,0.0,0.0,0.0,0.0
DP rủi ro/Nợ xấu,Loan Loss Reserves/NPLs,loan_loss_reserves_to_npls,0.0,0.0,0.0,0.0
DP rủi ro/Cho vay,Loan Loss Reserve/Loans,loan_loss_reserve_to_loans,0.0,0.0,0.0,0.0
Trích lập DP/Cho vay,Provision/Outstanding Loans,provision_to_outstanding_loans,0.0,0.0,0.0,0.0
EBIT,EBIT,ebit,1116304214169.0,1148352362895.0,1148710412765.0,1224467803696.0
EBITDA,EBITDA,ebitda,2345950395793.0,1606615087307.0,1633083551085.0,1720442672755.0
ROIC,ROIC,roic,0.0872688751,0.0787562956,0.085662487,0.0884819449
Chu kỳ tiền,Cash Cycle,cash_cycle,192.1267724923,185.232442948,188.0055359005,188.8823632982
Vòng quay TS cố định,Fixed Asset Turnover,fixed_asset_turnover,3.8642522934,3.7550233348,3.7639236345,3.644017135
Đòn bẩy tài chính,Financial Leverage,financial_leverage,1.1617345988,1.1107034294,1.1415386159,1.1652964978
CIR,CIR,cir,0.0,0.0,0.0,0.0
CAR,CAR,car,,,,
Vốn chủ sở hữu,Equity,equity,,,,
Tỷ lệ CASA,CASA Ratio,casa_ratio,,,,
Mã năm tỷ lệ,Ratio Year Id,ratioYearId,,,,
