item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,1289395588931.0,1293782468429.0,1323665842347.0,1486796396669.0,1371053321201.0,1221235236213.0,1244685639662.0,1542908426994.0,1477534636352.0,1888265356694.0,2495677950812.0,2160613390690.0,2157760903507.0,2506227010846.0,2482834876879.0,3151652895333.0,3428335856391.0,4621473722270.0,3782722767707.0,3508174586915.0,2911912969530.0,3046009574314.0,2961828202206.0,2875257805492.0,2896493855216.0,2910277031748.0,2867974379295.0,2771023974593.0,2973556085890.0,2977927179240.0,3126722009991.0,3122146930242.0,3144916153831.0,3755017463445.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,514836235922.0,602172958979.0,387923916057.0,266563943415.0,253276008824.0,238439373566.0,226466011341.0,391564413612.0,444716029125.0,775763712017.0,670417638838.0,586730349036.0,448602362371.0,548274736783.0,719872413278.0,627218527257.0,602513167889.0,1176485181431.0,786924260525.0,834046862790.0,295483474246.0,718006765910.0,542325261825.0,674805198823.0,539071636929.0,542127705768.0,412672642453.0,484495567200.0,456367165436.0,348844563226.0,378320593523.0,333080969102.0,319825305051.0,282882575614.0
Tiền,Cash,cash,452836235922.0,310373687746.0,157333916057.0,122114943415.0,228276008824.0,198575373566.0,187647011341.0,234065413612.0,184516029125.0,654763712017.0,342417638838.0,247730349036.0,185602362371.0,402274736783.0,432472413278.0,419218527257.0,423513167889.0,746485181431.0,475624260525.0,401946862790.0,40183474246.0,119156765910.0,186675261825.0,66805198823.0,125701636929.0,108400905768.0,98282842453.0,95462567200.0,73442654517.0,92319387168.0,145707861667.0,118469501097.0,97795808868.0,130236251369.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,62000000000.0,291799271233.0,230590000000.0,144449000000.0,25000000000.0,39864000000.0,38819000000.0,157499000000.0,260200000000.0,121000000000.0,328000000000.0,339000000000.0,263000000000.0,146000000000.0,287400000000.0,208000000000.0,179000000000.0,430000000000.0,311300000000.0,432100000000.0,255300000000.0,598850000000.0,355650000000.0,608000000000.0,413370000000.0,433726800000.0,314389800000.0,389033000000.0,382924510919.0,256525176058.0,232612731856.0,214611468005.0,222029496183.0,152646324245.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,19208714500.0,9033751700.0,20263751700.0,17450683700.0,55099683700.0,39509465340.0,43308496264.0,43334988664.0,66707036750.0,46028131500.0,354554267500.0,357145959500.0,357145959500.0,516918572727.0,528368572727.0,614057133547.0,594057133547.0,1374462133547.0,1266517393200.0,922222920300.0,872672920300.0,412604060500.0,477604060500.0,222264100878.0,384954703800.0,420764399580.0,445764399580.0,280120276760.0,522120276760.0,506743746160.0,466087878244.0,438991141644.0,342091141644.0,372735354674.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,3005119388.0,3005119388.0,3005119388.0,3005119388.0,3005119388.0,3044417828.0,3005119388.0,3005119388.0,14673124388.0,14673124388.0,14673124388.0,14673124388.0,14673124388.0,64060572727.0,64060572727.0,64059133547.0,64059133547.0,64059133547.0,64057991077.0,64057991077.0,64057991077.0,64057991077.0,64057991077.0,64057991077.0,64057991077.0,64057991077.0,64057991077.0,64057991077.0,64057991077.0,64057991077.0,64057991077.0,64057991077.0,64057991077.0,64057991077.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,-16404888.0,-91367688.0,-91367688.0,-104435688.0,-104435688.0,-84952488.0,-74379288.0,-47886888.0,-1798087638.0,-76992888.0,-50856888.0,-40164888.0,-40164888.0,0.0,0.0,0.0,0.0,0.0,-21833597877.0,-38080070777.0,-38080070777.0,-40183930577.0,-40183930577.0,-42523890199.0,-39833287277.0,-41025474497.0,-41025474497.0,-46027985577.0,-46027985577.0,-51404516177.0,-51404516177.0,-48599369777.0,-48599369777.0,-51872040577.0
Các khoản phải thu,Accounts receivable,accounts_receivable,345322432312.0,217897106196.0,197635241083.0,308843390795.0,232193954269.0,136731580353.0,255587702960.0,381816767418.0,417074630912.0,606098388949.0,975948892388.0,630024353120.0,685787895696.0,805531789474.0,434112598469.0,1021258273972.0,1298458440728.0,933458145750.0,263529815241.0,283498199541.0,238377608804.0,310595649266.0,330808587260.0,437220764919.0,423121347811.0,285099170777.0,284980246870.0,271717592834.0,257860700442.0,285119481831.0,324641568183.0,362429337013.0,348541598464.0,357858975856.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,320666601821.0,188589361048.0,162326746677.0,264374391716.0,193418978137.0,77694679452.0,202911666889.0,327625135320.0,373572606526.0,418902001671.0,387221998160.0,500443524393.0,590584243586.0,699154217863.0,321992627563.0,878435506083.0,1149984693006.0,754578882485.0,85047927926.0,100893632440.0,50956390390.0,108751660224.0,101672517487.0,154732763734.0,99031046242.0,90688287193.0,85744690337.0,74577612647.0,43560373003.0,46050920986.0,72265341948.0,67292492674.0,66740704577.0,85181083684.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,16857218044.0,18775407596.0,24271808967.0,21661600404.0,23439808708.0,45521339367.0,39794831399.0,42159855590.0,32752778051.0,56441346478.0,505837856942.0,95093213536.0,52411466629.0,55053689269.0,66499931373.0,86557490927.0,85572785370.0,91144215629.0,83858335573.0,77675857952.0,74235618676.0,76841833928.0,81362662931.0,118082850064.0,150703463122.0,155809764024.0,155987195253.0,151041632828.0,154521903159.0,169406932319.0,185161406662.0,188593044260.0,188545694187.0,196633024649.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,construction_contract_in_progress_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu khác,Other receivables,other_receivables,7798612447.0,10532337552.0,11036685439.0,22807398675.0,15335167424.0,13515561534.0,12881204672.0,12031776508.0,10749246335.0,130755040800.0,82889037286.0,34487615191.0,42792185481.0,51323882342.0,45620039533.0,56265276962.0,62900962352.0,87735047636.0,94623551742.0,104928709149.0,113185599738.0,125002155114.0,147773406842.0,164405151121.0,173386838447.0,38601119560.0,43248361280.0,46098347359.0,59778424280.0,69661628526.0,67214819573.0,106543800079.0,93255199700.0,76044867523.0
Dự phòng nợ khó đòi,Provision for doubtful debts,provision_for_doubtful_debts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hàng tồn kho, ròng","Inventories, Net",inventories_net,364173749648.0,437448227159.0,687802769784.0,843803074725.0,782906721278.0,758999230186.0,674860382943.0,640811103055.0,489008578295.0,402143617478.0,407590679936.0,511405345772.0,557371372595.0,518121882356.0,684901896946.0,749455563254.0,751749850100.0,940676961191.0,1277882968877.0,1269203385047.0,1297963259979.0,1388182798263.0,1385891643628.0,1364067768768.0,1377288193981.0,1587095106190.0,1640011675265.0,1647039456155.0,1676448625818.0,1768085162678.0,1881036686726.0,1915794251541.0,2051783782186.0,2649121443468.0
Hàng tồn kho,Inventories,inventories,368537889092.0,441812366603.0,692166909228.0,848139762920.0,787243409473.0,763335918381.0,674860382943.0,641624153055.0,489008578295.0,402143617478.0,419590679936.0,511405345772.0,557371372595.0,518121882356.0,684901896946.0,749455563254.0,751749850100.0,940676961191.0,1277882968877.0,1269203385047.0,1297963259979.0,1388182798263.0,1385891643628.0,1364067768768.0,1377288193981.0,1587095106190.0,1640011675265.0,1647039456155.0,1676448625818.0,1768085162678.0,1881036686726.0,1915794251541.0,2051783782186.0,2649121443468.0
Dự phòng giảm giá hàng tồn kho,Provision for decline in inventories,provision_for_decline_in_inventories,-4364139444.0,-4364139444.0,-4364139444.0,-4336688195.0,-4336688195.0,-4336688195.0,0.0,-813050000.0,0.0,0.0,-12000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tài sản lưu động khác,Other current assets,other_current_assets,45854456549.0,27230424395.0,30040163723.0,50135304034.0,47576953130.0,47555586768.0,44463046154.0,85381154245.0,60028361270.0,58231506750.0,87166472150.0,75307383262.0,108853313345.0,117380029506.0,115579395459.0,139663397303.0,181557264127.0,196391300351.0,187868329864.0,199203219237.0,207415706201.0,216620300375.0,225198648993.0,176899972104.0,172057972695.0,75190649433.0,84545415127.0,87651081644.0,60759317434.0,69134225345.0,76635283315.0,71851230942.0,82674326486.0,92419113833.0
Chi phí trả trước ngắn hạn,Short-term prepayments,short_term_prepayments,1272622867.0,1637375020.0,3730314942.0,2158502180.0,1663164225.0,2415094130.0,1621010831.0,1913508754.0,1853403745.0,2066105640.0,915999772.0,2231842947.0,2336470725.0,1375499522.0,1894717692.0,2327679576.0,1703659064.0,1724650774.0,2766558456.0,3092213657.0,1931559474.0,1431287815.0,2367164495.0,2349785732.0,1539335172.0,1017413637.0,2258688278.0,1737829670.0,1249788247.0,1912461747.0,1543986880.0,1903919844.0,1929926727.0,1629251350.0
Thuế GTGT được khấu trừ,VAT to be claimed,vat_to_be_claimed,44568373048.0,25578659330.0,26297383907.0,47964336980.0,45890085531.0,45116789264.0,42818331949.0,81540592857.0,57121428188.0,54291308734.0,85219546940.0,71243169695.0,105527638938.0,115333009433.0,113666645406.0,137221685366.0,179236428375.0,193344226556.0,183647130995.0,193473943167.0,203843608310.0,213895342938.0,221508941222.0,169433466110.0,168806736943.0,71823221882.0,80857502638.0,84042600169.0,57903662514.0,65673182026.0,73542714863.0,66278426057.0,78285378164.0,87918210854.0
