item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,680305566937.0,566763218678.0,360360545012.0,646256698175.0,545251776717.0,542656642459.0,666847528397.0,784735038360.0,721943783485.0,916473802912.0,907248060480.0,911065461455.0,864190034302.0,1258132845764.0,629259693484.0,1398737742918.0,1416855678639.0,1274759979627.0,213092218496.0,261932289707.0,156896160634.0,269064156858.0,280077040412.0,230358506932.0,221496606406.0,145632739919.0,152587153072.0,191762905594.0,126021139906.0,128933218150.0,198146057575.0,260520572457.0,197370920315.0,249899253901.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35211456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-560286335.0,0.0,-26823263.0,0.0,0.0,0.0,0.0,0.0,0.0
Doanh thu thuần,Net sales,net_sales,680305566937.0,566763218678.0,360360545012.0,646256698175.0,545251776717.0,542656642459.0,666847528397.0,784735038360.0,721943783485.0,916473802912.0,907248060480.0,911065461455.0,864190034302.0,1258132845764.0,629259693484.0,1398737742918.0,1416855678639.0,1274724768171.0,213092218496.0,261932289707.0,156896160634.0,269064156858.0,280077040412.0,230358506932.0,221496606406.0,145072453584.0,152587153072.0,191736082331.0,126021139906.0,128933218150.0,198146057575.0,260520572457.0,197370920315.0,249899253901.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-562576654393.0,-481921067611.0,-306088837624.0,-527214884099.0,-451560693997.0,-466305460140.0,-582191713048.0,-658675633891.0,-606569539081.0,-774015016486.0,-739797759408.0,-700378384830.0,-696227405948.0,-1010959921032.0,-534305006847.0,-1154865242391.0,-1171705605245.0,-1049119347477.0,-191987975127.0,-219727598676.0,-161151666474.0,-259510823646.0,-252512836781.0,-202137513344.0,-174258120056.0,-124020517140.0,-121453250780.0,-144970175913.0,-103274034042.0,-117627569328.0,-181068539213.0,-149161743658.0,-156058728256.0,-190357242647.0
Lợi nhuận gộp,Gross Profit,gross_profit,117728912544.0,84842151067.0,54271707388.0,119041814076.0,93691082720.0,76351182319.0,84655815349.0,126059404469.0,115374244404.0,142458786426.0,167450301072.0,210687076625.0,167962628354.0,247172924732.0,94954686637.0,243872500527.0,245150073394.0,225605420694.0,21104243369.0,42204691031.0,-4255505840.0,9553333212.0,27564203631.0,28220993588.0,47238486350.0,21051936444.0,31133902292.0,46765906418.0,22747105864.0,11305648822.0,17077518362.0,111358828799.0,41312192059.0,59542011254.0
Doanh thu hoạt động tài chính,Financial income,financial_income,5707120021.0,8323252528.0,16051897064.0,19539600079.0,4600077668.0,16340962098.0,7510572968.0,5130968428.0,12390652599.0,20481628988.0,11115395867.0,18238508102.0,14359423235.0,14418127182.0,28795272971.0,27554893426.0,37147867110.0,57131811789.0,269117911457.0,83337859300.0,27386604013.0,40736987577.0,14203687221.0,27871496572.0,8382978726.0,20107266962.0,21768885233.0,20415020818.0,15774367377.0,15017714507.0,5751153886.0,13054879834.0,12213299066.0,1863735973.0
Chi phí tài chính,Financial expenses,financial_expenses,-6689759498.0,-11258910087.0,-20664230030.0,-14490593748.0,-6978631660.0,-19900704445.0,-6333610607.0,-6596284782.0,-19115895687.0,-14495589641.0,-6799441919.0,-6603850265.0,-9970058641.0,-11630250074.0,-16014775957.0,-25360373852.0,-28645984617.0,-35590697609.0,-100572876287.0,-71342137127.0,-16390691534.0,-17635905640.0,-16499359250.0,-11885599733.0,-7128779524.0,-14213550878.0,-7971326720.0,-14243051976.0,-1985624655.0,-24048250411.0,-7327913034.0,11962656494.0,-4013117614.0,-8472712966.0
Chi phí lãi vay,Interest expenses,interest_expenses,-3511475112.0,-5103649377.0,-4674126104.0,-5768991206.0,-4652645839.0,-6199995657.0,-3807824894.0,-5252423676.0,-3646439675.0,-4504561017.0,-2974854089.0,-3629926368.0,-2930957464.0,-4389439428.0,-3776620826.0,-5133368278.0,-3580930165.0,-4732791836.0,-7322961864.0,-5317365140.0,-3238240275.0,-3056245065.0,-2123252792.0,-1001265673.0,-774033189.0,-981097029.0,-329218668.0,-54039763.0,0.0,-7370179708.0,-6394252985.0,11121369041.0,-1261164797.0,-3867880054.0
Chi phí bán hàng,Selling expenses,selling_expenses,-42001063517.0,-25115684102.0,-1421855153.0,-5215008083.0,-21867168105.0,-12566777689.0,-24677628117.0,-27980655988.0,-30665312450.0,-41949539003.0,-34591309203.0,-15617683203.0,-36012578247.0,-58770358101.0,-28960617640.0,-32221879716.0,-67152327927.0,-56400776751.0,-853532335.0,-1526943642.0,-1031223570.0,-1460824143.0,-1286006415.0,-990761999.0,-1715924822.0,-827134212.0,-1846686003.0,-1489654466.0,-1019085793.0,-1176273680.0,-1589026682.0,-1327385895.0,-1633747903.0,-1843137362.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-20624460159.0,-29465510193.0,-18357210460.0,-25660768271.0,-21857554015.0,-19986224072.0,-23708663236.0,-7552491274.0,-23858938532.0,-28372110808.0,-28547696569.0,-31503116020.0,-38077044488.0,-35482470075.0,-43981625858.0,-38863001697.0,-42181554815.0,-43492996735.0,-43634765907.0,-30268323062.0,-42338797511.0,-31361982720.0,-43323144562.0,-38908192068.0,-43028695075.0,-38475480759.0,-38116042929.0,-49358364071.0,-29965313722.0,-57017374471.0,-45672902759.0,-3849666191.0,-30489769895.0,-34651710498.0
