item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4
Năm,,year,2018,2018,2018,2018
Quý,,quarter,1,2,3,4
Mã TTM,Ratio TTM Id,ratioTTMId,2699070,2713255,2715732,2717464
Loại tỷ lệ,Ratio Type,ratioType,RATIO_TTM,RATIO_TTM,RATIO_TTM,RATIO_TTM
Số CP lưu hành (triệu),Outstanding Shares (mil),outstanding_shares,13885908,19075825,19075825,19075825
Vốn hóa,Market Cap,market_cap,563073569400.0,711528272500.0,755402670000.0,639040137500.0
Tỷ suất cổ tức (%),Dividend Yield (%),dividend_yield,0.0,0.0,0.0,0.0
P/E,P/E,pe_ratio,3.7596980277,4.5360965803,4.4014575622,3.9169377815
P/B,P/B,pb_ratio,0.9400235086,1.1704418059,1.1954237351,0.9024373914
P/S,P/S,ps_ratio,0.241225597,0.2979776867,0.3170005456,0.2835602847
Giá/ Dòng tiền,Price/Cash Flow,price_to_cash_flow,3.5519247767,2.2907117118,-23.8740947463,-11.405862055
EV/EBITDA,EV/EBITDA,ev_to_ebitda,3.6693040878,3.4494653414,4.5436033741,4.14166868
Hệ số thanh toán tiền,Cash Ratio,cash_ratio,0.4964320224,0.5841811707,0.3734859273,0.2382496815
Hệ số thanh toán nhanh,Quick Ratio,quick_ratio,0.8869700037,0.826623365,0.6074910988,0.5676141186
Hệ số thanh toán hiện hành,Current Ratio,current_ratio,1.2360875649,1.2488941422,1.2646043649,1.3133814988
Vốn chủ sở hữu,Owners Equity,owners_equity,0.0,0.0,0.0,0.0
Nợ/Vốn chủ,Debt/Equity,debtPerEquity,1.1433669976,1.0131356331,1.0743017059,0.9789369242
Nợ trên vốn chủ,Debt to Equity,debt_to_equity,1.7397282871,1.706195552,1.658473954,1.5997215384
ROE (%),ROE (%),roe,0.2855991983,0.2793258056,0.2855044234,0.2571837023
ROA (%),ROA (%),roa,0.1076890295,0.1033926753,0.1060546941,0.0979835529
Số ngày phải thu,Days Sales Outstanding,days_sales_outstanding,45.0133394852,41.1456230578,43.0635329968,58.1327210646
Số ngày tồn kho,Days Inventory Outstanding,days_inventory_outstanding,68.9352257832,74.3559614583,88.2206192535,121.486202486
Số ngày phải trả,Days Payable Outstanding,days_payable_outstanding,41.3284608362,48.114168301,52.2630449651,57.0746032446
Biên LN gộp (%),Gross Margin (%),gross_margin,0.1640472795,0.1710430715,0.1733328577,0.1667411565
Biên EBIT (%),EBIT Margin (%),ebit_margin,0.0792661104,0.0815979676,0.090194844,0.0928361056
Biên LN trước thuế (%),Pre-tax Profit Margin (%),pre_tax_profit_margin,0.0824365021,0.0838109853,0.0913922961,0.0918141165
Biên LN sau thuế (%),After-tax Profit Margin (%),net_margin,0.0641731076,0.0656003722,0.0719054046,0.0724021452
Vòng quay tài sản,Asset Turnover,asset_turnover,1.6782710492,1.5763425538,1.4750693752,1.3534881326
Biên lãi thuần,Net Interest Margin,net_interest_margin,0.0,0.0,0.0,0.0
Lãi suất bình quân tài sản sinh lãi,Avg Yield on Earning Assets,avg_yield_on_earning_assets,0.0,0.0,0.0,0.0
Chi phí vốn bình quân,Avg Cost of Financing,avg_cost_of_financing,0.0,0.0,0.0,0.0
Thu nhập ngoài lãi,Non-interest Income,non_interest_income,0.0,0.0,0.0,0.0
Tỷ lệ CIR,Cost/Income Ratio,cost_to_income_ratio,0.0,0.0,0.0,0.0
Tăng trưởng cho vay (%),Loans Growth (%),loans_growth,0.0,0.0,0.0,0.0
Tăng trưởng tiền gửi (%),Deposit Growth (%),deposit_growth,0.0,0.0,0.0,0.0
Vốn chủ/Tổng nợ,Equity/Total Liabilities,equity_to_liabilities,0.0,0.0,0.0,0.0
Vốn chủ/Cho vay,Equity/Loans,equity_to_loans,0.0,0.0,0.0,0.0
Vốn chủ/Tổng tài sản,Equity/Total Assets,equity_to_assets,0.0,0.0,0.0,0.0
LDR (%),LDR (%),ldr,0.0,0.0,0.0,0.0
Nợ xấu (%),NPL (%),npl,0.0,0.0,0.0,0.0
DP rủi ro/Nợ xấu,Loan Loss Reserves/NPLs,loan_loss_reserves_to_npls,0.0,0.0,0.0,0.0
DP rủi ro/Cho vay,Loan Loss Reserve/Loans,loan_loss_reserve_to_loans,0.0,0.0,0.0,0.0
Trích lập DP/Cho vay,Provision/Outstanding Loans,provision_to_outstanding_loans,0.0,0.0,0.0,0.0
EBIT,EBIT,ebit,185024525923.0,194844323905.0,214931573286.0,209218289381.0
EBITDA,EBITDA,ebitda,200554001706.0,210478944934.0,230645394336.0,224933168587.0
ROIC,ROIC,roic,0.143531425,0.1590081085,0.163770554,0.1491342987
Chu kỳ tiền,Cash Cycle,cash_cycle,159.9446439678,167.831978318,187.185726995,241.7079906013
Vòng quay TS cố định,Fixed Asset Turnover,fixed_asset_turnover,17.6710309603,18.2420251537,18.4694526691,17.6450048829
Đòn bẩy tài chính,Financial Leverage,financial_leverage,1.7397282871,1.706195552,1.658473954,1.5997215384
CIR,CIR,cir,0.0,0.0,0.0,0.0
CAR,CAR,car,,,,
Vốn chủ sở hữu,Equity,equity,,,,
Tỷ lệ CASA,CASA Ratio,casa_ratio,,,,
Mã năm tỷ lệ,Ratio Year Id,ratioYearId,,,,
