item,item_en,item_id,2026-Q2,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,7099473488032.0,8850107402468.0,8658034615311.0,9296201037269.0,5891195424631.0,5681992269243.0,9305951454547.0,7717064516661.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-2112957689.0,-4950325899.0,-13571046685.0,-1798359824.0,-1187814894.0,-5030532730.0,-17751012015.0,-1290963428.0
Doanh thu thuần,Net sales,net_sales,7097360530343.0,8845157076569.0,8644463568626.0,9294402677445.0,5890007609737.0,5676961736513.0,9288200442532.0,7715773553233.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-4930643312539.0,-6508468262486.0,-6155571930238.0,-6646110991457.0,-4081936434211.0,-4039982227934.0,-6155538225416.0,-6120216246593.0
Lợi nhuận gộp,Gross Profit,gross_profit,2166717217804.0,2336688814083.0,2488891638388.0,2648291685988.0,1808071175526.0,1636979508579.0,3132662217116.0,1595557306640.0
Doanh thu hoạt động tài chính,Financial income,financial_income,524055354395.0,259964985294.0,353706243158.0,265241346301.0,235607202052.0,236898888858.0,269448617904.0,226341384691.0
Chi phí tài chính,Financial expenses,financial_expenses,-49249515502.0,-57572232422.0,-79917556657.0,-66915806181.0,-79644829333.0,-84194141544.0,-128176245825.0,-90611538741.0
Chi phí lãi vay,Interest expenses,interest_expenses,-37654876400.0,-40516611306.0,-46366537723.0,-58280913113.0,-66679727043.0,-69400548964.0,-87067268582.0,-81287573713.0
Chi phí bán hàng,Selling expenses,selling_expenses,-105134681769.0,-116379463487.0,-146197525935.0,-133345231029.0,-103810893590.0,-93937970474.0,-189539361387.0,-149742398163.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-881340990615.0,-529711701298.0,-1691987374536.0,-579168852287.0,-530980716891.0,-420642417847.0,-1018582774495.0,-511327965650.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,1750107153636.0,1923314262394.0,1098006923630.0,2159849528349.0,1422911605416.0,1285802125070.0,2170067592156.0,1074842475888.0
Thu nhập khác,Other incomes,other_incomes,1429574140187.0,1133686349299.0,430547228637.0,574156007738.0,591116987699.0,363061987228.0,515374385110.0,323619551153.0
Chi phí khác,Other expenses,other_expenses,-106128850336.0,-96105130038.0,-640658470751.0,-115072842086.0,-61188980242.0,-84624664789.0,-288149340142.0,-92055256751.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,1323445289851.0,1037581219261.0,-210111242114.0,459083165652.0,529928007457.0,278437322439.0,227225044968.0,231564294402.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,3073552443487.0,2960895481655.0,887895681516.0,2618932694001.0,1952839612873.0,1564239447509.0,2397292637124.0,1306406770290.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-511565786572.0,-453650870496.0,-120440622605.0,-393619776213.0,-302772293904.0,-235276891787.0,-386958194150.0,-240800187573.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,-5613656001.0,6137833362.0,13789501156.0,-38031532550.0,-71240501134.0,26816755324.0,110930842596.0,55113764819.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-517179442573.0,-447513037134.0,-106651121449.0,-431651308763.0,-374012795038.0,-208460136463.0,-276027351554.0,-185686422754.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,2556373000914.0,2513382444521.0,781244560067.0,2187281385238.0,1578826817835.0,1355779311046.0,2121265285570.0,1120720347536.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,267628281502.0,262630796139.0,86844124168.0,290018159807.0,132015721978.0,171131324560.0,372736163904.0,176936053662.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,2288744719412.0,2250751648382.0,694400435899.0,1897263225431.0,1446811095857.0,1184647986486.0,1748529121666.0,943784293874.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,572.0,556.0,115.0,474.0,366.0,292.0,516.0,236.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,95059769323.0,30323860224.0,173511499212.0,25746385557.0,93669667652.0,10698257498.0,104255138843.0,4625687111.0
