item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,7049204781000.0,7635142588000.0,7460985331000.0,10060599985000.0,6527891699000.0,6091773425000.0,8357620738000.0,7149532287000.0,6504078906000.0,7815824103000.0,9105200725000.0,10136116918000.0,4226879002000.0,5226803590000.0,5979111805000.0,5624732830000.0,4910486302000.0,8054798117000.0,8390708767000.0,8162952279000.0,8682963195000.0,7816012477000.0,6393721268000.0,9351480113000.0,8530647777000.0,8707882361000.0,8867543855000.0,8435357672000.0,9249076034000.0,10948323437000.0,11743651534000.0,8291578593000.0,7791489032000.0,8486537246000.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,107320055000.0,223552064000.0,847689600000.0,337744709000.0,261427547000.0,177737527000.0,193002013000.0,254431619000.0,61138981000.0,82102337000.0,280416936000.0,97275396000.0,272554623000.0,155797335000.0,108787149000.0,78243594000.0,125163469000.0,117689314000.0,131545682000.0,72372525000.0,43230935000.0,50076560000.0,62329043000.0,42078775000.0,39930275000.0,136029064000.0,113974451000.0,149708825000.0,315589898000.0,193660834000.0,845771645000.0,679528813000.0,332445818000.0,1243494285000.0
Tiền,Cash,cash,107320055000.0,223534938000.0,847689600000.0,337744709000.0,261427547000.0,177737527000.0,193002013000.0,254431619000.0,61138981000.0,82102337000.0,280416936000.0,97275396000.0,272554623000.0,155797335000.0,108787149000.0,78243594000.0,125163469000.0,117689314000.0,131545682000.0,72372525000.0,43230935000.0,50076560000.0,62329043000.0,42078775000.0,39930275000.0,136029064000.0,113974451000.0,149708825000.0,315589898000.0,193660834000.0,845771645000.0,679528813000.0,332445818000.0,1243494285000.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,0.0,17126000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450816173000.0,3963342950000.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,5416605321000.0,5975238401000.0,5074038979000.0,4793755054000.0,4427985064000.0,3930462557000.0,6105582076000.0,4613432334000.0,4060812391000.0,5314536189000.0,6186193971000.0,7672848395000.0,3690557074000.0,4749725113000.0,5482683651000.0,5111213017000.0,4068294574000.0,7053387394000.0,7175878584000.0,6896244045000.0,7608744421000.0,6477821085000.0,5084700976000.0,8370378242000.0,7657080929000.0,7771905871000.0,7813719585000.0,7536948369000.0,8065310108000.0,9918500231000.0,10051301617000.0,6764930046000.0,2108811048000.0,2401812276000.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,2954455298000.0,3428551851000.0,3247406579000.0,2976394171000.0,2111472248000.0,1460955195000.0,3714704945000.0,1526364333000.0,1294647201000.0,1385180697000.0,1455186201000.0,4075628659000.0,526457299000.0,630535972000.0,810395024000.0,553790175000.0,698951325000.0,871119728000.0,1189483271000.0,966673012000.0,1350807507000.0,1424617572000.0,2000845233000.0,1646986055000.0,1469352828000.0,1482001003000.0,1696829721000.0,1383718468000.0,1744220201000.0,1995368246000.0,2103040405000.0,1278907815000.0,1307642179000.0,1122397993000.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,191375200000.0,188251514000.0,239120236000.0,457339010000.0,499727703000.0,375106252000.0,437098601000.0,374650724000.0,102613166000.0,1386043390000.0,133139371000.0,109093348000.0,95826437000.0,110543462000.0,101471502000.0,147090474000.0,188577713000.0,253562816000.0,459372094000.0,766151359000.0,798764112000.0,850955715000.0,1227096135000.0,1843141647000.0,1266375629000.0,830625603000.0,736792697000.0,1022089432000.0,1071689916000.0,1202174946000.0,1052073591000.0,186169316000.0,221799747000.0,234814805000.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,construction_contract_in_progress_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu khác,Other receivables,other_receivables,1077139516000.0,925435946000.0,652624662000.0,668623334000.0,708430930000.0,614760904000.0,531692100000.0,467024417000.0,326371974000.0,291775226000.0,650485624000.0,631861394000.0,417019373000.0,550963981000.0,622297738000.0,733833340000.0,825943804000.0,939484209000.0,974365508000.0,1171523523000.0,1510496385000.0,2356347537000.0,455397308000.0,2361159194000.0,2333502292000.0,2210324365000.0,2498160264000.0,2504387857000.0,2549430007000.0,3004626234000.0,3275881590000.0,2522712107000.0,623055023000.0,1095639173000.0
