item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4
Năm,,year,2018,2018,2018,2018
Quý,,quarter,1,2,3,4
Mã TTM,Ratio TTM Id,ratioTTMId,2698972,2713331,2715926,2717394
Loại tỷ lệ,Ratio Type,ratioType,RATIO_TTM,RATIO_TTM,RATIO_TTM,RATIO_TTM
Số CP lưu hành (triệu),Outstanding Shares (mil),outstanding_shares,927399283,927399283,927399283,927399283
Vốn hóa,Market Cap,market_cap,7029686565140.0,4590626450850.0,4636996415000.0,5072874078010.0
Tỷ suất cổ tức (%),Dividend Yield (%),dividend_yield,0.0,0.0,0.0,0.0
P/E,P/E,pe_ratio,9.5831980897,431.9429302062,14.9546912019,43.174105741
P/B,P/B,pb_ratio,0.5195499698,0.3362243614,0.3485628972,0.3823592259
P/S,P/S,ps_ratio,1.3112243439,0.8202497888,0.8286983862,0.9414783604
Giá/ Dòng tiền,Price/Cash Flow,price_to_cash_flow,5.6873787044,3.2692660616,-19.1064314825,-1.7387979
EV/EBITDA,EV/EBITDA,ev_to_ebitda,13.2806835851,11.3495327106,10.3935241445,12.446778403
Hệ số thanh toán tiền,Cash Ratio,cash_ratio,0.0090618703,0.0171120097,0.0672138831,0.025709334
Hệ số thanh toán nhanh,Quick Ratio,quick_ratio,0.4733651087,0.4794435763,0.4748157956,0.3936048946
Hệ số thanh toán hiện hành,Current Ratio,current_ratio,0.5952194085,0.5844394003,0.5915865855,0.4999649116
Vốn chủ sở hữu,Owners Equity,owners_equity,1.1067778134,1.0985436543,0.8970515879,0.8806043314
Nợ/Vốn chủ,Debt/Equity,debtPerEquity,1.2358299715,1.2575962091,1.237207491,1.2940152036
Nợ trên vốn chủ,Debt to Equity,debt_to_equity,1.9038980329,1.9902514075,1.84089646,1.8619217127
ROE (%),ROE (%),roe,0.039224169,0.0014831155,0.01722455,0.0067925227
ROA (%),ROA (%),roa,0.0135038499,0.0005058232,0.0059073577,0.0023228748
Số ngày phải thu,Days Sales Outstanding,days_sales_outstanding,151.3787390993,176.5616411139,191.3855968067,174.1783346468
Số ngày tồn kho,Days Inventory Outstanding,days_inventory_outstanding,142.8510742664,168.0271208318,188.0422140863,153.5638366837
Số ngày phải trả,Days Payable Outstanding,days_payable_outstanding,119.3379795646,129.2682165747,114.685086298,87.4642482195
Biên LN gộp (%),Gross Margin (%),gross_margin,0.3941191816,0.45950152,0.514514478,0.4407232467
Biên EBIT (%),EBIT Margin (%),ebit_margin,0.2340151978,0.272226844,0.3262044212,0.2213954162
Biên LN trước thuế (%),Pre-tax Profit Margin (%),pre_tax_profit_margin,0.2286521841,0.0608707836,0.0946469887,0.0088520906
Biên LN sau thuế (%),After-tax Profit Margin (%),net_margin,0.227651856,0.0518614358,0.0860028886,0.0011589036
Vòng quay tài sản,Asset Turnover,asset_turnover,0.1012725023,0.0995019065,0.1065962858,0.1065139925
Biên lãi thuần,Net Interest Margin,net_interest_margin,0.0,0.0,0.0,0.0
Lãi suất bình quân tài sản sinh lãi,Avg Yield on Earning Assets,avg_yield_on_earning_assets,0.0,0.0,0.0,0.0
Chi phí vốn bình quân,Avg Cost of Financing,avg_cost_of_financing,0.0,0.0,0.0,0.0
Thu nhập ngoài lãi,Non-interest Income,non_interest_income,0.0,0.0,0.0,0.0
Tỷ lệ CIR,Cost/Income Ratio,cost_to_income_ratio,0.0,0.0,0.0,0.0
Tăng trưởng cho vay (%),Loans Growth (%),loans_growth,0.0,0.0,0.0,0.0
Tăng trưởng tiền gửi (%),Deposit Growth (%),deposit_growth,0.0,0.0,0.0,0.0
Vốn chủ/Tổng nợ,Equity/Total Liabilities,equity_to_liabilities,0.0,0.0,0.0,0.0
Vốn chủ/Cho vay,Equity/Loans,equity_to_loans,0.0,0.0,0.0,0.0
Vốn chủ/Tổng tài sản,Equity/Total Assets,equity_to_assets,0.0,0.0,0.0,0.0
LDR (%),LDR (%),ldr,0.0,0.0,0.0,0.0
Nợ xấu (%),NPL (%),npl,0.0,0.0,0.0,0.0
DP rủi ro/Nợ xấu,Loan Loss Reserves/NPLs,loan_loss_reserves_to_npls,0.0,0.0,0.0,0.0
DP rủi ro/Cho vay,Loan Loss Reserve/Loans,loan_loss_reserve_to_loans,0.0,0.0,0.0,0.0
Trích lập DP/Cho vay,Provision/Outstanding Loans,provision_to_outstanding_loans,0.0,0.0,0.0,0.0
EBIT,EBIT,ebit,1254593464000.0,1452026803000.0,1825282584000.0,1192922870000.0
EBITDA,EBITDA,ebitda,2222710662000.0,2443092487000.0,2748593140000.0,2330197091000.0
ROIC,ROIC,roic,0.0306885932,0.0349226432,0.0479310202,0.0309332429
Chu kỳ tiền,Cash Cycle,cash_cycle,705.0040057584,725.1928286592,687.8013695835,654.0376727575
Vòng quay TS cố định,Fixed Asset Turnover,fixed_asset_turnover,0.5245728122,0.4852445995,0.4985457849,0.5217732218
Đòn bẩy tài chính,Financial Leverage,financial_leverage,1.9038980329,1.9902514075,1.84089646,1.8619217127
CIR,CIR,cir,0.0,0.0,0.0,0.0
CAR,CAR,car,,,,
Vốn chủ sở hữu,Equity,equity,,,,
Tỷ lệ CASA,CASA Ratio,casa_ratio,,,,
Mã năm tỷ lệ,Ratio Year Id,ratioYearId,,,,
