item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,949165920547.0,1163900167633.0,1126328844959.0,1405009512384.0,1147444585783.0,1348519214715.0,1402996670670.0,1245763458299.0,1156831096875.0,1085460615291.0,1015590125640.0,919056191206.0,957331293355.0,908337097395.0,983175465963.0,935778061624.0,1196472300595.0,1078928450425.0,1184182943843.0,1591186341141.0,1043819426768.0,640406498902.0,880695763267.0,1071764691450.0,1209989063083.0,1092012838663.0,1572019281495.0,1315736137362.0,1576825158586.0,1379978963187.0,1402021127168.0,1981826455280.0,2182958141689.0,2586576029267.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,49802752928.0,41945457321.0,59122656329.0,120804190793.0,68356196435.0,77109957703.0,83771436665.0,109639410844.0,102529358050.0,109765853896.0,177322710614.0,81458070905.0,161283939741.0,87899838985.0,97582601893.0,87553230700.0,132399859414.0,39533820996.0,150827941658.0,160487675358.0,83975423780.0,65459334805.0,53389718898.0,120230008269.0,113451125920.0,130084954303.0,218325707371.0,261814418901.0,128243997553.0,96988640333.0,117679946031.0,93434960968.0,125335229983.0,221654551411.0
Tiền,Cash,cash,49802752928.0,41945457321.0,59122656329.0,120804190793.0,68356196435.0,77109957703.0,83771436665.0,109639410844.0,102529358050.0,109765853896.0,147322710614.0,81458070905.0,161283939741.0,57899838985.0,97582601893.0,87553230700.0,132399859414.0,39533820996.0,150827941658.0,160487675358.0,83975423780.0,49859334805.0,53389718898.0,107124319228.0,90244115859.0,121082817317.0,218325707371.0,151814418901.0,123243997553.0,90988640333.0,111657765209.0,91434960968.0,106135229983.0,178446482917.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000000000.0,0.0,0.0,30000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15600000000.0,0.0,13105689041.0,23207010061.0,9002136986.0,0.0,110000000000.0,5000000000.0,6000000000.0,6022180822.0,2000000000.0,19200000000.0,43208068494.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449998934905.0,623246023323.0,206999965312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000000.0,5000000000.0,5000000000.0,8500000000.0,11000000000.0,11800000000.0,15000000000.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,362437238781.0,421841226371.0,382921072557.0,669561549303.0,509508358940.0,490699476661.0,592631709329.0,393638260703.0,171542062785.0,213697869708.0,227890428261.0,262220727553.0,294331491551.0,144016257060.0,105922628409.0,248694644822.0,296626512265.0,203111248303.0,488407500112.0,264999177113.0,204846843325.0,149392205919.0,207400129327.0,212817613319.0,366815999742.0,278525188438.0,487420593852.0,340315148631.0,389956860816.0,303138914422.0,411118992685.0,353532347950.0,513792698336.0,490064725573.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,351721923610.0,408365673587.0,361345302905.0,655773938636.0,478043072487.0,474288562647.0,585548931818.0,389600961537.0,93614628348.0,158722797227.0,92746158619.0,101984748261.0,125883692375.0,96758983140.0,91587323773.0,89456546159.0,110619649075.0,106664831245.0,348921176374.0,127340024887.0,76621615751.0,79552660237.0,97573481829.0,93792846281.0,217834221403.0,146397625390.0,239487073180.0,123622147361.0,156133575345.0,136478154146.0,219104972671.0,193398574633.0,279483135457.0,238545475091.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,9211269858.0,10182832066.0,10349560226.0,10711405406.0,10962217423.0,3452540415.0,1304072417.0,2301417502.0,1973884924.0,2080786161.0,16089458307.0,6397848601.0,5763018051.0,9146509611.0,11961841390.0,7867430562.0,8428076882.0,29471432612.0,26488890184.0,7781855463.0,21224806808.0,11874460029.0,20007151473.0,37984064404.0,43228029833.0,50299238049.0,33191110451.0,77822172290.0,78270584927.0,71138904514.0,72045216138.0,8665232824.0,49127755254.0,68013431923.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,construction_contract_in_progress_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu khác,Other receivables,other_receivables,2517418539.0,4306093944.0,12243498921.0,4093494756.0,21520358525.0,13975663094.0,6795994589.0,2753171159.0,76970839008.0,53911575815.0,120072100830.0,154855420186.0,163702070620.0,39128053804.0,3390752741.0,152432262371.0,178640380578.0,68036578716.0,114059027824.0,130938891033.0,108062015036.0,59026679923.0,90881090295.0,82102296904.0,106815342776.0,82838097134.0,215752182356.0,139880601115.0,156562472679.0,96531627897.0,120978576011.0,152478312628.0,186191579760.0,184515590694.0
