item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,984284482120.0,1155058970857.0,1141559568619.0,1475103104249.0,1085015427625.0,1225541840403.0,1325268523282.0,1517098366003.0,920102470385.0,1089404363300.0,1741335028270.0,1818710041768.0,1436201777992.0,1250300879915.0,708890240943.0,2156092408779.0,1661312515019.0,1545622557088.0,1970492834869.0,1597772346119.0,992684013386.0,797173311156.0,1115256789514.0,1076807596882.0,1037662498325.0,1122603205532.0,1535605593154.0,1817416047163.0,958609126204.0,1029050424080.0,1149508050789.0,1513414141032.0,1097492203596.0,1558794663718.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doanh thu thuần,Net sales,net_sales,984284482120.0,1155058970857.0,1141559568619.0,1475103104249.0,1085015427625.0,1225541840403.0,1325268523282.0,1517098366003.0,920102470385.0,1089404363300.0,1741335028270.0,1818710041768.0,1436201777992.0,1250300879915.0,708890240943.0,2156092408779.0,1661312515019.0,1545622557088.0,1970492834869.0,1597772346119.0,992684013386.0,797173311156.0,1115256789514.0,1076807596882.0,1037662498325.0,1122603205532.0,1535605593154.0,1817416047163.0,958609126204.0,1029050424080.0,1149508050789.0,1513414141032.0,1097492203596.0,1558794663718.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-952033955910.0,-1090654833533.0,-1072010844776.0,-1411215278798.0,-1043705716109.0,-1170467336425.0,-1268588156703.0,-1474733138619.0,-871388894077.0,-1044799090438.0,-1631536966672.0,-1700441778413.0,-1324568300099.0,-1206947423885.0,-709676003384.0,-1953567246789.0,-1555030385310.0,-1412242637748.0,-1853886355438.0,-1481009652583.0,-915976079143.0,-740740224369.0,-1050598730799.0,-997653412029.0,-942209901125.0,-1026413241559.0,-1361418391227.0,-1671322704124.0,-864987515019.0,-937864691744.0,-1089811952641.0,-1403058756673.0,-1024099900728.0,-1468519717475.0
Lợi nhuận gộp,Gross Profit,gross_profit,32250526210.0,64404137324.0,69548723843.0,63887825451.0,41309711516.0,55074503978.0,56680366579.0,42365227384.0,48713576308.0,44605272862.0,109798061598.0,118268263355.0,111633477893.0,43353456030.0,-785762441.0,202525161990.0,106282129709.0,133379919340.0,116606479431.0,116762693536.0,76707934243.0,56433086787.0,64658058715.0,79154184853.0,95452597200.0,96189963973.0,174187201927.0,146093343039.0,93621611185.0,91185732336.0,59696098148.0,110355384359.0,73392302868.0,90274946243.0
Doanh thu hoạt động tài chính,Financial income,financial_income,116134313.0,126539070.0,132025048.0,102774808.0,94597362.0,43675857.0,16744900.0,114731232.0,2305013286.0,208195607.0,151863210.0,118163682.0,33102945.0,129634659.0,120061002.0,224968918.0,473328898.0,11861313128.0,7849687868.0,3726576432.0,55170678.0,12425175.0,462736067.0,46961965.0,157978461.0,244411923.0,76165057.0,223661808.0,577449407.0,509774995.0,132836961.0,132711144.0,120027508.0,495233333.0
Chi phí tài chính,Financial expenses,financial_expenses,-8904582990.0,-8843589208.0,-14020279332.0,-10935254385.0,-11817535259.0,-13031591043.0,-15452361905.0,-16411645095.0,-13092433265.0,-13756082763.0,-8663046754.0,-5233948407.0,-4732180815.0,-3321800830.0,-4917522475.0,-4605459817.0,-1488284460.0,-3350449607.0,-5976620537.0,-18488869371.0,-17814888964.0,-9214658850.0,-5625888513.0,-4659423441.0,-5100961982.0,-4956658414.0,-4990262963.0,-7754898318.0,-6028136582.0,-11246182573.0,-9152985130.0,-11045750536.0,-13090151476.0,-20724286250.0
Chi phí lãi vay,Interest expenses,interest_expenses,-8904582990.0,-8790754636.0,-14018633884.0,-10731003010.0,-11817535259.0,-13028332090.0,-15455620858.0,-16404728939.0,-13017020322.0,-13755589346.0,-8663046754.0,-5233948407.0,-4722368741.0,-3321800830.0,-4917522475.0,-4605459817.0,-1297873260.0,-3486673141.0,-5944953870.0,-18447030172.0,-17740708355.0,-9214658841.0,-5625888513.0,-4659423441.0,-5100961982.0,-4956658414.0,-4990262963.0,-7754898318.0,-6028136582.0,-11246182573.0,-9152985130.0,-11045750536.0,-13090151476.0,-20724286250.0
Chi phí bán hàng,Selling expenses,selling_expenses,-27613419827.0,-23094433610.0,-25905466923.0,-32673221758.0,-26903206792.0,-28670786154.0,-29773917776.0,-31452029357.0,-25150735530.0,-20594839374.0,-31014884156.0,-37611136938.0,-29531042707.0,-28474440281.0,-22598864412.0,-38095258621.0,-32379699933.0,-33779376346.0,-37070730397.0,-40451760766.0,-36933380720.0,-37124325723.0,-27673433321.0,-43325156849.0,-37053669428.0,-49183977222.0,-55497212401.0,-66359006895.0,-52008103167.0,-53992248159.0,-58783627364.0,-56267589741.0,-57485876952.0,-72408788977.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-13645705594.0,-12205562691.0,-11036903727.0,-14972485208.0,-12501009252.0,-13043956176.0,-15394560688.0,-11723795966.0,-14073960950.0,-10218535519.0,-14987746385.0,-14136773866.0,-12350041243.0,-12287246999.0,-9572355342.0,-13555211029.0,-13840683202.0,-15771465813.0,-18730927298.0,-15928799066.0,-21771140261.0,-14574062870.0,-28817097536.0,-11024150870.0,-21630918453.0,-22622552257.0,-27069732454.0,-32414547441.0,-32427988847.0,-33650410492.0,-36420175404.0,-34657911953.0,-35195225683.0,-47417483843.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,-17797047888.0,20387090885.0,18718098909.0,5409638908.0,-9817442425.0,371846462.0,-3923728890.0,-17107511802.0,-1298540151.0,244010813.0,55284247513.0,61404567826.0,65053316073.0,-600397421.0,-37754443668.0,146494201441.0,59046791012.0,92339940702.0,62677889067.0,45619840765.0,243694976.0,-4467535481.0,3004375412.0,20192415658.0,31825025798.0,19671188003.0,86706159166.0,39788552193.0,3734831996.0,-7193333893.0,-44527852789.0,8516843273.0,-32258923735.0,-49780379494.0
Thu nhập khác,Other incomes,other_incomes,20762172822.0,19965523042.0,19236323178.0,40040999433.0,16161651250.0,31369520706.0,22204081315.0,26622550611.0,6038703474.0,10801255962.0,9083651074.0,16927868748.0,5158590716.0,8264269711.0,4414689412.0,11304509781.0,9236309500.0,8684391230.0,9408976771.0,13119542654.0,5526699895.0,9005573954.0,7504316478.0,7919289286.0,9172543301.0,8899052648.0,26645133216.0,36014719018.0,19132575413.0,24782474368.0,20357044352.0,33566894046.0,52448173658.0,80994722827.0
Chi phí khác,Other expenses,other_expenses,-132165245.0,-261568856.0,245560977.0,-1987671034.0,-95454741.0,-278074280.0,-31051435.0,0.0,-50174735.0,-76127844.0,-5962326.0,-731956315.0,-210494619.0,-4318298.0,-1309010.0,-165324529.0,-889363.0,-13157317.0,-4977719.0,-15581233.0,-151531308.0,-28732235.0,-456881780.0,-160873149.0,-73782069.0,-157497413.0,-107115585.0,-27471126.0,-143309226.0,-48440208.0,-41069418.0,-2102170694.0,-48003861.0,-1543432497.0
