item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,6033080145173.0,4411078876993.0,5445921133274.0,5065174554410.0,5528802468891.0,6998268200447.0,6433886124902.0,7295764151145.0,6079009819923.0,6561925808448.0,9283913458249.0,12307866988088.0,14780360619535.0,15361126293403.0,18706469870119.0,24186710802908.0,22610553907706.0,18996907751408.0,20508174198916.0,15262466982681.0,13949869508100.0,14115997489044.0,16481338561214.0,17728214113678.0,20220347163685.0,27574482996823.0,32540515505301.0,31172158784622.0,30298490282025.0,34776639577759.0,44591028735692.0,46331257961416.0,40295277730797.0,41094100569172.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,120405243049.0,762233648638.0,471136113943.0,117332185998.0,78733583494.0,390190355845.0,307813471902.0,906543226372.0,1087980480154.0,1089267983158.0,696362720511.0,206860864747.0,2311719336706.0,2127763487703.0,3534662636919.0,7198511987873.0,4721317274792.0,5532530351559.0,6613864755428.0,5640650158821.0,4828220851369.0,3041041060388.0,2516226066314.0,2824566706906.0,3361257661280.0,2584337405717.0,2241579020307.0,2023945127620.0,1591074303143.0,1309540758169.0,6709100029441.0,3701562619328.0,1208989286058.0,2202388683249.0
Tiền,Cash,cash,120405243049.0,762233648638.0,471136113943.0,117332185998.0,78733583494.0,390190355845.0,307813471902.0,906543226372.0,1087980480154.0,1089267983158.0,696362720511.0,206860864747.0,2311719336706.0,2127763487703.0,3534662636919.0,7198511987873.0,4721317274792.0,5532530351559.0,6613864755428.0,5640650158821.0,4828220851369.0,3041041060388.0,2516226066314.0,2824566706906.0,3361257661280.0,2584337405717.0,2241579020307.0,2023945127620.0,1591074303143.0,1309540758169.0,6709100029441.0,3701562619328.0,1208989286058.0,2202388683249.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Các tài sản tài chính ghi nhận thông qua lãi lỗ (FVTPL),Financial assets at fair value through profit or loss (FVTPL),financial_assets_at_fair_value_through_profit_or_loss_fvtpl,339797947289.0,216852641396.0,375565834779.0,851839940206.0,549110428195.0,1055234839105.0,746613797945.0,1286632864648.0,974648415706.0,655670537294.0,1505794369531.0,3061224600123.0,1787099959970.0,1999679826806.0,1196230484957.0,2371663569220.0,2253006018605.0,1898715363690.0,2271645440477.0,1424495705829.0,1583345251938.0,1863671720140.0,2165546502217.0,2222153115595.0,2273674303203.0,5905909631419.0,8701464336966.0,7931439013878.0,7396908139371.0,13067814059870.0,16044159098751.0,13766120181079.0,10109257339720.0,9132830499187.0
Dự phòng suy giảm giá trị tài sản tài chính và tài sản thế chấp,Provision for diminution,provision_for_diminution,-33631027290.0,-33631027290.0,-33631027290.0,-23573148070.0,-23573148070.0,-23573148070.0,-23573148070.0,0.0,0.0,-37783317946.0,-37783317946.0,-37783317946.0,-37783317946.0,-37783317946.0,-37783317946.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tổng các khoản phải thu,Accounts receivable,accounts_receivable,524921760627.0,794738476812.0,272124906418.0,742327797710.0,1132289624171.0,721642104940.0,665188073636.0,385797783263.0,423620843428.0,545952198705.0,1061265116752.0,264195356099.0,1806628724533.0,4136536922822.0,4392910684529.0,854197634770.0,1062870605326.0,267869042234.0,499632003464.0,751977399814.0,551855441279.0,265055215344.0,358205641984.0,362962472467.0,233407153214.0,148292008425.0,1966136684216.0,557851297097.0,825985220302.0,556351353160.0,1254029224097.0,655784034843.0,781563079320.0,313941424069.0
Phải thu khách hàng (Trước năm 2016),Trade accounts receivable (Before 2016),trade_accounts_receivable_before_2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,1688016752.0,5251132660.0,4127378492.0,2081707500.0,4554013225.0,1928338710.0,4755205530.0,6445066994.0,5686314826.0,3996443731.0,1863477460.0,7913519184.0,3311277532.0,13721354074.0,18216668080.0,14378716021.0,14405899772.0,5619500325.0,6120857841.0,6823098704.0,3131527418.0,7173041960.0,11420152329.0,9140072049.0,844003600.0,4457886211.0,4808861984.0,12661876123.0,15710086138.0,25821684873.0,10142511033.0,16571533817.0,6530737259.0,7390674664.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu về XDCB (Trước năm 2016),Construction contract in progress receivables (Before 2016),construction_contract_in_progress_receivables_before_2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu khác,Other receivables,other_receivables,55223879401.0,63044928892.0,62750938253.0,54258327010.0,61628389638.0,56026125059.0,74947285631.0,100809984866.0,108438699813.0,30926112107.0,55839326345.0,64858789330.0,78197483326.0,69078925159.0,143293710868.0,200495054676.0,192907880735.0,194245208896.0,188902439129.0,164585357410.0,201822471566.0,105821979331.0,101355141606.0,72878512132.0,110348638026.0,104353015672.0,86640354108.0,67269086755.0,71205507975.0,91872331810.0,224748850875.0,104491784417.0,128133079709.0,132310042243.0
Dự phòng nợ khó đòi (Trước năm 2016),Provision for doubtful debts (Before 2016),provision_for_doubtful_debts_before_2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hàng tồn kho, ròng (Trước năm 2016)","Inventories, Net (Before 2016)",inventories_net_before_2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hàng tồn kho (Trước năm 2016),Inventories (Before 2016),inventories_before_2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dự phòng giảm giá HTK (Trước năm 2016),Provision for decline in inventories (Before 2016),provision_for_decline_in_inventories_before_2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tài sản ngắn hạn khác,Other current assets,other_current_assets,70595260781.0,26294641943.0,26477048473.0,115232935322.0,18683497120.0,135349705019.0,53120732700.0,20076944868.0,38953844825.0,24101096355.0,36144882790.0,189527953462.0,36424026079.0,33752572288.0,12153892724.0,72240495999.0,50004969802.0,70798728451.0,195453728036.0,66360780212.0,79703895931.0,71069549203.0,109887975568.0,183407643431.0,151626263394.0,393752961737.0,344933937737.0,230396347030.0,94812200232.0,29807800506.0,368023983188.0,57684530578.0,54990862450.0,39917457672.0
Chi phí trả trước ngắn hạn,Short-term prepayments,short_term_prepayments,11014668358.0,11534720134.0,11546096654.0,8976240525.0,14290581175.0,11681292849.0,8693159580.0,8464775711.0,14238565471.0,14201909380.0,13099316136.0,8702822930.0,11806664264.0,13929280858.0,9741149937.0,9816990763.0,14508851723.0,18141082420.0,20292208015.0,19308153346.0,22046401386.0,28051003473.0,19337968166.0,24656347060.0,26416907480.0,22743387902.0,20654698425.0,27595205648.0,26541370224.0,24942417995.0,26745285751.0,29725312774.0,27925121178.0,29125682700.0
Thuế giá trị gia tăng được khấu trừ,VAT to be claimed,vat_to_be_claimed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thuế và các khoản khác phải thu Nhà nước,Other taxes receivable,other_taxes_receivable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tài sản ngắn hạn khác,Other current assets,other_current_assets,55121184000.0,10046396000.0,10704137000.0,102256365000.0,546841950.0,119715312950.0,40337201950.0,7563570950.0,20410774950.0,5782219950.0,19009903950.0,179688615950.0,22981027950.0,18013927950.0,254809950.0,61300080950.0,34228801950.0,51369061950.0,173793713950.0,46080842950.0,56689380950.0,42281374950.0,89488083950.0,158206831950.0,124592456950.0,368532392950.0,322762482950.0,201517435950.0,67505584950.0,4139871450.0,333606369530.0,24940377000.0,23833830000.0,8075284410.0
TÀI SẢN DÀI HẠN,LONG-TERM ASSETS,long_term_assets,187102822042.0,193483188551.0,194626841138.0,191130772771.0,185937041459.0,195811507078.0,194127811238.0,192914478203.0,184678596378.0,180713667347.0,184260039232.0,180960564999.0,181469512681.0,179912229613.0,174821536212.0,182392337809.0,183418550551.0,182903557323.0,180516079312.0,184488062533.0,189675326524.0,184045858159.0,181465636561.0,182460959310.0,188524677025.0,181825101683.0,174841762315.0,167478614216.0,163659354739.0,160514898729.0,171144935401.0,167748248195.0,171452239975.0,164818302321.0
Phải thu dài hạn,Long-term trade receivables,long_term_trade_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu khách hàng dài hạn,Long-term trade receivables,long_term_trade_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu nội bộ dài hạn (Trước năm 2016),Long-term intercompany receivables (Before 2016),long_term_intercompany_receivables_before_2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu dài hạn khác (Trước năm 2016),Other long-term receivables (Before 2016),other_long_term_receivables_before_2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
