item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4
Năm,,year,2018,2018,2018,2018
Quý,,quarter,1,2,3,4
Mã TTM,Ratio TTM Id,ratioTTMId,2698747,2712982,2715751,2717024
Loại tỷ lệ,Ratio Type,ratioType,RATIO_TTM,RATIO_TTM,RATIO_TTM,RATIO_TTM
Số CP lưu hành (triệu),Outstanding Shares (mil),outstanding_shares,129554168,129554168,129554168,302293058
Vốn hóa,Market Cap,market_cap,6931147988000.0,7902804248000.0,5868803810400.0,7345721309400.0
Tỷ suất cổ tức (%),Dividend Yield (%),dividend_yield,0.0,0.0,0.0132450331,0.024691358
P/E,P/E,pe_ratio,8.846959457,9.9528881111,7.4350853942,4.6679228087
P/B,P/B,pb_ratio,2.2873706136,2.6927020558,1.9140813379,2.4001419749
P/S,P/S,ps_ratio,3.2114208261,3.1121234242,2.2419881802,3.126083116
Giá/ Dòng tiền,Price/Cash Flow,price_to_cash_flow,-5.1580028797,7.1423820546,21.1489277008,1.6831491409
EV/EBITDA,EV/EBITDA,ev_to_ebitda,8.7494000841,7.5352930983,6.5192096739,9.3316515217
Hệ số thanh toán tiền,Cash Ratio,cash_ratio,0.1444788635,0.5863969617,0.3288894015,0.4413816087
Hệ số thanh toán nhanh,Quick Ratio,quick_ratio,1.8940602343,2.6418950786,2.1153910709,2.3067882708
Hệ số thanh toán hiện hành,Current Ratio,current_ratio,1.8940602343,2.6418950786,2.1153910709,2.3067882708
Vốn chủ sở hữu,Owners Equity,owners_equity,0.0,0.0,0.0,0.0
Nợ/Vốn chủ,Debt/Equity,debtPerEquity,0.6115709973,0.1472176846,0.3754379982,0.5077974056
Nợ trên vốn chủ,Debt to Equity,debt_to_equity,1.0495377831,0.5689005258,0.8396368258,0.7174459141
ROE (%),ROE (%),roe,0.2871888153,0.2793272575,0.2670327794,0.2308664027
ROA (%),ROA (%),roa,0.1390420665,0.1424773917,0.1364486945,0.1131753529
Số ngày phải thu,Days Sales Outstanding,days_sales_outstanding,0.0,0.0,0.0,0.0
Số ngày tồn kho,Days Inventory Outstanding,days_inventory_outstanding,0.0,0.0,0.0,0.0
Số ngày phải trả,Days Payable Outstanding,days_payable_outstanding,1.0836771203,0.8442054848,0.8205845999,0.933182166
Biên LN gộp (%),Gross Margin (%),gross_margin,0.5171550509,0.4505474847,0.4425727524,0.4345924974
Biên EBIT (%),EBIT Margin (%),ebit_margin,0.4532410889,0.389588298,0.3765035594,0.3573780246
Biên LN trước thuế (%),Pre-tax Profit Margin (%),pre_tax_profit_margin,0.4548176059,0.3905458186,0.3773851024,0.3584048789
Biên LN sau thuế (%),After-tax Profit Margin (%),net_margin,0.3631578221,0.3127744691,0.3016244459,0.2874608247
Vòng quay tài sản,Asset Turnover,asset_turnover,0.382869535,0.4555275632,0.4523794285,0.3937070486
Biên lãi thuần,Net Interest Margin,net_interest_margin,0.0,0.0,0.0,0.0
Lãi suất bình quân tài sản sinh lãi,Avg Yield on Earning Assets,avg_yield_on_earning_assets,0.0,0.0,0.0,0.0
Chi phí vốn bình quân,Avg Cost of Financing,avg_cost_of_financing,0.0,0.0,0.0,0.0
Thu nhập ngoài lãi,Non-interest Income,non_interest_income,0.0,0.0,0.0,0.0
Tỷ lệ CIR,Cost/Income Ratio,cost_to_income_ratio,0.0,0.0,0.0,0.0
Tăng trưởng cho vay (%),Loans Growth (%),loans_growth,0.0,0.0,0.0,0.0
Tăng trưởng tiền gửi (%),Deposit Growth (%),deposit_growth,0.0,0.0,0.0,0.0
Vốn chủ/Tổng nợ,Equity/Total Liabilities,equity_to_liabilities,0.0,0.0,0.0,0.0
Vốn chủ/Cho vay,Equity/Loans,equity_to_loans,0.0,0.0,0.0,0.0
Vốn chủ/Tổng tài sản,Equity/Total Assets,equity_to_assets,0.0,0.0,0.0,0.0
LDR (%),LDR (%),ldr,0.0,0.0,0.0,0.0
Nợ xấu (%),NPL (%),npl,0.0,0.0,0.0,0.0
DP rủi ro/Nợ xấu,Loan Loss Reserves/NPLs,loan_loss_reserves_to_npls,0.0,0.0,0.0,0.0
DP rủi ro/Cho vay,Loan Loss Reserve/Loans,loan_loss_reserve_to_loans,0.0,0.0,0.0,0.0
Trích lập DP/Cho vay,Provision/Outstanding Loans,provision_to_outstanding_loans,0.0,0.0,0.0,0.0
EBIT,EBIT,ebit,978221551023.0,989305254633.0,985565197763.0,839772735785.0
EBITDA,EBITDA,ebitda,990560683111.0,1004956184126.0,1004539832904.0,860053901156.0
ROIC,ROIC,roic,0.2000048617,0.2938269046,0.2336980769,0.1819789955
Chu kỳ tiền,Cash Cycle,cash_cycle,66.4848909523,62.9302767831,59.1390722375,95.7542079965
Vòng quay TS cố định,Fixed Asset Turnover,fixed_asset_turnover,71.7072769117,62.7331268217,57.8284124402,55.0119718812
Đòn bẩy tài chính,Financial Leverage,financial_leverage,1.0495377831,0.5689005258,0.8396368258,0.7174459141
CIR,CIR,cir,0.0,0.0,0.0,0.0
CAR,CAR,car,,,,
Vốn chủ sở hữu,Equity,equity,,,,
Tỷ lệ CASA,CASA Ratio,casa_ratio,,,,
Mã năm tỷ lệ,Ratio Year Id,ratioYearId,,,,
