item,item_en,item_id,2026-Q2,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3
Tổng lợi nhuận/lỗ trước thuế,Net Accounting Profit/(loss) before tax,net_accounting_profit_loss_before_tax,7094684000000.0,6107334000000.0,6543970000000.0,4734500000000.0,4712786000000.0,5355235000000.0,4075008000000.0,4490407000000.0
Chi phí thuế TNDN hiện hành,Business income tax - current,business_income_tax_current,-1288649000000.0,-1232001000000.0,-1315204000000.0,-912792000000.0,-1015345000000.0,-946338000000.0,-916084000000.0,-957868000000.0
Chi phí thuế TNDN hoãn lại,Business income tax - deferred,business_income_tax_deferred,-8127000000.0,26807000000.0,12308000000.0,-22891000000.0,-21382000000.0,-51225000000.0,78064000000.0,13097000000.0
Chi phí thuế thu nhập doanh nghiệp,Business income tax expenses,business_income_tax_expenses,-1296776000000.0,-1205194000000.0,-1302896000000.0,-935683000000.0,-1036727000000.0,-997563000000.0,-838020000000.0,-944771000000.0
Lợi nhuận sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,5797908000000.0,4902140000000.0,5241074000000.0,3798817000000.0,3676059000000.0,4357672000000.0,3236988000000.0,3545636000000.0
Lợi ích của cổ đông thiểu số,Minority interest,minority_interest,-239178000000.0,-135498000000.0,-112938000000.0,-152179000000.0,-161199000000.0,-122918000000.0,-122574000000.0,-121760000000.0
Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,5558730000000.0,4766642000000.0,5128136000000.0,3646638000000.0,3514860000000.0,4234754000000.0,3114414000000.0,3423876000000.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,0.0,952.0,323.0,0.0,1005.0,1212.0,0.0,0.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu nhập lãi và các khoản thu nhập tương tự,Interest and Similar Income,interest_and_similar_income,23668572000000.0,19916548000000.0,18877563000000.0,16133428000000.0,17989705000000.0,14991720000000.0,15149456000000.0,14221978000000.0
Chi phí lãi và các chi phí tương tự,Interest and Similar Expenses,interest_and_similar_expenses,-13915767000000.0,-11433526000000.0,-9121953000000.0,-8370106000000.0,-8170547000000.0,-7583620000000.0,-6946053000000.0,-6448533000000.0
Thu nhập lãi thuần,Net Interest Income,net_interest_income,9752805000000.0,8483022000000.0,9755610000000.0,7763322000000.0,9819158000000.0,7408100000000.0,8203403000000.0,7773445000000.0
Thu nhập từ dịch vụ,Fees and Commission Income,fees_and_commission_income,1743305000000.0,970592000000.0,1155628000000.0,1490967000000.0,1874020000000.0,1177239000000.0,960726000000.0,946414000000.0
Chi phí dịch vụ,Fees and Commission Expenses,fees_and_commission_expenses,-239982000000.0,-123523000000.0,-281606000000.0,-303799000000.0,-542460000000.0,-443949000000.0,-537589000000.0,-534304000000.0
Lãi/Lỗ thuần từ hoạt động dịch vụ,Net Fee and Commission Income,net_fee_and_commission_income,1503323000000.0,847069000000.0,874022000000.0,1187168000000.0,1331560000000.0,733290000000.0,423137000000.0,412110000000.0
Lãi/(lỗ) thuần từ hoạt động kinh doanh ngoại hối và vàng,Net gain/(loss) from foreign currency and gold dealings,net_gain_loss_from_foreign_currency_and_gold_dealings,402281000000.0,321875000000.0,316501000000.0,343463000000.0,423977000000.0,188241000000.0,234621000000.0,123899000000.0
Lãi/(lỗ) thuần từ mua bán chứng khoán kinh doanh,Net gain/(loss) from trading of trading securities,net_gain_loss_from_trading_of_trading_securities,-56937000000.0,-6177000000.0,4428000000.0,4397000000.0,241355000000.0,389280000000.0,6162000000.0,141710000000.0
Lãi/(lỗ) thuần từ mua bán chứng khoán đầu tư,Net gain/(loss) from disposal of investment securities,net_gain_loss_from_disposal_of_investment_securities,-27969000000.0,48960000000.0,848331000000.0,4797000000.0,19526000000.0,-16744000000.0,141619000000.0,-88800000000.0
Thu nhập khác,Other Income,other_income,184472000000.0,184847000000.0,446885000000.0,230738000000.0,-211628000000.0,560161000000.0,458422000000.0,163363000000.0
Chi phí khác,Other Expenses,other_expenses,-105391000000.0,-16157000000.0,-74967000000.0,-72517000000.0,-60710000000.0,-81344000000.0,-64873000000.0,-12779000000.0
Lãi/(lỗ) thuần từ hoạt động khác,Net Other income/expenses,net_other_income_expenses,79081000000.0,168690000000.0,371918000000.0,158221000000.0,-272338000000.0,478817000000.0,393549000000.0,150584000000.0
Thu nhập từ cổ tức,Dividends Income,dividends_income,1078676000000.0,89403000000.0,168140000000.0,55114000000.0,72649000000.0,23569000000.0,49640000000.0,22024000000.0
Tổng thu nhập hoạt động,Total Operating Income,total_operating_income,12731260000000.0,9952842000000.0,12338950000000.0,9516482000000.0,11635887000000.0,9204553000000.0,9452131000000.0,8534972000000.0
Chi phí quản lý doanh nghiệp,General and Admin Expenses,general_and_admin_expenses,-3067056000000.0,-2587015000000.0,-3806455000000.0,-2487980000000.0,-2782029000000.0,-2524523000000.0,-3545259000000.0,-2951077000000.0
Lợi nhuận thuần hoạt động trước khi trích lập dự phòng tổn thất tín dụng,Net Operating Profit Before Allowance for Credit Loss,net_operating_profit_before_allowance_for_credit_loss,9664204000000.0,7365827000000.0,8532495000000.0,7028502000000.0,8853858000000.0,6680030000000.0,5906872000000.0,5583895000000.0
Trích lập dự phòng tổn thất tín dụng,Provision for Credit Losses,provision_for_credit_losses,-2569520000000.0,-1258493000000.0,-1988525000000.0,-2294002000000.0,-4141072000000.0,-1324795000000.0,-1831864000000.0,-1093488000000.0
