item,item_en,item_id,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,117126695861.0,135933153018.0,135155084469.0,142634692965.0,171726507341.0,231223580830.0,211932491639.0,229823822709.0,226397336296.0,246181209760.0,264499341203.0,242080680685.0,251694958762.0,273080952489.0,451819983117.0,465547221466.0,518198053925.0,542663803848.0,525430453463.0,623138044621.0,597194128703.0,622814163490.0,548557377729.0,671143018054.0,979320525057.0,1119835884209.0,1158650865171.0,1250646076587.0,1221597540521.0,1264829791870.0,1294324292009.0,1299785141892.0,1278767320336.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,3386624224.0,2700419797.0,2474349410.0,4498880429.0,5730193225.0,7372774789.0,5375591215.0,4356155338.0,3173836273.0,9669055037.0,10762527750.0,6358873397.0,7151293000.0,10061308680.0,7685823619.0,5109818114.0,4337993390.0,3448049729.0,2143019203.0,15637976498.0,4078147279.0,5756732411.0,13149106683.0,16070747555.0,38233951346.0,22879326376.0,16524916087.0,17955108186.0,17615123455.0,16758437026.0,35106883582.0,14561877652.0,17239827142.0
Tiền,Cash,cash,3386624224.0,2700419797.0,2474349410.0,4498880429.0,5730193225.0,7372774789.0,5375591215.0,4356155338.0,3173836273.0,9669055037.0,10762527750.0,6358873397.0,6691293000.0,10061308680.0,7685823619.0,5109818114.0,4337993390.0,3448049729.0,2143019203.0,15637976498.0,4078147279.0,5756732411.0,13149106683.0,16070747555.0,38233951346.0,22879326376.0,16524916087.0,17955108186.0,17615123455.0,16758437026.0,35106883582.0,14561877652.0,17239827142.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0,1100000000.0,7400000000.0,7400000000.0,1100000000.0,3185000000.0,3185000000.0,1000000000.0,4200000000.0,7200000000.0,13530000000.0,13500000000.0,23500000000.0,35100000000.0,41800000000.0,38800000000.0,150291834947.0,165903472366.0,134893983998.0,119995134916.0,132127951924.0,196815689005.0,209694568457.0,207081538034.0,198707548086.0,0.0,0.0,0.0,0.0,188625756031.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,60348935791.0,80003340092.0,67578786483.0,71794060690.0,96112205312.0,136276885717.0,132503930287.0,151551189902.0,145398404783.0,167054008209.0,195050437718.0,172862001369.0,177554677491.0,174530114395.0,362652851766.0,371040796970.0,417397878018.0,420391058296.0,367977799656.0,316507945446.0,220314284333.0,342796945423.0,236894427586.0,328832087942.0,538401352437.0,522073279953.0,536869515306.0,614187743205.0,841790317921.0,800117317532.0,716306419705.0,729415265324.0,446953147205.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,39867522850.0,51625882379.0,45680407452.0,47469404178.0,56299326853.0,68777903651.0,80163627085.0,65081161388.0,80054547459.0,83721237293.0,88960819289.0,72442724838.0,84335755159.0,81520813677.0,82434637380.0,91337788663.0,113008478925.0,99467542237.0,84213078567.0,127274711970.0,108107928978.0,171314243492.0,127466730909.0,141000590751.0,241583561063.0,230625312706.0,276521995795.0,314641605265.0,391276128570.0,366068613554.0,268169179770.0,303965007426.0,278400563344.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,651829128.0,9067626067.0,5989926988.0,6519466659.0,11308707527.0,11727953482.0,17770148109.0,38541988396.0,29328394447.0,45104317912.0,67123275312.0,70580857738.0,73617664035.0,75295596399.0,180079222923.0,224511060214.0,247596416520.0,260572794727.0,231188387628.0,151979076835.0,77771884571.0,109904091317.0,79127987616.0,110788577001.0,161524391204.0,238505990071.0,197574781138.0,222612231263.0,181639854004.0,179172227844.0,133337337222.0,156624388221.0,109577510223.0
