item,item_en,item_id,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,65212793311.0,59270041740.0,59061733132.0,99181719797.0,87826932115.0,122178423330.0,78368374581.0,93750307459.0,109484490315.0,197941257639.0,164959279891.0,188579439945.0,189353734625.0,248672590862.0,219398254059.0,274036831747.0,206663929885.0,233877609300.0,238142027926.0,227576862512.0,286858223416.0,356756635750.0,411662992555.0,437898819318.0,492694035672.0,528339710188.0,655697238599.0,959690521882.0,705781325928.0,802700982926.0,838549098023.0,764600323701.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,-2484000.0,0.0,-31034600.0,-43073000.0,-6210000.0,0.0,0.0,-13351250.0,-2960000.0,-1315600.0,-29832800.0,0.0,-149072000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-125600450.0,0.0,-10018100.0,0.0,0.0,0.0,0.0,0.0
Doanh thu thuần,Net sales,net_sales,65212793311.0,59267557740.0,59061733132.0,99150685197.0,87783859115.0,122172213330.0,78368374581.0,93750307459.0,109471139065.0,197938297639.0,164957964291.0,188549607145.0,189353734625.0,248523518862.0,219398254059.0,274036831747.0,206663929885.0,233877609300.0,238142027926.0,227576862512.0,286858223416.0,356756635750.0,411662992555.0,437898819318.0,492568435222.0,528339710188.0,655687220499.0,959690521882.0,705781325928.0,802700982926.0,838549098023.0,764600323701.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-58111922916.0,-52221656607.0,-51591973574.0,-89911193234.0,-77455859550.0,-113183320440.0,-69149922780.0,-83005159872.0,-97382615584.0,-183452728411.0,-150303546367.0,-171026494676.0,-174449317319.0,-233572154434.0,-201607248125.0,-253087362086.0,-192573210913.0,-211283105324.0,-218969655433.0,-207043363250.0,-268485743598.0,-346142768447.0,-398969444624.0,-419061945805.0,-482444679934.0,-512153910586.0,-622028487508.0,-897981240883.0,-652456836680.0,-751511199442.0,-782190821465.0,-698100271780.0
Lợi nhuận gộp,Gross Profit,gross_profit,7100870395.0,7045901133.0,7469759558.0,9239491963.0,10327999565.0,8988892890.0,9218451801.0,10745147587.0,12088523481.0,14485569228.0,14654417924.0,17523112469.0,14904417306.0,14951364428.0,17791005934.0,20949469661.0,14090718972.0,22594503976.0,19172372493.0,20533499262.0,18372479818.0,10613867303.0,12693547931.0,18836873513.0,10123755288.0,16185799602.0,33658732991.0,61709280999.0,53324489248.0,51189783484.0,56358276558.0,66500051921.0
Doanh thu hoạt động tài chính,Financial income,financial_income,186481485.0,108664604.0,403989.0,114418838.0,291289379.0,561480340.0,383587257.0,349447397.0,290776770.0,321738116.0,124025105.0,80073536.0,108271029.0,97971666.0,222501357.0,361436369.0,296316094.0,1174124519.0,549392368.0,2805269749.0,2943791044.0,1495162144.0,1481752289.0,2830147981.0,3510682000.0,1298443006.0,2979348413.0,2785072960.0,2060189325.0,4322768635.0,1963833175.0,2399427348.0
Chi phí tài chính,Financial expenses,financial_expenses,-2061280334.0,-2014623077.0,-1893307831.0,-2655395584.0,-2981920859.0,-2878800382.0,-2927951072.0,-2948105893.0,-3272116989.0,-3857586521.0,-3366114962.0,-3808112165.0,-3579942282.0,-4005138039.0,-4312284429.0,-5549994406.0,-3215229206.0,-7640488620.0,-5482788895.0,-9351846093.0,-17305991086.0,-7145072086.0,-5414747227.0,-5490922311.0,-6283340270.0,-8140186799.0,-17306905518.0,-27700147158.0,-33934750170.0,-31354470034.0,-31452938934.0,-35199377904.0
Chi phí lãi vay,Interest expenses,interest_expenses,-2061280334.0,-2014623077.0,-1893307831.0,-2564175226.0,-2981920859.0,-2878800382.0,-2725037627.0,-2883284675.0,-3272116989.0,0.0,-3338920054.0,-3669444245.0,-3551083944.0,0.0,-4312284429.0,-5363740122.0,-3159510532.0,0.0,-5466472672.0,-8216343134.0,-6406266268.0,0.0,-5403757727.0,-5486962996.0,-6283199737.0,-7521563267.0,-17148490756.0,-26392026690.0,-28730564400.0,-30988171443.0,-31452938934.0,-35107939024.0
Chi phí bán hàng,Selling expenses,selling_expenses,-649740355.0,-1039602858.0,-651831018.0,-949513395.0,-736307988.0,-603891253.0,-551370556.0,-518609207.0,-721249089.0,-807587327.0,-958416701.0,-840933551.0,-613226807.0,-792614869.0,-681209719.0,-756868457.0,-483798634.0,-772048368.0,-686336736.0,-629360930.0,-729323474.0,-577149123.0,-508391931.0,-1979189264.0,-2103652486.0,-1096053321.0,-1135726825.0,-7261939324.0,-4491308090.0,-3692151903.0,-4494993295.0,-5791922368.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-1161622338.0,-329469598.0,-563121871.0,-975263991.0,-830075181.0,-701921025.0,-705871715.0,-745296973.0,-953936822.0,-1319198787.0,-1203220676.0,-958831421.0,-1048569556.0,-1857620417.0,-990151475.0,-983433803.0,-640517802.0,-1884762066.0,-816396378.0,-1170590683.0,-1255722748.0,-4150987425.0,-931268615.0,-2388955505.0,-1034081336.0,-2667461749.0,-1985069157.0,-6936281924.0,-4068241683.0,-4043179680.0,-4028295398.0,-4544753822.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,3414708853.0,3770870204.0,4361902827.0,4773737831.0,6070984916.0,5365760570.0,5416845715.0,6882582911.0,7431997351.0,8822934709.0,9250690690.0,12717923205.0,9770949690.0,9219768317.0,12029861668.0,14951154902.0,10047489424.0,13864810199.0,12736242852.0,13119691905.0,2025233554.0,1088941621.0,7320892447.0,12359092169.0,4213363196.0,7072838858.0,16210379904.0,24387369732.0,13386849507.0,17415792054.0,18345882106.0,24757123675.0
Thu nhập khác,Other incomes,other_incomes,223362110.0,28291280.0,0.0,3181818.0,-231561107.0,-131715626.0,95668950.0,81481091.0,27726520.0,16191000.0,14727466.0,71230000.0,46813237.0,5709364812.0,60000.0,29044.0,0.0,3984.0,0.0,145415.0,1788444413.0,251933880.0,25933197.0,-20506669.0,0.0,204701705.0,236421007.0,0.0,400.0,1436.0,39270341.0,0.0
Chi phí khác,Other expenses,other_expenses,-69871569.0,-57905615.0,-116583257.0,-400993556.0,-37858147.0,251080137.0,-183036313.0,-21580384.0,-149630167.0,-6566083.0,-6952258.0,-887656995.0,-19998001.0,-9796209.0,-740816.0,-156295579.0,-66556444.0,-11940661.0,-235551892.0,-82976705.0,-22881185.0,-157207914.0,-1916616.0,-34973294.0,-256256605.0,-33977573.0,-261375973.0,-20055069.0,-6510782.0,-116182617.0,-30482361.0,-25678286.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,153490541.0,-29614335.0,-116583257.0,-397811738.0,-269419254.0,119364511.0,-87367363.0,59900707.0,-121903647.0,9624917.0,7775208.0,-816426995.0,26815236.0,5699568603.0,-680816.0,-156266535.0,-66556444.0,-11936677.0,-235551892.0,-82831290.0,1765563228.0,94725966.0,24016581.0,-55479963.0,-256256605.0,170724132.0,-24954966.0,-20055069.0,-6510382.0,-116181181.0,8787980.0,-25678286.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,3568199394.0,3741255869.0,4245319570.0,4375926093.0,5801565662.0,5485125081.0,5329478352.0,6942483618.0,7310093704.0,8832559626.0,9258465898.0,11901496210.0,9797764926.0,14919336920.0,12029180852.0,14794888367.0,9980932980.0,13852873522.0,12500690960.0,13036860615.0,3790796782.0,1183667587.0,7344909028.0,12303612206.0,3957106591.0,7243562990.0,16185424938.0,24367314663.0,13380339125.0,17299610873.0,18354670086.0,24731445389.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-713703545.0,-785621068.0,-871748986.0,-858728948.0,-1164927943.0,-990576001.0,-1102373887.0,-1389744134.0,-1491944774.0,-1837425142.0,-1853083631.0,-2413307774.0,-1959552986.0,-2918050555.0,-2405984333.0,-2804127681.0,-2009497884.0,-2823778552.0,-2837703762.0,-2437423342.0,-540518258.0,-991511167.0,-1481826969.0,-2383266316.0,-758859447.0,-1826507692.0,-3398734294.0,-4699784425.0,-3566685334.0,-7479115038.0,-5360919109.0,-6361250629.0
