item,item_en,item_id,2018-Q4,2018,2019-Q2,2019-Q3
Năm,,year,2018,2018,2019,2019
Quý,,quarter,4,5,2,3
Mã TTM,Ratio TTM Id,ratioTTMId,2717560,12237767,2725527,2730517
Loại tỷ lệ,Ratio Type,ratioType,RATIO_TTM,RATIO_YEAR,RATIO_TTM,RATIO_TTM
Số CP lưu hành (triệu),Outstanding Shares (mil),outstanding_shares,10000000,10000000,18000000,18000000
Vốn hóa,Market Cap,market_cap,129000000000.0,129000000000.0,219600000000.0,234000000000.0
Tỷ suất cổ tức (%),Dividend Yield (%),dividend_yield,0.0,0.0,0.0,0.0
P/E,P/E,pe_ratio,12.3600139943,12.9348983651,13.1891509054,12.1218450965
P/B,P/B,pb_ratio,1.0794689022,1.0167090823,1.7632979246,1.2081879877
P/S,P/S,ps_ratio,0.5255135819,0.4949604667,0.7768150579,0.7665500234
Giá/ Dòng tiền,Price/Cash Flow,price_to_cash_flow,9.9738470029,9.3939721771,-20.8061956282,-2.9410835442
EV/EBITDA,EV/EBITDA,ev_to_ebitda,6.7825186772,6.3860006829,14.8251055612,13.501397246
Hệ số thanh toán tiền,Cash Ratio,cash_ratio,0.0199189132,0.0199189132,0.0394993589,0.0490945384
Hệ số thanh toán nhanh,Quick Ratio,quick_ratio,0.5508647946,0.5486395619,0.7193610813,1.0093907769
Hệ số thanh toán hiện hành,Current Ratio,current_ratio,1.0730548974,1.0730548974,1.1837448891,1.5396937112
Vốn chủ sở hữu,Owners Equity,owners_equity,0.0512982215,0.0512982215,0.3046729632,0.1643930825
Nợ/Vốn chủ,Debt/Equity,debtPerEquity,0.7219370687,0.7219370687,0.9742213335,0.6669777116
Nợ trên vốn chủ,Debt to Equity,debt_to_equity,1.0158016558,1.0158016558,1.366442007,0.8933749456
ROE (%),ROE (%),roe,0.0812432484,0.0812432484,0.0877307284,0.0852032188
ROA (%),ROA (%),roa,0.0388498277,0.0388498277,0.0413215007,0.0414074356
Số ngày phải thu,Days Sales Outstanding,days_sales_outstanding,63.7666897718,63.7666897718,64.9047221614,65.2328094572
Số ngày tồn kho,Days Inventory Outstanding,days_inventory_outstanding,101.7471437797,101.7471437797,90.9969100021,93.544140311
Số ngày phải trả,Days Payable Outstanding,days_payable_outstanding,43.6283943829,43.6283943829,57.8163647694,58.0079187289
Biên LN gộp (%),Gross Margin (%),gross_margin,0.1117129757,0.1117129757,0.1091503795,0.1116514578
Biên EBIT (%),EBIT Margin (%),ebit_margin,0.088596558,0.088596558,0.0867933682,0.0917500309
Biên LN trước thuế (%),Pre-tax Profit Margin (%),pre_tax_profit_margin,0.0584556972,0.0584556972,0.0563534078,0.0595028467
Biên LN sau thuế (%),After-tax Profit Margin (%),net_margin,0.0465064231,0.0465064231,0.0449282746,0.0474443369
Vòng quay tài sản,Asset Turnover,asset_turnover,0.9137431089,0.9137431089,0.9852028137,0.9629146532
Biên lãi thuần,Net Interest Margin,net_interest_margin,0.0,0.0,0.0,0.0
Lãi suất bình quân tài sản sinh lãi,Avg Yield on Earning Assets,avg_yield_on_earning_assets,0.0,0.0,0.0,0.0
Chi phí vốn bình quân,Avg Cost of Financing,avg_cost_of_financing,0.0,0.0,0.0,0.0
Thu nhập ngoài lãi,Non-interest Income,non_interest_income,0.0,0.0,0.0,0.0
Tỷ lệ CIR,Cost/Income Ratio,cost_to_income_ratio,0.0,0.0,0.0,0.0
Tăng trưởng cho vay (%),Loans Growth (%),loans_growth,0.0,0.0,0.0,0.0
Tăng trưởng tiền gửi (%),Deposit Growth (%),deposit_growth,0.0,0.0,0.0,0.0
Vốn chủ/Tổng nợ,Equity/Total Liabilities,equity_to_liabilities,0.0,0.0,0.0,0.0
Vốn chủ/Cho vay,Equity/Loans,equity_to_loans,0.0,0.0,0.0,0.0
Vốn chủ/Tổng tài sản,Equity/Total Assets,equity_to_assets,0.0,0.0,0.0,0.0
LDR (%),LDR (%),ldr,0.0,0.0,0.0,0.0
Nợ xấu (%),NPL (%),npl,0.0,0.0,0.0,0.0
DP rủi ro/Nợ xấu,Loan Loss Reserves/NPLs,loan_loss_reserves_to_npls,0.0,0.0,0.0,0.0
DP rủi ro/Cho vay,Loan Loss Reserve/Loans,loan_loss_reserve_to_loans,0.0,0.0,0.0,0.0
Trích lập DP/Cho vay,Provision/Outstanding Loans,provision_to_outstanding_loans,0.0,0.0,0.0,0.0
EBIT,EBIT,ebit,21748164800.0,21748164800.0,24535857625.0,28007966319.0
EBITDA,EBITDA,ebitda,33790461466.0,33790461466.0,24535857625.0,28007966319.0
ROIC,ROIC,roic,0.0942340068,0.0942340068,0.0904376433,0.0811359641
Chu kỳ tiền,Cash Cycle,cash_cycle,236.1175246249,236.1175246249,235.0340675113,248.1784003482
Vòng quay TS cố định,Fixed Asset Turnover,fixed_asset_turnover,2.2657212094,2.2657212094,2.5116873748,2.5929283445
Đòn bẩy tài chính,Financial Leverage,financial_leverage,1.0158016558,1.0158016558,1.366442007,0.8933749456
CIR,CIR,cir,0.0,0.0,0.0,0.0
CAR,CAR,car,,,,
Vốn chủ sở hữu,Equity,equity,,,,
Tỷ lệ CASA,CASA Ratio,casa_ratio,,,,
Mã năm tỷ lệ,Ratio Year Id,ratioYearId,,12237767.0,,
