item,item_en,item_id,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,2260203976807.0,2047917219904.0,2040116147868.0,1249306998940.0,1216840077943.0,1433109026891.0,1848073409252.0,1256416915072.0,1244556039784.0,1373641954521.0,1360890059245.0,1271417832135.0,1194015978814.0,1184444093246.0,1221995417867.0,1204743986863.0,1237182547631.0,1172200600681.0,1503949760089.0,1356060017456.0,1333864631825.0,1282949495901.0,1319202977153.0,1670736182405.0,1671374841880.0,1862409737591.0,2346786197707.0,1895697429775.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,704143798476.0,812493428122.0,398005703787.0,341861628211.0,196388519578.0,276956612840.0,254035728087.0,194649506695.0,153251582321.0,262383481328.0,329309893604.0,455524624000.0,425689594254.0,382302072931.0,441788284891.0,391927655407.0,415162650270.0,295977187124.0,657727344694.0,404705088437.0,367998339548.0,308933876437.0,199704731714.0,570438756758.0,474622867199.0,586763423469.0,1202210494221.0,493796286208.0
Tiền,Cash,cash,67056635981.0,60403938020.0,81176213685.0,73311915579.0,97838806946.0,128712099958.0,68931215205.0,116740733041.0,90642808667.0,204774707674.0,254701119950.0,294372481336.0,286532388613.0,167159254498.0,352364116285.0,218067534693.0,103943002080.0,70466742275.0,434218095476.0,239791322134.0,219398187959.0,187371329025.0,71090766481.0,404763663270.0,340041020804.0,446122441869.0,983064486073.0,335841718741.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,637087162495.0,752089490102.0,316829490102.0,268549712632.0,98549712632.0,148244512882.0,185104512882.0,77908773654.0,62608773654.0,57608773654.0,74608773654.0,161152142664.0,139157205641.0,215142818433.0,89424168606.0,173860120714.0,311219648190.0,225510444849.0,223509249218.0,164913766303.0,148600151589.0,121562547412.0,128613965233.0,165675093488.0,134581846395.0,140640981600.0,219146008148.0,157954567467.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,50000000000.0,15000000000.0,0.0,0.0,0.0,0.0,0.0,68923409100.0,68923409100.0,70208972303.0,70208972303.0,71497162680.0,71497162680.0,72830731676.0,72830731676.0,74889347179.0,74889347179.0,76965731271.0,94665731271.0,96277583462.0,83927583462.0,6432529990.0,6293866330.0,6293866330.0,8293866330.0,14567111018.0,22213462807.0,23543310218.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,1078506090820.0,897875100205.0,1214886200181.0,433849112464.0,430497103540.0,343118243655.0,265244951220.0,387404812346.0,487997838573.0,623833528208.0,589903547602.0,407385746870.0,419582842560.0,457350765609.0,431718327337.0,455701473958.0,488827068699.0,686374828028.0,608078504692.0,646523312920.0,636728107442.0,878312475722.0,975265129193.0,924224044097.0,996114215784.0,1191826533023.0,1049111698648.0,1286250649012.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,39200570439.0,42925211808.0,46718570993.0,45199938300.0,29610934542.0,41264674059.0,41334948970.0,100460256250.0,245652113648.0,383439090143.0,332421819514.0,164923672537.0,139764478409.0,204945275472.0,140986505579.0,124402047394.0,195127286771.0,401052093341.0,315493474875.0,399032227335.0,388300541061.0,629018879802.0,607505787246.0,601931234123.0,631220073118.0,810846568945.0,660249859668.0,751416081372.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,593633281500.0,517083016036.0,413121693423.0,25854924177.0,33901882529.0,37235930415.0,40441792355.0,46406658345.0,34015631337.0,37779248175.0,62063393396.0,48368038858.0,80140778468.0,60106718775.0,93339568433.0,121520172309.0,158199087852.0,125258546238.0,129451337192.0,84366380896.0,77049955298.0,57462034796.0,80556486585.0,70881074374.0,81315241353.0,56910023595.0,70795060611.0,110976963352.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,construction_contract_in_progress_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu khác,Other receivables,other_receivables,453647254261.0,351181273592.0,768360336996.0,376094651218.0,380284687700.0,277990040412.0,196840611126.0,254324194482.0,221540640319.0,214825736621.0,207628881423.0,206304582206.0,211888132414.0,204509318093.0,207102800056.0,222989800986.0,148711240807.0,173274735180.0,176344239356.0,176335251420.0,179588157814.0,199042107855.0,293413402093.0,257622282331.0,289789448044.0,330280487214.0,331277325100.0,438470591019.0
Dự phòng nợ khó đòi,Provision for doubtful debts,provision_for_doubtful_debts,-13211691506.0,-13314401231.0,-13314401231.0,-13300401231.0,-13300401231.0,-13372401231.0,-13372401231.0,-13786296731.0,-13210546731.0,-13210546731.0,-13210546731.0,-13210546731.0,-13210546731.0,-13210546731.0,-13210546731.0,-13210546731.0,-13210546731.0,-13210546731.0,-13210546731.0,-13210546731.0,-13210546731.0,-13210546731.0,-13210546731.0,-13210546731.0,-13210546731.0,-13210546731.0,-13210546731.0,-14612986731.0
