item,item_en,item_id,2018-Q4,2018,2019-Q4,2019
Năm,,year,2018,2018,2019,2019
Quý,,quarter,4,5,4,5
Mã TTM,Ratio TTM Id,ratioTTMId,2728815,12238494,2735251,12245625
Loại tỷ lệ,Ratio Type,ratioType,RATIO_TTM,RATIO_YEAR,RATIO_TTM,RATIO_YEAR
Số CP lưu hành (triệu),Outstanding Shares (mil),outstanding_shares,0,0,267384090,267384090
Vốn hóa,Market Cap,market_cap,0.0,0.0,4411837485000.0,4411837485000.0
Tỷ suất cổ tức (%),Dividend Yield (%),dividend_yield,,0.0656256177,0.0,0.0
P/E,P/E,pe_ratio,7.3503980149,13.5466898195,18.6252351547,22.8424399146
P/B,P/B,pb_ratio,,1.5832638328,0.7433236421,1.850559934
P/S,P/S,ps_ratio,,0.4069511548,9.2472348438,9.6285369045
Giá/ Dòng tiền,Price/Cash Flow,price_to_cash_flow,,-7.2181016618,16.3704903402,20.0771662136
EV/EBITDA,EV/EBITDA,ev_to_ebitda,,10.4261774498,127.0091250066,118.7152979003
Hệ số thanh toán tiền,Cash Ratio,cash_ratio,0.0124240694,0.0124240694,0.3021728479,0.3021728479
Hệ số thanh toán nhanh,Quick Ratio,quick_ratio,0.2961497207,0.2935373902,0.7154209201,0.6354415423
Hệ số thanh toán hiện hành,Current Ratio,current_ratio,0.5955210114,0.5955210114,0.7553123572,0.7553123572
Vốn chủ sở hữu,Owners Equity,owners_equity,0.047414374,0.047414374,2.8878219879,2.8878219879
Nợ/Vốn chủ,Debt/Equity,debtPerEquity,1.0733619726,1.0733619726,2.9074976632,2.9074976632
Nợ trên vốn chủ,Debt to Equity,debt_to_equity,2.5526114842,2.5526114842,3.2963864126,3.2963864126
ROE (%),ROE (%),roe,0.1611189895,0.1611189895,0.0567694499,0.0567694499
ROA (%),ROA (%),roa,0.0288366619,0.0288366619,0.0132461371,0.0132461371
Số ngày phải thu,Days Sales Outstanding,days_sales_outstanding,52.7727503999,52.7727503999,32.453927465,32.453927465
Số ngày tồn kho,Days Inventory Outstanding,days_inventory_outstanding,86.3220583023,86.3220583023,126.9736127335,126.9736127335
Số ngày phải trả,Days Payable Outstanding,days_payable_outstanding,61.8673494324,61.8673494324,796.0263414937,796.0263414937
Biên LN gộp (%),Gross Margin (%),gross_margin,0.0856214486,0.0856214486,0.4476465485,0.4476465485
Biên EBIT (%),EBIT Margin (%),ebit_margin,0.0327385533,0.0327385533,0.3258272213,0.3258272213
Biên LN trước thuế (%),Pre-tax Profit Margin (%),pre_tax_profit_margin,0.0379559754,0.0379559754,0.3313393558,0.3313393558
Biên LN sau thuế (%),After-tax Profit Margin (%),net_margin,0.0333784826,0.0333784826,0.324971608,0.324971608
Vòng quay tài sản,Asset Turnover,asset_turnover,0.8639296857,0.8639296857,0.0314247214,0.0314247214
Biên lãi thuần,Net Interest Margin,net_interest_margin,0.0,0.0,0.0,0.0
Lãi suất bình quân tài sản sinh lãi,Avg Yield on Earning Assets,avg_yield_on_earning_assets,0.0,0.0,0.0,0.0
Chi phí vốn bình quân,Avg Cost of Financing,avg_cost_of_financing,0.0,0.0,0.0,0.0
Thu nhập ngoài lãi,Non-interest Income,non_interest_income,0.0,0.0,0.0,0.0
Tỷ lệ CIR,Cost/Income Ratio,cost_to_income_ratio,0.0,0.0,0.0,0.0
Tăng trưởng cho vay (%),Loans Growth (%),loans_growth,0.0,0.0,0.0,0.0
Tăng trưởng tiền gửi (%),Deposit Growth (%),deposit_growth,0.0,0.0,0.0,0.0
Vốn chủ/Tổng nợ,Equity/Total Liabilities,equity_to_liabilities,0.0,0.0,0.0,0.0
Vốn chủ/Cho vay,Equity/Loans,equity_to_loans,0.0,0.0,0.0,0.0
Vốn chủ/Tổng tài sản,Equity/Total Assets,equity_to_assets,0.0,0.0,0.0,0.0
LDR (%),LDR (%),ldr,0.0,0.0,0.0,0.0
Nợ xấu (%),NPL (%),npl,0.0,0.0,0.0,0.0
DP rủi ro/Nợ xấu,Loan Loss Reserves/NPLs,loan_loss_reserves_to_npls,0.0,0.0,0.0,0.0
DP rủi ro/Cho vay,Loan Loss Reserve/Loans,loan_loss_reserve_to_loans,0.0,0.0,0.0,0.0
Trích lập DP/Cho vay,Provision/Outstanding Loans,provision_to_outstanding_loans,0.0,0.0,0.0,0.0
EBIT,EBIT,ebit,12921877150.0,12921877150.0,155451523943.0,155451523943.0
EBITDA,EBITDA,ebitda,25547135068.0,25547135068.0,202888428918.0,202888428918.0
ROIC,ROIC,roic,0.0614320999,0.0614320999,0.005696645,0.005696645
Chu kỳ tiền,Cash Cycle,cash_cycle,289.4576889612,289.4576889612,1293.1074400061,1293.1074400061
Vòng quay TS cố định,Fixed Asset Turnover,fixed_asset_turnover,3.7552870806,3.7552870806,0.0669325355,0.0669325355
Đòn bẩy tài chính,Financial Leverage,financial_leverage,2.5526114842,2.5526114842,3.2963864126,3.2963864126
CIR,CIR,cir,0.0,0.0,0.0,0.0
CAR,CAR,car,,,,
Vốn chủ sở hữu,Equity,equity,,,,
Tỷ lệ CASA,CASA Ratio,casa_ratio,,,,
Mã năm tỷ lệ,Ratio Year Id,ratioYearId,,12238494.0,,12245625.0
