item,item_en,item_id,2026-Q2,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,55557246173846.0,53312910120686.0,47301623136340.0,36793873449413.0,36286185846409.0,37950635502050.0,35232197602514.0,34300352057045.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-398343874945.0,-412062818033.0,-1125138586569.0,-386457045489.0,-375666735200.0,-328960948472.0,-741215175825.0,-344091771518.0
Doanh thu thuần,Net sales,net_sales,55158902298901.0,52900847302653.0,46176484549771.0,36407416403924.0,35910519111209.0,37621674553578.0,34490982426689.0,33956260285527.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-44671115105470.0,-44535778694658.0,-39779834052596.0,-30320155128758.0,-29320796625500.0,-32197520628446.0,-30126073473488.0,-29225083561286.0
Lợi nhuận gộp,Gross Profit,gross_profit,10487787193431.0,8365068607995.0,6396650497175.0,6087261275166.0,6589722485709.0,5424153925132.0,4364908953201.0,4731176724241.0
Doanh thu hoạt động tài chính,Financial income,financial_income,616702745168.0,5938347436208.0,437280867832.0,711903358963.0,498183728007.0,438057240540.0,700560102056.0,528453174917.0
Chi phí tài chính,Financial expenses,financial_expenses,-1925757870997.0,-1868827249709.0,-1583968999127.0,-1073210620638.0,-979462100729.0,-970569640998.0,-1015139809937.0,-832902574260.0
Chi phí lãi vay,Interest expenses,interest_expenses,-1519613868123.0,-1333414699291.0,-1236524775157.0,-812194101705.0,-439112631420.0,-627024360692.0,-562492663846.0,-525114798901.0
Chi phí bán hàng,Selling expenses,selling_expenses,-1717603199584.0,-1344969024100.0,-271477098154.0,-798965987739.0,-825371907199.0,-737815718816.0,-230212058532.0,-720208188679.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-307796866973.0,-385901879604.0,-411044379459.0,-355963309576.0,-322285873598.0,-347243794856.0,-517318083678.0,-321501544741.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,7155004358406.0,10704033503572.0,4567440888267.0,4571024716176.0,4960786332190.0,3806582011002.0,3302799103110.0,3385017591478.0
Thu nhập khác,Other incomes,other_incomes,82682443691.0,99982776284.0,115035838477.0,78007207531.0,-41431471594.0,153981783497.0,225300683318.0,220917018524.0
Chi phí khác,Other expenses,other_expenses,-53002594671.0,-41832440311.0,-82346763981.0,-20718751273.0,53028633067.0,-120798445479.0,-241423685732.0,-193549476158.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,29679849020.0,58150335973.0,32689074496.0,57288456258.0,11597161473.0,33183338018.0,-16123002414.0,27367542366.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,7184684207426.0,10762183839545.0,4600129962763.0,4628313172434.0,4972383493663.0,3839765349020.0,3286676100696.0,3412385133844.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-904510286555.0,-1681871206942.0,-744749714238.0,-632794091038.0,-684398735485.0,-512281294123.0,-503217741562.0,-427815885551.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,144300346223.0,-24394432580.0,32969484742.0,16733235327.0,-23460652646.0,22321361187.0,26135956217.0,37102736610.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-760209940332.0,-1706265639522.0,-711780229496.0,-616060855711.0,-707859388131.0,-489959932936.0,-477081785345.0,-390713148941.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,6424474267094.0,9055918200023.0,3888349733267.0,4012252316723.0,4264524105532.0,3349805416084.0,2809594315351.0,3021671984903.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,53455262531.0,61914955881.0,24266107735.0,23933842184.0,8036893768.0,5520721696.0,948946180.0,-1274647147.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,6371019004563.0,8994003244142.0,3864083625532.0,3988318474539.0,4256487211764.0,3344284694388.0,2808645369171.0,3022946632050.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,0.0,0.0,1973.0,0.0,0.0,0.0,0.0,0.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,1672357361.0,315612782.0,0.0,0.0,0.0,0.0,0.0,0.0
