item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,14034811904143.0,13545257831111.0,10799699101991.0,9435439546881.0,8079401340597.0,8140856041531.0,7355652364016.0,7098887779637.0,7653000437488.0,7392336456051.0,9022315330402.0,8877609524962.0,13797002912377.0,17185925377274.0,18655160349585.0,15114221429127.0,14594182156203.0,15654951286538.0,9834993231398.0,9036741034953.0,10133865551755.0,10125439964874.0,11274839904924.0,12957015813515.0,16304365842349.0,14221597021261.0,14174354519923.0,14472021631560.0,11589062364492.0,12416615897313.0,11715671714140.0,13455528388214.0,14955058645088.0,13206984409079.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,231709423161.0,302415758824.0,492079830667.0,423725062878.0,370385702520.0,307566948926.0,288707713172.0,431715664614.0,379875597063.0,390477101350.0,574767066704.0,490523725247.0,714861175002.0,505654076442.0,492796782190.0,1018387535165.0,354992967431.0,343742316502.0,330134957719.0,647453493086.0,325497600346.0,713056792906.0,596862912861.0,1685517634945.0,369599002566.0,472893764824.0,602071799277.0,1497358445129.0,391355746715.0,706437924435.0,427830965127.0,858258243911.0,931146218570.0,557861767484.0
Tiền,Cash,cash,202543554286.0,302272236949.0,459271022774.0,378095665749.0,342742180645.0,254423427051.0,288564191297.0,408165664614.0,364345350488.0,364163306432.0,546734145565.0,452743373640.0,676196101620.0,468312329084.0,461926662510.0,545247966061.0,332003030923.0,288503620579.0,312367302226.0,630614146661.0,309847600346.0,697406792906.0,576792912861.0,1673307634945.0,357829002566.0,462441130192.0,597436771510.0,1468798771502.0,378253991775.0,695465492193.0,410219814697.0,795339649736.0,877964205096.0,537969295704.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,29165868875.0,143521875.0,32808807893.0,45629397129.0,27643521875.0,53143521875.0,143521875.0,23550000000.0,15530246575.0,26313794918.0,28032921139.0,37780351607.0,38665073382.0,37341747358.0,30870119680.0,473139569104.0,22989936508.0,55238695923.0,17767655493.0,16839346425.0,15650000000.0,15650000000.0,20070000000.0,12210000000.0,11770000000.0,10452634632.0,4635027767.0,28559673627.0,13101754940.0,10972432242.0,17611150430.0,62918594175.0,53182013474.0,19892471780.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,33470990586.0,270387032.0,270387032.0,520387032.0,750000000.0,76250000000.0,76250000000.0,1266043836.0,750000000.0,516043836.0,5516043836.0,8501781836.0,23517531836.0,28003792159.0,13003792159.0,8677933321.0,8688297571.0,8698661821.0,25718661821.0,25586622659.0,25600152257.0,26175510851.0,24158873665.0,24358873665.0,30619936063.0,30636010069.0,31278739735.0,57010323523.0,77217874524.0,88176635011.0,66821246199.0,75347140836.0,65383956481.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,2058433007996.0,3121409593330.0,2118733369445.0,1937920131874.0,1760819636313.0,1568448002145.0,1339263670053.0,1318391135054.0,1315974471262.0,1497170937083.0,2024273013463.0,2795071756371.0,2988496402055.0,3765465221700.0,4534902423539.0,2677648274356.0,1922198969371.0,1997647760820.0,1452105119089.0,1654958606890.0,1925405464816.0,2416407412914.0,2322150338611.0,2415132142076.0,2601913462276.0,2422009430690.0,2985396517329.0,2359667839628.0,2400507704146.0,2910776724204.0,2188354879723.0,2186949030650.0,2627881770099.0,3016730811400.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,1323771049267.0,2359314534681.0,1650639947525.0,1524599724010.0,1387627260543.0,1193172840422.0,1049450621720.0,1039061497208.0,1028158881498.0,1219177131052.0,1778136480894.0,2423797522563.0,2718176469532.0,2907748056667.0,4323663158680.0,2165460760013.0,1505848165950.0,1596756865782.0,1185661917716.0,1384406794200.0,1577111016586.0,2128060949623.0,1852766528136.0,1993125788559.0,2337994069956.0,2047200502127.0,2272400526277.0,1592875688767.0,2073479809143.0,2424112172607.0,1603418011169.0,1593044404765.0,2126195999413.0,2408771010787.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,360880595393.0,400086751918.0,296532254907.0,267573838563.0,145998071387.0,156980233566.0,135583407831.0,100069640916.0,114328292952.0,108286362119.0,100085092644.0,221828567897.0,111693904186.0,671614712732.0,68897236027.0,368270609088.0,276216306170.0,234749521950.0,117395280068.0,120589076511.0,193690368071.0,128294573023.0,97524228315.0,230477265411.0,133811937213.0,286768268575.0,626072378471.0,672726166114.0,236745906965.0,412480055586.0,509359793355.0,519036765918.0,431501612590.0,532985342144.0
