item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,2068716388289.0,2271514498303.0,1143686652273.0,2117560373052.0,2100040705327.0,2114481472750.0,2205520769768.0,2311130883461.0,2380527569160.0,2315947889089.0,2350750062700.0,1462839215580.0,1447699161377.0,1338583548768.0,1144792147989.0,2316172391449.0,2385300809481.0,2854777096448.0,3300891412667.0,3181497329496.0,2851208018093.0,2918120430552.0,8953647624769.0,10780808672915.0,9790795746544.0,11239027153617.0,11789315234894.0,12304365044699.0,12975853425293.0,15218302846327.0,19257806776617.0,27859090416242.0,28247754672899.0,29725815410554.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,178888223422.0,319443431083.0,220335676462.0,142526664337.0,147792118302.0,133323453352.0,167882994045.0,146076986910.0,210242851576.0,159689866053.0,244578692610.0,219322711611.0,329136378556.0,329814461490.0,323084151130.0,641553582230.0,613070213571.0,793126124154.0,784068909071.0,953430125623.0,978643224333.0,1037972543837.0,1582069843068.0,1737850590834.0,1678426798910.0,1801262737292.0,2021000764378.0,2876158716774.0,2303921840263.0,2571369941541.0,3063818330439.0,4843287293754.0,4121940042530.0,5059329360724.0
Tiền,Cash,cash,69956468224.0,69835455042.0,62257535358.0,45772170869.0,101550002404.0,76036119475.0,111457865474.0,115602160741.0,120634892043.0,123389311258.0,232278137815.0,198909108118.0,298135823761.0,290309095618.0,252935874976.0,404156054780.0,598045189392.0,738123775848.0,784066542965.0,936427741777.0,972452073796.0,1037972543837.0,1455359981882.0,1590911327730.0,1556881633750.0,1704407474226.0,1829807416605.0,2287981707808.0,1985178543869.0,2172320589242.0,2299658798689.0,2764761087606.0,2470482178999.0,3200247163903.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,108931755198.0,249607976041.0,158078141104.0,96754493468.0,46242115898.0,57287333877.0,56425128571.0,30474826169.0,89607959533.0,36300554795.0,12300554795.0,20413603493.0,31000554795.0,39505365872.0,70148276154.0,237397527450.0,15025024179.0,55002348306.0,2366106.0,17002383846.0,6191150537.0,0.0,126709861186.0,146939263104.0,121545165160.0,96855263066.0,191193347773.0,588177008966.0,318743296394.0,399049352299.0,764159531750.0,2078526206148.0,1651457863531.0,1859082196821.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,138231476176.0,58478302811.0,57278302811.0,60399980583.0,58276150607.0,58250519579.0,61362019362.0,61403931812.0,61403931812.0,10538331485.0,10390000000.0,46920000000.0,71558398516.0,38558398516.0,24921300000.0,618144607184.0,299260000000.0,0.0,0.0,596530000000.0,190210000000.0,204226746505.0,741207895204.0,692330624509.0,345185672900.0,360040455735.0,590398427216.0,567615627606.0,804653258779.0,934444218202.0,1032693944869.0,1724948605821.0,3263376117094.0,3260712705960.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359320000000.0,0.0,0.0,27452052543.0,28274992543.0,28274992543.0,28274992543.0,28274992543.0,28274992543.0,28274992543.0,28274992543.0,28274992543.0,51002052543.0,51002052543.0,111867052543.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15221858622.0,-15756098581.0,-15756098581.0,-15486098581.0,-15486098581.0,-17170413738.0,-17170413738.0,-17452423376.0,-17452423376.0,-8910000000.0,-8910000000.0,-8910000000.0
Các khoản phải thu,Accounts receivable,accounts_receivable,1526231552465.0,1677549876245.0,689165971524.0,1667038767749.0,1652120888062.0,1714289700837.0,1691486443826.0,1851735542157.0,1854054355356.0,1926181917044.0,1886547205199.0,975469626587.0,845024875633.0,785678430709.0,613615246767.0,822160342764.0,1334034162338.0,1877133369852.0,2326731265286.0,1481893388016.0,1564544400504.0,1524435057011.0,3490344576056.0,5647970467013.0,5057665756754.0,6148122125048.0,5869812819939.0,5493836857775.0,5932625065890.0,7433515884484.0,10219031696533.0,14752255721049.0,14174252948353.0,14195764439175.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,1146618615115.0,1310251363525.0,407508395232.0,1425563311150.0,1397866443182.0,1464492155774.0,1451161133395.0,1596666648884.0,1620127524800.0,1611445133094.0,1525053685404.0,731919464938.0,643116717582.0,568139615194.0,441926592031.0,607576212601.0,425118460647.0,422158404602.0,423893238844.0,445167907710.0,485738635184.0,500475680540.0,1255640832529.0,1474682723566.0,1231314729592.0,1366998816962.0,1584949139978.0,1618813796668.0,1793858718002.0,1740879995069.0,2007382809221.0,4016280804006.0,3874685088529.0,3940852736277.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,105314433955.0,114654835814.0,84340564909.0,84901960836.0,92385858362.0,96307477064.0,95777593232.0,108173410146.0,97143726019.0,98967964322.0,95829027240.0,48878129457.0,52715627049.0,66081768186.0,36881143827.0,47065858805.0,73723263838.0,157610310159.0,117965825328.0,56864182754.0,74376945020.0,79514117978.0,351711207980.0,875591060588.0,688991903947.0,469970123492.0,417720481645.0,759717289768.0,792738406022.0,1182268791705.0,1632430366919.0,2359269827404.0,1927076015622.0,2004591396978.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,construction_contract_in_progress_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu khác,Other receivables,other_receivables,234756318800.0,223236724703.0,149202243783.0,139648215623.0,150357757127.0,143464981944.0,130636531144.0,145009796925.0,135257418335.0,217357540138.0,264253213065.0,171460470742.0,128180969552.0,148411179879.0,153429637804.0,148557848414.0,779147799909.0,1238761943641.0,1783803489664.0,1101651527785.0,1140089129603.0,1075332430257.0,2014264348210.0,3425998853481.0,2723696546497.0,3875760167208.0,4000370269260.0,3241928490359.0,3492950962706.0,4624409394652.0,6685410817335.0,7398921841371.0,8752395100195.0,8646469471184.0
Dự phòng nợ khó đòi,Provision for doubtful debts,provision_for_doubtful_debts,-235250000.0,-235250000.0,-5485732400.0,-24786299657.0,-24786299657.0,-21636299657.0,-21636299657.0,-31924699510.0,-31924699510.0,-31924699510.0,-31924699510.0,-9414417550.0,-9414417550.0,-9414417550.0,-31172411895.0,-14388862056.0,-14270362056.0,-14270362056.0,-14270362056.0,-137089230233.0,-150959309303.0,-146186171764.0,-149070812663.0,-151101170622.0,-153742423282.0,-156026070944.0,-156026070944.0,-156421719020.0,-157472019020.0,-152032296942.0,-152032296942.0,-386167436373.0,-386160590696.0,-396275605984.0
"Hàng tồn kho, ròng","Inventories, Net",inventories_net,50341561310.0,36798728805.0,31464353429.0,78661264649.0,51515191834.0,25761435056.0,40329782340.0,38274159075.0,34687461204.0,108348748139.0,114243903021.0,124428336566.0,107290690907.0,93132114009.0,92487016106.0,78065202671.0,61233836775.0,107047573800.0,109924050575.0,80084046479.0,57490139977.0,95935334925.0,2948067432241.0,2521173397914.0,2504244991883.0,2744651334388.0,3113915331413.0,3177372538020.0,3687434226664.0,4025103607073.0,4357680023367.0,5935906215498.0,5878483346782.0,6332817938674.0
