item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,304744220001.0,293585578607.0,166432708293.0,382319414392.0,319308757683.0,280817560410.0,257608397101.0,250534689035.0,176129344048.0,176688026423.0,192995296898.0,215852423119.0,238718899071.0,227247492324.0,162084930910.0,247033155467.0,240020640125.0,219603326716.0,303570844929.0,316491139285.0,294970020868.0,329425204200.0,2556435526250.0,7804083182525.0,5186170545985.0,6540222124713.0,8033450712858.0,10488907635687.0,6977873620387.0,8389892271316.0,9155027302341.0,11857438326389.0,11030333521790.0,11032760919940.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-739959858.0,-2663456871.0,-2031883500.0,-5346557902.0,-782696932.0,-2275317.0,-32756993.0,-229431909.0,-9445461486.0,-374737636.0,-555609313.0,-764206566.0,-1811234747.0,-307837921.0,-95221170.0,-1018608191.0,-63418300.0,31865017.0,0.0,0.0,0.0,0.0,-449636485.0,-9435691567.0,-3080574556.0,-4407072791.0,-2099848707.0,-10278463705.0,-1894480459.0,-15088020556.0,-3503224482.0,-42308266873.0,-41004717070.0,-77945533100.0
Doanh thu thuần,Net sales,net_sales,304004260143.0,290922121736.0,164400824793.0,376972856490.0,318526060751.0,280815285093.0,257575640108.0,250305257126.0,166683882562.0,176313288787.0,192439687585.0,215088216553.0,236907664324.0,226939654403.0,161989709740.0,246014547276.0,239957221825.0,219635191733.0,303570844929.0,316491139285.0,294970020868.0,329425204200.0,2555985889765.0,7794647490958.0,5183089971429.0,6535815051922.0,8031350864151.0,10478629171982.0,6975979139928.0,8374804250760.0,9151524077859.0,11815130059516.0,10989328804720.0,10954815386840.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-229087633169.0,-157546729596.0,-119797151698.0,-318030736345.0,-240436104198.0,-195826163387.0,-205235116071.0,-123243672072.0,-119599807512.0,-104227753869.0,-190542048431.0,-250978276071.0,-146098216235.0,-144806351142.0,-128381563528.0,-167594025006.0,-140638216345.0,-117066456990.0,-181939093195.0,-254282880988.0,-196506899411.0,-185263122269.0,-2285141852394.0,-7247869678802.0,-4671174318441.0,-5963228076794.0,-7349958066493.0,-9570365688175.0,-6234301097799.0,-7650431892365.0,-8193775851000.0,-10865225986353.0,-9762385727217.0,-9516939644277.0
Lợi nhuận gộp,Gross Profit,gross_profit,74916626974.0,133375392140.0,44603673095.0,58942120145.0,78089956553.0,84989121706.0,52340524037.0,127061585054.0,47084075050.0,72085534918.0,1897639154.0,-35890059518.0,90809448089.0,82133303261.0,33608146212.0,78420522270.0,99319005480.0,102568734743.0,121631751734.0,62208258297.0,98463121457.0,144162081931.0,270844037371.0,546777812156.0,511915652988.0,572586975128.0,681392797658.0,908263483807.0,741678042129.0,724372358395.0,957748226859.0,949904073163.0,1226943077503.0,1437875742563.0
Doanh thu hoạt động tài chính,Financial income,financial_income,5157562185.0,8402756037.0,80184339066.0,5329777307.0,1879530162.0,7969481107.0,86050622055.0,8840798420.0,55543247563.0,-3638600798.0,7889255083.0,503791931.0,1788366798.0,3507102715.0,3395655003.0,218664236169.0,126222015915.0,22985281215.0,44967623842.0,173876604819.0,24576128881.0,32984924838.0,48321740855.0,283978591278.0,53598140398.0,343740009704.0,147643787887.0,329757692663.0,80024193054.0,297507775193.0,610439319864.0,281258046993.0,189363531108.0,761945978329.0
Chi phí tài chính,Financial expenses,financial_expenses,-38183804268.0,-32738273315.0,-35972789331.0,-35240452806.0,-61902631608.0,-71284250747.0,-62875436540.0,-61130717546.0,-58331996858.0,-57927373477.0,-63145574501.0,-58191700509.0,-83606260502.0,-82754053485.0,-65249916084.0,-74519310832.0,-75174921290.0,-77569806375.0,-76597958642.0,-83539838165.0,-73916108806.0,-82422444710.0,-118186443070.0,-127543543856.0,-141570924475.0,-150176641038.0,-161791215492.0,-252465504200.0,-195471106697.0,-236275850451.0,-218114783534.0,-494994557510.0,-428299431522.0,-542490857995.0
Chi phí lãi vay,Interest expenses,interest_expenses,-37836749924.0,-30461436625.0,-35972789331.0,-35240452806.0,-61902631608.0,-71284250747.0,-62875436540.0,-59787077735.0,-58331996858.0,-57927373477.0,-23211708199.0,-57819700509.0,-83606260502.0,-82754053485.0,-65249916084.0,-74519310832.0,-75088149514.0,-77569806375.0,-76149314749.0,-81506237362.0,-73880878828.0,-82326121629.0,-118162104761.0,-106902448786.0,-135191551779.0,-155196076062.0,-150338224381.0,-182771887545.0,-188704205070.0,-218315906418.0,-180304433492.0,-344915986805.0,-410030830981.0,-374103836287.0
Chi phí bán hàng,Selling expenses,selling_expenses,-4328959557.0,-18321947503.0,-6585717577.0,-4372807381.0,-3417935509.0,-3557671293.0,-3630944057.0,-4414754771.0,-3471375052.0,-2848619239.0,-3772524510.0,-18165306643.0,-8596158825.0,-29601633257.0,-4827760149.0,-20116848412.0,-9707250890.0,-844765321.0,-4984434841.0,-11713944074.0,-4928984241.0,-4774409801.0,-91450374610.0,-288099198048.0,-238177050441.0,-268490359717.0,-290649809676.0,-331500903001.0,-326943795812.0,-233220056397.0,-391258935133.0,-425948203132.0,-483739772179.0,-675109270456.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-25367213504.0,-40697502317.0,-30056281066.0,-50970334971.0,-27652680510.0,-16728219456.0,-23556547099.0,-44388967941.0,-23920834293.0,-20710230248.0,-21877971787.0,-54505217014.0,-21265502610.0,-22755464987.0,-40619752160.0,-28448148683.0,-28664803959.0,-46270108137.0,-65706630488.0,-101263697482.0,-42554696345.0,-62536208765.0,-95913284234.0,-350916502744.0,-182970434299.0,-421140982714.0,-354191437133.0,-435135234812.0,-282858992790.0,-398645520507.0,-383492601470.0,-502256443473.0,-445341407280.0,-669907540014.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,13008188423.0,47625297033.0,53949982858.0,-24241288976.0,-12426773407.0,2977504756.0,52975490160.0,32013998343.0,17545446053.0,-10477659261.0,-94793157462.0,-164632986073.0,-21329527449.0,-46013677147.0,-71541316335.0,175717103529.0,114086029716.0,9914894942.0,19861981104.0,40119012894.0,2263783945.0,19734558735.0,6207049876.0,60773215370.0,8553049688.0,51242583793.0,34565513351.0,201128962832.0,17113680687.0,141000413158.0,567880612565.0,-208653571759.0,57552274570.0,319197634492.0
Thu nhập khác,Other incomes,other_incomes,1151411183.0,244390318.0,817404487.0,9269306260.0,424138746.0,387812901.0,1468756699.0,2714690122.0,349151792.0,402413358.0,11281332980.0,1000981918.0,1047039761.0,1453510110.0,415478851.0,965912591.0,353420971.0,87522330.0,1667839641.0,849400176.0,1547459688.0,833140435.0,12682080466.0,17999159196.0,33317305180.0,36190377150.0,27536787632.0,65123538805.0,41946099792.0,-13456166892.0,72779819699.0,231299232285.0,39579137865.0,39169740292.0
Chi phí khác,Other expenses,other_expenses,-2737463282.0,-3434229380.0,-436698192.0,-1128593608.0,-1149835746.0,-890853530.0,-845108854.0,-4765807110.0,-1575069165.0,-2356390367.0,-2201644386.0,-1565916220.0,-1314026398.0,-1977687576.0,-1681390666.0,-1349532447.0,-463350669.0,-196247051.0,-468536486.0,-514261991.0,-162002741.0,-4541680408.0,-4491171629.0,-60081070297.0,-6682247125.0,-6975843541.0,-11719181964.0,-6458284997.0,-7303291420.0,-8760284898.0,-26084429162.0,-19763631668.0,-21405161100.0,-32169527759.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,-1586052099.0,-3189839062.0,380706295.0,8140712652.0,-725697000.0,-503040629.0,623647845.0,-2051116988.0,-1225917373.0,-1953977009.0,9079688594.0,-564934302.0,-266986637.0,-524177466.0,-1265911815.0,-383619856.0,-109929698.0,-108724721.0,1199303155.0,335138185.0,1385456947.0,-3708539973.0,8190908837.0,-42081911101.0,26635058055.0,29214533609.0,15817605668.0,58665253808.0,34642808372.0,-22216451790.0,46695390537.0,211535600617.0,18173976765.0,7000212533.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,11422136324.0,44435457971.0,54330689153.0,-16100576324.0,-13152470407.0,2474464127.0,53599138005.0,29962881355.0,16319528680.0,-12431636270.0,-85713468868.0,-165197920375.0,-21596514086.0,-46537854613.0,-72807228150.0,175333483673.0,113976100018.0,9806170221.0,21061284259.0,40454151079.0,3649240892.0,16026018762.0,14397958713.0,18691304269.0,35188107743.0,80457117402.0,50383119019.0,259794216640.0,51756489059.0,118783961368.0,614576003102.0,2882028858.0,75726251335.0,326197847025.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-3689160890.0,-10923065238.0,-15045392226.0,1250249440.0,-537662386.0,-1948899579.0,-22329103201.0,-3406129845.0,-10913533177.0,-2217640417.0,5206418514.0,11505489020.0,-2942354569.0,-2495378230.0,-40065269.0,1452320685.0,-25758425542.0,3877755997.0,-11546218310.0,-13634741812.0,-2738660448.0,-3282281349.0,-2227039407.0,-23962042909.0,-12989480396.0,-18000442597.0,-16824241645.0,-66357446815.0,-20729801516.0,-50687314942.0,-130722082648.0,-183116435102.0,-33625635446.0,-109258215951.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29004506036.0,9922245349.0,-3461351272.0,2782109521.0,-16146862858.0,6018573204.0,9037474168.0,3059701934.0,209404892471.0,11757773383.0,53637249336.0
