item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4
Năm,,year,2018,2018,2018,2018
Quý,,quarter,1,2,3,4
Mã TTM,Ratio TTM Id,ratioTTMId,2698977,2713018,2715844,2717468
Loại tỷ lệ,Ratio Type,ratioType,RATIO_TTM,RATIO_TTM,RATIO_TTM,RATIO_TTM
Số CP lưu hành (triệu),Outstanding Shares (mil),outstanding_shares,251058913,251058913,268631965,268631965
Vốn hóa,Market Cap,market_cap,1481247586700.0,1380824021500.0,940211877500.0,967075074000.0
Tỷ suất cổ tức (%),Dividend Yield (%),dividend_yield,0.0,0.0,0.0,0.0
P/E,P/E,pe_ratio,7.2989252059,7.8445374175,5.6544036885,12.5210596922
P/B,P/B,pb_ratio,0.4598442119,0.4241158376,0.2851716614,0.3060277611
P/S,P/S,ps_ratio,0.7986757332,0.7940698404,0.6175899959,0.8510736779
Giá/ Dòng tiền,Price/Cash Flow,price_to_cash_flow,2.9692033456,13.9009404355,1.558718043,2.9553876418
EV/EBITDA,EV/EBITDA,ev_to_ebitda,9.1347122027,9.8837801098,11.1564574277,19.723507257
Hệ số thanh toán tiền,Cash Ratio,cash_ratio,0.2082606936,0.3393861213,0.2415526355,0.0860393695
Hệ số thanh toán nhanh,Quick Ratio,quick_ratio,2.3497809604,2.3742279333,1.2193224076,1.2308264883
Hệ số thanh toán hiện hành,Current Ratio,current_ratio,2.4083883313,2.413323988,1.2538165831,1.2783120984
Vốn chủ sở hữu,Owners Equity,owners_equity,1.6282117568,1.6658632393,1.6169755857,1.7163031872
Nợ/Vốn chủ,Debt/Equity,debtPerEquity,1.637038055,1.7039923558,1.6237608652,1.7358385348
Nợ trên vốn chủ,Debt to Equity,debt_to_equity,2.2687398187,2.3241050868,2.2615136517,2.4230095862
ROE (%),ROE (%),roe,0.0605862086,0.0527158622,0.0510387483,0.0241679684
ROA (%),ROA (%),roa,0.0174682762,0.0158389668,0.015477491,0.0071514947
Số ngày phải thu,Days Sales Outstanding,days_sales_outstanding,168.0780337759,221.963790986,308.1471511976,384.1693474666
Số ngày tồn kho,Days Inventory Outstanding,days_inventory_outstanding,13.0669262158,13.6178202619,13.9841922417,28.1306619927
Số ngày phải trả,Days Payable Outstanding,days_payable_outstanding,134.9419323945,140.3283237964,150.831927193,232.2265059915
Biên LN gộp (%),Gross Margin (%),gross_margin,0.2598711461,0.283994453,0.28409503,0.2744326278
Biên EBIT (%),EBIT Margin (%),ebit_margin,0.1848489318,0.1899372025,0.1715767824,0.115407059
Biên LN trước thuế (%),Pre-tax Profit Margin (%),pre_tax_profit_margin,0.1183694379,0.1170126237,0.1357980169,0.0828018146
Biên LN sau thuế (%),After-tax Profit Margin (%),net_margin,0.0940546917,0.0907063445,0.1011056072,0.0578019313
Vòng quay tài sản,Asset Turnover,asset_turnover,0.1767243116,0.1622542965,0.1417056345,0.1052133254
Biên lãi thuần,Net Interest Margin,net_interest_margin,0.0,0.0,0.0,0.0
Lãi suất bình quân tài sản sinh lãi,Avg Yield on Earning Assets,avg_yield_on_earning_assets,0.0,0.0,0.0,0.0
Chi phí vốn bình quân,Avg Cost of Financing,avg_cost_of_financing,0.0,0.0,0.0,0.0
Thu nhập ngoài lãi,Non-interest Income,non_interest_income,0.0,0.0,0.0,0.0
Tỷ lệ CIR,Cost/Income Ratio,cost_to_income_ratio,0.0,0.0,0.0,0.0
Tăng trưởng cho vay (%),Loans Growth (%),loans_growth,0.0,0.0,0.0,0.0
Tăng trưởng tiền gửi (%),Deposit Growth (%),deposit_growth,0.0,0.0,0.0,0.0
Vốn chủ/Tổng nợ,Equity/Total Liabilities,equity_to_liabilities,0.0,0.0,0.0,0.0
Vốn chủ/Cho vay,Equity/Loans,equity_to_loans,0.0,0.0,0.0,0.0
Vốn chủ/Tổng tài sản,Equity/Total Assets,equity_to_assets,0.0,0.0,0.0,0.0
LDR (%),LDR (%),ldr,0.0,0.0,0.0,0.0
Nợ xấu (%),NPL (%),npl,0.0,0.0,0.0,0.0
DP rủi ro/Nợ xấu,Loan Loss Reserves/NPLs,loan_loss_reserves_to_npls,0.0,0.0,0.0,0.0
DP rủi ro/Cho vay,Loan Loss Reserve/Loans,loan_loss_reserve_to_loans,0.0,0.0,0.0,0.0
Trích lập DP/Cho vay,Provision/Outstanding Loans,provision_to_outstanding_loans,0.0,0.0,0.0,0.0
EBIT,EBIT,ebit,342826284459.0,330285622767.0,261206512036.0,131137048477.0
EBITDA,EBITDA,ebitda,722276522038.0,670320442541.0,546092860049.0,310255415604.0
ROIC,ROIC,roic,0.0401897549,0.0374085636,0.0301290546,0.0151485298
Chu kỳ tiền,Cash Cycle,cash_cycle,370.6376124238,422.1381572184,457.1386076245,687.4521147489
Vòng quay TS cố định,Fixed Asset Turnover,fixed_asset_turnover,0.6817312471,0.6288578783,0.539137314,0.4009529607
Đòn bẩy tài chính,Financial Leverage,financial_leverage,2.2687398187,2.3241050868,2.2615136517,2.4230095862
CIR,CIR,cir,0.0,0.0,0.0,0.0
CAR,CAR,car,,,,
Vốn chủ sở hữu,Equity,equity,,,,
Tỷ lệ CASA,CASA Ratio,casa_ratio,,,,
Mã năm tỷ lệ,Ratio Year Id,ratioYearId,,,,
