item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,24591626585710.0,23352157977399.0,25560035146638.0,24092127401634.0,25752302599527.0,24363123837231.0,25630569852315.0,23308400999913.0,18937721471870.0,6006040037344.0,7620709150895.0,8262172235343.0,7528056454192.0,6598387656577.0,4754034126009.0,9212977379362.0,11683384182000.0,18436571045334.0,21266676745436.0,19573264152251.0,23640087047595.0,20635214578293.0,23752916539142.0,24058592439460.0,28268096998792.0,24826254006665.0,26830084554856.0,26987379763274.0,30626600310687.0,28048946277519.0,30444867280733.0,32291810186226.0,36946545440205.0,38365795734759.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-180089029676.0,-206492771847.0,-183212944690.0,-204748384871.0,-216124716949.0,-223434937076.0,-212187322428.0,-225099550808.0,-124731548039.0,-10715355641.0,-18508505443.0,-59788858197.0,-67908976416.0,-61587448162.0,-18588533811.0,-34031148496.0,-63259930730.0,-105531990742.0,-110385443717.0,-102153803159.0,-145897338191.0,-131666861505.0,-183856919333.0,-227836827134.0,-303944703419.0,-228759952060.0,-229972670700.0,-207165692221.0,-75627270759.0,-49175833020.0,-73846923421.0,-6692252943.0,-63794352768.0,-62349363374.0
Doanh thu thuần,Net sales,net_sales,24411537556034.0,23145665205552.0,25376822201948.0,23887379016763.0,25536177882578.0,24139688900155.0,25418382529887.0,23083301449105.0,18812989923831.0,5995324681703.0,7602200645452.0,8202383377146.0,7460147477776.0,6536800208415.0,4735445592198.0,9178946230866.0,11620124251270.0,18331039054592.0,21156291301719.0,19471110349092.0,23494189709404.0,20503547716788.0,23569059619809.0,23830755612326.0,27964152295373.0,24597494054605.0,26600111884156.0,26780214071053.0,30550973039928.0,27999770444499.0,30371020357312.0,32285117933283.0,36882751087437.0,38303446371385.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-20786892377814.0,-20085026862493.0,-22288007953417.0,-21454194370421.0,-21520714759356.0,-21703550034002.0,-22110016458702.0,-21680871915632.0,-19445060262097.0,-9869234654994.0,-10803033184773.0,-7686980960246.0,-11329232372653.0,-9039835196863.0,-7746601842940.0,-10287004698391.0,-13214928059181.0,-18699488293851.0,-20991287883399.0,-20298693236700.0,-21534967339537.0,-19469791327580.0,-22329151984247.0,-24020132386786.0,-23879195201276.0,-21978649307493.0,-23855637970606.0,-22326095859677.0,-24279949929383.0,-23080750359528.0,-26566492969482.0,-29382954653053.0,-29572177621231.0,-36601349468673.0
Lợi nhuận gộp,Gross Profit,gross_profit,3624645178220.0,3060638343059.0,3088814248531.0,2433184646342.0,4015463123222.0,2436138866153.0,3308366071185.0,1402429533473.0,-632070338266.0,-3873909973291.0,-3200832539321.0,515402416900.0,-3869084894877.0,-2503034988448.0,-3011156250742.0,-1108058467525.0,-1594803807911.0,-368449239259.0,165003418320.0,-827582887608.0,1959222369867.0,1033756389208.0,1239907635562.0,-189376774460.0,4084957094097.0,2618844747112.0,2744473913550.0,4454118211376.0,6271023110545.0,4919020084971.0,3804527387830.0,2902163280230.0,7310573466206.0,1702096902712.0
Doanh thu hoạt động tài chính,Financial income,financial_income,260628174741.0,543298053678.0,268695290585.0,555841494986.0,225495788792.0,387122336193.0,299271456804.0,224143524836.0,240483465601.0,353545522337.0,131896267702.0,144235621675.0,105594424389.0,141483547663.0,560310627555.0,749202511649.0,104886318928.0,137595975177.0,185667184643.0,945739974303.0,366198292334.0,96086320006.0,176503425628.0,286626489562.0,137713484875.0,191489391515.0,563185696088.0,373688556808.0,480223303932.0,198894226244.0,321943580734.0,514170867728.0,453210666214.0,413033662951.0
Chi phí tài chính,Financial expenses,financial_expenses,-787320178851.0,-1307823624912.0,-1027961893992.0,-1022230195169.0,-784696816666.0,-759767461104.0,-751650504266.0,891364186.0,-1128776864563.0,99400457483.0,-357041268235.0,-79237572005.0,-358851008409.0,-422623930959.0,-486740559584.0,-312305514627.0,-528393567456.0,-1147794228996.0,-1463802972674.0,-1023506749799.0,-773455179904.0,-737977593622.0,-1894755848265.0,-747612502088.0,-1470376610820.0,-1454227762151.0,-811852634998.0,-1214718845190.0,-1070853738034.0,-576448514968.0,-888116421775.0,-1045662230650.0,-845337479281.0,-571946459604.0
Chi phí lãi vay,Interest expenses,interest_expenses,-367708289305.0,-395078635069.0,-406850599132.0,-391372111178.0,-378391353536.0,-377034293657.0,-346321532275.0,-303512724953.0,-283060117248.0,-243548217343.0,-198859157461.0,-199604434051.0,-199221426702.0,-207154746610.0,-201650606615.0,-198926524442.0,-224821204571.0,-261955165813.0,-305149049221.0,-371444489085.0,-386074653376.0,-391027712065.0,-397077602455.0,-380749874714.0,-352682915616.0,-409857960068.0,-272727935107.0,-246465065444.0,-251108191447.0,-215270786063.0,-209312925673.0,-162430279402.0,-205613043210.0,-70554900669.0
Chi phí bán hàng,Selling expenses,selling_expenses,-1288413416296.0,-1304051351085.0,-1197771319688.0,-966503934015.0,-1430630469645.0,-1353349228303.0,-817723609821.0,-1005450582983.0,-814262759540.0,-588353555837.0,-196585112152.0,-489475695711.0,-394709752057.0,-311184570410.0,-282987123525.0,-249179002585.0,-364900717310.0,-659619323119.0,-850659115749.0,-1057301999711.0,-1047608743054.0,-1061138139997.0,-1370733943246.0,-991452423743.0,-1389622876806.0,-889920072367.0,-1062476079041.0,-1556329389028.0,-1596435910706.0,-981254370350.0,-1775084496259.0,-1714550979573.0,-1898465123598.0,-1605674706787.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-528467132582.0,-590829188056.0,-650004174146.0,-838978326754.0,-603842926568.0,-683216249221.0,-873782357274.0,-767413803802.0,-398896478111.0,-294390826062.0,-336032556318.0,-549503235188.0,-359369012050.0,-453707146682.0,-347555680301.0,-492837660252.0,-390396828073.0,-463405486148.0,-503338310497.0,-518238320150.0,-481656788707.0,-453910518595.0,-542750913045.0,-573518544192.0,-517471724642.0,-428733050190.0,-514825597006.0,-729690287759.0,-529930223878.0,-547846436982.0,-682170336710.0,-931445297851.0,-552553462372.0,-716044494419.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,1319892144054.0,303592064869.0,490815459158.0,194881816562.0,1472875792530.0,-66343054116.0,1162312499600.0,-134249823899.0,-2748065757125.0,-4398901512945.0,-3953155839418.0,-504732198438.0,-4900018973459.0,-3590149238175.0,-3588485868603.0,-1536187481703.0,-2742322315199.0,-2462358013396.0,-2436213618781.0,-2546728356612.0,57219040989.0,-1087738934872.0,-2359611066573.0,-2204427892143.0,900386547570.0,122096770770.0,944973742060.0,1231056816049.0,3585817539951.0,3026519899741.0,823687217682.0,477874241081.0,4531972329985.0,-655335043170.0
Thu nhập khác,Other incomes,other_incomes,114349990332.0,128315995131.0,86417286491.0,640206202627.0,112559160257.0,277451583548.0,353397957925.0,395288110915.0,208500410840.0,397212178625.0,33668851384.0,157372277974.0,21238567388.0,36995410458.0,153241551012.0,496322331318.0,167535721599.0,28191969427.0,24108519941.0,89579829775.0,35978081477.0,37011936099.0,232691027548.0,361982460944.0,3634700270496.0,1730395825493.0,46570436225.0,86514780454.0,44664584760.0,74485952158.0,45992896002.0,128755172369.0,156703802991.0,218522127924.0
Chi phí khác,Other expenses,other_expenses,-5132271927.0,-5810033664.0,-6077710165.0,-21840713365.0,-6374877088.0,-4374161613.0,-9706731428.0,-183090444823.0,-5549513077.0,-15675548677.0,-22952859865.0,-29150967786.0,-23544669475.0,-31756011880.0,-25192268530.0,-36248222960.0,-46492233170.0,-46093622658.0,-59888084376.0,-60617982685.0,-73876173449.0,-221175418104.0,-4618237616.0,-77320331321.0,-6809689755.0,-779643604372.0,-16467497080.0,521867946219.0,-5682422314.0,-9625727588.0,-4044790717.0,-20220459184.0,-8516956573.0,-4353638023.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,109217718405.0,122505961467.0,80339576326.0,618365489262.0,106184283169.0,273077421935.0,343691226497.0,212197666092.0,202950897763.0,381536629948.0,10715991519.0,128221310188.0,-2306102087.0,5239398578.0,128049282482.0,460074108358.0,121043488429.0,-17901653231.0,-35779564435.0,28961847090.0,-37898091972.0,-184163482005.0,228072789932.0,284662129623.0,3627890580741.0,950752221121.0,30102939145.0,608382726673.0,38982162446.0,64860224570.0,41948105285.0,108534713185.0,148186846418.0,214168489901.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,1429109862459.0,426098026336.0,571155035484.0,813247305824.0,1579060075699.0,206734367819.0,1506003726097.0,77947842193.0,-2545114859362.0,-4017364882997.0,-3942439847899.0,-376510888250.0,-4902325075546.0,-3584909839597.0,-3460436586121.0,-1076113373345.0,-2621278826770.0,-2480259666627.0,-2471993183216.0,-2517766509522.0,19320949017.0,-1271902416877.0,-2131538276641.0,-1919765762520.0,4528277128311.0,1072848991891.0,975076681205.0,1839439542722.0,3624799702397.0,3091380124311.0,865635322967.0,586408954266.0,4680159176403.0,-441166553269.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-290220627955.0,-47384937775.0,-106105728887.0,-243692798252.0,-368134453173.0,-30463641189.0,-373787073460.0,-157497096736.0,-65991506349.0,-42782568560.0,-48521377050.0,-51911583863.0,-69508138853.0,-59023571935.0,-49952573009.0,-78115475947.0,-60505581533.0,-69512105485.0,-78668733998.0,-92797318884.0,-57423336526.0,-81067186198.0,-69251857769.0,-64485644411.0,-88596771742.0,-91899645425.0,-114249780302.0,-95729670010.0,-138746388950.0,-134622340836.0,-133581728563.0,-125782753303.0,-165705120337.0,-163668417019.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,-2040349081.0,-4386903794.0,-7234317376.0,-5624027083.0,1464342363.0,-7347172377.0,-480706124.0,83117815904.0,-406731010.0,-6773834273.0,-6216543758.0,6380925294.0,-3021476023.0,-3383832785.0,-20931580096.0,-29833137922.0,-3958861744.0,-1718192170.0,4155051494.0,24922494796.0,766070002.0,4232441293.0,-2458494835.0,1992859855.0,1444025153.0,-20438642960.0,1281624271.0,-49890724688.0,-35042358.0,-593558296.0,192719120.0,-27732312850.0,82015089.0,-1402666006.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-292260977036.0,-51771841569.0,-113340046263.0,-249316825335.0,-366670110810.0,-37810813566.0,-374267779584.0,-74379280832.0,-66398237359.0,-49556402833.0,-54737920808.0,-45530658569.0,-72529614876.0,-62407404720.0,-70884153105.0,-107948613869.0,-64464443277.0,-71230297655.0,-74513682504.0,-67874824088.0,-56657266524.0,-76834744905.0,-71710352604.0,-62492784556.0,-87152746589.0,-112338288385.0,-112968156031.0,-145620394698.0,-138781431308.0,-135215899132.0,-133389009443.0,-153515066153.0,-165623105248.0,-165071083025.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,1136848885423.0,374326184767.0,457814989221.0,563930480489.0,1212389964889.0,168923554253.0,1131735946513.0,3568561361.0,-2611513096721.0,-4066921285830.0,-3997177768707.0,-422041546819.0,-4974854690422.0,-3647317244317.0,-3531320739226.0,-1184061987214.0,-2685743270047.0,-2551489964282.0,-2546506865720.0,-2585641333610.0,-37336317507.0,-1348737161782.0,-2203248629245.0,-1982258547076.0,4441124381722.0,960510703506.0,862108525174.0,1693819148024.0,3486018271089.0,2956164225179.0,732246313524.0,432893888113.0,4514536071155.0,-606237636294.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,84121762024.0,65033417049.0,105146047549.0,-3315742139.0,15566487426.0,89752062928.0,117232533054.0,-31330811274.0,-22104607695.0,-96991211269.0,-84773079667.0,-49156406311.0,-84892092411.0,-79062289742.0,-162652117976.0,-45268751159.0,-72768918941.0,3188907810.0,76294319569.0,76539678974.0,66310369230.0,66440625056.0,73971150221.0,82319719214.0,106679325609.0,100913566052.0,94237835302.0,91640011768.0,85075413627.0,100353031013.0,115046599825.0,102455241432.0,126524349938.0,129220910909.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,1052727123399.0,309292767718.0,352668941672.0,567246222628.0,1196823477463.0,79171491325.0,1014503413459.0,34899372635.0,-2589408489026.0,-3969930074561.0,-3912404689040.0,-372885140508.0,-4889962598011.0,-3568254954575.0,-3368668621250.0,-1138793236055.0,-2612974351106.0,-2554678872092.0,-2622801185289.0,-2662181012584.0,-103646686737.0,-1415177786838.0,-2277219779466.0,-2064578266290.0,4334445056113.0,859597137454.0,767870689872.0,1602179136256.0,3400942857462.0,2855811194166.0,617199713699.0,330438646681.0,4388011721217.0,-735458547203.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,858.0,252.0,287.0,456.0,896.0,4.0,715.0,25.0,0.0,0.0,-2759.0,-263.0,-3448.0,-2516.0,-1.0,-514.0,-1180.0,-1154.0,-1184.0,-1202.0,-47.0,-639.0,-1028.0,-932.0,1957.0,389.0,347.0,724.0,1536.0,1289.0,278.0,0.0,1410.0,-236.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3813.0,0.0,0.0,0.0,-2334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,38819518822.0,-97640167815.0,9043307868.0,33568131172.0,51087093395.0,-93271317834.0,-2168557028.0,11150140391.0,-14542782246.0,-95193137575.0,5439368906.0,-46153734109.0,-23598730455.0,-41082149339.0,-20356882006.0,-123009348363.0,31286286623.0,39314288949.0,30916177176.0,-65838373647.0,34519090453.0,35444608128.0,32218576793.0,10905862778.0,55187180866.0,84643516851.0,26468443467.0,-96011430158.0,31790998092.0,14154910826.0,42587503862.0,753198601197.0,64544262816.0,123200051977.0
