item,item_en,item_id,2026-Q2,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3
Tổng lợi nhuận/lỗ trước thuế,Net Accounting Profit/(loss) before tax,net_accounting_profit_loss_before_tax,10559872000000.0,9628386000000.0,11129122000000.0,7249920000000.0,7502991000000.0,8386325000000.0,8093120000000.0,7307896000000.0
Chi phí thuế TNDN hiện hành,Business income tax - current,business_income_tax_current,-2120910000000.0,-1929120000000.0,-2218646000000.0,-1452742000000.0,-1496624000000.0,-1708859000000.0,-1715348000000.0,-1465240000000.0
Chi phí thuế TNDN hoãn lại,Business income tax - deferred,business_income_tax_deferred,6511000000.0,3454000000.0,-7524000000.0,3263000000.0,-1661000000.0,-2587000000.0,3850000000.0,787000000.0
Chi phí thuế thu nhập doanh nghiệp,Business income tax expenses,business_income_tax_expenses,-2114399000000.0,-1925666000000.0,-2226170000000.0,-1449479000000.0,-1498285000000.0,-1711446000000.0,-1711498000000.0,-1464453000000.0
Lợi nhuận sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,8445473000000.0,7702720000000.0,8902952000000.0,5800441000000.0,6004706000000.0,6674879000000.0,6381622000000.0,5843443000000.0
Lợi ích của cổ đông thiểu số,Minority interest,minority_interest,-216411000000.0,-187207000000.0,-140382000000.0,-229417000000.0,-127101000000.0,-107139000000.0,-97468000000.0,-53287000000.0
Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,8229062000000.0,7515513000000.0,8762570000000.0,5571024000000.0,5877605000000.0,6567740000000.0,6284154000000.0,5790156000000.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu nhập lãi và các khoản thu nhập tương tự,Interest and Similar Income,interest_and_similar_income,34006838000000.0,28982071000000.0,26132781000000.0,22265897000000.0,21099126000000.0,19590312000000.0,18452076000000.0,17396620000000.0
Chi phí lãi và các chi phí tương tự,Interest and Similar Expenses,interest_and_similar_expenses,-17113184000000.0,-14068954000000.0,-11577489000000.0,-9275373000000.0,-8727009000000.0,-7898128000000.0,-7309898000000.0,-6979985000000.0
Thu nhập lãi thuần,Net Interest Income,net_interest_income,16893654000000.0,14913117000000.0,14555292000000.0,12990524000000.0,12372117000000.0,11692184000000.0,11142178000000.0,10416635000000.0
Thu nhập từ dịch vụ,Fees and Commission Income,fees_and_commission_income,5249714000000.0,4583814000000.0,5602200000000.0,4234200000000.0,4613875000000.0,3611961000000.0,4149237000000.0,3436204000000.0
Chi phí dịch vụ,Fees and Commission Expenses,fees_and_commission_expenses,-3444039000000.0,-2875070000000.0,-3501033000000.0,-2907645000000.0,-2698332000000.0,-2376545000000.0,-2968479000000.0,-2548181000000.0
Lãi/Lỗ thuần từ hoạt động dịch vụ,Net Fee and Commission Income,net_fee_and_commission_income,1805675000000.0,1708744000000.0,2101167000000.0,1326555000000.0,1915543000000.0,1235416000000.0,1180758000000.0,888023000000.0
Lãi/(lỗ) thuần từ hoạt động kinh doanh ngoại hối và vàng,Net gain/(loss) from foreign currency and gold dealings,net_gain_loss_from_foreign_currency_and_gold_dealings,137240000000.0,-31706000000.0,260393000000.0,424608000000.0,534121000000.0,537800000000.0,484636000000.0,660609000000.0
Lãi/(lỗ) thuần từ mua bán chứng khoán kinh doanh,Net gain/(loss) from trading of trading securities,net_gain_loss_from_trading_of_trading_securities,168711000000.0,80813000000.0,80262000000.0,172422000000.0,246982000000.0,168718000000.0,118195000000.0,226010000000.0
Lãi/(lỗ) thuần từ mua bán chứng khoán đầu tư,Net gain/(loss) from disposal of investment securities,net_gain_loss_from_disposal_of_investment_securities,334857000000.0,-331270000000.0,822364000000.0,-527544000000.0,785944000000.0,509329000000.0,2412338000000.0,-172432000000.0
Thu nhập khác,Other Income,other_income,1835146000000.0,1090478000000.0,2738958000000.0,1197659000000.0,1898103000000.0,1179210000000.0,2580669000000.0,677927000000.0
Chi phí khác,Other Expenses,other_expenses,-765315000000.0,0.0,-1165150000000.0,0.0,-534306000000.0,0.0,-1377624000000.0,0.0
Lãi/(lỗ) thuần từ hoạt động khác,Net Other income/expenses,net_other_income_expenses,1069831000000.0,1090478000000.0,1573808000000.0,1197659000000.0,1363797000000.0,1179210000000.0,1203045000000.0,677927000000.0
Thu nhập từ cổ tức,Dividends Income,dividends_income,24346000000.0,30000000.0,134660000000.0,12470000000.0,27174000000.0,40000000.0,22361000000.0,6993000000.0
Tổng thu nhập hoạt động,Total Operating Income,total_operating_income,20434314000000.0,17430206000000.0,19527946000000.0,15596694000000.0,17245678000000.0,15322697000000.0,16563511000000.0,12703765000000.0
Chi phí quản lý doanh nghiệp,General and Admin Expenses,general_and_admin_expenses,-5627359000000.0,-4347002000000.0,-6229459000000.0,-4545266000000.0,-4956470000000.0,-3949958000000.0,-5246555000000.0,-3755899000000.0
Lợi nhuận thuần hoạt động trước khi trích lập dự phòng tổn thất tín dụng,Net Operating Profit Before Allowance for Credit Loss,net_operating_profit_before_allowance_for_credit_loss,14806955000000.0,13083204000000.0,13298487000000.0,11051428000000.0,12289208000000.0,11372739000000.0,11316956000000.0,8947866000000.0
Trích lập dự phòng tổn thất tín dụng,Provision for Credit Losses,provision_for_credit_losses,-4247083000000.0,-3454818000000.0,-2169365000000.0,-3801508000000.0,-4786217000000.0,-2986414000000.0,-3223836000000.0,-1639970000000.0
