item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,4401567633895.0,3882554384868.0,3721660853844.0,3645838061489.0,3560020557893.0,3864758924236.0,4369879361062.0,4521750917521.0,4552603255383.0,4496551323551.0,4845051004848.0,6716096907903.0,7629842459073.0,8741929413626.0,10493339994374.0,10801086423799.0,12137796989966.0,10793465178777.0,11376026082473.0,9739510880503.0,8669661115973.0,9888887992569.0,11511079028018.0,14673785853603.0,16175997970170.0,17302621640980.0,19288750279859.0,21873571497790.0,22156530216854.0,25308696821844.0,30308699277969.0,30570217920387.0,29427344326639.0,32933203856351.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,285920888419.0,279789020057.0,116077604810.0,458449693695.0,353117816095.0,95843854054.0,230790462186.0,414572303541.0,398631499963.0,109232209076.0,160835806806.0,96948819458.0,148541645674.0,307958055614.0,153279368118.0,118318984352.0,218575059835.0,165686508683.0,638811730705.0,194935879341.0,77369062368.0,83290345197.0,55005506324.0,571249283464.0,1168340435894.0,721758236860.0,1579769611337.0,1773543835124.0,1598364130310.0,1951365941874.0,1754413781908.0,2431266116691.0,1922611974925.0,3499341587087.0
Tiền,Cash,cash,280520888419.0,74389020057.0,110677604810.0,353049693695.0,347717816095.0,63543854054.0,200490462186.0,237272303541.0,271331499963.0,81932209076.0,133535806806.0,49648819458.0,121241645674.0,262658055614.0,125979368118.0,91018984352.0,115275059835.0,62386508683.0,638811730705.0,24935879341.0,77369062368.0,83290345197.0,55005506324.0,441249283464.0,1138340435894.0,606758236860.0,1579769611337.0,1749543835124.0,1578364130310.0,1921365941874.0,1734413781908.0,2431266116691.0,1920611974925.0,3499341587087.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,5400000000.0,205400000000.0,5400000000.0,105400000000.0,5400000000.0,32300000000.0,30300000000.0,177300000000.0,127300000000.0,27300000000.0,27300000000.0,47300000000.0,27300000000.0,45300000000.0,27300000000.0,27300000000.0,103300000000.0,103300000000.0,0.0,170000000000.0,0.0,0.0,0.0,130000000000.0,30000000000.0,115000000000.0,0.0,24000000000.0,20000000000.0,30000000000.0,20000000000.0,0.0,2000000000.0,0.0
Các tài sản tài chính ghi nhận thông qua lãi lỗ (FVTPL),Financial assets at fair value through profit or loss (FVTPL),financial_assets_at_fair_value_through_profit_or_loss_fvtpl,711655919165.0,356901471970.0,338851430933.0,326435333150.0,289847016576.0,658030416970.0,1025189553525.0,753433267048.0,911427108353.0,960304125347.0,673884807026.0,1468603179653.0,1582673319364.0,1673968544808.0,1633627948447.0,1722347864808.0,1119647629427.0,1063057086519.0,598079989736.0,2611500872106.0,406934308404.0,1072003385271.0,1137443111710.0,1122927028267.0,1149233683699.0,1599568494556.0,1700936499903.0,1973818318843.0,2564933413135.0,3108863146383.0,2699395826192.0,3104483142733.0,3115909934351.0,3024369730910.0
Dự phòng suy giảm giá trị tài sản tài chính và tài sản thế chấp,Provision for diminution,provision_for_diminution,-92506649344.0,-97638116844.0,-97374116844.0,-121334879344.0,-70925729445.0,-67925729445.0,-67925729445.0,-67925729445.0,-67925729445.0,-59055729445.0,-59055729445.0,-59055729445.0,-59055729445.0,-59055729445.0,-82583086500.0,-82583086500.0,-82583086500.0,-82583086500.0,-82583086500.0,-82583086500.0,-82583086500.0,-82583086500.0,-82583086500.0,-82554833480.0,-82554833496.0,-82554833496.0,-82554833496.0,-98400705976.0,-56339976996.0,-56339976996.0,-65659476996.0,-27440878619.0,-27440878619.0,-27440878619.0
Tổng các khoản phải thu,Accounts receivable,accounts_receivable,60450159537.0,56293322458.0,36180978778.0,39620872621.0,46520696523.0,267905571819.0,56603155247.0,50546145106.0,84226955378.0,87335173333.0,302883512018.0,199449073369.0,107568548001.0,123410919047.0,182201821581.0,137562328367.0,144401908242.0,287619982318.0,290829907583.0,208342528649.0,215888841521.0,192413612083.0,233862917531.0,239646393627.0,201193218037.0,181243189491.0,177483064772.0,210322704650.0,114290043380.0,125674714020.0,246131134225.0,194991631662.0,178362813069.0,326167377383.0
Phải thu khách hàng (Trước năm 2016),Trade accounts receivable (Before 2016),trade_accounts_receivable_before_2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,11714257872.0,4836262842.0,9870972058.0,7113128118.0,13013659804.0,3572991234.0,6121931936.0,3021593084.0,2634389592.0,2138508592.0,10956996066.0,15860420816.0,20513224021.0,34925146452.0,65274731740.0,27392863570.0,31503140453.0,100711830588.0,114638415161.0,38016988078.0,46769614540.0,50050807108.0,33899510756.0,7244255581.0,7803079181.0,11682849200.0,9526266185.0,8229736516.0,5334563728.0,9928562854.0,6702573900.0,11044645844.0,4907673217.0,12278835856.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
