item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
DOANH THU HOẠT ĐỘNG,OPERATING SALES,operating_sales,305627564021.0,292745807437.0,218257948168.0,224974400092.0,193628629088.0,247381231227.0,228933338505.0,273824391106.0,223712553112.0,286246722500.0,250635292059.0,354954893975.0,400875831445.0,643177647846.0,515003635647.0,658705941510.0,609463643706.0,512916733539.0,430064129207.0,405919048104.0,335886130586.0,401029291681.0,539133044532.0,539910287109.0,673613601297.0,883359267669.0,805539279244.0,757855327817.0,668878198715.0,792337346182.0,1162053594039.0,1016156006521.0,1019095940522.0,1196245644077.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doanh thu thuần về hoạt động kinh doanh,Net sales,net_sales,305627564021.0,292745807437.0,218257948168.0,224974400092.0,193628629088.0,247381231227.0,228933338505.0,273824391106.0,223712553112.0,286246722500.0,250635292059.0,354954893975.0,400875831445.0,643177647846.0,515003635647.0,658705941510.0,609463643706.0,512916733539.0,430064129207.0,405919048104.0,335886130586.0,401029291681.0,539133044532.0,539910287109.0,673613601297.0,883359267669.0,805539279244.0,757855327817.0,668878198715.0,792337346182.0,1162053594039.0,1016156006521.0,1019095940522.0,1196245644077.0
CHI PHÍ HOẠT ĐỘNG,OPERATING EXPENSE,operating_expense,-175720600005.0,-138674012708.0,-92973533380.0,-150515795151.0,-78694406836.0,-90949608319.0,-103203154045.0,-121116130243.0,-117581138496.0,-98588768851.0,-111637655215.0,-162461227421.0,-178187344096.0,-334130227419.0,-173696634794.0,-254568743461.0,-215486227095.0,-227845844703.0,-152061586478.0,-130492726196.0,-114964486403.0,-103208594397.0,-173187521804.0,-164387317322.0,-262750550751.0,-438880691664.0,-377145590590.0,-331020453699.0,-107699713336.0,-282116027436.0,-408639650614.0,-310447559209.0,-307432469118.0,-432684679251.0
LỢI NHUẬN GỘP,GROSS PROFIT,gross_profit,129906964016.0,154071794729.0,125284414788.0,74458604941.0,114934222252.0,156431622908.0,125730184460.0,152708260863.0,106131414616.0,187657953649.0,138997636844.0,192493666554.0,222688487349.0,309047420427.0,341307000853.0,404137198049.0,393977416611.0,285070888836.0,278002542729.0,275426321908.0,220921644183.0,297820697284.0,365945522728.0,375522969787.0,410863050546.0,444478576005.0,428393688654.0,426834874118.0,561178485379.0,510221318746.0,753413943425.0,705708447312.0,711663471404.0,763560964826.0
CHI PHÍ QUẢN LÝ CÔNG TY CHỨNG KHOÁN,GENERAL AND ADMINISTRATIVE EXPENSES,general_and_administrative_expenses,-9876196479.0,-37598472330.0,-20071690515.0,-35367622346.0,-6611146955.0,-35727927407.0,-19819672442.0,-30159167697.0,-20982735347.0,-43470210270.0,-18041285331.0,-20599945057.0,-35712153287.0,-68504480105.0,-50161747073.0,-88478543922.0,-47626207238.0,-44990312044.0,-30364179117.0,-64522779888.0,1896516281.0,-65401001057.0,-55300288124.0,-59399881405.0,-57879638489.0,-49624989882.0,-66019320107.0,-66174492032.0,-74978311901.0,-63572009708.0,-95945479205.0,-46238356824.0,-64821028891.0,-68493175603.0
KẾT QUẢ HOẠT ĐỘNG,OPERATING PROFIT/(LOSS),operating_profit_loss,66887329172.0,66396302313.0,63978473149.0,-2594540636.0,73064285297.0,84180600439.0,55858939257.0,67171036931.0,32749652462.0,100978242226.0,79421901620.0,119719514645.0,124648782747.0,162409944768.0,209650644512.0,215853413709.0,251708033488.0,142830368430.0,149023947451.0,105091818987.0,151808946397.0,153028332387.0,207197244381.0,199001357482.0,228554388986.0,268462355901.0,222787488603.0,205983268127.0,325237984154.0,268103588366.0,417768873383.0,385172468716.0,366239638700.0,378572695979.0
CHI PHÍ THUẾ THU NHẬP DOANH NGHIỆP,BUSINESS INCOME TAX EXPENSES,business_income_tax_expenses,70412046126.0,67719694154.0,63986508073.0,613444580.0,73118633385.0,85712261567.0,56408148176.0,73339220687.0,33116343818.0,101513204150.0,79467355818.0,122008874895.0,125137006690.0,164885378442.0,230231849648.0,216021250292.0,252420326574.0,150635614710.0,151895489282.0,105617412090.0,152248356644.0,154595621634.0,208113656108.0,201189155327.0,229619509208.0,270633431952.0,223521474530.0,206869635245.0,338936016936.0,272525843389.0,418118172424.0,385426298959.0,368022426470.0,377232468678.0
Chi phí thuế thu nhập hiện hành,Business income tax - current,business_income_tax_current,-11373925395.0,-15114777572.0,-9231288572.0,-820081531.0,-11309349566.0,-17663310500.0,-10796984861.0,-8503869367.0,-7154210204.0,-19063172729.0,-15973141840.0,-23967886981.0,-22695406383.0,-31691251111.0,-48705344263.0,-43820813563.0,-53372720107.0,-32498936087.0,-28547447102.0,-33639370105.0,-30446216237.0,-30269896591.0,-41654051441.0,-38662586190.0,-46770809051.0,-54470281374.0,-44086065274.0,-43189674507.0,-65072243635.0,-56611979660.0,-85033311509.0,-69062329361.0,-79241320641.0,-77420716241.0
Chi phí thuế thu nhập hoãn lại,Business income tax - deferred,business_income_tax_deferred,11732158586.0,2490724262.0,-3656703367.0,594428088.0,-3649366869.0,-597537194.0,-105261786.0,-6150123986.0,457575168.0,-1593071817.0,132859062.0,-238622700.0,-2466943083.0,-1115924572.0,2255059204.0,-1224209865.0,1127948555.0,2273495887.0,-2160496868.0,454336405.0,-569993069.0,-737875068.0,-148587536.0,10358806750.0,-277767666.0,556534394.0,-504486712.0,1651621820.0,-4842081319.0,5140927474.0,-458223201.0,-8194093438.0,2847263496.0,905868211.0
LỢI NHUẬN KẾ TOÁN SAU THUẾ,NET PROFIT/(LOSS) AFTER TAX,net_profit_loss_after_tax,70770279317.0,55095640844.0,51098516134.0,387791137.0,58159916950.0,67451413873.0,45505901529.0,58685227334.0,26419708782.0,80856959604.0,63627073040.0,97802365214.0,99974657224.0,132078202759.0,183781564589.0,170976226864.0,200175555022.0,120410174510.0,121187545312.0,72432378390.0,121232147338.0,123587849975.0,166311017131.0,172885375887.0,182570932491.0,216719684972.0,178930922544.0,165331582558.0,269021691982.0,221054791203.0,332626637714.0,308169876160.0,291628369325.0,300717620648.0
Lợi nhuận thuần phân bổ cho lợi ích của cổ đông không kiểm soát,Business income tax - deferred,business_income_tax_deferred,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lợi nhuận sau thuế phân bổ cho chủ sở hữu,Attributable to parent company,attributable_to_parent_company,70770279317.0,55095640844.0,51098516134.0,387791137.0,58159916950.0,67451413873.0,45505901529.0,58685227334.0,26419708782.0,80856959604.0,63627073040.0,97802365214.0,99974657224.0,132078202759.0,183781564589.0,170976226864.0,200175555022.0,120410174510.0,121187545312.0,72432378390.0,121232147338.0,123587849975.0,166311017131.0,172885375887.0,182570932491.0,216719684972.0,178930922544.0,165331582558.0,269021691982.0,221054791203.0,332626637714.0,308169876160.0,291628369325.0,300717620648.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-749.0,0.0,608.0,268.0,0.0,0.0,756.0,442.0,0.0,0.0,0.0,603.0,0.0,0.0,0.0,0.0,0.0,1346.0,0.0,0.0,0.0,1633.0,0.0,0.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doanh thu nghiệp vụ môi giới chứng khoán,Revenue in Brokerage services,revenue_in_brokerage_services,127194958944.0,99283992858.0,87968748899.0,84249791708.0,71944425133.0,55760265311.0,62240647837.0,60805904657.0,56375361723.0,80683277510.0,83336597736.0,129706060763.0,160584049931.0,222127710426.0,244392885614.0,304477113275.0,255638717867.0,174171961992.0,151325590058.0,135637107665.0,93109539860.0,136332022287.0,213982561410.0,171191906951.0,184595907393.0,179361147967.0,132817752734.0,131379763648.0,133456336915.0,191912161375.0,369557531742.0,228540428371.0,241339144344.0,163614067934.0
"Doanh thu hoạt động đầu tư chứng khoán, góp vốn (Trước năm 2016)",Revenue in Securities investment and other investment activities (Before 2016),revenue_in_securities_investment_and_other_investment_activities_before_2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doanh thu nghiệp vụ bảo lãnh phát hành chứng khoán,Revenue in Underwriting services,revenue_in_underwriting_services,34329861.0,30000000.0,0.0,155470961.0,0.0,0.0,0.0,80434783.0,0.0,0.0,0.0,18113149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000000.0,0.0,0.0,0.0,0.0,553222154.0,817947.0,0.0
Doanh thu nghiệp vụ tư vấn đầu tư chứng khoán,Revenue in Stock Investment Advisory services,revenue_in_stock_investment_advisory_services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2742000000.0,17000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doanh thu lưu ký chứng khoán,Revenue in Securities custody services,revenue_in_securities_custody_services,3048589780.0,3158473676.0,2281341070.0,3051351619.0,3902663700.0,6935392070.0,5005940309.0,4481806755.0,4155311819.0,5016989183.0,3926717304.0,3771668071.0,4335348077.0,4005523583.0,4194723815.0,5195024561.0,4389160921.0,5099835108.0,5717775403.0,6471660799.0,5442756686.0,5137032279.0,5784139223.0,5056421992.0,5493226801.0,8659866330.0,7295234047.0,7368734780.0,6866374651.0,9766020877.0,13815160592.0,11454640321.0,10394840332.0,11119529044.0
"Doanh thu hoạt động ủy thác, đấu giá (Trước năm 2016)",Revenue in Auction trust services (Before 2016),revenue_in_auction_trust_services_before_2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu cho thuê sử dụng tài sản (Trước năm 2016),Rental income from investment property (Before 2016),rental_income_from_investment_property_before_2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doanh thu khác,Others revenue,others_revenue,2577226659.0,21686158685.0,11474673129.0,11572650890.0,10473871430.0,17396110999.0,19864555443.0,25833725032.0,17716439402.0,13172334401.0,10238702334.0,10801433831.0,13604739373.0,21863286128.0,18655521268.0,23872948143.0,20300268653.0,17742012482.0,17363370665.0,8374643538.0,3921021367.0,4852012002.0,8040361358.0,9705509558.0,9314752506.0,10675340843.0,10700650877.0,10934596975.0,12087650293.0,10339386188.0,16869573760.0,20410574587.0,25159033093.0,25824417141.0
"Lãi/lỗ từ công ty liên doanh, liên kết",Gain/(loss) from joint ventures,gain_loss_from_joint_ventures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi từ các tài sản tài chính ghi nhận thông qua lãi/lỗ ( FVTPL),Income from financial assets recognized through profit/loss (FVTPL),income_from_financial_assets_recognized_through_profit_loss_fvtpl,70853981340.0,31180365108.0,24562329548.0,11945299998.0,12294564905.0,27528961616.0,38493500806.0,55545018415.0,49574044006.0,48579330919.0,48340309097.0,55977862482.0,83339729681.0,211683831112.0,13244951798.0,62216938396.0,68650007009.0,80978821767.0,31903925360.0,44689580016.0,67822278789.0,-4913225993.0,26242964315.0,51711642832.0,139898666692.0,341023156753.0,285648271282.0,216663470556.0,126617208922.0,172851568393.0,241889243833.0,177608119843.0,145925272328.0,325572157834.0
Lãi bán các tài sản tài chính FVTPL,Income from selling financial assets FVTPL,income_from_selling_financial_assets_fvtpl,71566784563.0,24758078082.0,23058447591.0,7956913541.0,8924248588.0,21225624731.0,24753649994.0,49597023995.0,28797707006.0,44184059507.0,44974925410.0,38924453951.0,38664403932.0,118506655035.0,126861094273.0,47675265704.0,48192041894.0,80106792250.0,13530013938.0,23489753210.0,32069324268.0,25171038341.0,24558164550.0,48572594572.0,138205630771.0,341575407367.0,283090118418.0,207805155431.0,106973322845.0,179568476809.0,243215335770.0,159905671186.0,162985183528.0,330659756192.0
Chênh lệch tăng đánh giá lại các TSTC thông qua lãi/lỗ,FVTPL revaluation gain,fvtpl_revaluation_gain,-7071853484.0,-904851290.0,-1287634088.0,-77748539.0,647917286.0,-428011972.0,4554025719.0,-438961603.0,7774591833.0,-5530135137.0,-3458556467.0,4665994150.0,35872001162.0,85304421907.0,-120886718673.0,2430905221.0,7642046676.0,-14984930550.0,1274766781.0,-4511889191.0,1919429607.0,3748490630.0,1430540925.0,3019306160.0,1476339921.0,-2943780614.0,2522103664.0,8793941125.0,19679597277.0,-22974568416.0,-1352509937.0,17694848657.0,-17059911200.0,-5087598358.0
"Cổ tức, tiền lãi phát sinh từ tài sản tài chính FVTPL","Dividend, interest from FVTPL financial assets",dividend_interest_from_fvtpl_financial_assets,6359050261.0,7327138316.0,2791516045.0,4066134996.0,2722399031.0,6731348857.0,9185825093.0,6386956023.0,13001745167.0,9925406549.0,6823940154.0,12387414381.0,8803324587.0,7872754170.0,7270576198.0,12110767471.0,12815918439.0,15856960067.0,17099144641.0,25711715997.0,33833524914.0,-33832754964.0,254258840.0,119742100.0,216696000.0,2391530000.0,36049200.0,64374000.0,-35711200.0,16257660000.0,26418000.0,7600000.0,0.0,0.0
Lãi từ các khoản đầu tư nắm giữ đến ngày đáo hạn,Income from held to maturity investment (HTM),income_from_held_to_maturity_investment_htm,10756561237.0,11218238581.0,11318599699.0,10537011027.0,6719921047.0,10202369700.0,4654887381.0,10426322550.0,11319659761.0,14674056267.0,15721112564.0,13597962423.0,14938728304.0,15499731146.0,18139155547.0,20735454046.0,27409972653.0,34497262417.0,28058791771.0,31980580228.0,36406866868.0,45947639674.0,49959168886.0,48481619709.0,43250494497.0,35653064841.0,41827677386.0,60988128194.0,68638276702.0,76109728499.0,83477188386.0,103760142676.0,117868769482.0,125207695874.0
Lãi từ các khoản cho vay và phải thu,Income from loans and receivables,income_from_loans_and_receivables,81921916200.0,84616637434.0,68206583375.0,74805467070.0,72805001055.0,76640921803.0,79178396753.0,81669260005.0,72206654583.0,70780141575.0,75441578479.0,100049924348.0,117670728807.0,141837954601.0,183071825241.0,203979250505.0,210602262058.0,193479789991.0,189703848678.0,173811657676.0,120411338249.0,139140179012.0,185461332598.0,219726858278.0,259942407245.0,261729245988.0,266306082397.0,268153410081.0,277106545578.0,308845773308.0,408091541664.0,429072979392.0,439333867818.0,465440851554.0
Lãi từ các tài sản tài chính sẵn sàng để bán,Income from available for sales assets (AFS),income_from_available_for_sales_assets_afs,0.0,2944041095.0,448438357.0,0.0,0.0,65000000.0,0.0,513000000.0,0.0,65000000.0,342000000.0,513000000.0,0.0,0.0,150798000.0,855000000.0,0.0,0.0,393600000.0,1197000000.0,5602328767.0,71505507420.0,42044616742.0,30638827789.0,30668146163.0,33177444947.0,57003610521.0,54040079783.0,40441524054.0,20932707542.0,26963354062.0,41443892474.0,37072376996.0,65231470151.0
Lãi từ các công cụ phát sinh phòng ngừa rủi ro,Income from derivatives,income_from_derivatives,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doanh thu hoạt động tư vấn tài chính,Revenue in Financial Advisory services,revenue_in_financial_advisory_services,9240000000.0,38627900000.0,11997234091.0,28657356819.0,15488181818.0,52852209728.0,19495409976.0,34468918909.0,12365081818.0,53275592645.0,13288274545.0,40518868908.0,6402507272.0,26159610850.0,33153774364.0,37374212584.0,22473254545.0,6947049782.0,2855227272.0,3739818182.0,3170000000.0,3028125000.0,7617900000.0,3397500000.0,450000000.0,13080000000.0,3740000000.0,8327143800.0,3664281600.0,1580000000.0,1390000000.0,3312006703.0,2001818182.0,14235454545.0
