item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,13162975000000.0,13272415000000.0,13466352000000.0,12499618000000.0,12297612000000.0,14368745000000.0,19179419000000.0,24261892000000.0,30897924000000.0,24716045000000.0,25574944000000.0,29760685000000.0,31327888000000.0,34398733000000.0,36888542000000.0,43630176000000.0,38346182000000.0,36815333000000.0,36801602000000.0,47674624000000.0,51583262000000.0,45883821000000.0,47845660000000.0,43763477000000.0,42629110000000.0,48982369000000.0,43529968000000.0,53569663000000.0,48551323000000.0,32650920000000.0,32214095000000.0,36234495000000.0,31419317000000.0,42812024000000.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,4391061000000.0,5518646000000.0,4954786000000.0,4585889000000.0,3082541000000.0,4813696000000.0,7359376000000.0,6800528000000.0,3711237000000.0,4695511000000.0,5608241000000.0,7721442000000.0,7117888000000.0,11544161000000.0,12300031000000.0,22304822000000.0,12349418000000.0,9714354000000.0,6045500000000.0,13853100000000.0,16203728000000.0,8829035000000.0,9477078000000.0,10124515000000.0,8492733000000.0,18158242000000.0,13225024000000.0,18617866000000.0,12769105000000.0,10552742000000.0,13266315000000.0,12101850000000.0,7081065000000.0,11550652000000.0
Tiền,Cash,cash,514198000000.0,433773000000.0,478617000000.0,513597000000.0,367981000000.0,450091000000.0,393876000000.0,1928070000000.0,1300469000000.0,2188250000000.0,1914841000000.0,1930142000000.0,1199738000000.0,1430531000000.0,2337620000000.0,6885412000000.0,2093751000000.0,2869420000000.0,1774712000000.0,1718476000000.0,10281232000000.0,2434944000000.0,4041862000000.0,3290554000000.0,2003484000000.0,6379620000000.0,2221298000000.0,6064564000000.0,2555199000000.0,1949724000000.0,1606804000000.0,1013866000000.0,1634806000000.0,1831924000000.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,3876863000000.0,5084873000000.0,4476169000000.0,4072292000000.0,2714560000000.0,4363605000000.0,6965500000000.0,4872458000000.0,2410768000000.0,2507261000000.0,3693400000000.0,5791300000000.0,5918150000000.0,10113630000000.0,9962411000000.0,15419410000000.0,10255667000000.0,6844934000000.0,4270788000000.0,12134624000000.0,5922496000000.0,6394091000000.0,5435216000000.0,6833961000000.0,6489249000000.0,11778622000000.0,11003726000000.0,12553302000000.0,10213906000000.0,8603018000000.0,11659511000000.0,11087984000000.0,5446259000000.0,9718728000000.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,1153648000000.0,579348000000.0,607148000000.0,375848000000.0,382548000000.0,142130000000.0,403950000000.0,784454000000.0,981808000000.0,266900000000.0,294900000000.0,447250000000.0,550850000000.0,437650000000.0,350250000000.0,332753000000.0,586878000000.0,646998000000.0,1678605000000.0,3659175000000.0,4790093000000.0,4623340000000.0,4780789000000.0,6794791000000.0,5329176000000.0,3819013000000.0,3107611000000.0,607993000000.0,404193000000.0,894755000000.0,1463311000000.0,5379753000000.0,6924137000000.0,6076852000000.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0,0.0,36530000000.0,141530000000.0,472134000000.0,488208000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200864000000.0,3302172000000.0,3316274000000.0,2643381000000.0,1216544000000.0,4183054000000.0,3218841000000.0,1510501000000.0,1720333000000.0,0.0,0.0,68212000000.0,446725000000.0,3824067000000.0,2203028000000.0,1982969000000.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,2108580000000.0,1519957000000.0,2223589000000.0,2412555000000.0,2147360000000.0,2261208000000.0,4187625000000.0,5417776000000.0,14855871000000.0,5995045000000.0,6335709000000.0,7051442000000.0,8921369000000.0,7534983000000.0,8561607000000.0,6634409000000.0,10445007000000.0,10830674000000.0,12788262000000.0,13929560000000.0,15001820000000.0,16745392000000.0,17765682000000.0,11985015000000.0,14304720000000.0,12578145000000.0,12366531000000.0,21864602000000.0,23734255000000.0,9107965000000.0,5282619000000.0,5639277000000.0,3603236000000.0,5001288000000.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,1012727000000.0,897827000000.0,903071000000.0,1523385000000.0,1022261000000.0,1398046000000.0,1354951000000.0,1240531000000.0,1567978000000.0,1943483000000.0,1913558000000.0,2061915000000.0,2510659000000.0,2494264000000.0,2971696000000.0,2480224000000.0,2710958000000.0,2627053000000.0,2587910000000.0,2735816000000.0,2674011000000.0,2388139000000.0,2362489000000.0,2309810000000.0,2496880000000.0,2130267000000.0,2188449000000.0,1302889000000.0,943158000000.0,1126386000000.0,1457122000000.0,1274262000000.0,1543918000000.0,3181451000000.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,329559000000.0,507154000000.0,831288000000.0,707242000000.0,773104000000.0,827165000000.0,997059000000.0,1528648000000.0,1330772000000.0,608538000000.0,733029000000.0,606656000000.0,564658000000.0,520098000000.0,959621000000.0,851052000000.0,1162841000000.0,1171714000000.0,1417469000000.0,1227666000000.0,1304149000000.0,1168734000000.0,875070000000.0,725077000000.0,708451000000.0,671010000000.0,720203000000.0,484488000000.0,573046000000.0,619658000000.0,583035000000.0,542864000000.0,624101000000.0,617544000000.0
