item,item_en,item_id,2026-Q2,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,28196171000000.0,24075239000000.0,23300560000000.0,21255663000000.0,18425059000000.0,18946395000000.0,22735941000000.0,21574637000000.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-78493000000.0,-55485000000.0,-54735000000.0,-91837000000.0,-109919000000.0,-49857000000.0,-34410000000.0,-87742000000.0
Doanh thu thuần,Net sales,net_sales,28117678000000.0,24019754000000.0,23245825000000.0,21163826000000.0,18315140000000.0,18896538000000.0,22701531000000.0,21486895000000.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-19206828000000.0,-16113727000000.0,-15990388000000.0,-14722324000000.0,-12625712000000.0,-12702295000000.0,-15638991000000.0,-15066285000000.0
Lợi nhuận gộp,Gross Profit,gross_profit,8910850000000.0,7906027000000.0,7255437000000.0,6441502000000.0,5689428000000.0,6194243000000.0,7062540000000.0,6420610000000.0
Doanh thu hoạt động tài chính,Financial income,financial_income,497432000000.0,425056000000.0,320932000000.0,829131000000.0,367427000000.0,576758000000.0,1967701000000.0,854509000000.0
Chi phí tài chính,Financial expenses,financial_expenses,-1823236000000.0,-1894801000000.0,-1604397000000.0,-2041610000000.0,-1387959000000.0,-1882532000000.0,-1917003000000.0,-2032036000000.0
Chi phí lãi vay,Interest expenses,interest_expenses,-1487221000000.0,-1214557000000.0,-1231475000000.0,-1682274000000.0,-1111787000000.0,-1392622000000.0,-1526425000000.0,-1707361000000.0
Chi phí bán hàng,Selling expenses,selling_expenses,-4302886000000.0,-4089684000000.0,-3807505000000.0,-3356425000000.0,-3328768000000.0,-3709832000000.0,-3604582000000.0,-3678318000000.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-564054000000.0,-1369051000000.0,-906060000000.0,-1001710000000.0,-956663000000.0,-849360000000.0,-905824000000.0,-1129210000000.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,4193525000000.0,2318740000000.0,2642686000000.0,2135503000000.0,1624535000000.0,1519370000000.0,3366541000000.0,1593712000000.0
Thu nhập khác,Other incomes,other_incomes,23434000000.0,24605000000.0,123921000000.0,72986000000.0,238346000000.0,11235000000.0,68022000000.0,35316000000.0
Chi phí khác,Other expenses,other_expenses,-54189000000.0,-23168000000.0,-99230000000.0,-56418000000.0,-16608000000.0,-308236000000.0,-777933000000.0,-63278000000.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,-30755000000.0,1437000000.0,24691000000.0,16568000000.0,221738000000.0,-297001000000.0,-709911000000.0,-27962000000.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,4162770000000.0,2320177000000.0,2667377000000.0,2152071000000.0,1846273000000.0,1222369000000.0,2656630000000.0,1565750000000.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-365680000000.0,-398848000000.0,-324815000000.0,-310787000000.0,-183243000000.0,-217864000000.0,-605522000000.0,-371275000000.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,2813000000.0,52248000000.0,-47219000000.0,24468000000.0,-43654000000.0,-21465000000.0,-504550000000.0,106538000000.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-362867000000.0,-346600000000.0,-372034000000.0,-286319000000.0,-226897000000.0,-239329000000.0,-1110072000000.0,-264737000000.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,3799903000000.0,1973577000000.0,2295343000000.0,1865752000000.0,1619376000000.0,983040000000.0,1546558000000.0,1301013000000.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,674735000000.0,727783000000.0,821384000000.0,657097000000.0,587184000000.0,589540000000.0,855503000000.0,599942000000.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,3125168000000.0,1245794000000.0,1473959000000.0,1208655000000.0,1032192000000.0,393500000000.0,691055000000.0,701071000000.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,2055.0,819.0,971.0,795.0,682.0,260.0,460.0,463.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,1475419000000.0,1341193000000.0,1384279000000.0,1264615000000.0,1241070000000.0,1190093000000.0,763709000000.0,1158157000000.0
