item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,3244450194000.0,4038680298000.0,3925684616000.0,4333718245000.0,4700418693000.0,5583388897000.0,7205033270000.0,7581595985000.0,6184565057000.0,8809609265000.0,8401537568000.0,9689657703000.0,8827090422000.0,9785272777000.0,9961220450000.0,10576736330000.0,11220632164000.0,11858350713000.0,12222815201000.0,12228222738000.0,12426098867000.0,12039635262000.0,10983419432000.0,10603675497000.0,10180742716000.0,10491236806000.0,10510793527000.0,6992043391000.0,6121914211000.0,6233199827000.0,6731580965000.0,7244781522000.0,9365139045000.0,18075874966000.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,461454245000.0,1019776223000.0,500166823000.0,467220260000.0,121183060000.0,368886673000.0,2255844467000.0,1723204606000.0,250696969000.0,647071921000.0,574727150000.0,761930286000.0,447591664000.0,638219402000.0,785902109000.0,1043789572000.0,724250618000.0,994259400000.0,877506708000.0,1502879248000.0,1445462172000.0,1400945557000.0,392321911000.0,974184354000.0,559560889000.0,595654006000.0,554465121000.0,1468795621000.0,556501983000.0,254610456000.0,347647098000.0,570211947000.0,732288875000.0,2431999393000.0
Tiền,Cash,cash,104608070000.0,157189427000.0,202752348000.0,263449041000.0,90090566000.0,140698967000.0,111217467000.0,941446956000.0,247596969000.0,641671921000.0,565927150000.0,705930286000.0,395091664000.0,460074862000.0,542902109000.0,644789572000.0,489750618000.0,864259400000.0,873006708000.0,802638824000.0,1440962172000.0,1396445557000.0,392214429000.0,974184354000.0,559560889000.0,595654006000.0,554465121000.0,1468795621000.0,556501983000.0,254610456000.0,196147098000.0,145211947000.0,717240074000.0,490894643000.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,356846175000.0,862586796000.0,297414475000.0,203771219000.0,31092494000.0,228187706000.0,2144627000000.0,781757650000.0,3100000000.0,5400000000.0,8800000000.0,56000000000.0,52500000000.0,178144540000.0,243000000000.0,399000000000.0,234500000000.0,130000000000.0,4500000000.0,700240424000.0,4500000000.0,4500000000.0,107482000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151500000000.0,425000000000.0,15048801000.0,1941104750000.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5900000000.0,0.0,0.0,0.0,0.0,0.0,194755460000.0,0.0,7400000000.0,14010000000.0,8110000000.0,8110000000.0,8110000000.0,8110000000.0,8110000000.0,8110000000.0,8110000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364962353000.0,1859713466000.0,1906595291000.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194755460000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364962353000.0,239647178000.0,649571126000.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,797347528000.0,829360027000.0,1001060517000.0,1612852955000.0,1067900642000.0,1467081869000.0,1032239934000.0,1735574636000.0,1531751716000.0,2034573229000.0,2009698129000.0,2598217131000.0,1992861562000.0,2156092542000.0,2271339232000.0,2652953397000.0,3002844686000.0,3072474870000.0,3160575083000.0,2940659090000.0,3059932937000.0,2863229576000.0,2846929468000.0,2757111564000.0,2994010662000.0,2872522288000.0,3029362669000.0,1873471973000.0,1985770892000.0,2394887885000.0,2665287851000.0,2693152824000.0,2191720667000.0,3758314461000.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,300367522000.0,328798253000.0,301241490000.0,960321689000.0,491572338000.0,887035112000.0,773261388000.0,280413823000.0,512869473000.0,1010213495000.0,980053523000.0,993786297000.0,1540645613000.0,1650739017000.0,1692457871000.0,1988261387000.0,2208097931000.0,2275870393000.0,2156312721000.0,2170552039000.0,2233448375000.0,1855214452000.0,1769641949000.0,1668813631000.0,1802628934000.0,1640586996000.0,1665166329000.0,789719771000.0,614316170000.0,603738505000.0,871323318000.0,777487739000.0,984473436000.0,2654620474000.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,79548236000.0,84038112000.0,224126632000.0,175750070000.0,131863002000.0,157339018000.0,134927367000.0,204604439000.0,203845155000.0,128786119000.0,131603558000.0,139861845000.0,155186936000.0,179918821000.0,179472071000.0,243425908000.0,340280411000.0,443615988000.0,628135425000.0,371552598000.0,416794793000.0,327177376000.0,214663487000.0,206875846000.0,246582514000.0,275812099000.0,321994571000.0,99262520000.0,116122936000.0,107680312000.0,103320876000.0,86729827000.0,88375046000.0,104801080000.0
